Date,Open,High,Low,Close,Volume,PriceMode
2023-04-11,160.0457474532,160.055605522,158.2318627885,158.5177467845,47644217,adjusted
2023-04-12,158.9317856754,159.7598634571,157.5122237639,157.8276819664,50133062,adjusted
2023-04-13,159.3359664974,163.4467811995,159.128947052,163.2101875475,68445649,adjusted
2023-04-14,162.253954871,163.9594007786,161.4948835711,162.8651551385,49386480,adjusted
2023-04-17,162.7468583125,163.0426003774,161.7019030166,162.8848712762,40713618,adjusted
2023-04-18,163.7425232644,165.0339302811,163.298910167,164.1072718111,49923008,adjusted
2023-04-19,163.4467811995,165.7732854433,163.1904714099,165.2508077953,47720166,adjusted
2023-04-20,163.7326651955,165.4874014472,163.2101875475,164.28471705,52456377,adjusted
2023-04-21,162.7074260372,164.0896258679,162.1553741827,162.6778518307,58337341,adjusted
2023-04-24,162.6581356931,163.2496198229,161.563890053,162.9834519645,41949581,adjusted
2023-04-25,162.8454390008,163.9446136754,161.4061609517,161.445593227,48714063,adjusted
2023-04-26,160.7407413057,162.9341616203,160.4893605505,161.4357351582,44105745,adjusted
2023-04-27,162.8454390008,166.1676081965,162.8454390008,166.0197371641,64902329,adjusted
2023-04-28,166.0986017147,167.4392990756,165.4973580968,167.2717119055,55275851,adjusted
2023-05-01,166.8773891523,168.0307832054,166.2464727471,167.182989286,52472936,adjusted
2023-05-02,167.6758927275,167.9322025171,165.1620851759,166.1478920588,48425696,adjusted
2023-05-03,167.0942666665,168.4941124404,164.7874785603,165.0733625564,65136018,adjusted
2023-05-04,162.5496969359,164.6691817344,161.9779289438,163.4369231306,81235427,adjusted
2023-05-05,168.5483318189,171.8261397049,168.3363833391,171.1065006803,113453171,adjusted
2023-05-08,170.0319711778,171.3825266075,169.6672226311,171.0374941985,55962793,adjusted
2023-05-09,170.5938811011,171.0769264738,169.1644611208,169.3320482909,45326874,adjusted
2023-05-10,170.5643068946,171.5599718465,169.4602031857,171.091713577,53724501,adjusted
2023-05-11,171.3825266075,172.1120237009,169.7263710441,171.2839459192,49514676,adjusted
2023-05-12,171.3938242275,171.8281824964,168.8074181713,170.3572874492,45533138,adjusted
2023-05-15,170.9397224008,170.989081295,169.2713917768,169.8636985072,37266659,adjusted
2023-05-16,169.7847242765,170.9183006407,169.5962720184,169.8636985072,42110293,adjusted
2023-05-17,169.5083144689,170.707735598,168.2349537163,170.4757487953,57951604,adjusted
2023-05-18,170.7817739393,172.9930523996,170.3671592281,172.8054886016,65496657,adjusted
2023-05-19,174.1283069663,174.1283069663,172.6968990344,172.9140781689,55809475,adjusted
2023-05-22,171.7492082657,172.4698481211,171.2260039872,171.9663874002,43570932,adjusted
2023-05-23,170.9101070643,171.1563092286,169.0788920894,169.3602377863,50747263,adjusted
2023-05-24,168.8962641808,170.2075325642,168.3335727869,169.6366475939,45143488,adjusted
2023-05-25,170.1993389878,171.6652981456,169.4885709113,170.7719021605,56058258,adjusted
2023-05-26,171.0976708622,173.5162566781,170.8903635066,173.1806161976,54834975,adjusted
2023-05-30,174.6909983602,176.6949694648,174.3059989854,175.0266388407,55964401,adjusted
2023-05-31,175.0513182878,177.050353503,174.4935627833,174.9772799465,99313268,adjusted
2023-06-01,175.4215099943,177.8104804737,174.6619753304,177.7808651372,68901809,adjusted
2023-06-02,178.7088123482,179.4491957612,176.9615074935,178.6298381175,61996913,adjusted
2023-06-05,180.2882969627,182.5795368315,175.7522145855,177.2774044163,121946497,adjusted
2023-06-06,177.6574679017,177.8104804737,175.1549719657,176.9121485993,64848374,adjusted
2023-06-07,176.1520216285,178.8865043673,175.0463823984,175.5399713404,61944615,adjusted
2023-06-08,175.6140096817,178.5212485502,175.1845873022,178.2547105215,50214881,adjusted
2023-06-09,179.1727859537,179.8934258091,178.3139411946,178.6397098963,48899973,adjusted
2023-06-12,178.9457350404,181.5321410966,178.6495816752,181.4334233082,54754995,adjusted
2023-06-13,180.456117203,181.7888073464,180.1007331647,180.9595779238,54929129,adjusted
2023-06-14,181.0188085969,182.0257300386,179.6861184534,181.5913717696,57462882,adjusted
2023-06-15,181.6012435485,184.1284189316,181.4235515293,183.6249582107,65433166,adjusted
2023-06-16,184.3357262873,184.5923925371,181.9072686925,182.5489343171,101256225,adjusted
2023-06-20,182.0454735963,183.7138042203,182.0454735963,182.6377803267,49799092,adjusted
2023-06-21,182.5291907595,183.0326514803,180.2489085651,181.6012435485,49515697,adjusted
2023-06-22,181.384064414,184.6466873207,181.3149619621,184.6022643159,51245327,adjusted
2023-06-23,183.1708563841,185.155083931,182.6377803267,184.286367393,53116996,adjusted
2023-06-26,184.4344440757,185.6388010942,182.8549594612,182.8944465765,48088661,adjusted
2023-06-27,183.5064968647,185.9744415748,183.2893177302,185.648672873,50730846,adjusted
2023-06-28,185.5203397481,187.4650801797,185.1945710464,186.823414555,51216801,adjusted
2023-06-29,186.6555943148,187.63290042,186.517389411,187.1590550356,46347308,adjusted
2023-06-30,189.1728979191,191.9863548886,188.807642102,191.4828941677,85213216,adjusted
2023-07-03,191.2953303697,191.3940481582,189.301231044,189.9922555628,31458198,adjusted
2023-07-05,189.1087313566,190.5055880625,188.1758482562,188.8767445538,46920261,adjusted
2023-07-06,187.4058495066,189.5578972938,186.7740556608,189.3505899382,45156009,adjusted
2023-07-07,188.9557187846,190.1995629185,187.8007206602,188.2350789292,46814998,adjusted
2023-07-10,186.8332863339,187.5539261892,184.6368155419,186.1916207093,59922163,adjusted
2023-07-11,186.7345685455,186.8727734492,184.2073931623,185.6684164307,46638119,adjusted
2023-07-12,187.2479010452,189.2420003709,186.0534158055,187.3367470547,60750248,adjusted
2023-07-13,188.0573869101,188.7385396501,187.3466188336,188.0968740255,41342338,adjusted
2023-07-14,187.7908488814,188.7285691535,187.198542151,188.2449507081,41616242,adjusted
2023-07-17,189.4394359478,191.8284064271,189.3505899382,191.5026377254,50520159,adjusted
2023-07-18,190.8708438796,191.838278206,189.947832558,191.2459714755,48353774,adjusted
2023-07-19,190.6240494086,195.6882719537,190.1798193608,192.5984051767,80507323,adjusted
2023-07-20,192.5885333978,193.9508388778,190.0268067888,190.6536647451,59581196,adjusted
2023-07-21,191.6112272926,192.4700720518,188.7780267654,189.4789230631,71951683,adjusted
2023-07-24,190.9300745527,192.4108413787,189.7849482072,190.2785371492,45505097,adjusted
2023-07-25,190.8511003219,191.9468677732,190.4414215001,191.1373819083,37283201,adjusted
2023-07-26,191.1867408025,193.1314812341,190.8412285431,192.0060984463,47471868,adjusted
2023-07-27,193.50660883,194.6714787332,190.0811015724,190.7425107547,47460180,adjusted
2023-07-28,192.1739186865,194.1048386277,191.650714408,193.319045032,48291443,adjusted
2023-07-31,193.5460959454,193.9705824355,192.7563536381,193.9310953201,38824113,adjusted
2023-08-01,193.7188520751,194.2075051277,192.7760971958,193.0969300081,35281426,adjusted
2023-08-02,192.5391745036,192.6773794074,189.3907680781,190.1107169089,50389327,adjusted
2023-08-03,189.113667246,189.9034095532,188.2449507081,188.7187960924,62243282,adjusted
2023-08-04,183.1412410476,184.9773919119,179.587400665,179.6565031169,115956841,adjusted
2023-08-07,179.7947080207,180.7818859047,175.0759977349,176.556764561,97576069,adjusted
2023-08-08,177.3859939836,177.9585571563,175.3030486483,177.4945835508,67823003,adjusted
2023-08-09,178.5508638868,178.6100945598,174.7403572544,175.9052271575,60378492,adjusted
2023-08-10,177.1786866279,178.4324025407,175.3227922059,175.688048023,54686851,adjusted
2023-08-11,175.2826787693,176.5677423966,174.5215256977,175.7472786961,52036672,adjusted
2023-08-14,175.9252105829,177.625448613,175.267851112,177.398091202,43675627,adjusted
2023-08-15,176.8247551221,177.4178614116,175.015780939,175.411185132,43622593,adjusted
2023-08-16,175.0948617776,176.488661558,174.4721001736,174.5412959073,46964857,adjusted
