Date,Open,High,Low,Close,Volume,PriceMode
2023-06-30,482.74,492.81,482.72,488.99,3096582,adjusted
2023-07-03,486.39,486.61,479.8401,485.21,1491011,adjusted
2023-07-05,480.99,489.41,479.73,487.26,2190353,adjusted
2023-07-06,479.99,482.5,475.0,481.29,2102202,adjusted
2023-07-07,481.98,490.42,479.86,485.27,2325039,adjusted
2023-07-10,485.27,499.1999,485.11,496.35,3352622,adjusted
2023-07-11,497.28,506.03,491.76,504.74,2844239,adjusted
2023-07-12,509.405,510.79,500.01,507.36,3027419,adjusted
2023-07-13,509.62,519.4099,509.5,517.28,3049373,adjusted
2023-07-14,517.34,523.785,512.67,514.83,2303710,adjusted
2023-07-17,513.0,522.6892,512.38,522.0,2646013,adjusted
2023-07-18,519.64,535.1299,517.375,532.23,4094580,adjusted
2023-07-19,534.48,539.0,526.0601,527.17,3383210,adjusted
2023-07-20,522.03,528.31,514.085,516.88,3264482,adjusted
2023-07-21,521.75,529.6851,519.28,520.23,8099521,adjusted
2023-07-24,520.0,524.84,514.86,523.86,2261046,adjusted
2023-07-25,519.42,526.88,517.92,525.34,2472108,adjusted
2023-07-26,520.49,521.1,510.44,514.55,2918652,adjusted
2023-07-27,523.16,527.9,511.24,513.97,2477246,adjusted
2023-07-28,515.43,530.32,514.63,528.87,2810248,adjusted
2023-07-31,541.87,552.94,541.87,546.17,4064689,adjusted
2023-08-01,545.78,552.015,541.67,549.1,2277295,adjusted
2023-08-02,539.32,539.99,526.5,530.3,2973101,adjusted
2023-08-03,523.0,530.912,522.217,523.76,2187501,adjusted
2023-08-04,526.74,535.63,522.12,526.88,2462880,adjusted
2023-08-07,530.0,532.58,523.52,529.73,1777773,adjusted
2023-08-08,523.99,524.5788,515.25,520.6,2626110,adjusted
2023-08-09,520.55,520.97,509.53,513.78,1843778,adjusted
2023-08-10,521.03,523.22,512.98,515.83,1901693,adjusted
2023-08-11,510.83,514.9,506.37,508.45,1930647,adjusted
2023-08-14,506.78,522.5549,505.03,522.25,2052509,adjusted
2023-08-15,518.35,522.04,516.0593,518.7,1824324,adjusted
2023-08-16,517.81,523.15,514.17,514.49,1541297,adjusted
2023-08-17,525.0,525.49,510.56,511.67,2455834,adjusted
2023-08-18,504.65,510.05,503.9,508.13,2140067,adjusted
2023-08-21,510.29,522.98,510.29,520.47,2428287,adjusted
2023-08-22,529.715,530.0,518.35,519.48,1496587,adjusted
2023-08-23,522.73,535.25,519.24,530.71,2336856,adjusted
2023-08-24,539.0,539.67,511.05,512.43,2950211,adjusted
2023-08-25,514.92,528.43,514.465,525.06,2308269,adjusted
2023-08-28,525.7,533.51,523.98,529.92,1684095,adjusted
2023-08-29,527.7,541.97,526.1473,540.57,2166979,adjusted
2023-08-30,540.1,546.0,536.09,545.36,1930271,adjusted
2023-08-31,547.0,562.1,546.76,559.34,3919340,adjusted
2023-09-01,564.8,569.98,558.517,563.21,2234067,adjusted
2023-09-05,557.88,567.59,555.42,564.88,2349719,adjusted
2023-09-06,560.45,564.06,555.85,561.94,2299883,adjusted
2023-09-07,554.0,561.83,551.075,560.46,2089396,adjusted
2023-09-08,568.9,570.2399,558.03,560.36,2265288,adjusted
2023-09-11,562.0,565.4302,556.7,564.5,2083293,adjusted
2023-09-12,555.63,559.0921,540.37,542.21,3961254,adjusted
2023-09-13,557.02,559.85,546.43,553.56,3465169,adjusted
2023-09-14,551.09,555.1948,544.34,552.16,4786850,adjusted
2023-09-15,532.11,537.69,523.616,528.89,9774477,adjusted
2023-09-18,524.23,533.98,522.18,532.42,2650669,adjusted
2023-09-19,531.35,542.4,529.47,541.69,2386600,adjusted
2023-09-20,541.69,548.85,535.73,535.78,2628934,adjusted
2023-09-21,519.48,526.29,513.4,513.88,3846952,adjusted
2023-09-22,513.09,518.15,508.83,512.9,2702856,adjusted
2023-09-25,511.45,514.245,507.22,511.6,2219542,adjusted
2023-09-26,510.14,510.14,502.01,506.3,2375405,adjusted
2023-09-27,507.51,509.25,498.6955,502.6,3311103,adjusted
2023-09-28,500.0,508.675,499.25,504.67,2720174,adjusted
2023-09-29,505.44,518.58,505.44,509.9,2796314,adjusted
2023-10-02,508.24,522.405,508.24,521.13,2411478,adjusted
2023-10-03,517.52,520.49,504.55,507.03,2004074,adjusted
2023-10-04,511.93,519.76,510.0001,518.42,2027195,adjusted
2023-10-05,519.84,522.605,509.235,516.44,1818976,adjusted
2023-10-06,513.22,531.31,509.52,526.68,2526306,adjusted
2023-10-09,522.0,530.0,518.75,529.29,1713470,adjusted
2023-10-10,530.91,537.0,530.4,532.72,2090863,adjusted
2023-10-11,538.59,551.34,536.11,549.91,3307461,adjusted
