Date,Open,High,Low,Close,Volume,PriceMode
2023-04-17,28.83,29.495,28.55,29.22,747514,adjusted
2023-04-18,29.01,30.66,29.01,30.43,981666,adjusted
2023-04-19,30.1,30.315,28.73,28.81,708891,adjusted
2023-04-20,28.0,28.805,27.01,27.25,1181702,adjusted
2023-04-21,27.15,27.15,26.39,26.88,855274,adjusted
2023-04-24,26.79,27.3557,25.8,26.35,887907,adjusted
2023-04-25,25.85,26.05,23.17,24.13,2283461,adjusted
2023-04-26,24.88,25.31,23.47,23.9,878500,adjusted
2023-04-27,23.62,24.53,23.1054,24.17,1221313,adjusted
2023-04-28,24.2,24.8899,23.9,24.75,810916,adjusted
2023-05-01,25.06,26.27,25.06,25.95,1008176,adjusted
2023-05-02,25.84,26.2325,24.74,25.0,914354,adjusted
2023-05-03,25.11,27.12,24.92,26.26,1040584,adjusted
2023-05-04,25.9,25.98,25.0,25.59,607057,adjusted
2023-05-05,26.06,27.98,26.06,27.13,935936,adjusted
2023-05-08,27.01,27.35,26.46,26.66,526484,adjusted
2023-05-09,27.05,28.37,26.91,27.98,710222,adjusted
2023-05-10,28.5,29.28,27.9,28.15,626582,adjusted
2023-05-11,28.01,28.34,27.35,28.17,501557,adjusted
2023-05-12,28.51,28.8,27.1643,27.67,588260,adjusted
2023-05-15,27.83,29.26,27.62,29.16,448155,adjusted
2023-05-16,28.8,29.65,28.64,29.02,473548,adjusted
2023-05-17,29.46,30.08,28.29,29.96,825917,adjusted
2023-05-18,30.12,32.0,30.0,31.89,1405843,adjusted
2023-05-19,31.97,33.27,31.3,32.96,1212013,adjusted
2023-05-22,32.77,33.2871,31.539,32.17,778405,adjusted
2023-05-23,32.04,33.3,30.85,31.07,694672,adjusted
2023-05-24,30.48,30.5165,29.01,30.28,842206,adjusted
2023-05-25,32.26,32.55,30.86,31.27,752404,adjusted
2023-05-26,31.48,33.22,31.48,32.76,795454,adjusted
2023-05-30,33.81,34.8981,32.98,34.21,910066,adjusted
2023-05-31,33.5,34.46,32.41,33.02,722679,adjusted
2023-06-01,34.02,38.99,33.725,38.53,2373661,adjusted
2023-06-02,39.19,41.6,38.08,41.36,2122248,adjusted
2023-06-05,41.36,42.53,40.39,40.94,1444667,adjusted
2023-06-06,40.53,43.4499,39.52,42.53,1277202,adjusted
2023-06-07,42.87,43.98,41.4109,41.63,1031465,adjusted
2023-06-08,41.65,42.05,40.25,41.13,802279,adjusted
2023-06-09,43.4,44.25,41.735,42.54,1033559,adjusted
2023-06-12,43.09,43.23,41.39,42.89,790107,adjusted
2023-06-13,43.47,43.72,41.86,42.59,783016,adjusted
2023-06-14,42.52,43.2,41.44,43.02,767618,adjusted
2023-06-15,42.26,42.96,41.27,42.21,676194,adjusted
2023-06-16,42.36,42.55,39.31,39.4,1095973,adjusted
2023-06-20,38.69,40.69,38.1,39.45,952741,adjusted
2023-06-21,39.38,40.4689,38.51,39.86,660131,adjusted
2023-06-22,39.24,41.83,38.9401,41.46,759894,adjusted
2023-06-23,40.31,41.0999,39.19,39.95,4228726,adjusted
2023-06-26,40.18,41.41,36.535,37.875,1195692,adjusted
2023-06-27,38.3,40.1,37.625,39.69,651004,adjusted
2023-06-28,39.0,40.6683,38.52,39.57,534231,adjusted
2023-06-29,39.91,40.79,39.5,40.04,617688,adjusted
2023-06-30,40.6,43.8862,40.5,41.25,1617522,adjusted
2023-07-03,41.67,44.24,41.11,44.24,852395,adjusted
2023-07-05,43.7,44.18,39.2,39.36,1470470,adjusted
2023-07-06,38.53,39.4799,37.85,38.19,1353541,adjusted
2023-07-07,38.29,40.09,38.0821,39.11,747983,adjusted
2023-07-10,39.5,39.91,38.4101,39.78,751426,adjusted
2023-07-11,39.99,40.0541,37.93,38.71,992685,adjusted
2023-07-12,40.3,40.8299,39.12,39.89,1404076,adjusted
2023-07-13,40.32,41.76,40.2,41.43,2127673,adjusted
2023-07-14,44.53,49.8,44.42,48.96,6738518,adjusted
2023-07-17,49.68,52.72,48.18,52.17,3550502,adjusted
2023-07-18,51.79,53.0,50.0,50.57,2013313,adjusted
2023-07-19,51.0,52.85,48.8,49.49,1226512,adjusted
2023-07-20,48.27,48.59,46.2,47.92,1587328,adjusted
2023-07-21,48.45,50.43,46.95,48.34,1170432,adjusted
2023-07-24,48.51,49.4789,47.29,48.89,637501,adjusted
2023-07-25,49.84,54.0,49.73,51.88,1587847,adjusted
2023-07-26,51.0,51.77,49.88,51.33,666523,adjusted
2023-07-27,52.82,52.9846,48.71,48.99,1076323,adjusted
2023-07-28,49.88,50.75,48.19,50.24,863501,adjusted
2023-07-31,50.85,52.39,50.81,52.16,714528,adjusted
2023-08-01,50.58,54.1,50.05,53.69,1147450,adjusted
2023-08-02,52.5,52.98,49.42,50.05,1000275,adjusted
2023-08-03,49.33,50.84,48.76,48.89,589220,adjusted
2023-08-04,48.73,51.35,47.02,49.66,886647,adjusted
2023-08-07,49.78,50.46,45.79,47.95,994254,adjusted
2023-08-08,47.75,48.67,46.6,48.05,588356,adjusted
2023-08-09,48.0,48.57,45.81,47.72,770316,adjusted
2023-08-10,48.5,51.2,48.22,48.71,1160408,adjusted
2023-08-11,48.0,48.29,45.53,45.69,777255,adjusted
2023-08-14,45.19,45.8575,44.5,45.77,1034933,adjusted
2023-08-15,45.57,45.76,42.43,43.63,961974,adjusted
2023-08-16,43.5,44.2085,41.8,42.1,768160,adjusted
2023-08-17,41.94,42.41,39.6,39.89,1250302,adjusted
2023-08-18,39.13,40.8245,38.88,40.43,706349,adjusted
2023-08-21,41.0,41.3,39.8301,40.89,606440,adjusted
2023-08-22,42.55,43.055,40.01,40.27,669302,adjusted
2023-08-23,40.38,43.515,40.3,42.68,806442,adjusted
2023-08-24,44.16,44.86,40.76,40.82,647524,adjusted
2023-08-25,40.83,41.971,38.856,41.5,648423,adjusted
2023-08-28,44.15,45.97,43.52,44.62,1125788,adjusted
2023-08-29,44.0,48.5898,43.05,48.18,1548975,adjusted
2023-08-30,48.0,51.33,47.64,49.99,1250083,adjusted
2023-08-31,50.2,51.486,49.95,51.01,914279,adjusted
2023-09-01,51.7,52.45,49.8,51.64,738439,adjusted
2023-09-05,51.33,52.14,49.5901,51.415,772885,adjusted
2023-09-06,50.7,53.055,50.2711,52.81,733582,adjusted
2023-09-07,51.3,51.66,48.2,49.9,945531,adjusted
2023-09-08,49.77,50.845,49.1001,49.45,525141,adjusted
2023-09-11,50.35,50.68,47.56,48.22,511275,adjusted
2023-09-12,48.0,49.66,47.38,47.44,395486,adjusted
2023-09-13,47.15,48.3,46.39,46.75,501523,adjusted
2023-09-14,47.23,48.895,46.62,48.46,444218,adjusted
2023-09-15,48.11,48.2,46.14,47.07,741479,adjusted
2023-09-18,47.99,51.08,47.08,49.15,963570,adjusted
2023-09-19,48.99,49.63,47.6501,48.65,428675,adjusted
2023-09-20,49.0,49.835,45.28,45.38,601070,adjusted
2023-09-21,44.08,44.25,41.17,42.56,1191565,adjusted
2023-09-22,43.1,43.8081,42.14,42.66,482598,adjusted
2023-09-25,42.63,45.3,42.63,44.37,531920,adjusted
2023-09-26,43.24,44.45,43.01,43.34,520787,adjusted
2023-09-27,43.9,45.91,43.9,45.43,549042,adjusted
2023-09-28,45.6,47.74,44.946,46.23,442682,adjusted
2023-09-29,47.27,47.71,45.28,45.7,691094,adjusted
2023-10-02,45.95,48.28,45.875,46.76,948900,adjusted
2023-10-03,46.05,46.1702,42.7701,43.18,1066906,adjusted
2023-10-04,43.38,45.4499,43.38,45.14,654534,adjusted
2023-10-05,45.01,45.99,44.025,44.21,1265967,adjusted
2023-10-06,38.7501,39.882,35.3601,38.64,6647790,adjusted
2023-10-09,37.73,38.16,35.02,37.16,1825156,adjusted
2023-10-10,37.45,42.74,37.2201,40.19,1770492,adjusted
2023-10-11,40.2,41.64,38.73,40.17,1403454,adjusted
2023-10-12,41.18,41.6699,39.1882,40.06,894390,adjusted
2023-10-13,40.05,40.21,38.21,38.74,1085662,adjusted
2023-10-16,38.8,39.08,37.05,37.31,1412981,adjusted
2023-10-17,36.38,37.355,35.15,36.66,1558397,adjusted
2023-10-18,35.92,36.4,32.33,33.01,2454918,adjusted
2023-10-19,33.05,33.08,31.1406,31.69,1719044,adjusted
2023-10-20,31.7,32.9665,31.31,31.6,1225099,adjusted
2023-10-23,31.0,32.1999,30.54,31.39,842769,adjusted
2023-10-24,31.93,33.2,31.42,32.98,623026,adjusted
2023-10-25,32.75,32.75,31.02,31.14,645856,adjusted
2023-10-26,31.4,32.39,30.73,31.68,549623,adjusted
2023-10-27,31.68,32.235,29.36,29.79,856963,adjusted
2023-10-30,28.07,28.36,21.5701,23.9,6154813,adjusted
2023-10-31,23.94,24.35,22.9,23.56,1461028,adjusted
