Date,Open,High,Low,Close,Volume,PriceMode
2023-04-17,106.4126497127,109.0919647347,106.1983045109,108.9165913878,6404636,adjusted
2023-04-18,109.6083418117,110.6713965828,107.6889779595,108.4099572746,5054956,adjusted
2023-04-19,107.0264564268,107.7669216693,106.3152200755,107.5038616489,6796764,adjusted
2023-04-20,108.3904713471,113.3398969152,108.3904713471,111.4497619541,8699540,adjusted
2023-04-21,110.5534092922,111.1672160063,109.3209243821,110.5436663285,4516756,adjusted
2023-04-24,110.5728952196,111.0113285869,109.6473136666,110.6898107842,3218100,adjusted
2023-04-25,109.6083418117,110.7385256028,107.5818053586,107.7669216693,6282571,adjusted
2023-04-26,108.3027846737,108.63404544,106.9972275356,107.4746327578,6225729,adjusted
2023-04-27,108.4391861657,109.2965669728,106.3444489666,108.8094187869,9447029,adjusted
2023-04-28,108.8289047144,110.3488070542,108.2638128188,110.1247188887,8064438,adjusted
2023-05-01,110.387778909,111.4984767727,109.218623263,110.0467751789,4171844,adjusted
2023-05-02,110.0175462878,110.4754655825,108.3417565285,109.2770810453,4850231,adjusted
2023-05-03,109.0627358436,112.3071427612,109.0091495431,110.3780359453,5624062,adjusted
2023-05-04,110.1442048161,110.4949515099,108.8483906418,109.5596269931,3579606,adjusted
2023-05-05,110.7774974577,113.6224428629,110.0662611064,113.0768368948,4874374,adjusted
2023-05-08,113.861145474,114.5675103434,111.9758819948,112.7748050196,3247629,adjusted
2023-05-09,111.1477300789,111.4692478816,109.9590885055,110.9138989497,3173743,adjusted
2023-05-10,112.5507168541,113.2522102417,111.2061878612,112.4435442532,4101016,adjusted
2023-05-11,112.3363716523,112.8576202112,110.9820996957,112.4922590718,3630615,adjusted
2023-05-12,113.7101295364,114.0608762302,112.0343397771,113.106065786,3838686,adjusted
2023-05-15,113.6906436089,118.1431780274,113.0378650399,117.9970335717,5859171,adjusted
2023-05-16,117.7242305876,119.9017829783,117.3442550027,117.8119172611,5081009,adjusted
2023-05-17,119.1077314354,123.0536317406,118.7472417779,122.4690539176,7349587,adjusted
2023-05-18,122.5762265185,128.6655788414,122.5275116999,126.580584606,10891208,adjusted
2023-05-19,125.0022244839,125.0265818932,122.0306205504,123.6869243822,10257187,adjusted
2023-05-22,123.9597273662,124.2812451689,122.4208262472,123.2972058335,4709104,adjusted
2023-05-23,122.6541702282,123.4725791804,120.9978663964,121.2901553079,4604632,adjusted
2023-05-24,119.0984750996,119.7822753995,117.3987429254,118.912872161,6315616,adjusted
2023-05-25,124.2269773492,127.7045903032,123.2100686174,127.4506073347,9575704,adjusted
2023-05-26,127.7436646061,133.5266614285,126.9768314126,132.9112411586,9083778,adjusted
2023-05-30,134.806344847,135.5878309041,132.349548055,133.4094385199,7753836,adjusted
2023-05-31,130.508171533,132.6084153114,129.1014966303,130.2151142616,10911040,adjusted
2023-06-01,130.6351630173,133.0382326428,128.6438388581,131.7097063458,5007034,adjusted
2023-06-02,132.0125321929,132.1981351315,129.316405296,131.5143348315,5327592,adjusted
2023-06-05,131.6999377701,132.0223007686,129.9619127791,130.6351630173,3798281,adjusted
2023-06-06,128.359084876,132.2176722829,127.7241274547,130.8403031073,5469139,adjusted
2023-06-07,132.1395236772,133.8685615785,130.4923464404,131.8855407086,4835726,adjusted
2023-06-08,132.7061010686,133.5950414585,131.045540883,133.0480012185,4507733,adjusted
2023-06-09,134.601204757,134.7868076956,132.6767953414,132.9698526128,3676052,adjusted
2023-06-12,134.5523618784,136.9847372311,133.6634214885,136.7698285654,5933753,adjusted
2023-06-13,138.2253463467,139.2315096452,136.1788297347,138.5086350424,6859549,adjusted
2023-06-14,135.2068564512,138.0885862867,135.0310220884,137.9029833482,6474558,adjusted
2023-06-15,135.4803765712,138.1569663167,134.737964817,136.8675143225,5524417,adjusted
2023-06-16,137.6294632282,137.6880746825,134.9333363313,135.7148223883,8847359,adjusted
2023-06-20,135.8906567512,137.0726544125,134.0932388199,135.3143107841,3840324,adjusted
2023-06-21,135.3240793598,135.9394996298,132.72563822,133.5071242771,4715288,adjusted
2023-06-22,131.8757721329,136.3693169612,131.8757721329,135.7050538126,3763902,adjusted
2023-06-23,133.3899013685,133.6243471856,131.7219170654,132.9210097343,6956859,adjusted
2023-06-26,133.3117527628,137.6099260768,133.3117527628,136.5646884754,7256061,adjusted
2023-06-27,136.9065886254,143.2952371421,136.7209856868,143.1584770821,7343867,adjusted
2023-06-28,139.4952611895,142.538660953,138.762618011,140.6967960023,6645180,adjusted
2023-06-29,141.3415219994,141.8836779515,140.1888300652,140.8921675165,3916548,adjusted
2023-06-30,141.9374051179,142.1816195107,140.1204500352,141.1949933637,6142766,adjusted
