Date,Open,High,Low,Close,Volume,PriceMode
2023-04-11,96.06,96.07,92.69,94.03,51935800,adjusted
2023-04-12,94.97,95.0,91.74,92.33,53383124,adjusted
2023-04-13,92.79,93.16,91.83,92.09,40572482,adjusted
2023-04-14,91.82,92.97,90.5,91.75,38734794,adjusted
2023-04-17,90.23,90.69,88.3,89.87,46752514,adjusted
2023-04-18,91.61,92.16,89.33,89.78,46246286,adjusted
2023-04-19,88.51,90.54,88.22,89.94,37344502,adjusted
2023-04-20,88.825,91.5795,88.73,90.11,47082684,adjusted
2023-04-21,89.8,89.8,88.055,88.43,41118264,adjusted
2023-04-24,88.11,88.64,86.34,87.57,40423789,adjusted
2023-04-25,86.9,87.06,83.76,83.8,52771477,adjusted
2023-04-26,86.51,87.35,85.32,85.94,47611799,adjusted
2023-04-27,86.41,87.565,84.09,87.44,53087213,adjusted
2023-04-28,87.02,89.75,86.44,89.37,50686053,adjusted
2023-05-01,91.03,91.04,88.61,89.69,59358710,adjusted
2023-05-02,89.32,90.455,88.12,89.91,70483508,adjusted
2023-05-03,83.54,85.48,81.02,81.62,109482172,adjusted
2023-05-04,81.57,91.64,81.11,86.61,122840488,adjusted
2023-05-05,84.99,90.425,84.72,89.84,78491108,adjusted
2023-05-08,89.99,95.655,89.17,95.04,95503215,adjusted
2023-05-09,94.89,96.16,93.4281,95.06,68674788,adjusted
2023-05-10,96.42,99.94,96.12,97.02,95619496,adjusted
2023-05-11,98.155,99.19,96.14,97.1,57061034,adjusted
2023-05-12,96.83,97.45,93.68,95.26,53829709,adjusted
2023-05-15,95.2,97.43,93.45,97.4,51749212,adjusted
2023-05-16,97.39,103.28,97.31,101.48,90622884,adjusted
2023-05-17,101.79,104.14,100.05,103.75,75240894,adjusted
2023-05-18,103.98,108.1,103.93,107.93,74338722,adjusted
2023-05-19,106.36,107.29,104.6201,105.82,67880217,adjusted
2023-05-22,104.68,108.79,103.4923,108.0,65424234,adjusted
2023-05-23,107.25,110.99,107.19,108.12,73099114,adjusted
2023-05-24,105.98,108.91,105.64,108.27,65910464,adjusted
2023-05-25,117.305,120.69,115.8,120.35,108514669,adjusted
2023-05-26,122.46,127.43,120.89,127.03,92922750,adjusted
2023-05-30,130.415,130.79,123.51,125.27,98902282,adjusted
2023-05-31,122.42,123.96,117.86,118.21,86845493,adjusted
2023-06-01,117.29,121.28,116.6,119.47,66032924,adjusted
2023-06-02,120.75,121.66,117.675,117.86,52382424,adjusted
2023-06-05,116.59,119.32,116.42,117.93,52602861,adjusted
2023-06-06,117.91,124.42,117.74,124.23,75257497,adjusted
2023-06-07,124.025,125.34,117.07,117.83,81755152,adjusted
2023-06-08,118.295,122.21,117.05,121.05,65246930,adjusted
2023-06-09,123.57,127.25,123.55,124.92,75105039,adjusted
2023-06-12,128.52,130.48,126.4,129.19,85673077,adjusted
2023-06-13,132.32,132.83,122.45,124.53,132461926,adjusted
2023-06-14,126.525,127.725,123.81,127.33,95888117,adjusted
2023-06-15,125.39,125.7,122.26,124.24,85587115,adjusted
2023-06-16,125.82,125.85,119.9,120.08,82007083,adjusted
2023-06-20,119.085,121.75,117.7,118.93,58851777,adjusted
2023-06-21,118.485,119.1888,111.67,112.11,82835622,adjusted
2023-06-22,112.24,114.0,109.85,110.7,70754783,adjusted
2023-06-23,109.31,111.0957,107.46,110.01,73621951,adjusted
2023-06-26,110.95,112.55,107.2,107.51,68556976,adjusted
2023-06-27,108.565,110.97,107.08,110.39,59381646,adjusted
2023-06-28,108.21,111.78,107.63,110.17,67534134,adjusted
2023-06-29,112.065,112.7599,109.84,111.24,58347174,adjusted
2023-06-30,113.03,114.69,112.41,113.91,53378774,adjusted
2023-07-03,115.16,116.73,114.51,115.82,31859976,adjusted
2023-07-05,116.1,117.662,113.855,113.95,49501584,adjusted
2023-07-06,112.07,113.79,110.31,113.48,42411840,adjusted
2023-07-07,114.16,115.33,113.04,113.17,37211287,adjusted
2023-07-10,113.0,113.61,109.88,113.58,49330204,adjusted
2023-07-11,111.66,113.27,109.5,111.32,59899536,adjusted
2023-07-12,112.89,115.3999,112.3101,114.58,57993090,adjusted
