Date,Open,High,Low,Close,Volume,PriceMode
2023-04-11,647.8292225573,650.9497872132,637.6305399301,638.4046334881,787448,adjusted
2023-04-12,647.3454140835,650.2385887567,632.521522447,633.4601108861,897284,adjusted
2023-04-13,640.8817328739,649.1548577755,638.4820428439,643.8619930723,1118638,adjusted
2023-04-14,643.8619930723,650.8578636032,638.0176834708,644.6264104609,645933,adjusted
2023-04-17,618.055649081,621.3068420248,611.8048435998,618.3459341653,1527346,adjusted
2023-04-18,623.812969919,627.2770385912,616.1398642866,622.4970108703,910261,adjusted
2023-04-19,604.5283641542,607.6150622169,596.9035426075,603.4059284951,2266075,adjusted
2023-04-20,605.1089343228,619.1538943165,605.1089343228,613.0530694622,1692932,adjusted
2023-04-21,614.9302463404,616.507461965,607.4699196748,613.923924715,982051,adjusted
2023-04-24,620.0779685014,620.5424246363,606.6280929304,607.0635205568,1431396,adjusted
2023-04-25,606.1829891346,606.1829891346,586.1436421507,586.1436421507,1404899,adjusted
2023-04-26,593.8458730532,595.2102129493,586.5403650992,589.3754827555,843347,adjusted
2023-04-27,601.6255133116,610.8565789912,592.9266369531,608.8632880793,1126984,adjusted
2023-04-28,610.4308275343,616.7009853545,606.2333052158,616.2365292196,823066,adjusted
2023-05-01,616.215296399,620.3007552932,615.273991143,616.4093799569,469549,adjusted
2023-05-02,614.1483065071,618.660652187,609.9366933002,615.2933994988,738054,adjusted
2023-05-03,615.186653542,625.5798280686,612.0619082595,615.9629877737,582898,adjusted
2023-05-04,613.4301973428,620.4269096058,611.2176447825,616.2638172884,614042,adjusted
2023-05-05,617.8455982855,634.8667263152,615.1479338722,631.0820969357,801536,adjusted
2023-05-08,632.4697943748,635.6236521911,630.0049331892,635.6139480132,518976,adjusted
2023-05-09,621.5525942418,624.8229021928,619.3982667489,624.0271596053,746124,adjusted
2023-05-10,635.0219931615,640.8639082549,632.6153570433,637.7003462608,813707,adjusted
2023-05-11,631.5284891189,632.9841158033,626.0650369634,630.9559426231,560670,adjusted
2023-05-12,630.1310875019,631.7419810326,623.1052627052,628.3552229469,375389,adjusted
2023-05-15,627.7438597395,636.3029446438,625.8030241603,636.2932404659,893445,adjusted
2023-05-16,633.4693246981,638.4087512472,632.2999712617,632.7609197117,710054,adjusted
2023-05-17,637.5547835924,651.5385039406,633.4596205202,650.6651279299,1162722,adjusted
2023-05-18,655.2940207863,676.6238038019,655.0950851395,675.3428523196,1458993,adjusted
2023-05-19,677.3516171441,679.1614463217,673.3146791393,673.4699459856,949713,adjusted
2023-05-22,670.4228341263,678.9042856074,668.4528860134,677.9726845294,856004,adjusted
2023-05-23,670.4131299484,672.8682869561,658.7729685621,661.2912027261,958820,adjusted
2023-05-24,648.2973085233,650.9950699784,641.6180199192,647.0648779305,1159282,adjusted
2023-05-25,680.2822788687,689.957344231,673.2370457161,687.5215955791,1929808,adjusted
2023-05-26,695.4499089202,720.3508294014,694.4649348637,714.1595639038,2349129,adjusted
2023-05-30,721.1465719889,725.0282431473,704.0866272477,706.7164594575,1411133,adjusted
2023-05-31,705.5616622879,708.438951034,692.1796009692,701.5441326389,1344248,adjusted
2023-06-01,702.7765632317,711.0469488436,697.2888506315,705.270536951,992226,adjusted
2023-06-02,708.4049864114,710.8795517749,698.4679082459,703.213251237,813874,adjusted
2023-06-05,703.2035470591,705.1346784604,697.143287963,700.8357276525,663685,adjusted
2023-06-06,686.8131905927,696.4106225319,682.1503331136,695.4305005644,845359,adjusted
2023-06-07,692.2572343924,698.8463711838,684.6976798114,689.2004183551,921363,adjusted
2023-06-08,690.0640901879,699.108383987,687.4148496223,698.7493294048,763385,adjusted
2023-06-09,699.2442424775,704.1411647274,691.5294210502,694.6832788664,864810,adjusted
