Date,Open,High,Low,Close,Volume,PriceMode
2023-04-11,60.621022257,60.6306327428,59.6638178725,59.7358965159,16517620,adjusted
2023-04-12,60.2904215459,60.3077204203,59.2255797205,59.267865858,14112000,adjusted
2023-04-13,59.4956343712,60.2096934652,59.3072688497,59.9924964864,17264970,adjusted
2023-04-14,59.6311422208,60.3567338978,59.1246696197,59.5408036544,17465940,adjusted
2023-04-17,59.4514261365,60.3865264038,59.3745422502,60.292343643,13179670,adjusted
2023-04-18,60.7017503376,61.0746371862,60.2705374508,60.7690237381,16807300,adjusted
2023-04-19,60.237563874,61.1986124529,60.1183938503,60.9785323283,19061660,adjusted
2023-04-20,60.340396072,61.7694753087,60.2712005743,60.8362971387,20239270,adjusted
2023-04-21,60.6037233826,60.9112589278,59.7762605562,60.8247645557,14807150,adjusted
2023-04-24,60.8958821506,61.3965884601,60.7176076392,60.9823765226,12337710,adjusted
2023-04-25,60.9295188508,61.1217285666,59.7522343417,59.7791437019,23669800,adjusted
2023-04-26,59.5821287433,59.8853972328,58.9612913613,59.2188523805,17094620,adjusted
2023-04-27,59.2188523805,59.5936613262,57.9733334223,59.432205165,18249880,adjusted
2023-04-28,59.4956343712,60.2366028255,59.0622014621,60.2096934652,16183050,adjusted
2023-05-01,60.2096934652,61.4100431402,60.1808620079,61.310094088,17029890,adjusted
2023-05-02,60.1385758704,60.2096934652,58.1453611179,58.8488486776,28357480,adjusted
2023-05-03,59.2870868295,59.7724163619,58.8546149691,58.9314988554,19815580,adjusted
2023-05-04,58.6239633101,59.0045385474,57.786889998,58.6393400874,17684380,adjusted
2023-05-05,59.1957872146,60.6873346089,58.9478366812,60.5575930508,24876340,adjusted
2023-05-08,60.5249173991,60.6162170141,59.6407527066,60.4557219014,13935030,adjusted
2023-05-09,59.847378151,59.9761586606,59.1871377773,59.4418156507,16990480,adjusted
2023-05-10,59.7829878962,60.3538507521,59.4187504849,60.1875893479,19175440,adjusted
2023-05-11,60.2173818539,60.3999810839,59.3918411246,60.322136149,14429940,adjusted
2023-05-12,60.3903705981,60.8055435841,59.9896133407,60.6565810544,11942460,adjusted
2023-05-15,60.7257765521,61.5090311439,60.3990200353,61.4878880751,14613570,adjusted
2023-05-16,61.5513172813,62.1711936147,61.3850558772,61.6455000421,14969300,adjusted
2023-05-17,62.2134797522,63.5157005765,61.9472692958,63.186060914,24132980,adjusted
2023-05-18,63.0447867729,65.2897962531,63.0447867729,65.1494831606,26388890,adjusted
2023-05-19,65.3513033621,65.8270224087,65.1984966381,65.5675392924,22967900,adjusted
2023-05-22,65.4858501632,65.801074097,64.7862067978,65.1946524438,17797760,adjusted
2023-05-23,66.37385905,67.1763346134,65.5454351751,65.9759849384,36088020,adjusted
2023-05-24,65.4896943575,65.7655152996,64.9726502221,65.3061340789,23020960,adjusted
2023-05-25,67.2166986537,70.3862368667,66.3863526815,70.0412204269,49262570,adjusted
2023-05-26,71.8311734051,78.3235370795,71.7922509376,78.1073011493,82500380,adjusted
2023-05-30,80.2590889173,88.5875262912,76.7695215275,77.2048765337,116912010,adjusted
2023-05-31,76.3937515332,78.9664785788,75.9353313611,77.6488809771,89838120,adjusted
2023-06-01,76.9434713203,77.4403334355,75.4576902174,75.9180324866,80792280,adjusted
2023-06-02,75.9843448386,79.1682987803,75.6537441274,78.037144603,62814840,adjusted
2023-06-05,77.7680510009,77.7680510009,76.3533874929,77.1049274815,26221960,adjusted
2023-06-06,77.0760960242,77.0760960242,74.6138895651,75.9228377295,37823450,adjusted
2023-06-07,75.9055388551,77.4076577839,75.6835366334,76.1755935058,28956990,adjusted
2023-06-08,76.3947125817,77.3653716464,75.8055898029,77.2875267115,21917170,adjusted
2023-06-09,77.4412944841,78.5896418205,77.256773157,77.3278907518,19246880,adjusted
2023-06-12,77.9525723281,82.4579680657,77.9525723281,82.2042512409,51097880,adjusted
2023-06-13,82.7587762709,82.9634796182,80.8241854817,81.7967666435,38990270,adjusted
2023-06-14,82.2561478642,85.3930104256,81.4219576977,85.166202961,43523960,adjusted
2023-06-15,84.9960973625,85.3382306566,83.7092533154,84.9019146018,33813530,adjusted
2023-06-16,85.4636474961,85.5285182752,83.1734687327,83.429588179,68298940,adjusted
2023-06-20,82.9058167035,84.2906877056,82.7472629089,83.4218997903,27537230,adjusted
2023-06-21,83.0986958404,83.6784541835,81.6106494265,81.9063261815,23228810,adjusted
2023-06-22,81.6579963579,82.0271091696,80.7129902587,81.4009701591,23473260,adjusted
2023-06-23,80.587375951,80.7815949959,79.1225198708,79.4413869595,37413250,adjusted
2023-06-26,79.7167721725,80.8762888586,79.2548980258,79.3911412364,21372150,adjusted
2023-06-27,80.0723572896,82.1324319353,79.3302666104,81.9778297105,24922720,adjusted
2023-06-28,81.0434525142,82.9566550463,80.882086442,81.9333815708,19444750,adjusted
2023-06-29,82.5624193731,83.3731147894,81.7855431933,83.347025664,23385980,adjusted
2023-06-30,83.9219526876,84.5065423502,83.5170881113,83.8166299219,23145170,adjusted
2023-07-03,83.9316153266,84.7152553537,83.5740976817,84.6872337004,9038300,adjusted
2023-07-05,83.8137311302,84.73168184,83.2677920238,83.2784209267,14446420,adjusted
2023-07-06,81.6492999827,82.5092748583,81.5845603011,81.9391791542,23950050,adjusted
2023-07-07,82.1739812832,82.9044767955,81.6164470099,81.8183961661,19408660,adjusted
2023-07-10,81.9662345436,84.9510237465,81.9662345436,84.8118817442,30621750,adjusted
2023-07-11,85.1384789441,85.3211028222,83.5460760285,85.2293077512,25504460,adjusted
2023-07-12,85.9008611652,86.7308818597,85.2244764317,85.9926562362,28196750,adjusted
2023-07-13,86.8613274869,86.8613274869,84.864059995,86.0322730563,25911990,adjusted
2023-07-14,85.6264422162,87.2874498691,85.6264422162,85.8602780812,18510360,adjusted
2023-07-17,86.0950802102,88.2401860795,85.9762297498,87.9638346027,26825210,adjusted
2023-07-18,87.5415772761,87.9203527269,86.795631204,87.2951799803,24518350,adjusted
2023-07-19,86.6999614148,87.5401278803,85.5752302292,87.0961296159,24117560,adjusted
2023-07-20,86.2429185877,87.6401265318,85.6109819937,85.8370877475,28268310,adjusted
2023-07-21,87.3976039543,88.0411357151,86.3675666314,86.6497156917,74286760,adjusted
2023-07-24,87.0410525733,87.4893990253,86.4062171876,87.1173874218,19993820,adjusted
2023-07-25,87.023659823,89.2035511929,87.023659823,88.7020602262,20041610,adjusted
2023-07-26,87.8333889755,87.9899237281,85.7704155381,86.2960631024,19876670,adjusted
2023-07-27,87.7850757802,87.9155214074,85.6109819937,86.3385787143,21921780,adjusted
2023-07-28,86.8980455153,87.3077414111,86.3791617983,86.9434599189,18794260,adjusted
2023-07-31,86.7221854846,87.0603778514,86.0941139463,86.8333058337,14966920,adjusted
2023-08-01,86.8651925426,88.9561876332,86.7415880638,88.8962792711,19706750,adjusted
2023-08-02,88.1522560642,88.2198945375,86.025509209,86.2197282539,26889570,adjusted
2023-08-03,85.6708903558,86.5125062172,85.1355801524,85.5124230754,18292640,adjusted
2023-08-04,85.5124230754,86.3472750894,84.3907356211,85.190657195,21157850,adjusted
2023-08-07,85.7733143298,86.7096240538,85.5400582231,86.6796698728,11145650,adjusted
2023-08-08,86.0061839309,86.0554633901,84.3934894733,85.3365630447,14080910,adjusted
2023-08-09,85.2940474328,85.3723148091,82.0087598181,82.2029692003,24672480,adjusted
2023-08-10,82.4339062737,83.2436354262,80.883052706,81.4463845626,20186130,adjusted
2023-08-11,80.587375951,80.8183130243,79.5699000589,80.1767137913,20331260,adjusted
2023-08-14,80.3090919463,82.5363302476,79.9467429819,82.5286001364,17688000,adjusted
2023-08-15,82.0560970868,82.5788458594,80.8241106077,81.4096665342,14036350,adjusted
2023-08-16,81.9188876122,82.5672506926,80.3892918504,80.4888170327,16003010,adjusted
2023-08-17,80.8289419273,81.1101247237,79.9109912174,79.9196875925,19227770,adjusted
2023-08-18,79.2336402199,80.0230778304,78.4606290958,79.7979383405,17758690,adjusted
2023-08-21,80.5922072705,83.8079335468,80.3709328362,83.5953554876,30011630,adjusted
2023-08-22,84.3944557372,84.5239351004,82.2174631589,82.6918987363,17081640,adjusted
2023-08-23,82.206834256,84.8563298838,82.1324319353,84.7007613951,19692050,adjusted
2023-08-24,87.1908234786,87.9160045394,82.3701328559,82.563385637,30934310,adjusted
2023-08-25,82.8107491967,84.0108489668,80.9410285403,82.308291966,24180530,adjusted
2023-08-28,82.7498745706,83.4977531706,81.8531816667,83.2030523421,14305960,adjusted
2023-08-29,82.9440936156,86.2714233729,82.7527636997,85.9907237084,27822390,adjusted
2023-08-30,86.2284246291,86.8391034171,84.9452261631,86.2177957261,23234240,adjusted
2023-08-31,86.7714649438,89.2508981243,86.361769048,89.1755295397,55202850,adjusted
2023-09-01,87.1444428111,87.1444428111,83.5489748202,84.3084582496,65017160,adjusted
2023-09-05,84.0176128142,85.3211028222,83.775080574,84.2746390129,24808070,adjusted
2023-09-06,84.3065257218,84.7770962436,83.7499577124,84.284301652,20142460,adjusted
2023-09-07,83.0503826451,83.2619944404,81.2164137532,82.8117154606,27789200,adjusted
2023-09-08,82.6155638878,83.1788957445,82.1440271021,82.8619611836,16819000,adjusted
2023-09-11,83.9461092852,83.968333355,81.7121071365,83.0155971446,15710390,adjusted
2023-09-12,82.155622269,82.9310490529,81.3265678384,81.6029193153,16680270,adjusted
2023-09-13,81.8609117779,83.0126983528,81.5758639259,82.4155472595,17412630,adjusted
2023-09-14,83.0049682416,84.7094577702,82.6155638878,84.223427026,19648280,adjusted
2023-09-15,83.887167187,83.887167187,81.4463845626,82.2947642713,50189580,adjusted
2023-09-18,81.4154641177,82.7440769872,81.1661680302,82.1324319353,16540860,adjusted
2023-09-19,81.7449601093,82.2319571175,81.0212284444,82.0551308229,13131960,adjusted
2023-09-20,82.5863397242,82.5863397242,80.6780870246,80.699462564,13701710,adjusted
2023-09-21,77.254114258,79.915368914,77.2521710271,78.5415046994,53671650,adjusted
2023-09-22,78.8213299426,80.7004244633,78.7377710158,80.5546918653,27795010,adjusted
2023-09-25,80.4497573991,81.4757735744,79.9649213008,81.0220388859,15647580,adjusted
2023-09-26,80.5634364041,80.6698282934,78.8184150963,79.3022795792,17641380,adjusted
2023-09-27,79.6005655154,80.0300195344,78.1548114754,79.3625197357,15352680,adjusted
2023-09-28,79.6889825194,81.5049317534,79.1555656496,80.8384035701,16179940,adjusted
2023-09-29,81.2707724354,82.0082285449,79.9552051465,80.7004341794,16481040,adjusted
2023-10-02,80.5527486344,81.4757832906,80.0125304567,81.1250301212,14675780,adjusted
2023-10-03,80.3525958564,81.2027593554,78.594943548,79.1701398811,18760860,adjusted
2023-10-04,79.7045283662,80.7004341794,79.3132102528,80.042650535,16417060,adjusted
2023-10-05,79.6831528268,80.510969171,79.2333046,80.0475086121,11474240,adjusted
2023-10-06,79.6141681314,82.4303954481,78.8679674831,82.126765627,21103190,adjusted
2023-10-09,81.6603902218,83.2295491373,81.4048553644,83.158621211,15759850,adjusted
2023-10-10,83.2820163703,84.777818321,83.1430753642,83.4044399142,14718070,adjusted
2023-10-11,83.5307499198,85.049384833,83.2237194447,84.9735988297,14334120,adjusted
2023-10-12,85.1552909146,89.1874949388,85.1552909146,87.9894931167,43870550,adjusted
2023-10-13,88.3198423621,89.96284405,85.7052252466,85.8111313282,28333520,adjusted
2023-10-16,86.5680197462,88.9790834296,86.5680197462,87.6950936422,21150480,adjusted
2023-10-17,86.0025395674,86.7633144472,84.1418960237,85.9296684103,33008340,adjusted
2023-10-18,85.4968137374,87.0207925355,85.035782217,86.1852032678,20404340,adjusted
2023-10-19,86.1842316524,86.424220663,84.1098327146,84.3197016469,26619700,adjusted
2023-10-20,85.0066337542,85.0066337542,82.7660885783,82.9400077399,26953070,adjusted
2023-10-23,83.36071722,84.8803140325,81.8896914627,83.7746253921,16455790,adjusted
2023-10-24,83.9475729382,85.7936422505,83.8620707806,85.6100069347,14972440,adjusted
2023-10-25,85.217474302,85.3787624629,82.2064380921,82.5513615688,21431600,adjusted
2023-10-26,82.3842437153,83.0162795509,79.5111768961,80.3283054707,27916560,adjusted
2023-10-27,80.6440804846,81.6360998361,80.5022246322,81.456350982,18236280,adjusted
2023-10-30,81.7225736092,82.5319292603,80.3671700878,81.7371478406,20889460,adjusted
2023-10-31,81.9936543134,82.1500843973,80.8967004958,81.7488072257,14747200,adjusted
2023-11-01,81.8100189976,82.9589542407,81.1852702777,82.8729662754,18683910,adjusted
2023-11-02,83.7532498527,85.5507383936,83.5589267672,84.6568522003,18759450,adjusted
2023-11-03,85.2592537654,86.2308691929,84.6332127969,85.7625505568,18041290,adjusted
2023-11-06,85.6537296289,86.074439109,84.6481076614,85.5828017027,12871480,adjusted
2023-11-07,85.7275724014,87.617364408,85.1285714904,87.2335763141,19366650,adjusted
2023-11-08,87.4453884773,88.6995885358,87.3482269345,88.5267964481,15279940,adjusted
2023-11-09,88.6599077617,90.3407927352,88.2770912832,88.5510868338,24486210,adjusted
2023-11-10,89.5576804167,93.1730614226,89.2147001708,93.0341204164,36287920,adjusted
2023-11-13,92.3083236921,92.5366533175,91.3784877279,92.0051796787,16892970,adjusted
2023-11-14,93.5024390525,94.9044801144,92.8137677536,94.5342946365,23885580,adjusted
2023-11-15,95.1707027415,95.3883445973,93.9464673029,94.7713688008,16099480,adjusted
2023-11-16,93.6637272135,94.1203864644,92.3539896171,93.2313583482,26198030,adjusted
2023-11-17,93.1011618809,95.5962702988,92.4006271577,94.9977551954,19794610,adjusted
2023-11-20,94.5381810982,97.148911752,94.5381810982,96.7447197341,18680340,adjusted
2023-11-21,94.7325041837,96.2870888678,94.4050697847,95.3349057488,43343840,adjusted
2023-11-22,95.5768379902,95.9946229079,94.3438580127,94.4410195555,33750920,adjusted
2023-11-24,94.728617722,95.2047092815,93.930921456,95.1085193542,23157890,adjusted
2023-11-27,94.8442399579,95.3164450557,92.2383673813,92.3267843852,96962020,adjusted
2023-11-28,91.3260204948,92.3870245417,90.7644267777,91.9488259839,39024940,adjusted
2023-11-29,92.1421774539,93.2196892469,91.2706384155,91.4124942679,34842740,adjusted
2023-11-30,91.4290117301,91.5664953131,89.2302460177,89.9453549723,49571100,adjusted
2023-12-01,89.6276367275,90.7391647766,88.2226808193,90.3602347599,29612440,adjusted
2023-12-04,89.4508027197,90.4544814563,89.0427242401,89.7743506571,25009210,adjusted
2023-12-05,88.5724623732,89.1233683206,88.0132976947,88.7201479182,37065930,adjusted
2023-12-06,89.4235974877,89.4828660288,87.7465892598,87.7990564929,24466500,adjusted
2023-12-07,87.9836634241,89.7889248885,87.7990564929,89.608204419,43516890,adjusted
2023-12-08,90.1503658275,92.3743935411,88.4681303086,91.7496448212,69668420,adjusted
