Date,Open,High,Low,Close,Volume,PriceMode
2023-04-28,3.0,3.1,2.58,2.67,1119872,adjusted
2023-05-01,2.7,2.7,2.47,2.6,626114,adjusted
2023-05-02,2.6,2.69,2.52,2.67,424790,adjusted
2023-05-03,2.67,2.86,2.65,2.8,339013,adjusted
2023-05-04,2.74,2.83,2.71,2.78,198881,adjusted
2023-05-05,2.78,2.91,2.78,2.89,290239,adjusted
2023-05-08,2.89,3.105,2.855,3.08,295015,adjusted
2023-05-09,3.02,3.03,2.9,2.94,428898,adjusted
2023-05-10,2.98,3.08,2.9599,3.07,232244,adjusted
2023-05-11,3.04,3.0599,3.01,3.04,144355,adjusted
2023-05-12,3.03,3.0699,2.96,3.0,186257,adjusted
2023-05-15,3.01,3.21,2.98,3.17,184526,adjusted
2023-05-16,3.16,3.24,3.145,3.21,154756,adjusted
2023-05-17,3.21,3.36,3.21,3.36,154002,adjusted
2023-05-18,3.36,3.49,3.3494,3.43,244770,adjusted
2023-05-19,3.48,3.495,3.39,3.4,251350,adjusted
2023-05-22,3.4,3.455,3.365,3.43,189204,adjusted
2023-05-23,3.4,3.44,3.32,3.34,124867,adjusted
2023-05-24,3.32,3.33,3.2,3.3,247748,adjusted
2023-05-25,3.38,3.38,3.25,3.34,179174,adjusted
2023-05-26,3.34,3.71,3.32,3.66,328794,adjusted
2023-05-30,3.7,3.71,3.5,3.61,241094,adjusted
2023-05-31,3.6,3.61,3.385,3.41,218534,adjusted
2023-06-01,3.4,3.42,3.299,3.38,391172,adjusted
2023-06-02,3.41,3.49,3.38,3.48,321513,adjusted
2023-06-05,3.45,3.5,3.31,3.31,316383,adjusted
2023-06-06,3.31,3.61,3.3,3.57,381828,adjusted
2023-06-07,3.58,3.91,3.58,3.83,494191,adjusted
2023-06-08,3.84,3.845,3.55,3.6,316724,adjusted
2023-06-09,3.6,3.785,3.51,3.74,412140,adjusted
2023-06-12,3.76,3.9001,3.71,3.83,324485,adjusted
2023-06-13,3.88,3.8876,3.67,3.72,252644,adjusted
2023-06-14,3.79,4.015,3.73,3.75,541938,adjusted
2023-06-15,3.72,3.72,3.575,3.6,395219,adjusted
2023-06-16,3.61,3.61,3.515,3.59,454815,adjusted
2023-06-20,3.58,3.59,3.315,3.38,464133,adjusted
2023-06-21,3.38,3.4,3.28,3.3,387676,adjusted
2023-06-22,3.25,3.35,3.225,3.34,382901,adjusted
2023-06-23,3.26,3.4,3.24,3.28,5623325,adjusted
2023-06-26,3.32,3.56,3.32,3.35,558140,adjusted
2023-06-27,3.35,3.5,3.325,3.46,254394,adjusted
2023-06-28,3.43,3.455,3.3,3.31,215610,adjusted
2023-06-29,3.31,3.46,3.309,3.46,206273,adjusted
2023-06-30,3.47,3.56,3.41,3.44,216308,adjusted
2023-07-03,3.58,3.625,3.43,3.51,229010,adjusted
2023-07-05,3.48,3.5,2.8199,2.84,3196899,adjusted
2023-07-06,2.77,2.88,2.685,2.7,944295,adjusted
2023-07-07,2.69,2.91,2.68,2.9,752468,adjusted
2023-07-10,2.89,2.93,2.81,2.9,553542,adjusted
2023-07-11,2.85,2.91,2.77,2.84,446237,adjusted
2023-07-12,2.86,2.91,2.8,2.86,341587,adjusted
2023-07-13,2.86,3.11,2.86,3.1,534931,adjusted
2023-07-14,3.08,3.11,2.95,3.0,295918,adjusted
2023-07-17,2.96,3.01,2.92,2.94,238141,adjusted
2023-07-18,2.91,3.05,2.9,2.95,349105,adjusted
2023-07-19,2.95,3.02,2.93,3.02,179519,adjusted
2023-07-20,2.97,3.03,2.955,3.02,309405,adjusted
2023-07-21,3.03,3.07,2.97,3.03,194461,adjusted
2023-07-24,3.02,3.07,2.955,3.0,170141,adjusted
2023-07-25,3.0,3.045,2.92,2.92,256783,adjusted
2023-07-26,2.93,3.0133,2.885,2.98,296340,adjusted
2023-07-27,3.03,3.06,2.92,2.92,169821,adjusted
2023-07-28,2.92,3.01,2.92,2.99,158361,adjusted
2023-07-31,2.99,3.12,2.989,3.11,234079,adjusted
2023-08-01,3.12,3.12,2.995,3.08,212928,adjusted
2023-08-02,3.04,3.04,2.87,2.99,466246,adjusted
2023-08-03,2.95,3.0975,2.93,2.96,330239,adjusted
2023-08-04,2.86,3.0339,2.68,2.92,570106,adjusted
2023-08-07,2.94,2.94,2.67,2.75,485916,adjusted
2023-08-08,2.72,2.7309,2.625,2.68,240551,adjusted
2023-08-09,2.67,2.68,2.56,2.58,410107,adjusted
2023-08-10,2.58,2.69,2.57,2.66,248830,adjusted
2023-08-11,2.66,2.66,2.59,2.6,179166,adjusted
2023-08-14,2.61,2.61,2.54,2.55,210376,adjusted
2023-08-15,2.53,2.55,2.39,2.41,441763,adjusted
2023-08-16,2.42,2.46,2.4099,2.43,177835,adjusted
2023-08-17,2.43,2.43,2.37,2.38,87895,adjusted
2023-08-18,2.35,2.38,2.27,2.34,552566,adjusted
2023-08-21,2.31,2.42,2.3,2.4,120424,adjusted
2023-08-22,2.47,2.47,2.37,2.4,188998,adjusted
2023-08-23,2.41,2.43,2.35,2.38,296252,adjusted
2023-08-24,2.4,2.4,2.22,2.25,312523,adjusted
2023-08-25,2.25,2.31,2.2,2.28,507714,adjusted
2023-08-28,2.29,2.41,2.29,2.4,223943,adjusted
2023-08-29,2.39,2.56,2.37,2.54,251943,adjusted
2023-08-30,2.51,2.58,2.48,2.56,120480,adjusted
2023-08-31,2.54,2.61,2.52,2.6,123834,adjusted
2023-09-01,2.61,2.66,2.6,2.64,141081,adjusted
2023-09-05,2.59,2.61,2.53,2.55,113607,adjusted
2023-09-06,2.56,2.63,2.51,2.56,161868,adjusted
2023-09-07,2.51,2.56,2.36,2.385,275005,adjusted
2023-09-08,2.41,2.41,2.3225,2.37,204024,adjusted
2023-09-11,2.38,2.425,2.3631,2.41,112901,adjusted
2023-09-12,2.4,2.4169,2.37,2.4,114602,adjusted
2023-09-13,2.42,2.42,2.36,2.37,156081,adjusted
2023-09-14,2.35,2.4101,2.35,2.38,105989,adjusted
2023-09-15,2.34,2.37,2.31,2.32,252992,adjusted
2023-09-18,2.33,2.34,2.29,2.32,116648,adjusted
2023-09-19,2.32,2.35,2.295,2.32,115430,adjusted
2023-09-20,2.32,2.35,2.3,2.32,188441,adjusted
2023-09-21,2.32,2.355,2.2899,2.34,219693,adjusted
2023-09-22,2.37,2.38,2.325,2.35,146862,adjusted
2023-09-25,2.33,2.37,2.32,2.37,86831,adjusted
2023-09-26,2.36,2.36,2.28,2.3,218947,adjusted
2023-09-27,2.35,2.365,2.31,2.34,88191,adjusted
2023-09-28,2.35,2.38,2.325,2.35,113116,adjusted
2023-09-29,2.3846,2.45,2.35,2.4,589393,adjusted
2023-10-02,2.41,2.41,2.37,2.39,109129,adjusted
2023-10-03,2.39,2.4182,2.3609,2.4,120051,adjusted
2023-10-04,2.39,2.52,2.385,2.51,102333,adjusted
2023-10-05,2.5,2.525,2.49,2.5,134452,adjusted
2023-10-06,2.5,2.5,2.435,2.49,78792,adjusted
2023-10-09,2.47,2.47,2.3966,2.43,126976,adjusted
2023-10-10,2.42,2.51,2.41,2.48,94389,adjusted
2023-10-11,2.51,2.5434,2.45,2.49,155956,adjusted
2023-10-12,2.49,2.495,2.42,2.44,150042,adjusted
2023-10-13,2.43,2.43,2.3,2.33,105302,adjusted
2023-10-16,2.32,2.38,2.3,2.35,200871,adjusted
2023-10-17,2.35,2.3791,2.32,2.34,156627,adjusted
2023-10-18,2.33,2.33,2.255,2.28,200792,adjusted
2023-10-19,2.29,2.325,2.26,2.28,146446,adjusted
2023-10-20,2.3,2.31,2.21,2.24,167556,adjusted
2023-10-23,2.25,2.29,2.23,2.25,118086,adjusted
2023-10-24,2.28,2.28,2.155,2.21,257148,adjusted
2023-10-25,2.21,2.21,2.125,2.14,248356,adjusted
2023-10-26,2.12,2.16,2.0799,2.08,393136,adjusted
2023-10-27,2.09,2.12,2.06,2.07,192528,adjusted
2023-10-30,2.09,2.095,2.01,2.03,128190,adjusted
2023-10-31,2.0,2.095,1.9808,1.99,362649,adjusted
2023-11-01,1.98,2.01,1.895,1.93,361577,adjusted
2023-11-02,1.89,2.1,1.89,2.05,327578,adjusted
2023-11-03,2.01,2.281,2.01,2.25,258786,adjusted
2023-11-06,2.23,2.31,2.23,2.3,98514,adjusted
2023-11-07,2.27,2.275,2.15,2.17,88799,adjusted
2023-11-08,2.2,2.2,2.1,2.1,275356,adjusted
2023-11-09,2.09,2.145,2.05,2.07,303275,adjusted
2023-11-10,2.08,2.09,1.95,1.98,109504,adjusted
2023-11-13,1.98,2.02,1.97,2.01,83715,adjusted
2023-11-14,2.07,2.15,2.07,2.1,106958,adjusted
2023-11-15,2.14,2.2,2.105,2.13,137937,adjusted
2023-11-16,2.14,2.15,2.02,2.03,140571,adjusted
2023-11-17,2.02,2.05,1.98,2.04,79079,adjusted
2023-11-20,2.03,2.05,2.02,2.05,79744,adjusted
2023-11-21,2.05,2.06,1.98,1.99,80590,adjusted
2023-11-22,1.98,2.02,1.935,1.98,81669,adjusted
2023-11-24,2.0,2.009,1.98,1.99,14937,adjusted
2023-11-27,1.96,2.06,1.95,1.98,461744,adjusted
2023-11-28,2.0,2.09,1.97,2.08,188067,adjusted
