Date,Open,High,Low,Close,Volume,PriceMode
2023-04-17,18.0,18.65,18.0,18.64,2977234,adjusted
2023-04-18,18.68,18.77,17.88,18.3,3495889,adjusted
2023-04-19,18.05,18.625,17.97,18.42,2123779,adjusted
2023-04-20,17.98,18.355,17.72,18.14,2795610,adjusted
2023-04-21,18.07,18.17,17.76,17.85,12412379,adjusted
2023-04-24,17.81,18.24,17.57,17.88,2426315,adjusted
2023-04-25,17.705,17.705,16.95,17.02,2280151,adjusted
2023-04-26,16.85,16.94,16.2701,16.45,3248942,adjusted
2023-04-27,16.75,17.0743,16.57,16.68,2310399,adjusted
2023-04-28,16.51,16.74,16.36,16.65,2097889,adjusted
2023-05-01,16.71,16.93,16.27,16.52,2420884,adjusted
2023-05-02,16.37,16.475,15.92,15.96,3005813,adjusted
2023-05-03,16.04,16.925,15.98,16.5,3567624,adjusted
2023-05-04,16.45,16.53,15.945,16.14,2957997,adjusted
2023-05-05,16.5,17.1901,16.425,17.0,2275240,adjusted
2023-05-08,17.32,17.32,16.73,16.95,1596680,adjusted
2023-05-09,16.5,16.81,16.35,16.61,2553380,adjusted
2023-05-10,17.57,17.57,15.11,15.2,6007025,adjusted
2023-05-11,13.9,14.19,12.52,13.23,20736789,adjusted
2023-05-12,13.08,13.265,12.332,12.72,20146144,adjusted
2023-05-15,12.7,13.2,12.48,13.13,10668012,adjusted
2023-05-16,13.18,13.35,12.97,13.12,6389821,adjusted
2023-05-17,13.22,14.1,13.2,13.79,6503752,adjusted
2023-05-18,13.65,13.835,13.24,13.65,4378934,adjusted
2023-05-19,14.4,14.77,13.75,13.94,9704349,adjusted
2023-05-22,14.05,15.04,13.83,14.78,8156485,adjusted
2023-05-23,14.71,15.16,14.51,14.83,5037012,adjusted
2023-05-24,14.53,14.53,13.63,13.8,5806673,adjusted
2023-05-25,13.99,14.19,13.51,13.55,3829265,adjusted
2023-05-26,13.52,14.09,13.3499,13.99,5232574,adjusted
2023-05-30,14.16,14.35,13.715,13.95,4420388,adjusted
2023-05-31,13.8,14.065,13.55,13.72,3245025,adjusted
2023-06-01,13.75,14.27,13.41,13.96,3916292,adjusted
2023-06-02,14.38,14.65,14.125,14.42,5816507,adjusted
2023-06-05,14.25,14.5245,14.04,14.18,2543165,adjusted
2023-06-06,14.0,15.385,13.9,15.12,6448182,adjusted
2023-06-07,15.31,15.91,15.14,15.78,9889782,adjusted
2023-06-08,15.81,15.86,15.05,15.21,6646014,adjusted
2023-06-09,15.15,15.32,14.78,15.14,7231533,adjusted
2023-06-12,15.29,16.97,15.135,16.85,11559577,adjusted
2023-06-13,17.13,17.855,16.855,17.66,9176276,adjusted
2023-06-14,17.71,17.97,16.79,16.85,6150362,adjusted
2023-06-15,16.46,17.43,16.17,17.34,6522290,adjusted
2023-06-16,17.68,17.68,16.81,17.16,4691137,adjusted
2023-06-20,16.99,17.15,16.27,16.87,6130862,adjusted
2023-06-21,16.73,16.92,16.225,16.5,2993630,adjusted
2023-06-22,16.32,16.41,15.83,16.23,3192348,adjusted
2023-06-23,15.98,15.98,15.4,15.44,6269142,adjusted
2023-06-26,15.39,15.92,15.31,15.51,2114207,adjusted
2023-06-27,15.74,15.99,15.525,15.99,3135995,adjusted
2023-06-28,15.98,16.78,15.93,16.18,3486199,adjusted
2023-06-29,16.16,16.84,16.0599,16.25,3705526,adjusted
2023-06-30,16.42,16.4899,16.15,16.35,3258721,adjusted
2023-07-03,16.52,16.81,16.215,16.32,1264836,adjusted
2023-07-05,16.15,16.56,15.83,16.25,2601228,adjusted
2023-07-06,16.0,16.01,15.13,15.55,3250923,adjusted
2023-07-07,16.115,17.12,15.91,16.69,4709489,adjusted
2023-07-10,16.415,17.38,16.4,17.37,2834779,adjusted
2023-07-11,17.45,17.8,17.1902,17.67,3505956,adjusted
2023-07-12,18.05,18.06,17.55,17.59,2906493,adjusted
2023-07-13,17.9,18.29,17.715,17.93,3648477,adjusted
2023-07-14,18.04,18.64,17.375,17.59,3833877,adjusted
2023-07-17,17.69,18.705,17.55,18.42,4040047,adjusted
2023-07-18,18.43,18.76,17.835,18.2,5204912,adjusted
2023-07-19,18.42,18.6852,17.685,17.77,3598734,adjusted
2023-07-20,17.6,17.725,17.285,17.39,4123703,adjusted
2023-07-21,17.6,17.64,17.095,17.57,2953334,adjusted
2023-07-24,17.7,18.08,17.4005,17.8,2992236,adjusted
2023-07-25,17.6,17.8,17.28,17.45,3470447,adjusted
2023-07-26,17.25,18.2,17.1,17.89,4616747,adjusted
2023-07-27,18.13,18.2,17.0725,17.28,2979346,adjusted
2023-07-28,17.69,17.79,17.36,17.36,1887662,adjusted
2023-07-31,17.56,18.16,17.55,17.86,3305455,adjusted
2023-08-01,17.6,17.81,17.36,17.67,1771000,adjusted
2023-08-02,17.11,17.138,16.21,16.77,4507134,adjusted
2023-08-03,16.6,16.95,16.465,16.57,4370823,adjusted
2023-08-04,16.1,17.11,15.68,15.88,4468430,adjusted
2023-08-07,15.7,15.815,15.15,15.72,3675550,adjusted
2023-08-08,15.25,15.77,15.02,15.76,3247552,adjusted
2023-08-09,15.85,16.24,15.49,15.57,2143293,adjusted
2023-08-10,15.34,15.7405,14.86,14.97,3825640,adjusted
2023-08-11,14.88,15.1,14.77,15.06,2110361,adjusted
2023-08-14,14.91,15.64,14.73,15.47,2322425,adjusted
2023-08-15,15.26,15.3599,14.79,14.81,3347585,adjusted
2023-08-16,14.74,15.0498,14.59,14.61,2789333,adjusted
2023-08-17,14.64,14.815,14.41,14.45,2356304,adjusted
2023-08-18,14.13,14.825,14.08,14.49,2559588,adjusted
2023-08-21,14.47,14.635,14.115,14.42,2386384,adjusted
2023-08-22,14.67,14.7,14.055,14.26,1804206,adjusted
2023-08-23,14.06,14.86,13.95,14.68,3001960,adjusted
2023-08-24,14.71,14.75,14.23,14.35,1903717,adjusted
2023-08-25,14.47,14.775,14.25,14.46,3003224,adjusted
2023-08-28,14.67,14.965,14.65,14.87,3683614,adjusted
2023-08-29,14.88,15.8799,14.77,15.45,4202010,adjusted
2023-08-30,15.48,15.64,14.96,15.15,2783974,adjusted
2023-08-31,15.21,15.53,14.98,14.99,1931137,adjusted
2023-09-01,15.24,15.4375,15.04,15.16,2103199,adjusted
2023-09-05,15.02,15.325,14.97,15.1,2472081,adjusted
2023-09-06,15.3,15.4,15.05,15.1,2885229,adjusted
2023-09-07,14.78,15.075,14.505,15.05,2204888,adjusted
2023-09-08,14.97,15.1,14.58,14.71,2543326,adjusted
2023-09-11,14.92,15.235,14.6,15.1,2584614,adjusted
2023-09-12,14.95,15.45,14.83,15.41,2400501,adjusted
2023-09-13,15.42,15.45,14.95,15.03,2306996,adjusted
2023-09-14,15.27,15.67,15.2,15.55,2897782,adjusted
2023-09-15,15.48,15.59,14.96,15.12,4657391,adjusted
2023-09-18,15.0,15.06,14.46,14.47,2605434,adjusted
2023-09-19,14.26,14.84,14.24,14.67,3695715,adjusted
2023-09-20,14.89,15.05,14.365,14.4,1890722,adjusted
2023-09-21,14.08,14.19,13.77,13.78,3428452,adjusted
2023-09-22,13.84,14.04,13.56,13.57,2665053,adjusted
2023-09-25,13.71,14.12,13.6,13.73,2632308,adjusted
2023-09-26,13.5,13.76,13.32,13.35,3242857,adjusted
2023-09-27,13.6,13.71,13.28,13.42,2751663,adjusted
2023-09-28,13.47,13.58,13.07,13.23,2699786,adjusted
2023-09-29,13.47,13.71,13.11,13.26,3207223,adjusted
2023-10-02,13.17,13.27,11.97,12.19,5556772,adjusted
2023-10-03,12.01,12.09,11.42,11.54,7093891,adjusted
2023-10-04,11.57,11.68,10.97,11.38,5383009,adjusted
2023-10-05,11.18,11.24,10.675,10.74,5031578,adjusted
2023-10-06,10.56,11.19,10.525,11.13,4837406,adjusted
2023-10-09,10.74,11.075,10.45,10.55,3828551,adjusted
2023-10-10,10.65,11.475,10.55,11.46,6369633,adjusted
2023-10-11,11.84,11.98,11.55,11.84,5923645,adjusted
2023-10-12,11.84,11.89,11.31,11.41,3690621,adjusted
2023-10-13,11.45,12.0,11.25,11.43,4039680,adjusted
2023-10-16,11.65,12.55,11.54,12.39,10597010,adjusted
2023-10-17,12.05,12.57,11.815,12.42,6081392,adjusted
2023-10-18,12.19,12.215,11.8987,12.02,3606963,adjusted
2023-10-19,12.01,12.295,11.83,11.94,4699446,adjusted
2023-10-20,11.7,11.93,11.25,11.31,18672106,adjusted
2023-10-23,11.1,11.465,10.865,11.25,3808850,adjusted
2023-10-24,11.5,11.985,11.4,11.75,5282732,adjusted
2023-10-25,11.6,11.615,11.215,11.35,3931159,adjusted
2023-10-26,11.43,11.61,10.53,10.86,5416234,adjusted
2023-10-27,10.82,10.87,9.68,9.78,7264778,adjusted
2023-10-30,10.03,10.25,9.51,10.01,6205046,adjusted
2023-10-31,10.01,10.48,9.99,10.4,4130975,adjusted
2023-11-01,10.31,10.42,9.86,10.02,5129623,adjusted
2023-11-02,10.26,10.79,10.26,10.76,5127480,adjusted
2023-11-03,11.27,11.55,10.79,10.8,6412429,adjusted
2023-11-06,10.91,10.93,9.955,10.09,4493185,adjusted
2023-11-07,10.0,10.195,9.67,9.93,5233668,adjusted
2023-11-08,9.95,10.23,9.6,10.03,8862639,adjusted
2023-11-09,11.54,12.1,10.815,10.87,15489767,adjusted
2023-11-10,10.52,10.96,9.968,10.54,9710114,adjusted
2023-11-13,10.48,10.875,10.39,10.61,5120045,adjusted
2023-11-14,11.34,12.5,11.26,12.35,9418812,adjusted
2023-11-15,12.54,13.25,12.4,12.53,5818048,adjusted
2023-11-16,12.35,12.655,12.19,12.42,4085526,adjusted
2023-11-17,12.67,12.765,12.225,12.57,4909651,adjusted
2023-11-20,12.57,13.01,12.36,12.86,3052944,adjusted
2023-11-21,12.7,12.89,12.285,12.82,5293646,adjusted
2023-11-22,12.97,13.16,12.65,13.12,3698066,adjusted
2023-11-24,13.15,13.29,13.05,13.21,1539391,adjusted
2023-11-27,13.27,13.33,12.89,13.01,4083833,adjusted
2023-11-28,12.91,13.66,12.7,13.55,4410097,adjusted
2023-11-29,13.88,14.615,13.82,14.31,5008656,adjusted
2023-11-30,14.41,14.89,14.04,14.44,5137285,adjusted
2023-12-01,14.32,15.4,14.1,15.38,4843460,adjusted
2023-12-04,15.31,15.7299,15.24,15.52,4150659,adjusted
2023-12-05,15.27,15.27,14.7001,14.91,4029463,adjusted
2023-12-06,15.08,15.23,14.0,14.21,6914499,adjusted
