Date,Open,High,Low,Close,Volume,PriceMode
2023-04-11,312.56,315.94,311.77,313.7,3109850,adjusted
2023-04-12,315.97,316.92,313.72,314.55,2663461,adjusted
2023-04-13,315.27,318.81,313.26,318.05,3325989,adjusted
2023-04-14,318.89,321.88,318.12,319.74,2976417,adjusted
2023-04-17,320.2,323.98,319.0,323.79,3409485,adjusted
2023-04-18,324.95,325.7242,322.495,324.63,3582623,adjusted
2023-04-19,323.85,324.55,322.76,323.09,2410917,adjusted
2023-04-20,322.2,324.3693,321.324,323.82,2429179,adjusted
2023-04-21,322.36,324.85,321.61,324.33,2405869,adjusted
2023-04-24,324.43,326.395,324.3,326.05,2262391,adjusted
2023-04-25,325.99,327.1,324.11,324.34,2554381,adjusted
2023-04-26,323.31,323.74,319.0,320.53,2613729,adjusted
2023-04-27,322.86,326.91,322.11,326.23,2951130,adjusted
2023-04-28,325.44,328.81,325.19,328.55,2912387,adjusted
2023-05-01,329.16,331.84,328.57,330.17,2465391,adjusted
2023-05-02,330.15,330.25,322.7601,325.86,3369713,adjusted
2023-05-03,327.13,328.07,323.06,323.22,2660456,adjusted
2023-05-04,323.44,325.99,317.41,320.0,3194768,adjusted
2023-05-05,323.36,325.16,322.62,323.88,3876299,adjusted
2023-05-08,328.26,330.69,325.79,326.14,3303393,adjusted
2023-05-09,324.87,326.88,323.48,324.87,2285924,adjusted
2023-05-10,326.08,326.16,320.1501,322.99,2641134,adjusted
2023-05-11,320.995,322.96,319.805,322.64,2549339,adjusted
2023-05-12,323.82,324.2422,320.54,322.49,1938264,adjusted
2023-05-15,322.89,323.83,320.13,323.53,2191609,adjusted
2023-05-16,322.46,324.69,322.355,323.75,2139996,adjusted
2023-05-17,325.02,328.26,324.82,327.39,3047626,adjusted
2023-05-18,326.87,329.98,325.85,329.76,2808329,adjusted
2023-05-19,331.0,333.94,329.12,330.39,4323538,adjusted
2023-05-22,330.75,331.49,328.35,329.13,2763422,adjusted
2023-05-23,328.19,329.27,322.97,323.11,4031342,adjusted
2023-05-24,322.71,323.0,319.56,320.2,3075393,adjusted
2023-05-25,320.56,320.56,317.71,319.02,4251935,adjusted
2023-05-26,320.44,322.63,319.665,320.6,3229873,adjusted
2023-05-30,321.86,322.47,319.0,322.19,3232461,adjusted
2023-05-31,321.12,322.41,319.39,321.08,5559285,adjusted
2023-06-01,321.42,323.22,319.53,323.12,3377699,adjusted
2023-06-02,325.16,330.67,324.42,329.48,3962988,adjusted
2023-06-05,330.89,330.89,327.57,328.58,3091800,adjusted
2023-06-06,329.04,334.16,328.68,333.41,3183994,adjusted
2023-06-07,334.01,335.82,331.43,335.42,3730381,adjusted
2023-06-08,335.49,336.32,334.1,335.95,2759715,adjusted
2023-06-09,335.76,337.59,334.915,335.29,2619487,adjusted
2023-06-12,335.16,335.345,332.22,333.6,2874530,adjusted
2023-06-13,333.22,336.62,332.2,336.39,2953682,adjusted
2023-06-14,337.22,340.38,334.09,335.9,5167308,adjusted
2023-06-15,335.97,341.68,335.54,339.82,4116957,adjusted
2023-06-16,341.02,341.3,337.66,338.31,8487204,adjusted
2023-06-20,338.15,339.28,336.6212,338.67,3752659,adjusted
2023-06-21,337.3,341.35,336.37,338.61,4507761,adjusted
2023-06-22,338.84,338.85,335.66,336.96,3304552,adjusted
2023-06-23,335.1,337.47,334.19,335.25,4453846,adjusted
2023-06-26,335.17,335.825,331.84,334.12,3221884,adjusted
2023-06-27,334.39,336.73,334.37,335.34,2626698,adjusted
2023-06-28,336.05,336.4,332.61,334.15,3216531,adjusted
2023-06-29,334.26,337.01,334.14,336.91,2499138,adjusted
2023-06-30,338.78,342.5,338.4,341.0,4522066,adjusted
2023-07-03,340.75,342.08,338.41,342.0,2047440,adjusted
2023-07-05,340.05,341.89,338.7,341.56,2875644,adjusted
2023-07-06,339.75,341.8,338.91,341.46,2550399,adjusted
