Date,Open,High,Low,Close,Volume,PriceMode
2023-06-12,31.1738810811,32.4727927928,31.1738810811,32.3940708709,176837,adjusted
2023-06-13,32.275987988,32.8664024024,31.906978979,32.6991183183,134007,adjusted
2023-06-14,32.4235915916,32.8270414414,31.9611003003,32.5908756757,144631,adjusted
2023-06-15,32.2267867868,32.7678031952,32.2267867868,32.7187987988,128641,adjusted
2023-06-16,32.7876804805,32.7876804805,31.7347747748,32.1087039039,120433,adjusted
2023-06-20,31.8922186186,32.1283843844,31.621612012,31.8922186186,98443,adjusted
2023-06-21,31.744615015,32.3055087087,31.3805261261,32.1185441441,110059,adjusted
2023-06-22,31.6757333333,32.4155225946,31.6757333333,32.0988636637,67403,adjusted
2023-06-23,31.6068516517,31.7150942943,31.1837213213,31.3018042042,36467,adjusted
2023-06-26,31.045957958,31.621612012,30.9869165165,31.0164372372,74742,adjusted
2023-06-27,31.2821237237,32.7581597598,31.1640408408,32.6991183183,223404,adjusted
2023-06-28,32.2267867868,34.0472312312,32.2267867868,33.752024024,202543,adjusted
2023-06-29,33.6339411411,35.0115747748,33.4666570571,34.9722138138,156302,adjusted
2023-06-30,35.2871015015,36.0152792793,34.9131723724,35.060775976,174261,adjusted
2023-07-03,35.0312552553,35.2379003003,34.0177105105,34.4802018018,69375,adjusted
2023-07-05,34.2145153153,34.2538762763,33.1419291291,33.1911303303,132403,adjusted
2023-07-06,32.8467219219,32.9844852853,32.3350294294,32.6499171171,95135,adjusted
2023-07-07,32.5515147147,33.4371363363,32.5416744745,32.7876804805,88071,adjusted
2023-07-10,32.9549645646,34.1308732733,32.9549645646,33.4174558559,79842,adjusted
2023-07-11,33.4568168168,33.5355387387,32.8172996036,33.1222486486,74361,adjusted
2023-07-12,33.5355387387,33.6634618619,33.2009705706,33.3485741742,58894,adjusted
2023-07-13,36.6745753754,40.1678606607,36.330166967,39.3216,906590,adjusted
2023-07-14,40.2761033033,41.6490136216,39.4593633634,40.2564228228,439582,adjusted
2023-07-17,40.1284996997,42.9428084084,39.9218546547,42.5491987988,456967,adjusted
2023-07-18,43.3954594595,44.2220396396,42.8247255255,43.4741813814,626474,adjusted
2023-07-19,42.805045045,43.9070535495,42.6180804805,43.1888144144,246643,adjusted
2023-07-20,42.3327135135,42.5688792793,40.4975087087,41.1715651652,371017,adjusted
2023-07-21,41.7127783784,44.5762882883,41.1125237237,43.4052996997,504427,adjusted
2023-07-24,42.6771219219,43.2872168168,41.8899027027,43.2478558559,465038,adjusted
2023-07-25,41.9587843844,43.4938618619,41.5159735736,43.3068972973,421974,adjusted
2023-07-26,43.1002522523,45.3733477477,42.9329681682,44.4090042042,495022,adjusted
2023-07-27,45.2159039039,46.1851675676,45.0879807808,45.2651051051,271764,adjusted
2023-07-28,46.7116204204,47.3807567568,45.9539219219,46.5344960961,402451,adjusted
2023-07-31,45.4225489489,46.9576264264,44.1846467267,46.8493837838,911004,adjusted
2023-08-01,45.7767975976,46.8395435435,45.3930282282,46.2983303303,368523,adjusted
2023-08-02,44.9502174174,46.0031231231,44.8125524565,44.9797381381,379733,adjusted
2023-08-03,44.7730930931,46.7313009009,44.7238918919,46.4459339339,294573,adjusted
2023-08-04,46.5148156156,47.5185201201,46.0326438438,46.1900876877,252484,adjusted
2023-08-07,46.5935375375,47.7546858859,46.4360936937,46.8690642643,231996,adjusted
2023-08-08,46.5443363363,46.9477861862,46.2786498498,46.7214606607,118310,adjusted
2023-08-09,46.9674666667,47.5578810811,46.760920024,47.2134726727,213526,adjusted
2023-08-10,46.9969873874,47.0757093093,45.9736024024,46.6427387387,249966,adjusted
2023-08-11,46.2491291291,46.367212012,45.1667027027,45.4225489489,126943,adjusted
2023-08-14,44.1728384384,45.6783951952,44.05780603,45.5799927928,308054,adjusted
2023-08-15,45.5406318318,45.9342414414,45.137181982,45.383187988,239896,adjusted
2023-08-16,44.9994186186,45.5012708709,44.7829333333,45.097821021,229693,adjusted
