Date,Open,High,Low,Close,Volume,PriceMode
2023-04-11,205.4831851562,211.8804735685,205.4831851562,209.6941788659,3882026,adjusted
2023-04-12,211.1675513829,212.1799008865,209.0192791969,209.5991225745,2385141,adjusted
2023-04-13,209.0668073426,211.1960682703,205.9489609841,210.7112811841,2909059,adjusted
2023-04-14,211.9660242308,214.665622907,210.4926517138,212.6219126416,2246904,adjusted
2023-04-17,213.8861613174,215.7017364835,213.2112616484,214.1047907877,1742418,adjusted
2023-04-18,214.4089709202,216.2530629737,212.983126549,214.0667682711,2567096,adjusted
2023-04-19,213.6865431054,214.0192401254,211.4146977406,213.5439586683,2078502,adjusted
2023-04-20,211.4242033697,213.1352166152,210.0078646276,211.2816189326,2826825,adjusted
2023-04-21,210.9034651802,211.2093024433,207.8737647922,210.5211686013,2712742,adjusted
2023-04-24,210.7696613776,213.7850256439,210.7696613776,213.5413115748,2790653,adjusted
2023-04-25,212.5186682262,213.3490163956,208.6096857066,208.9537526276,2505596,adjusted
2023-04-26,208.0935853251,210.6358575749,206.5548415949,206.6217434962,3133496,adjusted
2023-04-27,201.164459832,206.516611937,195.0094849112,204.8440644042,7711149,adjusted
2023-04-28,203.8023062266,210.7935549137,203.5729282792,209.1162286737,4669549,adjusted
2023-05-01,209.6342405381,212.1363716472,206.9466955883,207.6539442593,2876412,adjusted
2023-05-02,207.5010256277,207.5010256277,201.2695913912,205.627772391,2857991,adjusted
2023-05-03,206.0960857002,209.4698530092,205.3506073712,206.0960857002,2635075,adjusted
2023-05-04,206.4879396936,207.3289921672,200.0653571676,201.0688856873,3211007,adjusted
2023-05-05,204.1368157332,206.1343153581,202.9994834108,205.5704279041,2716550,adjusted
2023-05-08,206.860678858,208.456767075,204.175045391,205.2837054699,2414108,adjusted
2023-05-09,204.2801769503,205.8606865817,202.5693997595,204.0412415884,4111863,adjusted
2023-05-10,205.8953799962,206.4305952067,200.8872948123,203.7354043253,2446106,adjusted
2023-05-11,199.74996249,200.9733115425,199.1908537433,200.7343761807,3263278,adjusted
2023-05-12,202.3400218122,203.1428446279,198.7273191413,200.2660628715,2172580,adjusted
2023-05-15,201.0019837859,203.8644294207,199.8933237071,201.9386104043,1925794,adjusted
2023-05-16,200.7534910096,200.9589754208,197.8862666677,198.0296278848,2771733,adjusted
2023-05-17,200.0175700952,204.3709723877,199.4154529834,202.7127609766,2897517,adjusted
2023-05-18,201.6614453846,206.1152005291,200.9255244702,205.2168035686,2643586,adjusted
2023-05-19,209.7470180289,210.1574134064,203.5251412069,205.2741480555,4402093,adjusted
2023-05-22,204.7676050884,207.5488127001,202.5120552727,204.7771625029,2540614,adjusted
2023-05-23,203.7640765687,205.7329039502,201.9959548912,203.2957632595,2298512,adjusted
2023-05-24,202.4355959569,203.0759427266,199.9602256084,200.4189815031,2963968,adjusted
2023-05-25,200.4094240886,202.4117024207,199.367665911,200.6865891083,2243773,adjusted
2023-05-26,202.3686940556,203.8405358845,200.901630934,202.4260385424,1973881,adjusted
2023-05-30,201.8334788451,203.46779672,199.0331564045,200.6101297925,2885893,adjusted
2023-05-31,199.8742088781,201.4511822662,196.5004415691,196.6438027862,5884829,adjusted
2023-06-01,198.4883837795,201.2504765622,196.9209678059,199.8168643913,2989150,adjusted
2023-06-02,205.4366241015,217.6987868706,204.538227141,216.5996842062,8358196,adjusted
2023-06-05,216.9437511272,216.9437511272,210.979924496,212.6237997854,3438400,adjusted
2023-06-06,212.0407975025,218.1671001798,211.6489435091,216.6474712786,3230095,adjusted
2023-06-07,217.727459114,225.8990484886,216.2651746996,225.1248979163,5586408,adjusted
2023-06-08,224.1595990545,225.8225891729,221.483523002,224.0735823243,3548041,adjusted
2023-06-09,225.2682591334,225.3733906926,221.1872431533,224.6279123637,2489663,adjusted
2023-06-12,224.8190606532,228.3122956431,222.9936900629,227.3708903175,3645004,adjusted
2023-06-13,229.4544066727,235.762300225,229.0721100937,234.5771808303,4335106,adjusted
2023-06-14,235.8769891987,237.3297161986,230.8784614292,232.551008962,3122386,adjusted
2023-06-15,233.2009131462,237.3853403508,232.7039275936,236.7084842578,2743898,adjusted
2023-06-16,238.3619169617,239.7859717182,234.1279823501,234.4147047843,5261185,adjusted
2023-06-20,231.6048249291,232.45065611,229.9036051529,230.4770500213,2980704,adjusted
2023-06-21,228.269287278,234.4051473698,227.4963791695,230.7924446989,2892473,adjusted
2023-06-22,229.5977678898,230.3145739753,225.5071944952,226.835675107,2423665,adjusted
2023-06-23,224.0640249098,225.421177765,221.0438819362,224.0640249098,3354027,adjusted
2023-06-26,225.038881186,229.0171549605,224.7187078012,226.4629359426,1748332,adjusted
2023-06-27,226.9694789096,230.1807701726,224.9050773834,230.0374089555,2283013,adjusted
2023-06-28,228.6993709293,231.3372173239,227.3326606596,231.1651838634,2200056,adjusted
2023-06-29,231.2320857647,235.9370097616,230.6873131397,233.4302910935,2070085,adjusted
2023-06-30,235.6571686658,236.0054408492,233.095781587,235.1601831132,2377993,adjusted
2023-07-03,235.0646089684,237.3966180999,234.4147047843,236.3835321657,1045746,adjusted
2023-07-05,234.1566545935,236.5460082118,233.3139773594,233.9941785474,1820710,adjusted
2023-07-06,232.006236337,233.076666758,228.269287278,229.9322773963,3081719,adjusted
2023-07-07,229.5595382319,236.832730646,229.4830789161,234.328688054,2903972,adjusted
2023-07-10,233.6883412843,238.3236873038,233.2869298764,237.7980295078,2771882,adjusted
2023-07-11,238.7824431985,243.2075260996,238.7824431985,241.6592249549,3294783,adjusted
2023-07-12,244.1823823759,246.2372264876,240.3116295142,242.3760310404,2986445,adjusted
2023-07-13,243.2935428299,245.1094515798,241.5540933957,244.5360067114,1949520,adjusted
2023-07-14,245.1285664087,245.1285664087,241.7165694418,244.306628764,1936998,adjusted
2023-07-17,243.0163778101,247.3936736389,240.8564021392,246.0651930271,2674932,adjusted
2023-07-18,246.2276690731,252.4686607241,245.55865006,252.1341512176,3833380,adjusted
2023-07-19,249.8567021007,252.5268090887,249.4340952393,252.3635291649,2771896,adjusted
2023-07-20,253.7273967631,254.9087750347,250.1448431426,250.7691487333,2102305,adjusted
2023-07-21,251.4030590254,251.4126637268,247.3306656337,247.4651314533,2249852,adjusted
2023-07-24,248.089437044,252.0657834217,247.8973430161,249.1171400933,2195493,adjusted
2023-07-25,249.8182832951,253.4488604226,249.1843730031,251.7008047687,2016647,adjusted
2023-07-26,250.2312854552,252.1618304356,247.0809433975,248.1086464468,2622804,adjusted
2023-07-27,248.7329520375,250.7787534347,246.6704384598,248.089437044,2284531,adjusted
2023-07-28,249.6550033714,252.584437297,248.7521614403,250.1352384412,2104855,adjusted
2023-07-31,252.3635291649,254.7262857082,251.3166167128,254.6878669026,3576780,adjusted
2023-08-01,261.9682305604,277.3645668972,259.8071727464,277.2397057791,11830412,adjusted
2023-08-02,276.3752826535,282.2629646089,274.7809022219,276.2023980284,6290294,adjusted
