Date,Open,High,Low,Close,Volume,PriceMode
2026-05-14,350.0,386.34,300.0,311.07,33497870,adjusted
2026-05-15,298.49,306.7799,275.0,279.72,17119206,adjusted
2026-05-18,291.55,303.66,272.24,296.65,10158354,adjusted
2026-05-19,292.17,333.99,286.15,303.63,10379536,adjusted
2026-05-20,317.525,338.325,284.25,290.69,12629172,adjusted
2026-05-21,293.7,294.0,275.42,281.86,5448110,adjusted
2026-05-22,285.0,285.0,250.27,256.78,11783761,adjusted
2026-05-26,260.0,262.29,236.1,241.71,8180275,adjusted
2026-05-27,243.86,269.39,243.03,266.9,6522988,adjusted
2026-05-28,260.95,268.78,241.53,242.59,5692279,adjusted
2026-05-29,247.12,251.35,232.5601,236.99,4350231,adjusted
2026-06-01,231.875,232.37,212.6,213.28,5823744,adjusted
2026-06-02,220.05,241.69,217.0,236.52,5236620,adjusted
2026-06-03,230.06,230.06,213.25,214.94,3827749,adjusted
2026-06-04,212.25,219.78,205.4661,215.4,4137174,adjusted
