Date,Open,High,Low,Close,Volume,PriceMode
2023-04-11,51.9,51.9,50.63,51.53,1539230,adjusted
2023-04-12,52.09,52.09,51.34,51.35,1246536,adjusted
2023-04-13,51.53,52.12,51.025,51.8,1019805,adjusted
2023-04-14,51.73,52.25,50.86,51.14,800765,adjusted
2023-04-17,50.77,50.77,49.58,49.64,1720767,adjusted
2023-04-18,48.95,49.7,47.57,48.15,1761423,adjusted
2023-04-19,47.63,47.68,46.745,47.01,2011088,adjusted
2023-04-20,46.54,47.31,46.26,46.58,1355633,adjusted
2023-04-21,46.62,47.06,46.27,46.89,936915,adjusted
2023-04-24,46.8,46.9113,46.2845,46.57,1054904,adjusted
2023-04-25,46.32,46.84,45.3,45.31,1068822,adjusted
2023-04-26,45.26,45.48,44.92,45.09,1186196,adjusted
2023-04-27,45.12,45.64,44.39,45.59,1471563,adjusted
2023-04-28,45.53,46.06,45.405,46.04,1216238,adjusted
2023-05-01,46.3,46.64,45.72,46.19,1068554,adjusted
2023-05-02,45.39,45.7,44.37,44.7,1466995,adjusted
2023-05-03,44.8,45.01,44.17,44.32,1367867,adjusted
2023-05-04,44.09,44.38,43.58,43.82,1196017,adjusted
2023-05-05,44.27,44.56,43.68,44.08,1489600,adjusted
2023-05-08,44.29,44.39,43.68,43.84,1660210,adjusted
2023-05-09,43.23,43.46,42.64,43.15,2512216,adjusted
2023-05-10,43.73,43.86,42.91,43.62,1659487,adjusted
2023-05-11,43.47,43.49,42.83,43.34,1172752,adjusted
2023-05-12,43.51,43.72,43.13,43.41,1209956,adjusted
2023-05-15,43.5,44.57,43.46,44.42,1392400,adjusted
2023-05-16,44.01,44.22,43.34,43.4,1348888,adjusted
2023-05-17,43.55,44.71,43.45,44.5,1404634,adjusted
2023-05-18,44.04,44.675,43.995,44.66,1218073,adjusted
2023-05-19,44.97,45.38,44.61,44.92,1544141,adjusted
2023-05-22,44.94,45.82,44.89,45.58,1359986,adjusted
2023-05-23,45.32,45.77,45.2161,45.5,1526952,adjusted
2023-05-24,45.39,45.45,44.015,44.31,1628982,adjusted
2023-05-25,44.77,45.32,44.47,45.14,991442,adjusted
2023-05-26,45.42,48.36,45.42,47.99,2542772,adjusted
2023-05-30,48.6,49.56,47.825,47.97,2120182,adjusted
2023-05-31,47.39,47.74,46.32,46.74,2099342,adjusted
2023-06-01,46.91,47.43,46.38,47.03,1302760,adjusted
2023-06-02,47.54,48.33,46.905,48.13,2178545,adjusted
2023-06-05,47.74,47.86,46.4385,47.5,3087145,adjusted
2023-06-06,42.92,43.29,41.4875,42.39,9585571,adjusted
2023-06-07,42.54,44.21,42.47,43.28,3611729,adjusted
2023-06-08,42.96,43.25,41.94,42.53,2814938,adjusted
2023-06-09,42.69,42.84,41.17,41.35,3748533,adjusted
2023-06-12,41.475,41.89,41.05,41.54,3296872,adjusted
2023-06-13,41.8,42.47,41.35,42.4,2727202,adjusted
2023-06-14,42.86,44.49,42.57,44.37,3920331,adjusted
2023-06-15,44.09,44.665,43.75,44.28,2262441,adjusted
2023-06-16,44.37,44.6,43.87,44.31,3126451,adjusted
2023-06-20,44.06,44.3,42.935,43.05,2354531,adjusted
2023-06-21,42.52,42.56,41.55,41.87,2687266,adjusted
2023-06-22,41.82,41.997,41.18,41.52,1280046,adjusted
2023-06-23,41.05,41.36,40.84,41.02,2550676,adjusted
2023-06-26,41.08,41.84,41.08,41.17,1129761,adjusted
2023-06-27,41.24,41.95,41.03,41.75,1062272,adjusted
2023-06-28,41.6,41.7,41.05,41.66,1601406,adjusted
2023-06-29,41.64,42.6,41.48,42.56,1421008,adjusted
2023-06-30,43.1,43.16,42.42,42.49,1380261,adjusted
2023-07-03,42.57,42.72,42.25,42.3,777325,adjusted
2023-07-05,42.01,43.035,41.9,42.92,2844639,adjusted
2023-07-06,42.24,42.52,41.83,42.39,1543502,adjusted
2023-07-07,42.46,43.8,42.315,43.19,1555709,adjusted
2023-07-10,43.03,43.52,42.73,43.18,1878113,adjusted
2023-07-11,43.69,44.05,43.18,44.04,1265685,adjusted
2023-07-12,44.5,44.7,43.6,43.67,1704456,adjusted
