Date,Open,High,Low,Close,Volume
2023-03-30,37.51,37.76,36.92,37.32,830697
2023-03-31,37.51,38.5,37.22,38.08,996051
2023-04-03,37.8,38.44,37.41,38.11,1378485
2023-04-04,38.34,38.34,36.94,37.45,969553
2023-04-05,37.44,37.56,36.6,36.69,1123440
2023-04-06,33.01,33.67,31.61,32.98,4256259
2023-04-10,33.0,34.68,32.82,34.68,1274160
2023-04-11,34.72,35.18,34.29,34.34,931958
2023-04-12,34.74,34.98,33.98,34.13,1000101
2023-04-13,34.48,34.61,33.395,34.07,1391690
2023-04-14,34.08,34.7,33.53,33.9,587407
2023-04-17,33.61,34.29,33.0899,34.28,903596
2023-04-18,34.59,35.21,33.35,33.5,1192370
2023-04-19,33.0,33.7,32.82,33.7,1067655
2023-04-20,33.09,34.2,33.0629,33.5,754573
2023-04-21,33.55,33.93,33.09,33.59,1069192
2023-04-24,33.44,33.91,33.14,33.87,1088074
2023-04-25,33.2,33.5338,32.595,32.61,1104423
2023-04-26,32.85,33.39,32.55,32.79,1283410
2023-04-27,32.84,33.52,32.18,33.48,1348629
2023-04-28,33.64,34.31,33.359,34.14,1281149
2023-05-01,34.07,34.62,33.795,34.08,793553
2023-05-02,33.72,34.04,32.96,33.05,925796
2023-05-03,33.62,34.68,33.27,33.73,1342038
2023-05-04,33.52,33.72,30.98,31.41,2713383
2023-05-05,32.15,32.32,31.51,31.83,1502413
2023-05-08,31.56,32.52,31.411,32.15,1650223
2023-05-09,30.9,32.09,30.71,31.9,2497365
2023-05-10,26.98,30.41,26.2901,30.31,9550897
2023-05-11,30.11,30.585,29.15,29.16,2512629
2023-05-12,29.12,29.21,27.29,27.81,2835127
2023-05-15,27.84,28.875,27.77,28.77,2167593
2023-05-16,28.21,28.56,27.58,27.66,1511367
2023-05-17,27.56,29.54,27.56,29.52,2301233
2023-05-18,29.82,30.65,29.55,30.54,1641288
2023-05-19,30.86,31.14,30.44,30.69,1843233
2023-05-22,30.63,32.26,30.31,32.01,1575262
2023-05-23,32.1,32.62,31.73,31.91,1461140
2023-05-24,31.45,31.66,30.73,30.76,1191292
2023-05-25,31.28,32.61,31.28,32.39,2076151
2023-05-26,33.26,37.34,33.175,36.93,6868990
2023-05-30,40.5,42.14,37.1,38.49,6764527
2023-05-31,37.44,38.61,36.69,36.96,2792526
2023-06-01,36.91,38.32,36.51,37.34,2498320
2023-06-02,38.19,39.1,37.62,38.98,2345180
2023-06-05,38.41,38.6,36.91,37.83,2479668
2023-06-06,37.31,39.35,36.92,38.09,2028302
2023-06-07,38.09,39.56,37.8341,39.08,2624453
2023-06-08,39.26,39.54,38.52,39.04,1752403
2023-06-09,39.48,40.165,38.5,38.91,2239153
2023-06-12,39.25,41.15,39.15,41.04,2082319
2023-06-13,42.0,44.34,41.97,42.82,5085106
2023-06-14,46.31,52.36,46.1603,48.91,15620714
2023-06-15,48.58,52.97,48.26,51.27,8447070
2023-06-16,56.2,57.39,53.51,54.87,9762827
2023-06-20,57.95,60.46,54.31,55.31,9304208
2023-06-21,50.41,51.97,46.78,46.87,8531492
2023-06-22,46.71,49.54,46.03,48.76,4557218
2023-06-23,47.08,47.22,45.39,46.71,4782289
2023-06-26,46.87,47.64,45.39,46.19,3546627
