Date,Open,High,Low,Close,Volume,PriceMode
2023-08-07,37.808218755,37.808218755,37.3841485048,37.6762857883,173481,adjusted
2023-08-08,36.8092977211,37.2012328702,36.3381085542,37.1297063546,282341,adjusted
2023-08-09,37.2145204047,37.2710631047,36.7622730422,36.9223831212,252542,adjusted
2023-08-10,37.1297063546,37.4218436381,36.4323463876,36.6302458377,351998,adjusted
2023-08-11,36.1307853207,36.3852274709,35.970581004,36.2344469374,437170,adjusted
2023-08-14,35.8669193872,35.8669193872,35.4051540036,35.6878675038,430898,adjusted
2023-08-15,35.3391875203,35.3391875203,34.330842703,34.4345043197,605883,adjusted
2023-08-16,34.2554524363,34.4721994531,33.9256200195,34.0575529862,461993,adjusted
2023-08-17,34.6606751199,34.83030322,34.0952481195,34.1423670362,175976,adjusted
2023-08-18,33.7559919194,33.9821627195,33.4355832858,33.8973486694,312753,adjusted
2023-08-21,34.2083335196,34.4250805364,34.0387054195,34.3685378364,4782991,adjusted
2023-08-22,34.8491507866,35.0941691535,34.5570135031,34.6418275532,628253,adjusted
2023-08-23,34.9716599701,35.2826448202,34.7266416032,35.1601356368,961804,adjusted
2023-08-24,34.8679983533,34.8962697033,34.2837237863,34.3119951363,326305,adjusted
2023-08-25,34.6229799865,34.6606751199,33.9586032611,34.330842703,175640,adjusted
2023-08-28,34.5947086365,34.88684592,34.4910470198,34.80203187,192672,adjusted
2023-08-29,35.0187788867,35.7632577705,34.7407772783,35.7444102038,546894,adjusted
2023-08-30,35.9140383039,35.998852354,35.6878675038,35.7349864205,303064,adjusted
2023-08-31,35.6784437205,35.8103766872,35.5088156204,35.6784437205,358485,adjusted
2023-09-01,36.2250231541,36.5642793543,36.0176999207,36.0930901874,426492,adjusted
2023-09-05,36.1590566707,36.2627182875,35.6690199371,35.7255626371,706346,adjusted
2023-09-06,35.5747821037,35.8480718206,35.3204341914,35.6219010204,243575,adjusted
2023-09-07,35.1412880701,35.1412880701,34.7172178199,34.85857457,278058,adjusted
2023-09-08,34.7172178199,34.8207851988,34.4392162114,34.5570135031,204021,adjusted
2023-09-11,35.499391837,35.8904788456,35.414577787,35.5370869704,236187,adjusted
2023-09-12,35.3014923869,35.4616967037,34.9999313201,35.0564740201,230963,adjusted
2023-09-13,34.9905075367,35.2166783369,34.7831843033,34.8208794366,169490,adjusted
2023-09-14,35.5559345371,36.0835721662,35.5559345371,35.9423096539,395877,adjusted
2023-09-15,36.2155993708,36.4323463876,35.9894285706,36.0930901874,241542,adjusted
2023-09-18,35.9046145206,35.9046145206,35.5842058871,35.7349864205,154159,adjusted
2023-09-19,35.7821053372,36.0648188373,35.2637972536,35.3580350869,141341,adjusted
2023-09-20,35.4805442703,36.0929017117,35.2449496869,35.2449496869,514823,adjusted
2023-09-21,34.7737605199,34.7737605199,34.2837237863,34.3968091864,321443,adjusted
2023-09-22,35.2072545535,35.2072545535,34.3119951363,34.3496902697,196380,adjusted
