Date,Open,High,Low,Close,Volume,PriceMode
2023-05-25,44.3581650977,45.7988576393,44.1259482078,45.5713798696,4081727,adjusted
2023-05-26,45.6377275524,46.0168571687,45.0026854453,45.978944207,4297112,adjusted
2023-05-30,46.2443349384,46.538160391,44.7088599927,44.8510335988,5464420,adjusted
2023-05-31,43.5809493845,43.7610359522,42.1307786024,42.471995257,9712247,adjusted
2023-06-01,42.6568209449,45.0216419261,42.377212853,43.0880808834,14458270,adjusted
2023-06-02,43.125993845,45.3484516553,43.0027767197,44.8036423968,7914735,adjusted
2023-06-05,44.7941641564,45.0974678493,42.9364290369,43.1070373642,5765700,adjusted
2023-06-06,43.0122549601,44.6235558291,42.8037336712,44.4055562997,5466201,adjusted
2023-06-07,44.4150345401,45.2860848334,44.3297303765,45.1732937726,4095959,adjusted
2023-06-08,45.486075706,45.5903363504,44.7372947139,45.3912933019,3976290,adjusted
2023-06-09,45.58085811,46.1305960535,45.1069460897,45.1259025706,3293572,adjusted
2023-06-12,45.230163215,45.6092928312,45.1306416908,45.5619016292,3596854,adjusted
2023-06-13,45.7609446777,46.2727696596,45.7325099565,46.2538131788,2805666,adjusted
2023-06-14,46.0926830919,47.0973765749,46.0926830919,46.8035511223,4013664,adjusted
2023-06-15,46.7751164011,47.8272010861,46.609247194,47.5807668356,3216611,adjusted
2023-06-16,47.5760277154,47.6755492396,46.9457247284,47.0784200941,9363258,adjusted
2023-06-20,46.9267682476,46.9931159304,46.1969437364,46.7561599203,4213507,adjusted
2023-06-21,47.2774631426,47.9504182114,46.8272467233,47.4480714699,5943345,adjusted
2023-06-22,47.239550181,48.7560686459,47.1637242577,48.6044167994,6326781,adjusted
2023-06-23,47.9504182114,48.9645899348,47.8745922881,48.2158089427,18291804,adjusted
2023-06-26,48.4527649529,48.8887640115,48.0745831607,48.642329761,3404548,adjusted
2023-06-27,48.642329761,48.8792857711,48.1968524619,48.7086774438,3496000,adjusted
2023-06-28,48.3674607892,49.2110241853,48.2537219044,49.0688505792,2946842,adjusted
2023-06-29,49.2868501086,50.3768477552,49.0972853005,50.3294565532,4033421,adjusted
2023-06-30,51.1256287472,51.7606708544,50.9550204199,51.2867588341,5182432,adjusted
2023-07-03,51.1824981897,51.9218009413,50.9360639391,51.7606708544,1828579,adjusted
2023-07-05,51.2583241129,51.822279417,51.049802824,51.3815412382,2639962,adjusted
2023-07-06,50.8507597755,51.4905410028,50.5569343229,50.9929333816,3596194,adjusted
2023-07-07,51.1066722664,51.6753666907,50.6801514482,50.7370208906,5404221,adjusted
2023-07-10,50.4905866401,52.0165833453,50.443195438,52.0071051049,3238466,adjusted
2023-07-11,52.1303222302,52.9454509051,52.0165833453,52.8317120202,4597127,adjusted
2023-07-12,52.6042342505,52.7843208182,51.3246717957,51.3436282766,5882103,adjusted
2023-07-13,51.7132796524,52.755886097,51.3910194786,52.7369296162,5375814,adjusted
2023-07-14,52.6800601737,53.1729286748,51.9786703837,52.5284083272,4227961,adjusted
2023-07-17,52.6800601737,52.755886097,51.8364967776,51.845975018,4146549,adjusted
2023-07-18,52.1113657494,52.1777134322,50.348413034,51.0213681028,5677942,adjusted
2023-07-19,51.1540634684,51.6753666907,51.1351069876,51.4668454018,3292656,adjusted
2023-07-20,51.0403245836,51.400497719,50.4621519188,50.8033685734,3414902,adjusted
2023-07-21,50.651716727,51.447888921,50.6422384865,50.7654556118,2875677,adjusted
2023-07-24,51.3154546347,51.7496843513,51.1293561848,51.2772805937,2937705,adjusted
2023-07-25,51.5349553706,52.1648270473,51.5349553706,51.88806525,2395580,adjusted
2023-07-26,51.7639996167,52.0550766794,51.3059111245,51.4586072885,1931326,adjusted
2023-07-27,51.9453263115,52.2793491704,51.1436714502,51.2581935732,2957525,adjusted
2023-07-28,51.6685645141,51.9357828012,50.1272876081,50.2084074453,4748122,adjusted
2023-07-31,50.1416028735,50.7333005093,49.9698196889,50.5042562632,3865564,adjusted
2023-08-01,50.3706471196,51.2247912873,50.3706471196,50.9337142246,3681357,adjusted
2023-08-02,50.6235501413,50.8287356118,50.0700265466,50.5328867939,2789083,adjusted
2023-08-03,50.1034288325,51.4920095744,49.6739708711,51.0673233681,2615546,adjusted
2023-08-04,51.1436714502,52.0693919448,50.6378654067,50.8096485913,2533645,adjusted
2023-08-07,51.0864103886,52.1457400268,51.0864103886,52.078935455,2738380,adjusted
2023-08-08,52.527480437,56.0394922104,52.3175232114,54.9515320414,8257969,adjusted
2023-08-09,54.8465534286,55.2282938388,53.9637787302,53.9876375058,2754278,adjusted
2023-08-10,54.5793351415,54.7606618364,52.8901338266,53.4436574213,3189129,adjusted
2023-08-11,53.5104619931,54.9515320414,53.2051651001,54.2453122827,3118060,adjusted
2023-08-14,53.9399199545,54.3598344057,53.7204192187,54.1689642006,2253876,adjusted
2023-08-15,53.9780939955,54.1021596288,53.1478086035,53.1859826445,2279395,adjusted
2023-08-16,53.1382650932,53.7347344841,52.64200256,52.6992636215,1834689,adjusted
2023-08-17,52.7756117036,53.281417747,52.1314247614,52.3556972524,3966952,adjusted
2023-08-18,52.0216743935,52.8233292548,51.8498912089,52.4225018242,2324635,adjusted
2023-08-21,52.565654478,53.8731153828,52.565654478,53.4913749726,4076048,adjusted
2023-08-22,53.8540283622,53.9780939955,53.0141994599,53.2527872163,2188497,adjusted
2023-08-23,53.6536146469,54.3216603647,53.166895624,54.2357687724,2643684,adjusted
2023-08-24,54.8179228979,55.0278801235,53.6536146469,54.1212466494,3925955,adjusted
2023-08-25,54.1880512211,54.2787145685,53.0810040317,53.6440711367,2680980,adjusted
2023-08-28,53.7872237905,54.8751839594,53.5104619931,54.5793351415,3252569,adjusted
