Date,Open,High,Low,Close,Volume,PriceMode
2026-04-02,27.0,28.0,26.14,27.76,2530245,adjusted
2026-04-06,29.28,29.9499,28.79,29.16,6320106,adjusted
2026-04-07,29.07,29.46,28.38,29.44,4869630,adjusted
2026-04-08,33.39,33.39,31.6934,32.47,9442621,adjusted
2026-04-09,31.5,32.45,30.825,32.38,10282908,adjusted
2026-04-10,32.58,32.7,32.1081,32.43,4864751,adjusted
2026-04-13,32.35,33.58,32.06,33.55,5547892,adjusted
2026-04-14,34.31,35.57,33.7,35.57,8770406,adjusted
2026-04-15,34.625,34.68,33.6948,34.47,7354163,adjusted
2026-04-16,34.815,35.34,34.53,35.04,6114412,adjusted
2026-04-17,35.7,35.97,35.2601,35.59,5743805,adjusted
2026-04-20,35.44,35.68,34.55,35.07,6581131,adjusted
2026-04-21,35.795,36.0,34.8939,34.93,6938812,adjusted
2026-04-22,36.13,37.5,35.8,37.3,9861410,adjusted
2026-04-23,36.735,37.35,35.81,36.36,11883727,adjusted
2026-04-24,36.985,37.55,36.63,37.2,11151423,adjusted
2026-04-27,38.32,39.34,38.01,38.57,11874228,adjusted
2026-04-28,37.35,37.97,36.51,37.33,14534936,adjusted
2026-04-29,38.69,39.0,37.87,38.23,11286987,adjusted
2026-04-30,39.21,39.43,38.2,39.33,9381542,adjusted
2026-05-01,38.9,40.8,38.75,40.41,11751030,adjusted
2026-05-04,42.15,43.43,41.91,42.47,29751310,adjusted
