Date,Open,High,Low,Close,Volume,PriceMode
2023-04-11,65.2066508925,65.6321127281,65.0771625078,65.5766177061,123567,adjusted
2023-04-12,65.7893486239,65.9650828603,65.5766177061,65.7061060908,604326,adjusted
2023-04-13,65.5766177061,66.1685646078,65.4286309807,66.0945712451,160673,adjusted
2023-04-14,66.1315679265,66.4293912114,65.95583369,66.1963121188,152371,adjusted
2023-04-17,66.3535480146,66.7235148282,66.3258005036,66.6032756138,114014,adjusted
2023-04-18,66.8899998943,67.0009899384,66.6032756138,66.7420131688,173160,adjusted
2023-04-19,66.4090430366,66.7697606799,66.2518996326,66.5940264434,179825,adjusted
2023-04-20,66.50153474,66.6680198061,66.390544696,66.5662789324,83610,adjusted
2023-04-21,66.5940264434,67.04723579,66.5107839104,67.04723579,193933,adjusted
2023-04-24,66.7420131688,66.963993257,66.6865181468,66.963993257,109487,adjusted
2023-04-25,66.6125247841,66.6957673172,65.9373353493,65.9465845197,107845,adjusted
2023-04-26,65.928086179,66.1639400226,65.7246969232,65.9373353493,229793,adjusted
2023-04-27,66.7975081909,67.2692158782,66.7327639985,67.2692158782,86276,adjusted
2023-04-28,67.1767241748,67.7871694172,67.1767241748,67.7409235655,238636,adjusted
2023-05-01,67.8611627799,68.2217879314,67.7960486207,68.1941329121,108127,adjusted
2023-05-02,67.5466909884,67.5466909884,66.6587706358,67.0564849604,789099,adjusted
2023-05-03,67.0009899384,67.2414683672,66.6217739544,66.6772689765,130722,adjusted
2023-05-04,66.473787229,66.5289122842,66.0827323071,66.2703054815,91899,adjusted
2023-05-05,67.1027308121,67.9629036536,67.0934816417,67.7871694172,266323,adjusted
2023-05-08,67.8056677579,67.9259069723,67.6670226945,67.8704119503,116006,adjusted
2023-05-09,68.4993555333,68.8230764952,68.434611341,68.7028372808,185748,adjusted
2023-05-10,68.3513688079,68.3698671486,67.5621371028,67.999900335,188162,adjusted
2023-05-11,67.8889102909,68.0461461867,67.537441818,68.0461461867,104927,adjusted
2023-05-12,68.545601385,68.7768306435,68.4531096816,68.7490831325,135992,adjusted
2023-05-15,69.1282991164,69.5352626113,69.0284080767,69.5352626113,434409,adjusted
2023-05-16,69.3780267156,69.5907576334,69.1560466274,69.1652957978,218843,adjusted
2023-05-17,69.7479935291,70.3214420902,69.6277543147,70.3214420902,642439,adjusted
2023-05-18,70.6914089038,70.8671431402,70.3954354529,70.8671431402,443445,adjusted
2023-05-19,70.5434221783,70.6544122224,70.0069702986,70.478677986,372427,adjusted
2023-05-22,70.9133889919,71.3295091655,70.8393956292,71.1816149317,337760,adjusted
2023-05-23,70.2012028758,70.7561530961,69.9921716261,70.3954354529,412848,adjusted
2023-05-24,70.2289503868,70.3769371122,70.04396698,70.2474487275,700102,adjusted
2023-05-25,70.9781331843,71.2093624428,70.7191564148,71.2093624428,608207,adjusted
2023-05-26,71.024379036,71.5330834046,70.9873823546,71.4498408716,571175,adjusted
2023-05-30,71.2463591241,71.2833558055,70.7561530961,70.9318873326,1120186,adjusted
2023-05-31,70.0624653207,70.1087111724,69.5907576334,69.8219868919,371219,adjusted
2023-06-01,70.8208972885,71.2370174621,70.6175080327,71.1538674207,410129,adjusted
2023-06-02,72.578239653,73.179435725,72.4764987793,73.1146915327,478565,adjusted
2023-06-05,73.3921666429,73.4754091759,72.7447247191,72.7909705708,605163,adjusted
2023-06-06,73.8638743302,74.5298145946,73.7465023586,74.5020670836,855350,adjusted
2023-06-07,72.9389572962,73.2719274284,72.7909705708,73.1146915327,882691,adjusted
2023-06-08,72.7817214005,73.179435725,72.4210962489,73.123940703,838666,adjusted
2023-06-09,74.3448311878,74.4373228912,74.0396085666,74.3170836768,588356,adjusted
2023-06-12,74.4373228912,74.6962996607,74.3910770395,74.67780132,563449,adjusted
2023-06-13,75.8524459531,76.4536420252,75.8431967828,76.3519011514,715276,adjusted
2023-06-14,76.5091370472,76.8606055201,76.3611503218,76.749615476,845985,adjusted
2023-06-15,76.4073961735,77.2213231633,76.3611503218,76.9715955642,619350,adjusted
2023-06-16,77.6930308507,77.7485258727,77.1658281413,77.2860673557,319326,adjusted
2023-06-20,76.3149044701,76.3888978328,75.9264393158,76.1021735523,503775,adjusted
2023-06-21,77.267569015,77.5635424659,77.0825856083,77.4155557405,1392007,adjusted
2023-06-22,77.4248049108,77.785522554,77.3600607184,77.6190374879,1148832,adjusted
2023-06-23,75.3992366065,76.1669177447,75.3067449031,76.0004326786,528485,adjusted
2023-06-26,75.8617447113,76.1970715518,75.8243927936,76.0578422788,292736,adjusted
2023-06-27,76.1325461141,76.6087830639,75.9177725877,76.5714311463,416344,adjusted
2023-06-28,77.2344276843,77.6079468606,77.1317099108,77.4865531283,702308,adjusted
2023-06-29,77.3091315195,77.5799329224,77.2792499854,77.5612569635,482915,adjusted
2023-06-30,77.6079468606,77.822720387,77.4959844875,77.7386785723,499218,adjusted
2023-07-03,78.3456472338,78.5230688426,78.0561698722,78.4390270279,365461,adjusted
2023-07-05,77.9347761399,78.028155934,77.6592123675,77.9441141193,580556,adjusted
2023-07-06,76.6461349816,76.7152360292,76.181570506,76.5714311463,531242,adjusted
2023-07-07,76.1792360112,76.9356123432,76.1792360112,76.5247412493,566899,adjusted
2023-07-10,76.0951941965,76.2445084872,75.9084346083,76.0578422788,494627,adjusted
2023-07-11,75.6282952261,75.9738004642,75.534915432,75.8897586495,655956,adjusted
2023-07-12,75.329479885,75.5162394732,74.9933126263,75.077354441,878485,adjusted
2023-07-13,75.9177725877,75.9831384436,75.6703161334,75.740350979,2209164,adjusted
2023-07-14,75.6563091643,75.6656471437,75.0960303998,75.4228596791,831139,adjusted
2023-07-17,75.2641140292,75.4788875555,75.2455314501,75.3108039262,820490,adjusted
2023-07-18,76.0578422788,76.9729642608,76.0485042994,76.8889224462,1304217,adjusted
2023-07-19,77.4305252518,77.6126158503,77.2997935401,77.4678771695,1055092,adjusted
2023-07-20,76.748852755,77.113033952,76.6087830639,76.9636262814,473047,adjusted
2023-07-21,77.5052290871,77.663974737,77.3371454578,77.570594943,393797,adjusted
2023-07-24,77.3184694989,77.7573545311,77.2251830847,77.6546367576,330712,adjusted
2023-07-25,77.6546367576,77.7106646341,77.4585391901,77.4865531283,720011,adjusted
2023-07-26,77.1317099108,77.5332430253,77.1317099108,77.3464834372,376636,adjusted
2023-07-27,78.4950549044,78.6351245955,77.206413746,77.3744973754,813118,adjusted
2023-07-28,78.9619538748,79.3541490099,78.7471803484,79.2514312364,977651,adjusted
2023-07-31,79.6809782892,79.9331037332,79.5595845569,79.7276681862,2615996,adjusted
2023-08-01,79.6342883921,79.7370061656,79.3074591129,79.4288528452,455577,adjusted
2023-08-02,78.5137308632,78.6911524719,77.8320583664,78.0094799751,2897956,adjusted
2023-08-03,76.8889224462,77.3744973754,76.7591245324,77.2250897049,384649,adjusted
2023-08-04,77.8600723046,78.4457503731,77.7386785723,77.8320583664,331222,adjusted
2023-08-07,78.3549852132,78.7004904513,78.2896193574,78.7004904513,288381,adjusted
2023-08-08,78.2055775427,78.579096719,77.9604555832,78.5510827808,584412,adjusted
2023-08-09,78.4016751103,78.6538005543,78.1869015839,78.3456472338,534034,adjusted
2023-08-10,79.4755427422,79.8957518156,79.2630103309,79.3448110305,399166,adjusted
2023-08-11,79.3634869893,79.5128946598,79.2607692158,79.3448110305,295172,adjusted
2023-08-14,78.5043928838,78.8498981219,78.4390270279,78.8125462042,387996,adjusted
2023-08-15,78.3643231926,78.3643231926,77.8974242222,78.0655078516,1120882,adjusted
2023-08-16,77.5425810047,77.7573545311,77.3931733342,77.4678771695,474677,adjusted
2023-08-17,77.5332430253,77.5986088812,76.8562395182,76.9729642608,682087,adjusted
2023-08-18,76.655472961,77.1317099108,76.6367970021,76.9729642608,422009,adjusted
2023-08-21,77.365159396,77.5285740356,77.1223719314,77.4772151489,704577,adjusted
2023-08-22,78.3176332956,78.3176332956,77.7386785723,77.8040444282,268938,adjusted
2023-08-23,78.1402116869,78.2429294603,77.9142325852,78.2055775427,506799,adjusted
2023-08-24,78.4483650073,78.5137308632,77.8320583664,77.8600723046,322739,adjusted
2023-08-25,78.2989573368,78.7285043896,78.1308737074,78.6538005543,553555,adjusted
2023-08-28,79.4008389069,79.7650201039,79.3915009275,79.6809782892,223411,adjusted
2023-08-29,79.4008389069,79.746344145,79.4008389069,79.7089922274,262019,adjusted
2023-08-30,79.652964351,79.9237657538,79.5128946598,79.8677378773,211459,adjusted
2023-08-31,80.568086333,80.661466127,80.1151943317,80.3533128066,480800,adjusted
2023-09-01,81.2964487268,81.4738703355,81.0910131798,81.4645323561,1219089,adjusted
2023-09-05,82.6878076586,82.8932432056,82.6131038233,82.6878076586,450996,adjusted
