Date,Open,High,Low,Close,Volume,PriceMode
2023-04-11,75.8199032672,76.3332671956,75.0893469076,75.5138593869,1380446,adjusted
2023-04-12,76.3233948124,76.4517357945,71.1107764627,71.1700107622,1635012,adjusted
2023-04-13,71.2292450616,72.5126548825,70.9232011812,71.9203118883,1338087,adjusted
2023-04-14,72.0387804871,72.8581882959,70.2025172049,71.2983517443,1145811,adjusted
2023-04-17,70.0544314563,70.913328798,69.3732370129,70.8146049656,1579012,adjusted
2023-04-18,70.9725630974,71.5402251336,69.1856617313,70.70600875,1578435,adjusted
2023-04-19,69.5706846776,70.7849878159,69.2448960308,70.6961363667,1518752,adjusted
2023-04-20,69.9557076239,73.7269580208,69.4423436955,72.9964016612,1732162,adjusted
2023-04-21,72.8779330623,73.6381065716,71.9746099961,72.1078871698,975010,adjusted
2023-04-24,72.2559729183,73.4209141404,71.6537575408,72.0091633374,1132241,adjusted
2023-04-25,70.9824354806,71.0268612052,68.4847225215,68.4847225215,1597238,adjusted
2023-04-26,69.0178312163,71.1107764627,68.5538292041,71.0416697801,1571250,adjusted
2023-04-27,71.6636299241,72.7199749305,70.251879121,72.5027824993,1675753,adjusted
2023-04-28,72.7298473138,74.0428742844,72.5225272658,73.9638952185,1368360,adjusted
2023-05-01,73.2135940924,74.4970039133,73.1049978768,73.9540228353,1236827,adjusted
2023-05-02,73.7757412972,74.5764695627,73.0145551683,74.2107047994,1499550,adjusted
2023-05-03,74.1415060605,75.8418179328,73.6768859558,74.0723073215,1224972,adjusted
2023-05-04,73.8053978997,75.0608607356,72.1248570956,73.8350545021,2051308,adjusted
2023-05-05,75.228914816,78.2044605926,74.5715267956,77.8683524318,2072532,adjusted
2023-05-08,77.7398404879,78.6591951631,76.8649707164,78.5405687534,1414260,adjusted
2023-05-09,77.4136178613,77.9672077732,76.0444713827,77.3444191223,1864690,adjusted
2023-05-10,78.2538882633,78.7778215728,76.90945562,77.2159071784,2085911,adjusted
2023-05-11,88.6633557142,95.7413981594,88.2283922119,92.360545483,6817018,adjusted
2023-05-12,93.4182976362,93.4182976362,88.0306815291,89.1872890237,1767690,adjusted
2023-05-15,89.6024814576,91.1446247837,88.3371330875,90.5811493376,1356919,adjusted
2023-05-16,89.8595053453,92.1826058685,89.7342556277,90.5613782693,1525926,adjusted
2023-05-17,91.3719920689,93.0624184071,90.4773512291,92.5187140293,1962971,adjusted
2023-05-18,92.4692863586,97.9261012047,91.7674134346,96.9375477905,2985627,adjusted
2023-05-19,96.7991503125,96.7991503125,94.7034170746,95.6721994204,1266168,adjusted
2023-05-22,94.4958208576,96.1467050592,93.5863517166,95.6128862156,1055268,adjusted
2023-05-23,94.8813566891,96.2307320994,93.7148636604,93.9224598774,909619,adjusted
2023-05-24,91.4332823806,94.0806284237,91.4332823806,93.6258938531,1761960,adjusted
2023-05-25,95.1284950426,98.9344256871,94.5353629942,98.6082030604,2184337,adjusted
2023-05-26,99.7252684184,106.7934253295,99.2309917113,105.992697064,3464485,adjusted
2023-05-30,108.8891585675,109.7589867166,105.3797939473,106.7439976588,2501734,adjusted
2023-05-31,104.4307826697,106.0322392006,103.8870782919,104.0452468382,2707036,adjusted
2023-06-01,103.9958191675,109.413091877,103.4274009543,108.5925925432,2379067,adjusted
2023-06-02,109.4229774111,109.5317182867,105.4885348228,107.1493045586,1774011,adjusted
2023-06-05,106.8725096026,107.1493045586,104.4703248063,104.9646015133,1198336,adjusted
2023-06-06,103.6992531432,106.971364944,103.2741751751,106.1014379396,838113,adjusted
2023-06-07,106.4375461004,109.5119472184,106.2052360481,107.8412919485,1240947,adjusted
2023-06-08,107.8412919485,109.0176705113,106.1805222127,108.088430302,876445,adjusted
2023-06-09,108.4739661335,109.0274571901,106.9219372733,107.8314064143,807976,adjusted
2023-06-12,109.0275560454,110.9254797452,107.6336957315,110.5598138374,1102161,adjusted
2023-06-13,113.1498237824,113.1597093165,110.8959219982,112.4578363925,1338696,adjusted
2023-06-14,111.3704276369,112.912570963,109.9567962547,111.933903083,1328892,adjusted
2023-06-15,109.8480553792,110.6290125763,108.3355686555,108.3751107921,1562999,adjusted
2023-06-16,108.5431648725,109.1264113869,104.9547159792,105.29082414,3172158,adjusted
2023-06-20,105.8048719153,106.4276605663,103.6498254725,106.1014379396,1638318,adjusted
2023-06-21,105.4687637545,105.8246429836,103.0171512875,103.4422292556,1654474,adjusted
2023-06-22,103.4422292556,105.152426662,102.7502418657,104.2231864527,818040,adjusted
2023-06-23,102.8095550705,103.5905122677,101.8210016564,102.3548205,4425122,adjusted
2023-06-26,103.8277650871,105.7752153129,103.3433739141,103.4323437214,952059,adjusted
2023-06-27,103.4521147897,107.9698038923,102.6736289761,107.8412919485,1170916,adjusted
2023-06-28,106.0223536665,107.7819787436,105.7851008471,106.7538831929,896914,adjusted
2023-06-29,107.6238101974,108.4838516677,106.407889498,107.7226655388,820461,adjusted
2023-06-30,108.7408755553,110.5400427691,108.3355686555,109.5514893549,1125021,adjusted
2023-07-03,110.18416354,110.2434767448,107.7325510729,108.7705321578,755443,adjusted
2023-07-05,108.6914478846,108.7112189529,105.7267761956,106.061895803,1614150,adjusted
2023-07-06,103.5114279945,105.2018543327,102.2905645281,105.1029989913,1288636,adjusted
2023-07-07,105.1128845254,106.8082536307,104.5592946135,104.6284933525,878685,adjusted
2023-07-10,104.7866618988,106.481141306,104.4999814087,106.2200643493,1029283,adjusted
2023-07-11,105.8839561885,106.6461308708,104.3714694648,105.7159021081,834025,adjusted
2023-07-12,107.4359850487,107.6732378681,105.3946222485,106.2497209517,1466708,adjusted
2023-07-13,107.3569007755,111.4692829784,107.1295334903,111.16283142,1244885,adjusted
2023-07-14,110.4313018935,110.7080968495,105.9037272568,106.407889498,1195666,adjusted
2023-07-17,107.2580454341,111.0145484079,107.0553919842,110.4609584959,1006170,adjusted
2023-07-18,109.7590855719,109.9271396523,107.7325510729,109.3142365355,929457,adjusted
2023-07-19,109.7096579012,110.0754226644,106.7835397953,107.1987322293,1058878,adjusted
2023-07-20,105.0634568547,105.0634568547,102.0681400099,102.3350494317,2389885,adjusted
2023-07-21,104.1441021796,104.6087222842,102.4833324438,103.3038317776,1554225,adjusted
2023-07-24,103.7486808139,104.6581499549,102.9281814802,103.6597110067,630892,adjusted
2023-07-25,103.7190242115,105.6071612325,103.7190242115,104.1836443162,954725,adjusted
2023-07-26,103.4422292556,104.4900958745,102.2361940903,103.1852053679,1082203,adjusted
2023-07-27,106.2497209517,108.088430302,104.4802103404,105.4885348228,1382426,adjusted
2023-07-28,106.5364014418,107.9006051533,106.4177750321,107.2679309683,1019749,adjusted
2023-07-31,107.1295334903,108.9089296357,107.0603347513,108.4541950652,909535,adjusted
2023-08-01,106.9618649898,107.6347055836,105.8734463821,106.5462869759,1034761,adjusted
2023-08-02,104.0923977514,105.2302899321,102.1035601137,102.4597698399,1761162,adjusted
2023-08-03,101.9650341091,102.5389275568,99.4121977384,101.6582979561,1689743,adjusted
2023-08-04,101.1239833668,101.3664038749,99.0460932977,99.9663017569,1675298,adjusted
2023-08-07,101.3119829445,102.4696645545,100.2532484807,101.9056658214,1049712,adjusted
2023-08-08,99.9761964715,100.6589317799,98.4425157061,100.5204057753,1091280,adjusted
2023-08-09,100.8271419284,101.0151415061,98.7690412884,98.8778831492,1272137,adjusted
2023-08-10,100.2928273392,101.5197719515,97.9774641192,98.8679884346,1190007,adjusted
2023-08-11,97.4530442446,97.9972535485,94.9199973031,95.206944027,1317435,adjusted
2023-08-14,94.3658932847,97.57178082,94.3411564982,97.4827283885,1159357,adjusted
2023-08-15,96.9088349408,96.9088349408,94.7023135816,94.8606290155,801789,adjusted
2023-08-16,94.7715765839,95.0684180224,93.0944224567,93.4555795401,766473,adjusted
2023-08-17,93.4456848255,94.2471567093,92.7035812294,93.020212097,1156812,adjusted
2023-08-18,91.8427410578,94.0538139857,91.5656890486,93.7524209786,1045382,adjusted
2023-08-21,93.9305258416,97.2056763792,93.6732632616,96.9088349408,1399000,adjusted
2023-08-22,98.2446214138,98.4326209915,95.978731767,96.1865207739,873346,adjusted
2023-08-23,95.721469187,98.4524104208,95.721469187,98.0269376923,829047,adjusted
2023-08-24,99.1747245877,99.3231453069,94.0096835586,94.177893707,1530687,adjusted
2023-08-25,94.6330505793,96.0578894839,93.0696856701,95.464206607,1077372,adjusted
2023-08-28,96.1271524862,97.1166239477,95.0189444493,96.1370472008,744446,adjusted
2023-08-29,95.5334696093,100.1740907638,95.3751541754,99.3231453069,872685,adjusted
2023-08-30,98.9174620077,100.0998804042,98.0417797642,99.5210395992,682677,adjusted
2023-08-31,98.8185148615,101.0844045084,98.6700941423,100.2037749076,1305520,adjusted
2023-09-01,100.9260890745,101.6978768145,100.000933258,101.4109300907,839834,adjusted
2023-09-05,101.0646150792,101.3220755534,98.6750414996,99.88714404,633429,adjusted
2023-09-06,99.4814607407,101.1041939376,97.9181947787,98.6305152838,895291,adjusted
2023-09-07,96.3052573493,96.7455721496,94.0888412755,96.0183106254,1507977,adjusted
2023-09-08,95.7808374747,96.41409921,94.563787577,95.1178915954,750241,adjusted
2023-09-11,96.5922040731,96.7554668643,93.3318956074,94.5044192893,690570,adjusted
2023-09-12,93.4258953963,95.2267334562,93.228001104,93.228001104,529702,adjusted
2023-09-13,93.228001104,95.1376810247,92.8618966632,93.8315786955,889087,adjusted
2023-09-14,94.8309448716,95.2168387416,93.4456848255,93.5941055447,800974,adjusted
2023-09-15,92.6640023709,92.9608438093,89.883587564,91.0313744594,2214027,adjusted
2023-09-18,90.784006594,92.5055879899,90.6059017309,91.8229516286,896445,adjusted
2023-09-19,91.8229516286,91.8427410578,90.655375304,90.9819008863,1305853,adjusted
2023-09-20,91.7338991971,92.1890560694,89.705482701,89.7648509887,747359,adjusted
2023-09-21,88.7753795271,90.8136907379,88.3993803718,89.062326251,1429669,adjusted
2023-09-22,90.012218854,91.4073736148,89.4779042648,90.0814818563,1239045,adjusted
2023-09-25,89.7648509887,90.7889539513,89.0722209656,90.5861123017,739487,adjusted
2023-09-26,89.7747457033,90.0616924271,87.1575936876,87.8848552118,1627315,adjusted
2023-09-27,88.7259059541,89.2899046871,87.5138034137,88.4092750864,1085646,adjusted
2023-09-28,88.0926442187,91.1600057494,87.7773986111,90.7741118794,1214412,adjusted
2023-09-29,92.3572662178,94.113578062,92.1296877817,92.9212649509,1414714,adjusted
2023-10-02,93.2378958186,94.0987359901,91.6151626217,92.4067397909,1234587,adjusted
2023-10-03,90.9917956009,92.0604247794,88.5774852348,89.8143245617,1643359,adjusted
2023-10-04,90.5960070163,94.2224199228,90.4277968679,93.9799994147,1639298,adjusted
2023-10-05,93.7425262639,94.3461038555,92.0208459209,92.1791613547,1639110,adjusted
2023-10-06,91.5458996194,94.4747351455,91.2094793225,93.791999837,1123031,adjusted
2023-10-09,92.0208459209,95.0387338785,91.3133738259,94.5341034332,824845,adjusted
2023-10-10,95.078312737,97.0176768016,94.4252615724,96.0677841985,976582,adjusted
2023-10-11,96.8791507969,97.2823604175,95.3652594608,96.5823093585,721918,adjusted
2023-10-12,96.7604142216,98.7096730007,96.0578894839,96.9484137993,1151154,adjusted
2023-10-13,97.18588695,97.6262017504,94.0591571316,94.435156287,1134356,adjusted
2023-10-16,94.8309448716,97.1759922354,94.3757879993,96.4239939246,1059179,adjusted
2023-10-17,94.6330505793,96.8197825093,93.4654742547,95.9688370524,886730,adjusted
2023-10-18,94.0987359901,95.2267334562,93.6732632616,94.0690518462,1138875,adjusted
2023-10-19,95.1772598831,95.1772598831,90.5861123017,90.9027431694,1832860,adjusted
2023-10-20,90.9225325986,92.4379081419,88.8248531002,89.7450615594,1107431,adjusted
2023-10-23,89.1810628264,90.3436917936,88.4290645156,88.4884328033,1147559,adjusted
2023-10-24,89.497693694,90.526744014,88.6220114506,90.2299025756,901605,adjusted
2023-10-25,88.6368535225,88.9040108171,85.0846509757,85.7574915695,2162389,adjusted
2023-10-26,86.232437871,88.4488539448,85.8366492864,86.6084370264,1183304,adjusted
2023-10-27,86.9844361818,87.6127505599,85.9158070034,86.8953837503,991446,adjusted
2023-10-30,87.0734886133,87.7265397779,85.3122294118,86.7172788872,1296723,adjusted
2023-10-31,86.8454943384,87.766748014,85.6864977789,87.2120146179,1502571,adjusted
2023-11-01,86.9742717339,88.0738325725,85.5478144299,87.984678991,1916319,adjusted
2023-11-02,84.6760905218,87.0337074549,83.3338338225,84.9039274523,2654318,adjusted
2023-11-03,84.6760905218,91.4715746231,84.6760905218,91.3923269951,1904473,adjusted
2023-11-06,91.8083770422,91.9866842052,88.2521397355,90.1639887611,1297933,adjusted
2023-11-07,90.2432363891,91.2635495996,89.8668101561,90.5106971336,704465,adjusted
2023-11-08,90.2135185286,91.1545841111,89.430948202,91.1149602971,1083047,adjusted
2023-11-09,91.6003520186,92.8385962062,89.391324388,89.7578446676,1596586,adjusted
2023-11-10,90.7385340641,95.0278119298,89.7999449699,94.6216678363,1816713,adjusted
2023-11-13,94.0174046728,94.032263603,92.2343330427,93.1258688577,860124,adjusted
2023-11-14,96.4938930479,100.2482494245,96.2611031406,99.6142684005,2051806,adjusted
2023-11-15,100.0105065405,102.3681234736,99.287371935,101.8728257986,1978598,adjusted
2023-11-16,101.5063055191,102.6752080321,100.6593464948,102.1600984501,2257932,adjusted
2023-11-17,101.9916972406,102.5662425436,100.9812899836,101.8926377056,1287642,adjusted
2023-11-20,101.7044245891,104.7554582672,101.4666817051,104.2799724992,1270352,adjusted
2023-11-21,103.2596592887,104.1115712897,101.0011018906,101.4171519376,1001228,adjusted
2023-11-22,102.7049258926,103.6459914752,101.7985311474,102.2195341711,799690,adjusted
2023-11-24,101.8926377056,103.6360855217,101.8827317521,102.8931390092,493859,adjusted
2023-11-27,102.3780294271,104.4384677552,101.5657412401,103.7549569637,896060,adjusted
2023-11-28,103.0120104512,104.2502546387,101.8728257986,102.6752080321,1018940,adjusted
2023-11-29,104.2601605922,105.7955833848,103.3091890562,103.5271200332,1017020,adjusted
2023-11-30,104.1908189177,104.2601605922,102.3384056131,103.4181545447,1101901,adjusted
2023-12-01,102.5167127761,107.4102538054,101.5756471936,107.2814764099,1907870,adjusted
2023-12-04,105.6073702683,105.9937024548,103.0417283117,105.8748310128,1428719,adjusted
2023-12-05,105.1913202213,105.1913202213,103.0912580792,103.9233581732,726036,adjusted
2023-12-06,105.5776524078,106.4890001298,103.9134522197,104.0224177082,876293,adjusted
2023-12-07,104.6266808717,106.3552697576,103.5667438472,105.2012261748,1133582,adjusted
2023-12-08,104.7851761277,106.9545799443,104.6167749182,105.9837965013,1662705,adjusted
2023-12-11,106.5385298973,109.2428552029,106.2017274783,109.0249242259,1697670,adjusted
2023-12-12,108.7772753884,109.995707669,107.8163978989,109.1437956679,832527,adjusted
2023-12-13,108.7079337139,113.4281205569,108.7079337139,112.3533246021,1178109,adjusted
2023-12-14,113.5816628361,118.5247336329,113.2052366031,118.1284954928,2582539,adjusted
2023-12-15,118.3662383769,118.6881818656,116.7416620028,117.2369596778,3072511,adjusted
2023-12-18,117.2666775383,118.3068026558,115.9491857227,117.8511287948,1572307,adjusted
2023-12-19,118.3761443304,118.7723824704,117.1081822823,118.1086835858,995001,adjusted
2023-12-20,117.3261132593,119.0646080986,114.4038569767,114.5128224652,1246597,adjusted
2023-12-21,117.0190287008,119.2379622849,116.5534488863,118.5049217259,1205862,adjusted
2023-12-22,119.3568337269,120.8526327055,117.3756430268,118.8813479589,774342,adjusted
2023-12-26,119.9313790299,121.4271780085,119.0596551219,120.3276171699,1045978,adjusted
2023-12-27,120.763479124,121.3875541945,119.6044825644,120.4563945654,786142,adjusted
2023-12-28,120.545548147,120.822914845,119.4657992154,120.2879933559,912560,adjusted
2023-12-29,119.6342004249,120.842726752,118.4355800514,118.6931348424,811820,adjusted
2024-01-02,116.1671166998,116.1671166998,111.9075566946,112.9674937191,1744055,adjusted
2024-01-03,110.471193437,111.0556446935,108.6336390627,109.1239837609,1491089,adjusted
2024-01-04,107.8064919454,109.9263659945,107.3508180844,108.0145169689,1722869,adjusted
2024-01-05,108.2918836669,110.2433565065,107.8708806431,108.8961468304,1168090,adjusted
2024-01-08,109.3617266449,112.3236067416,109.3617266449,111.8084971596,1315624,adjusted
2024-01-09,110.530629158,112.5910674861,110.074955297,111.5509423685,734626,adjusted
2024-01-10,112.1056757646,112.3236067416,110.193826739,111.8778388341,724030,adjusted
2024-01-11,111.2735756705,112.5217258116,108.8218521792,111.0160208795,904944,adjusted
2024-01-12,110.7980899025,112.1997823228,109.6093754825,110.7386541815,569259,adjusted
2024-01-16,110.0056136225,111.9669924156,108.9952063654,111.6698138105,841122,adjusted
2024-01-17,109.8074945525,110.8575256235,108.2918836669,110.570252972,1389959,adjusted
2024-01-18,113.7104402316,115.1765213497,111.8283090666,114.9288725122,1561614,adjusted
2024-01-19,116.0581512112,119.4558932619,115.0279320472,119.2082444244,1663621,adjusted
2024-01-22,120.2087457279,121.5162325305,119.0695610754,119.7332599599,899998,adjusted
2024-01-23,119.8620373554,122.348431684,118.3662383769,122.130500707,761187,adjusted
2024-01-24,123.6560175461,124.4286819191,121.2488708455,122.031441172,1235747,adjusted
2024-01-25,124.6862367101,125.3004058272,121.2686827525,122.269184056,1875984,adjusted
2024-01-26,120.2384635884,121.238964892,117.6431037713,119.2577741919,1836073,adjusted
2024-01-29,119.8323194949,121.952193544,119.0992789359,121.833322102,1084515,adjusted
2024-01-30,120.6642165315,121.7151085661,119.7818637856,120.9120684265,1294387,adjusted
2024-01-31,118.8598547364,119.9404889983,116.0591283236,116.6886721367,2166237,adjusted
2024-02-01,118.1559553548,118.2104827716,114.6414154845,116.9761803349,1213954,adjusted
2024-02-02,116.3912498628,118.7111435994,115.7666630876,118.4137213255,1094645,adjusted
2024-02-05,118.0667286726,119.1473629345,115.8162334665,118.5822606141,773110,adjusted
2024-02-06,118.681401372,118.7706280542,115.4791548894,117.5511967311,798502,adjusted
2024-02-07,118.4335494771,119.4249570568,116.4507343176,118.8499406606,957385,adjusted
2024-02-08,118.8499406606,124.0052600753,118.4038072497,123.678095574,1536555,adjusted
2024-02-09,125.1652069436,125.978161159,123.8862911657,125.8393640978,1651309,adjusted
2024-02-12,125.4824573691,127.4593240831,124.5901905473,125.0363239582,1151503,adjusted
2024-02-13,118.9689095702,124.1143149091,117.9775019904,123.0237665713,1991331,adjusted
2024-02-14,128.8829853677,133.4434602345,127.2372487853,130.042932236,3508950,adjusted
2024-02-15,133.3344054008,135.0544975516,130.4989797227,134.4844381933,2003205,adjusted
2024-02-16,134.5835789512,138.8962019232,133.9292499486,135.6344709858,2415926,adjusted
2024-02-20,132.5908497159,135.426275394,130.9748553609,134.3555552079,2813148,adjusted
2024-02-21,132.0654036987,133.1956083396,130.7815308829,133.1856942638,1442635,adjusted
2024-02-22,136.3780266706,136.5763081865,133.6714839779,134.0184766308,2249204,adjusted
2024-02-23,134.1473596161,134.7322900882,130.1817292971,131.4011606202,1588718,adjusted
2024-02-26,132.5511934127,133.2352646428,131.2425354075,131.3714183928,999353,adjusted
