Date,Open,High,Low,Close,Volume,PriceMode
2023-04-11,57.8079088809,57.8451202802,57.6078976094,57.6962746829,3108769,adjusted
2023-04-12,58.3009599222,58.3846855707,57.742788932,57.8265145806,4454595,adjusted
2023-04-13,59.1847306566,59.5754503497,59.1475192573,59.5475418002,3664535,adjusted
2023-04-14,59.1010050081,59.3242734042,58.6033025419,58.933553711,2561968,adjusted
2023-04-17,58.4591083694,58.5428340179,58.2032799989,58.4498055196,2451348,adjusted
2023-04-18,58.7009824651,58.7521481392,58.4032912704,58.5800454173,1932622,adjusted
2023-04-19,57.8730288297,58.0962972258,57.7893031812,58.0125715773,1804048,adjusted
2023-04-20,58.0311772769,58.2683999478,57.7334860822,57.8265145806,3163005,adjusted
2023-04-21,57.3799777884,57.3892806383,56.9287895714,57.2683435904,3255528,adjusted
2023-04-24,56.9055324468,56.9985609452,56.6869154756,56.896229597,1984825,adjusted
2023-04-25,55.7240705176,55.761281917,55.2682308757,55.2868365753,2554555,adjusted
2023-04-26,55.705464818,55.872916115,55.4496364475,55.5938306199,1803422,adjusted
2023-04-27,55.6310420193,56.3985271307,55.6310420193,56.3101500573,1961498,adjusted
2023-04-28,56.0961845111,56.440389955,56.0496702619,56.440389955,3187191,adjusted
2023-05-01,56.2450301084,56.5985384022,55.984550313,56.0682759616,2247117,adjusted
2023-05-02,56.3659671563,56.4869042042,56.0915330861,56.1892130094,2906525,adjusted
2023-05-03,56.2264244088,56.5613270029,55.8636132652,55.8915218147,3012412,adjusted
2023-05-04,56.3566643065,56.4589956547,56.1706073097,56.3380586068,2580917,adjusted
2023-05-05,56.6636583511,57.4171891878,56.607841252,57.2962521399,2267995,adjusted
2023-05-08,57.2590407406,57.3241606894,57.1660122422,57.2590407406,2675164,adjusted
2023-05-09,56.7845953989,56.8404124979,56.6636583511,56.7287782999,3066106,adjusted
2023-05-10,56.9613495458,56.9846066704,56.4217842553,56.8032010986,3639360,adjusted
2023-05-11,55.7891904665,55.9054760894,55.4542878724,55.872916115,5277805,adjusted
2023-05-12,55.4914992717,55.5380135209,55.0170539301,55.137990978,2862043,adjusted
2023-05-15,55.5752249202,56.0636245366,55.5519677957,56.0217617124,3369874,adjusted
2023-05-16,55.6310420193,55.761281917,55.3845164986,55.4356821727,2381794,adjusted
2023-05-17,56.2450301084,56.5566755779,56.0682759616,56.496207054,2780642,adjusted
2023-05-18,56.6264469517,56.9660009707,56.4124814055,56.9334409963,3852403,adjusted
2023-05-19,57.6776689832,57.8172117307,57.4916119865,57.7241832324,3780456,adjusted
