Date,Open,High,Low,Close,Volume,PriceMode
2023-04-17,216.6869798849,217.4476145705,214.80886955,215.3347404438,1534147,adjusted
2023-04-18,216.2362334045,217.6495114315,214.433247483,215.240834927,1282880,adjusted
2023-04-19,213.5223639706,215.5695042356,213.3345529371,215.5037703739,1340939,adjusted
2023-04-20,214.80886955,217.3443185021,214.2266553462,215.4004743055,1314924,adjusted
2023-04-21,215.7760963725,218.3303264279,214.7900884466,216.395872783,2180092,adjusted
2023-04-24,216.9217436767,218.4617941513,215.9075640959,218.0110476709,1374278,adjusted
2023-04-25,214.1984836912,215.9357357509,210.6770268133,211.7287686008,2201362,adjusted
2023-04-26,210.7615417784,212.588004079,208.1885306196,209.1933196488,1798303,adjusted
2023-04-27,210.4798252281,212.5410513206,209.4186928889,212.1701245295,1535192,adjusted
2023-04-28,209.9915165411,214.6774018266,209.9915165411,213.8979860376,1608519,adjusted
2023-05-01,214.5271529998,217.100070253,214.405075828,216.5273405064,1122115,adjusted
2023-05-02,215.2032727203,215.9639074059,212.7241670783,214.4802002414,1102183,adjusted
2023-05-03,214.1609214845,217.5696917422,213.1749135587,214.5928868615,1356578,adjusted
2023-05-04,214.2172647945,214.8839939634,211.2968032238,212.5739182515,955141,adjusted
2023-05-05,213.2969907304,216.8935720217,212.761729285,215.3253498921,1157944,adjusted
2023-05-08,215.0905861002,217.5321295355,215.0905861002,216.6681987815,1058154,adjusted
2023-05-09,215.7854869241,216.9968680901,214.4426380347,214.6961829299,969490,adjusted
2023-05-10,215.672800304,216.1722837476,210.2732330913,212.5363560448,1480856,adjusted
2023-05-11,212.7053859749,212.7053859749,209.7661433009,211.1371638453,1286236,adjusted
2023-05-12,211.5127859123,212.2075928307,206.8362911785,209.3435684755,1641833,adjusted
2023-05-15,208.263655033,209.8412677143,207.7096124842,208.8646503402,1863893,adjusted
2023-05-16,207.8692518627,209.7473621975,205.9630637783,207.7847368976,1529671,adjusted
2023-05-17,207.9819384828,212.2546394946,207.6532691742,212.1231717711,2702427,adjusted
2023-05-18,215.1375388586,219.8797674541,214.4708096897,216.3864822313,2560639,adjusted
2023-05-19,217.1658980203,217.4006618121,214.0200632094,215.1187577552,1584100,adjusted
2023-05-22,215.0624144452,216.3911775071,213.5505356256,214.7431356883,1024429,adjusted
2023-05-23,213.4096773505,215.5422716358,212.0386568061,212.8274631467,898151,adjusted
2023-05-24,211.2874126721,212.1513434262,208.9679464086,209.9257826794,1031865,adjusted
2023-05-25,210.9117906052,212.5551371482,210.2262803329,211.3625370855,1015473,adjusted
2023-05-26,212.0198757027,213.0246647319,210.254451988,210.4892157798,1218025,adjusted
2023-05-30,211.8226741176,213.5223639706,209.9727354377,212.357935563,2073685,adjusted
2023-05-31,210.0760315061,210.2638425396,204.54499657,204.6952453968,2778589,adjusted
2023-06-01,204.2538894681,204.6764642934,200.7746900727,204.0472973312,2170638,adjusted
2023-06-02,205.2117257388,209.0853283045,205.0145241537,208.2260928263,1541576,adjusted
2023-06-05,208.4326849631,209.6064100169,206.9208061436,207.6063164158,1187943,adjusted
2023-06-06,206.592136835,207.2400849005,205.2305068422,206.1226092513,1474689,adjusted
2023-06-07,207.0147116603,211.118382742,206.6109179383,210.9117906052,2141470,adjusted
