Date,Open,High,Low,Close,Volume,PriceMode
2023-06-30,24.6595965373,24.960797283,24.6595965373,24.853919599,133618,adjusted
2023-07-03,24.853919599,24.8733519052,24.6984611496,24.7761903743,54973,adjusted
2023-07-05,24.6401642311,24.7081773027,24.4749896286,24.5721511595,137495,adjusted
2023-07-06,24.3972604039,24.3972604039,23.8735597524,24.076627352,158964,adjusted
2023-07-07,24.1252081174,24.4312669397,24.1252081174,24.183505036,102587,adjusted
2023-07-10,24.2223696483,24.853919599,24.2126534952,24.853919599,57075,adjusted
2023-07-11,24.9510811299,25.0093780484,24.6693126904,24.8442034459,133135,adjusted
2023-07-12,25.2328495695,25.2328495695,24.7896958271,24.9510811299,204758,adjusted
2023-07-13,25.2134172633,25.4368887843,25.1259718855,25.3397272534,107554,adjusted
2023-07-14,25.407740325,25.4660372436,24.9025003645,25.0093780484,203032,adjusted
2023-07-17,25.0093780484,25.8061026016,25.0093780484,25.7478056831,164602,adjusted
2023-07-18,25.8158187547,26.0781548881,25.7283733769,26.068438735,346591,adjusted
2023-07-19,26.2044648783,26.2044648783,25.4952828644,25.7186572239,167349,adjusted
2023-07-20,25.4660372436,25.5243341621,24.9620603829,25.0093780484,199704,adjusted
2023-07-21,25.2231334164,25.2814303349,24.9007514569,24.9219326706,120763,adjusted
2023-07-24,24.960797283,25.0675778054,24.5041380879,24.6498803842,293476,adjusted
2023-07-25,24.7178934558,25.0188027169,24.7178934558,24.8053388336,91432,adjusted
2023-07-26,24.6693126904,24.8950189266,24.523570394,24.7276096089,57590,adjusted
2023-07-27,25.2425657225,25.277058066,24.4749896286,24.5818673126,147371,adjusted
2023-07-28,24.8733519052,25.1916530804,24.8636357521,25.1551203448,76573,adjusted
2023-07-31,25.2814303349,25.7963864486,25.2814303349,25.7963864486,75694,adjusted
2023-08-01,25.407740325,25.407740325,25.1356880386,25.3008626411,146136,adjusted
2023-08-02,24.9899457423,24.9899457423,24.378799713,24.5624350064,149799,adjusted
2023-08-03,24.3681119446,24.6207319249,24.3681119446,24.406976557,73914,adjusted
2023-08-04,24.5332865471,24.6936030731,24.020079341,24.0669111989,80792,adjusted
2023-08-07,24.183505036,24.2272277249,23.8920204433,24.1543565767,126632,adjusted
2023-08-08,23.6588327692,23.7559943001,23.4645097074,23.7171296877,153732,adjusted
2023-08-09,23.6782650754,23.7365619939,23.2118897272,23.2799027988,104178,adjusted
2023-08-10,23.5519550852,23.5519550852,22.9592697469,23.1147281963,228501,adjusted
2023-08-11,22.8815405222,23.0703253767,22.8523920629,22.8815405222,194845,adjusted
2023-08-14,22.7649466851,22.9301212876,22.6775013073,22.9301212876,89033,adjusted
2023-08-15,22.755230532,22.8183855271,22.5900559295,22.7455143789,70924,adjusted
2023-08-16,22.7260820728,22.8232436036,22.4540297863,22.4540297863,76305,adjusted
2023-08-17,22.5900559295,22.5900559295,21.9196413665,21.9293575195,128175,adjusted
2023-08-18,21.6184406207,22.1139644282,21.5018467837,22.0362352035,94246,adjusted
2023-08-21,22.1897504223,22.2304611037,21.9390736726,22.1722613467,69359,adjusted
2023-08-22,22.2791390307,22.2791390307,22.084815969,22.1625451937,48039,adjusted
2023-08-23,22.1333967344,22.531759011,22.1018192369,22.4540297863,110348,adjusted
2023-08-24,22.5220428579,22.5220428579,22.094532122,22.094532122,104603,adjusted
2023-08-25,22.1916936529,22.3568682554,21.9487898257,22.2694228776,60276,adjusted
2023-08-28,22.3860167147,22.531759011,22.3699850621,22.4151651739,29916,adjusted
2023-08-29,22.4151651739,22.9687915769,22.4151651739,22.9301212876,43820,adjusted
2023-08-30,22.8912566753,23.1339661794,22.8718243691,23.0758635839,57305,adjusted
2023-08-31,23.1438766555,23.2410381864,23.0758635839,23.2021735741,41022,adjusted
2023-09-01,23.3867804827,23.5130904729,23.2896189519,23.4256450951,53924,adjusted
2023-09-05,23.3187674111,23.3867804827,23.1827412679,23.299335105,72961,adjusted
2023-09-06,23.3673481766,23.4839420136,23.1050120432,23.309051258,33377,adjusted
2023-09-07,22.9884182061,23.2701866457,22.8815405222,23.2118897272,41834,adjusted
2023-09-08,23.2021735741,23.3187674111,23.0564312778,23.0952958901,20452,adjusted
2023-09-11,23.3576320235,23.3576320235,23.1438766555,23.2625108847,43838,adjusted
2023-09-12,23.0952958901,23.299335105,23.0078505123,23.0175666654,35906,adjusted
2023-09-13,22.9106889814,23.0564312778,22.7385187487,22.7843789913,45978,adjusted
2023-09-14,23.0078505123,23.0369989716,22.7066497666,22.8232436036,37367,adjusted
2023-09-15,22.7066497666,22.7066497666,22.4151651739,22.5269009345,33078,adjusted
2023-09-18,22.3665844085,22.5706236234,22.3665844085,22.4637459394,83030,adjusted
2023-09-19,22.3957328678,22.4054490209,22.094532122,22.2208421122,60983,adjusted
2023-09-20,22.3180036431,22.424881327,21.924499443,21.9293575195,49021,adjusted
2023-09-21,21.5795760084,21.6573052331,21.3366721812,21.3463883343,122907,adjusted
2023-09-22,21.5018467837,21.6330148504,21.3803948701,21.4046852528,83384,adjusted
2023-09-25,21.2686591096,21.5344930581,21.2395106503,21.5212790899,42960,adjusted
2023-09-26,21.3852529466,21.4629821713,21.2443687268,21.2492268034,42439,adjusted
2023-09-27,21.3949690997,21.6970442992,21.3772857011,21.6232986973,173071,adjusted
2023-09-28,21.64758908,21.9395594803,21.5892921615,21.7933313763,88426,adjusted
2023-09-29,21.9973705912,22.084815969,21.7350344578,21.7430017033,84595,adjusted
2023-10-02,21.7058859985,21.754466764,21.487272554,21.6087244676,72453,adjusted
2023-10-03,21.4435498651,21.4921306306,21.0170107446,21.1132006602,61142,adjusted
2023-10-04,21.1229168132,21.2589429565,20.9674583638,21.2086132835,37019,adjusted
2023-10-05,21.2492268034,21.3949690997,21.1423491194,21.3561044874,56704,adjusted
2023-10-06,21.2395106503,21.9293575195,21.2395106503,21.8516282948,79831,adjusted
2023-10-09,21.6767375393,22.1431128875,21.6767375393,22.0750998159,68517,adjusted
2023-10-10,22.1722613467,22.5074686283,22.1722613467,22.2985713369,77804,adjusted
2023-10-11,22.4054490209,22.531759011,22.1551609173,22.4054490209,78550,adjusted
2023-10-12,22.4443136332,22.4443136332,21.8516282948,22.0265190504,146593,adjusted
2023-10-13,22.0556675097,22.0799578924,21.6767375393,21.7350344578,136617,adjusted
2023-10-16,21.7738990701,22.1139644282,21.70724626,22.0653836628,88386,adjusted
2023-10-17,21.8516282948,22.3957328678,21.8516282948,22.2305582653,135740,adjusted
2023-10-18,22.0459513566,22.1722613467,21.7641829171,21.7933313763,118162,adjusted
2023-10-19,21.8516282948,21.871060601,21.2492268034,21.2880914157,217434,adjusted
2023-10-20,21.2297944972,21.2335837969,20.7342706897,20.8605806799,91769,adjusted
2023-10-23,20.7245545366,20.9966068231,20.5496637811,20.8119999144,75023,adjusted
2023-10-24,20.98689067,21.3658206404,20.98689067,21.2006460379,104068,adjusted
2023-10-25,21.1034845071,21.1034845071,20.6856899243,20.7237772444,66715,adjusted
2023-10-26,20.7363916461,20.784977381,20.2602514443,20.3261337008,376465,adjusted
2023-10-27,20.4448772368,20.4448772368,19.968737035,20.0173227699,137223,adjusted
2023-10-30,20.1922314155,20.2796857382,20.0464742108,20.1541401993,173675,adjusted
2023-10-31,20.1727971215,20.2505342973,20.0367570638,20.2213828564,137471,adjusted
2023-11-01,20.2513116691,20.5614830005,20.2513116691,20.5517658536,101457,adjusted
2023-11-02,20.7072402052,20.7072402052,20.4060086489,20.5226144126,164869,adjusted
2023-11-03,20.6878059112,21.0230474819,20.6878059112,20.892351855,182406,adjusted
2023-11-06,20.9890374675,20.9890374675,20.7555344256,20.8724317037,75257,adjusted
2023-11-07,20.8627145568,20.9696031735,20.8044116749,20.9015831447,138688,adjusted
2023-11-08,20.9890374675,20.9890374675,20.7946945279,20.8724317037,50355,adjusted
2023-11-09,20.9307345856,21.0279060554,20.775260234,20.8141288219,189017,adjusted
2023-11-10,20.8918659977,21.1445118191,20.8432802628,21.1253690395,171670,adjusted
2023-11-13,21.0376232023,21.3291376116,21.0084717614,21.2656846419,171464,adjusted
2023-11-14,21.6400863148,21.8247121074,21.5331976981,21.790702093,179266,adjusted
2023-11-15,21.9024492832,22.0093378999,21.6595206088,21.7081063437,152150,adjusted
2023-11-16,21.6109348739,21.7664092255,21.4748948162,21.6012177269,147728,adjusted
2023-11-17,21.6692377558,21.9121664301,21.6692377558,21.8635806953,86942,adjusted
2023-11-20,21.8830149892,22.1648122515,21.8830149892,22.1356608106,166757,adjusted
2023-11-21,22.0287721939,22.1162265166,21.8167440468,21.9413178711,126593,adjusted
2023-11-22,21.9996207529,22.0870750757,21.8635806953,21.9461764446,136397,adjusted
2023-11-24,21.9218835771,22.1356608106,21.9218835771,22.0863948754,58865,adjusted
2023-11-27,22.0287721939,22.2133979864,21.9996207529,22.097472423,117134,adjusted
2023-11-28,22.0870750757,22.2182565599,22.0190550469,22.0579236348,146223,adjusted
2023-11-29,22.2619837213,22.5146295426,22.2619837213,22.3438992703,141303,adjusted
2023-11-30,22.786709658,22.8741639807,22.5534981305,22.7263661752,270686,adjusted
2023-12-01,22.757558217,23.175395537,22.7089724822,23.16567839,207202,adjusted
2023-12-04,22.9324668626,23.0394526508,22.7284067761,22.9810525975,174501,adjusted
2023-12-05,22.7964268049,22.9616183035,22.7439542113,22.9227497156,75104,adjusted
2023-12-06,23.0296383323,23.175201194,22.7284067761,22.7478410701,109343,adjusted
2023-12-07,22.7964268049,22.7964268049,22.6118010124,22.786709658,103413,adjusted
2023-12-08,22.6798210412,22.9324668626,22.5923667184,22.8838811277,114098,adjusted
2023-12-11,22.8838811277,23.0782240672,22.8352953928,23.0296383323,96652,adjusted
2023-12-12,23.0199211854,23.3405870356,22.9130325686,23.2628498598,55642,adjusted
2023-12-13,23.3308698886,23.7681415025,23.225050158,23.7487072085,115843,adjusted
2023-12-14,23.9430501481,24.1179587936,23.5057785342,23.7195557676,111724,adjusted
2023-12-15,23.7584243555,23.9236158541,23.5932328569,23.7292729146,144733,adjusted
2023-12-18,23.7778586495,24.0207873239,23.7389900616,23.9430501481,133213,adjusted
2023-12-19,24.0402216178,24.2442817043,24.0207873239,24.1859788225,142649,adjusted
2023-12-20,24.0499387648,24.2137698628,23.5932328569,23.5932328569,263305,adjusted
2023-12-21,23.9138987071,24.0488698786,23.7972929434,24.0402216178,172182,adjusted
2023-12-22,24.0305044708,24.1276759406,23.8944644132,24.0110701769,151692,adjusted
2023-12-26,24.0499387648,24.1908373959,24.0499387648,24.1471102346,64532,adjusted
2023-12-27,24.1762616755,24.2054131164,24.0305044708,24.1568273815,41036,adjusted
2023-12-28,24.1528012164,24.1528012164,24.0452381341,24.0647950582,92598,adjusted
2023-12-29,24.0354596721,24.1136873683,23.7616627352,23.8301119694,152301,adjusted
2024-01-02,23.5660934946,23.5807611876,23.0184996208,23.1553980893,345840,adjusted
2024-01-03,22.8327088423,22.9101542615,22.4904626712,22.4904626712,179853,adjusted
2024-01-04,22.5197980573,22.9011580765,22.5002411332,22.6860319118,131905,adjusted
2024-01-05,22.5980257535,23.0038319278,22.5980257535,22.8131519182,128831,adjusted
2024-01-08,22.8913796144,23.5172011844,22.8913796144,23.4780873363,44930,adjusted
2024-01-09,23.3020750197,23.7323273491,23.3020750197,23.6540996529,133578,adjusted
2024-01-10,23.7616627352,23.8496688935,23.6736565769,23.7225488871,97699,adjusted
2024-01-11,23.8594473555,23.9278965897,23.3118534818,23.7518842732,88024,adjusted
2024-01-12,23.8594473555,23.9865673619,23.6149858047,23.702991963,48896,adjusted
2024-01-16,23.6247642668,23.8487888319,23.5074227224,23.8203335074,64540,adjusted
2024-01-17,23.5074227224,23.6740477154,23.1749550133,23.6740477154,73852,adjusted
2024-01-18,23.9767888999,24.02568121,23.5660934946,23.8203335074,50638,adjusted
2024-01-19,23.9376750518,24.0647950582,23.693213501,24.0647950582,49584,adjusted
2024-01-22,24.4265981533,24.5537181597,24.2261396817,24.3874843052,150196,adjusted
2024-01-23,24.4754904635,24.5146043116,24.2408073747,24.4070412292,57375,adjusted
2024-01-24,24.7297304763,24.7786227864,24.2799212228,24.2994781469,80453,adjusted
2024-01-25,24.5439396977,24.6123889319,24.2799212228,24.4461550774,66760,adjusted
2024-01-26,24.4168196913,24.6607923189,24.3483704571,24.4657120014,39115,adjusted
2024-01-29,24.5243827736,24.9839704891,24.5243827736,24.9839704891,80448,adjusted
2024-01-30,24.9350781789,24.9839704891,24.7492874003,24.8764074067,44793,adjusted
2024-01-31,24.6123889319,24.8177366345,24.2896996849,24.328813533,94087,adjusted
2024-02-01,24.5537181597,24.9605021802,24.4265981533,24.9155212549,108466,adjusted
2024-02-02,24.8959643308,25.5120074387,24.8959643308,25.4142228184,108632,adjusted
