Date,Open,High,Low,Close,Volume,PriceMode
2023-04-17,15.92,16.13,15.555,15.73,1733325,adjusted
2023-04-18,16.12,16.8,16.1,16.75,3423833,adjusted
2023-04-19,16.34,16.61,16.14,16.43,2011181,adjusted
2023-04-20,16.68,17.07,16.2608,16.32,2341899,adjusted
2023-04-21,16.29,16.67,15.95,16.43,2769582,adjusted
2023-04-24,16.57,17.11,15.45,15.96,3324764,adjusted
2023-04-25,15.73,15.73,14.9377,14.96,2588213,adjusted
2023-04-26,15.41,15.646,14.8,14.84,2116736,adjusted
2023-04-27,15.19,15.36,14.69,15.1,2173032,adjusted
2023-04-28,14.64,14.8,14.1,14.78,2767888,adjusted
2023-05-01,14.72,14.95,14.345,14.73,2609718,adjusted
2023-05-02,14.6,14.63,14.18,14.19,2378465,adjusted
2023-05-03,14.15,14.18,13.44,13.53,6566498,adjusted
2023-05-04,13.28,13.53,11.73,11.85,6253177,adjusted
2023-05-05,12.0,12.26,11.61,11.78,4265402,adjusted
2023-05-08,12.0,12.8,11.9336,12.47,4336197,adjusted
2023-05-09,12.16,12.5,12.13,12.31,1895773,adjusted
2023-05-10,12.63,13.375,12.63,13.03,3406002,adjusted
2023-05-11,12.98,13.185,12.53,13.14,2097056,adjusted
2023-05-12,13.14,13.5,12.62,12.97,1998925,adjusted
2023-05-15,13.02,13.385,12.815,13.21,2133920,adjusted
2023-05-16,13.17,13.44,12.755,12.86,2948770,adjusted
2023-05-17,12.87,13.31,12.73,13.27,2013985,adjusted
2023-05-18,13.1,13.355,12.91,13.24,2880936,adjusted
2023-05-19,13.13,13.26,12.59,12.89,2559890,adjusted
2023-05-22,12.91,13.67,12.8642,13.46,2905266,adjusted
2023-05-23,13.35,15.1156,13.21,14.48,5583862,adjusted
2023-05-24,14.19,14.93,13.97,14.82,2959061,adjusted
2023-05-25,15.27,15.45,14.47,14.78,2910469,adjusted
2023-05-26,14.78,15.565,14.78,15.43,2633003,adjusted
2023-05-30,15.85,16.198,15.59,15.92,3188821,adjusted
2023-05-31,15.67,16.3023,15.56,16.28,3343897,adjusted
