Date,Open,High,Low,Close,Volume,PriceMode
2023-07-11,78.61,78.63,77.22,78.32,4295195,adjusted
2023-07-12,78.87,79.03,75.51,76.72,6147898,adjusted
2023-07-13,77.4,78.29,76.73,78.245,4709541,adjusted
2023-07-14,78.55,80.03,78.34,78.92,4913721,adjusted
2023-07-17,78.72,80.6,78.58,80.28,4185827,adjusted
2023-07-18,79.96,80.445,79.16,80.24,4586209,adjusted
2023-07-19,80.45,81.24,78.3,78.69,5984975,adjusted
2023-07-20,78.67,79.37,77.53,77.7,3623851,adjusted
2023-07-21,78.37,79.1404,78.06,78.16,12134200,adjusted
2023-07-24,78.69,78.819,76.32,77.27,3870766,adjusted
2023-07-25,77.73,78.62,77.41,78.34,3678984,adjusted
2023-07-26,77.56,78.75,76.86,77.26,3378450,adjusted
2023-07-27,78.39,78.52,76.31,76.58,3957737,adjusted
2023-07-28,77.24,77.625,76.145,76.8,3545155,adjusted
2023-07-31,77.09,77.75,76.79,77.72,3544369,adjusted
2023-08-01,77.64,78.58,76.91,78.03,2621393,adjusted
2023-08-02,77.24,77.24,74.01,74.32,5677076,adjusted
2023-08-03,74.2,76.0,74.15,75.76,6102273,adjusted
2023-08-04,60.42,61.36,56.1,56.77,32831477,adjusted
2023-08-07,57.58,58.18,56.86,57.7,14402404,adjusted
2023-08-08,56.88,59.1161,56.57,58.57,16011804,adjusted
2023-08-09,58.84,60.35,58.46,59.78,13133517,adjusted
2023-08-10,61.16,62.21,60.07,60.56,10993561,adjusted
2023-08-11,60.05,61.21,59.35,59.68,7695677,adjusted
2023-08-14,59.69,60.1,59.2,59.66,7339978,adjusted
2023-08-15,59.57,60.23,59.01,59.17,7210700,adjusted
2023-08-16,59.0,59.59,58.15,58.18,3596708,adjusted
2023-08-17,58.6,58.83,57.34,57.41,5045623,adjusted
2023-08-18,56.98,57.69,56.84,57.16,5390397,adjusted
2023-08-21,58.07,58.717,57.79,58.39,6711700,adjusted
2023-08-22,58.32,58.605,57.78,58.32,4843329,adjusted
2023-08-23,58.805,59.5,58.14,59.19,4689677,adjusted
2023-08-24,59.6,59.83,58.12,58.15,4833725,adjusted
2023-08-25,58.2,58.96,57.96,58.81,4241207,adjusted
2023-08-28,59.1,59.43,58.2,58.7,4840914,adjusted
2023-08-29,58.7,60.93,58.51,60.63,5632182,adjusted
2023-08-30,60.57,61.445,60.501,61.22,5045791,adjusted
2023-08-31,61.5,61.83,60.17,60.21,6428583,adjusted
2023-09-01,60.5,60.96,60.385,60.87,4957878,adjusted
2023-09-05,60.92,61.97,60.56,61.91,4904778,adjusted
2023-09-06,61.9,62.389,61.72,62.23,5225479,adjusted
2023-09-07,61.88,63.33,61.62,63.17,5440718,adjusted
2023-09-08,63.05,64.3,63.05,64.07,5817932,adjusted
2023-09-11,64.82,65.455,64.52,65.07,4575513,adjusted
2023-09-12,64.61,65.68,63.47,63.5,5316945,adjusted
2023-09-13,63.27,63.8799,62.57,62.62,3995868,adjusted
2023-09-14,62.78,63.39,62.66,63.1,4289192,adjusted
2023-09-15,62.5,62.67,60.68,61.02,10314018,adjusted
2023-09-18,60.83,61.2822,60.3325,60.45,3429315,adjusted
2023-09-19,59.95,60.51,58.4536,60.44,4220538,adjusted
2023-09-20,60.68,61.385,60.14,60.15,3452716,adjusted
2023-09-21,59.66,60.15,58.665,58.78,4389127,adjusted
2023-09-22,58.75,59.09,58.112,58.24,3458580,adjusted
2023-09-25,57.84,58.15,57.63,58.11,3811284,adjusted
2023-09-26,57.84,58.04,57.185,57.43,4347550,adjusted
2023-09-27,57.94,58.34,57.5,58.14,3285461,adjusted
2023-09-28,58.18,59.24,57.71,58.6,3545915,adjusted
2023-09-29,59.64,59.67,58.35,58.68,4665251,adjusted
2023-10-02,58.79,59.57,58.335,58.63,4099010,adjusted
