Date,Open,High,Low,Close,Volume,PriceMode
2024-03-27,114.5763851659,134.5027130208,114.5763851659,130.766526548,4960400,adjusted
2024-03-28,137.4219200516,137.4219200516,129.4812784014,136.2462667081,2239100,adjusted
2024-04-01,140.4905745412,143.7983449652,136.5650879538,141.4968540979,1029500,adjusted
2024-04-02,142.3237967039,151.9183235661,138.1293046904,139.4842949846,18202667,adjusted
2024-04-03,141.7758226879,143.4695605556,135.299766135,136.8340933799,8855212,adjusted
2024-04-04,135.4990294136,138.8366893293,124.7985913555,125.5956444697,14105730,adjusted
2024-04-05,125.0377072897,127.7078352223,118.5616507369,122.2480213901,15985192,adjusted
2024-04-08,125.6653866172,131.463948023,125.3963811911,129.4812784014,11671134,adjusted
2024-04-09,130.3879263188,133.107870071,127.7775773698,131.6831376294,8524207,adjusted
2024-04-10,129.0229728607,139.4145528371,128.4650356808,137.8602992644,8376809,adjusted
2024-04-11,138.6872418704,138.8067998375,135.9075191346,136.0669297575,5326943,adjusted
2024-04-12,134.5027130208,137.6012570023,133.0630358333,133.5063966281,3765246,adjusted
2024-04-15,134.1041864637,134.8215342665,129.3716835982,131.2646847444,3724891,adjusted
2024-04-16,132.011922039,132.559896055,127.7775773698,129.5908732046,5870930,adjusted
2024-04-17,131.5536164983,137.6709991498,130.766526548,134.2536339227,6154554,adjusted
2024-04-18,137.641109658,137.9001519201,134.9311290697,136.7145354127,5022268,adjusted
2024-04-19,136.7444249045,140.0721216563,134.4080629635,134.6023446601,4518763,adjusted
2024-04-22,135.0207975451,136.6348301013,131.6233586458,136.1864877246,2435104,adjusted
2024-04-23,137.9499677397,147.803536864,137.362141068,147.2854523398,4682814,adjusted
2024-04-24,146.4585097338,149.3478272728,143.818271293,145.6415302918,4684613,adjusted
2024-04-25,142.4732441628,151.5795759925,138.1616849732,147.7636842083,6069264,adjusted
2024-04-26,153.0740505816,156.6707527595,149.6467221906,152.5061502378,4230515,adjusted
2024-04-29,153.0142715981,158.9622804628,153.0142715981,158.4242696107,5937215,adjusted
2024-04-30,157.557474349,162.499203657,151.6891707957,153.1437927291,3490075,adjusted
2024-05-01,153.6220245977,156.1227787434,148.8702928257,151.1113072879,3397459,adjusted
2024-05-02,152.9644557784,154.8674200886,151.100248176,153.2633506963,2530741,adjusted
2024-05-03,155.0567202032,166.5542113755,154.5685251708,165.6475634581,4635134,adjusted
2024-05-06,166.5442482116,170.5394769465,163.9040097708,168.5169546692,4007044,adjusted
2024-05-07,168.0387228007,172.8608941416,166.5492297935,166.7435114901,2884150,adjusted
2024-05-08,166.3848375887,166.3948007527,162.6237432061,163.3958884105,3679684,adjusted
2024-05-09,164.3922048032,168.0985017843,164.0434940658,165.7870477531,4022569,adjusted
2024-05-10,168.3774703742,170.1708398812,165.3785580321,166.6538430148,3459622,adjusted
2024-05-13,164.3922048032,166.9328116048,159.5899597902,160.9349869204,4413798,adjusted
2024-05-14,160.0980811505,165.941476794,158.2748221518,165.0198841307,3855420,adjusted
2024-05-15,167.7398278829,171.7151302899,166.3409996675,167.2516328504,2572025,adjusted
2024-05-16,167.4110434733,169.373786767,165.7372319335,165.7870477531,1604395,adjusted
2024-05-17,166.2652796216,167.0224800801,160.3471602487,162.0209717885,1937153,adjusted
2024-05-20,162.4593510013,163.6947833283,159.619849282,160.3571234126,1736122,adjusted
2024-05-21,159.6497387738,163.8840834429,158.4840485943,163.326146263,1945469,adjusted
2024-05-22,163.6848201644,166.7435114901,162.3995720178,163.2464409516,2018868,adjusted
2024-05-23,165.806974081,169.373786767,160.8453184451,161.0744712154,3139003,adjusted
2024-05-24,162.2102719031,177.1146669804,161.4929241004,176.7764175651,4294052,adjusted
2024-05-28,177.6830654825,182.1067102663,176.1288119098,177.4339863843,2632749,adjusted
2024-05-29,175.3516851235,178.03177622,173.454897975,176.6668227619,1537710,adjusted
2024-05-30,176.3181120244,177.1550177943,173.8572105343,174.4350740421,2043133,adjusted
