Date,Open,High,Low,Close,Volume,PriceMode
2023-04-11,106.0447649331,106.3423091669,104.4181897882,105.2513136429,18721278,adjusted
2023-04-12,106.5109175661,106.706701672,104.1107274133,104.3586809415,22761569,adjusted
2023-04-13,105.5984485824,107.3787549147,105.568694159,107.3043688563,21650747,adjusted
2023-04-14,106.8084617999,108.682990473,106.7092803886,108.5639727794,20758686,adjusted
2023-04-17,104.5669619051,105.8364839694,104.4578623527,105.5488578767,28978949,adjusted
2023-04-18,106.1241100621,106.1737007678,103.9222827319,104.2594995302,17641369,adjusted
2023-04-19,103.3619077582,104.8595470684,102.9503049014,104.1603181189,16732016,adjusted
2023-04-20,103.7933468972,106.0125309745,103.7834287561,105.0331145381,22515331,adjusted
2023-04-21,105.2215592195,105.7670569815,104.6215116813,105.0430326793,22379018,adjusted
2023-04-24,105.181886655,106.4414905782,104.4975349173,105.9059109573,21410908,adjusted
2023-04-25,105.7373025582,106.5605082717,103.7040836271,103.7536743327,31408119,adjusted
2023-04-26,104.6958977398,106.1439463444,102.4246434216,103.5949840747,36630202,adjusted
2023-04-27,104.3685990826,108.2565104045,103.5652296513,107.4828953966,38235220,adjusted
2023-04-28,106.9175613523,107.4035502676,105.1719685139,107.3341232797,23957872,adjusted
2023-05-01,106.8382162233,107.7903577715,106.6200171185,106.8282980822,20926259,adjusted
2023-05-02,106.7787073765,106.8481343644,103.6445747803,105.1124596671,20343116,adjusted
2023-05-03,105.3504950542,107.2448600095,104.7554065866,105.2513136429,17116333,adjusted
2023-05-04,105.2909862074,105.4298401832,103.8429376029,104.3487628003,19780637,adjusted
2023-05-05,104.4578623527,105.568694159,103.8812216276,105.3455359836,20710627,adjusted
2023-05-08,104.9289740563,107.5324861022,104.9240149857,107.3539595619,17266021,adjusted
2023-05-09,107.8895391828,109.6896817974,106.8431752939,107.0564153281,24782442,adjusted
2023-05-10,107.6614219369,112.580819936,107.591994949,111.3608885773,47533463,adjusted
2023-05-11,114.9115831009,117.4704635118,113.9892951575,115.9430697782,57115075,adjusted
2023-05-12,116.0422511894,117.2919369715,115.5959348387,116.9547201731,31293778,adjusted
2023-05-15,115.5364259919,117.8225575218,115.5265078508,116.0025786249,22107865,adjusted
2023-05-16,115.8736427903,120.2078704629,115.8736427903,119.1069567978,32370113,adjusted
2023-05-17,119.1962200679,121.2790297047,118.4821139068,120.4855784145,26659564,adjusted
2023-05-18,120.5649235435,122.8857685673,120.4954965556,122.5088792044,27014468,adjusted
2023-05-19,123.1833128011,125.443657164,121.7154279143,122.241089394,30268864,adjusted
2023-05-22,122.4989610633,126.0099830224,122.4394522165,124.8396423694,29760236,adjusted
2023-05-23,123.9073371034,124.3933260186,122.0427265715,122.2807619585,24477945,adjusted
2023-05-24,120.8823040596,121.7450831562,119.7615541122,120.6442686725,23087925,adjusted
2023-05-25,124.1850450549,124.9487419218,121.8939544545,123.332084918,33812730,adjusted
2023-05-26,123.0494178959,124.968578204,122.2807619585,124.4032441598,25169036,adjusted
2023-05-30,125.2562042967,125.3454675668,121.8840363134,123.6197110107,27230726,adjusted
2023-05-31,122.6874057447,123.87758268,122.0923172771,122.3601070875,41478777,adjusted
2023-06-01,122.4890429222,124.0164366558,122.2906800996,123.3519212003,25017674,adjusted
2023-06-02,123.4709388938,125.707479718,123.332084918,124.2048813372,19367453,adjusted
2023-06-05,123.5899565873,126.9422882883,123.3618393414,125.593421095,22672516,adjusted
2023-06-06,125.5636666716,127.8250028487,124.9388237806,126.8629431593,19450128,adjusted
2023-06-07,126.5306854316,128.4895183042,121.6261646441,121.9336270191,34179348,adjusted
2023-06-08,121.581533009,122.7171601681,121.0112398942,121.6658372086,24814996,adjusted
2023-06-09,121.5567376562,123.2676170007,121.4178836804,121.8642000312,20313676,adjusted
2023-06-12,122.3849024403,123.7288105631,121.3484566925,123.332084918,22289632,adjusted
2023-06-13,124.6214432646,124.8297242282,122.8312187911,123.411430047,19287650,adjusted
2023-06-14,122.786587156,123.7684831276,121.1600120111,123.3618393414,24659620,adjusted
2023-06-15,122.865932285,125.127268462,122.1319898416,124.7602972403,24517071,adjusted
2023-06-16,125.6628480829,125.6628480829,122.7766690149,123.0444588253,56699200,adjusted
2023-06-20,122.5237564161,124.150331561,121.8245274667,122.8361778616,22698028,adjusted
2023-06-21,122.2262121823,122.399779652,119.8706536646,120.2673793097,22612002,adjusted
2023-06-22,119.672290842,122.9204820612,118.6209678825,122.8560141439,20781888,adjusted
2023-06-23,121.0409943176,122.4295340754,120.8624677773,122.0129721481,29573123,adjusted
2023-06-26,120.4712962912,121.7154279143,118.0159612738,118.115142685,23184961,adjusted
2023-06-27,116.8753750441,118.9135530458,115.9529879193,118.035797556,27221714,adjusted
2023-06-28,116.9943927377,120.2772974508,116.6373396571,120.0888527694,19753145,adjusted
2023-06-29,119.1069567978,119.9202443702,118.2341603786,119.0276116688,18517458,adjusted
2023-06-30,120.1086890516,121.0310761765,119.8904899468,119.979753217,23871764,adjusted
2023-07-03,119.3350740437,120.0293439226,118.7251083644,119.5731094308,13888262,adjusted
2023-07-05,119.0772023744,122.3601070875,119.0772023744,121.6261646441,17830347,adjusted
2023-07-06,119.6524545598,120.1581805759,118.2737337617,119.9400806525,17750181,adjusted
2023-07-07,119.900408088,120.7533682249,119.1069567978,119.1565475034,20997665,adjusted
2023-07-10,118.0953064028,118.0953064028,115.6851981089,115.9133153548,32960078,adjusted
2023-07-11,115.8042158024,117.2572234775,114.8818286775,116.7464392095,18286571,adjusted
2023-07-12,118.3234236487,119.9698350758,118.0258794149,118.6408041648,22059611,adjusted
2023-07-13,120.5450872612,124.309021819,120.0690164871,123.8081556921,31535853,adjusted
2023-07-14,124.1056999259,126.0496555869,123.87758268,124.6710339702,20499780,adjusted
2023-07-17,125.0280870508,126.2381002683,123.4808570349,124.036272938,20675297,adjusted
2023-07-18,123.8825417506,123.9668459501,122.2906800996,123.0642951076,21071248,adjusted
2023-07-19,123.7684831276,124.4429167243,121.4674743861,121.774936761,22313803,adjusted
2023-07-20,121.1203394466,123.6792198575,117.7134579694,118.5515408946,27541711,adjusted
2023-07-21,119.8805718057,120.3070518742,118.0953064028,119.3251559026,56514645,adjusted
2023-07-24,120.9279275087,122.3402708053,120.3863970032,120.8823040596,22312220,adjusted
2023-07-25,120.8823040596,122.6774876036,120.5351691201,121.7848549021,31820846,adjusted
2023-07-26,129.2928877355,130.2946199894,127.6563944495,128.5986178566,46216895,adjusted
2023-07-27,130.7211000578,132.5063654608,128.1225470825,128.8068988203,35931612,adjusted
2023-07-28,129.8978943443,132.9725180937,129.8483036386,131.9211951342,26971011,adjusted
2023-07-31,131.9211951342,132.7344827067,131.048398715,132.0203765455,18381891,adjusted
2023-08-01,129.7838357213,131.8319318641,129.6796952395,130.810363328,22219012,adjusted
2023-08-02,128.7771443969,129.3523965823,126.8034343126,127.5869674616,22705778,adjusted
2023-08-03,127.3191776512,128.707717409,126.7290482541,127.7159032963,15086132,adjusted
2023-08-04,128.5391090098,130.8500358925,127.264627875,127.4877860503,20521852,adjusted
2023-08-07,128.4498457397,130.9789717272,128.3705006107,130.8599540336,17621041,adjusted
2023-08-08,129.9078124854,130.8599540336,129.0647704896,130.7607726224,16835952,adjusted
2023-08-09,131.1079075618,131.3856155134,128.4448866691,129.0846067718,17745218,adjusted
2023-08-10,130.889708457,131.5611666113,128.9705481489,129.1441156186,17855681,adjusted
2023-08-11,128.144366993,129.3722328645,127.696067014,129.1044430541,15205465,adjusted
2023-08-14,128.787062538,130.8301996102,128.5291908687,130.7508544812,17526195,adjusted
2023-08-15,130.5128190942,130.9095447393,128.7563163005,129.2036244654,14769173,adjusted
2023-08-16,128.2217284938,129.8259878211,127.4084409213,128.0531200946,17548355,adjusted
2023-08-17,129.3821510057,131.406741154,128.787062538,129.3920691468,23665562,adjusted
2023-08-18,128.003529389,128.7672262558,125.9603923167,127.0613059819,23627202,adjusted
2023-08-21,126.8034343126,128.2018922115,126.1190825748,127.8745935543,21851070,adjusted
2023-08-22,128.0729563769,129.878058062,127.8696344837,128.62837228,15569373,adjusted
