Date,Open,High,Low,Close,Volume,PriceMode
2023-04-17,93.501176845,94.2164018902,93.501176845,94.2164018902,41543,adjusted
2023-04-18,94.5353535995,94.8833009187,94.30338872,94.5933448193,57395,adjusted
2023-04-19,94.2937235167,94.458031973,93.965106604,94.2647279067,72215,adjusted
2023-04-20,93.7234765212,94.3401164926,93.684815708,94.0327630272,56120,adjusted
2023-04-21,93.9361109941,94.1159804277,93.3851944053,94.1100846537,49368,adjusted
2023-04-24,94.1100846537,94.429036363,93.9466460657,94.429036363,17934,adjusted
2023-04-25,94.1680758736,94.6416708359,93.6461548947,93.7524721312,62835,adjusted
2023-04-26,92.8246126132,92.8246126132,91.2588496765,91.519810166,25665,adjusted
2023-04-27,92.138383178,93.4818464384,92.138383178,93.4625160318,32951,adjusted
2023-04-28,93.1822251357,93.530172455,92.5636521237,93.530172455,60543,adjusted
2023-05-01,93.7331417245,93.9554414007,93.4238552185,93.4915116417,134070,adjusted
2023-05-02,92.9889210695,93.2015555423,92.1190527713,93.0275818827,90433,adjusted
2023-05-03,93.3561987953,93.9143642866,92.9212646463,92.9405950529,32724,adjusted
2023-05-04,92.8536082231,92.882603833,92.17936364,92.5249913105,36112,adjusted
2023-05-05,93.2692119655,94.6899968525,93.2692119655,94.5256883962,19579,adjusted
2023-05-08,94.5643492094,94.7769836823,94.148745467,94.4000407531,51092,adjusted
2023-05-09,93.8491241643,94.2067366868,93.5374213574,94.1680758736,56757,adjusted
2023-05-10,94.6610012425,94.6610012425,93.3368683887,94.2647279067,159902,adjusted
2023-05-11,93.7911329444,93.8877849775,93.2977243153,93.8877849775,35826,adjusted
2023-05-12,94.1874062802,94.6948294541,93.501176845,94.0327630272,41472,adjusted
2023-05-15,94.4387015663,94.9702877485,94.0605021607,94.8253096988,24302,adjusted
2023-05-16,94.5643492094,94.5643492094,93.3078727788,93.4045248119,16939,adjusted
2023-05-17,93.839458961,94.7043980054,93.5019500613,94.6513360392,16359,adjusted
2023-05-18,94.1680758736,94.892966122,93.9409435957,94.8543053088,43836,adjusted
2023-05-19,95.4342175075,95.7048432003,94.9606225452,95.2409134413,30236,adjusted
2023-05-22,95.1345962048,95.5307728886,95.1345962048,95.2602438479,84219,adjusted
2023-05-23,95.047609375,95.1345962048,94.0520934338,94.1294150603,125483,adjusted
2023-05-24,93.6364896914,93.6364896914,92.5636521237,92.9405950529,50794,adjusted
2023-05-25,93.9071153842,94.4676971763,93.641225641,94.3807103465,79621,adjusted
