Date,Open,High,Low,Close,Volume
2023-03-29,37.23,37.39,37.18,37.24,4415964
2023-03-30,37.27,37.622,37.2421,37.57,5241781
2023-03-31,37.56,37.62,37.292,37.37,4543455
2023-04-03,37.51,37.75,37.4,37.65,6364983
2023-04-04,37.69,38.4,37.67,38.35,9932446
2023-04-05,38.43,38.52,38.1,38.32,10352271
2023-04-06,38.14,38.2,37.9327,38.05,5101530
2023-04-10,37.77,37.81,37.58,37.77,3115751
2023-04-11,37.91,38.045,37.875,37.99,3374485
2023-04-12,38.25,38.28,37.94,38.19,3652451
2023-04-13,38.71,38.84,38.56,38.7,7479384
2023-04-14,38.37,38.45,37.78,38.01,8999340
2023-04-17,37.925,37.93,37.56,37.86,4727022
2023-04-18,37.79,38.1415,37.75,37.99,2732944
2023-04-19,37.61,37.86,37.59,37.8,3255842
2023-04-20,37.97,38.155,37.9,37.98,3005930
2023-04-21,37.73,37.88,37.38,37.59,4112933
2023-04-24,37.56,37.745,37.425,37.71,2865223
2023-04-25,37.71,37.99,37.6,37.89,3740646
2023-04-26,38.07,38.0738,37.6,37.68,3240442
2023-04-27,37.53,37.7399,37.41,37.69,2899902
2023-04-28,37.69,37.8109,37.57,37.71,2992773
2023-05-01,37.95,37.99,37.52,37.52,6086297
2023-05-02,37.67,38.28,37.64,38.25,5672175
2023-05-03,38.28,38.595,38.14,38.57,6737569
2023-05-04,38.527,39.04,38.52,38.86,13324884
2023-05-05,38.07,38.27,37.9,38.24,4261870
2023-05-08,38.32,38.47,38.25,38.29,2826430
2023-05-09,38.38,38.63,38.37,38.55,5764410
2023-05-10,38.555,38.68,38.32,38.51,3556592
2023-05-11,38.45,38.52,38.129,38.19,4434717
2023-05-12,38.245,38.33,38.07,38.11,4194323
2023-05-15,38.21,38.33,38.165,38.19,2254495
2023-05-16,38.07,38.12,37.63,37.72,4526019
2023-05-17,37.61,37.63,37.43,37.59,4936807
2023-05-18,37.15,37.19,37.0,37.09,4298499
2023-05-19,37.19,37.61,37.095,37.45,3711649
2023-05-22,37.37,37.505,37.32,37.39,2746742
2023-05-23,37.3,37.49,37.23,37.42,3727469
2023-05-24,37.44,37.445,37.0801,37.13,4388390
2023-05-25,36.97,36.9901,36.7485,36.76,4267480
2023-05-26,36.94,36.99,36.7487,36.92,2158281
2023-05-30,37.07,37.21,36.96,37.14,3584084
2023-05-31,37.2,37.422,37.16,37.2,3964639
2023-06-01,37.3,37.5842,37.29,37.49,6649585
2023-06-02,37.46,37.46,36.92,36.94,4971553
2023-06-05,36.88,37.2299,36.875,37.16,3903343
2023-06-06,37.21,37.2692,37.04,37.2,3893510
2023-06-07,37.12,37.335,36.76,36.76,2904241
2023-06-08,37.14,37.342,37.13,37.25,2998547
2023-06-09,37.22,37.2954,37.08,37.14,2127066
2023-06-12,37.09,37.12,36.9401,37.11,2776222
2023-06-13,37.16,37.23,36.76,36.83,3469362
2023-06-14,37.07,37.1263,36.76,36.86,3469908
2023-06-15,36.78,37.15,36.765,37.11,6209032
2023-06-16,37.13,37.26,37.015,37.06,3244930
2023-06-20,36.74,36.75,36.57,36.68,6044270
2023-06-21,36.55,36.715,36.36,36.63,4377521
2023-06-22,36.4,36.52,36.245,36.26,5115154
2023-06-23,36.66,36.72,36.34,36.35,3675216
2023-06-26,36.52,36.54,36.41,36.42,3636560
2023-06-27,36.55,36.58,36.21,36.25,4944417
2023-06-28,36.16,36.26,36.0501,36.17,3230370
2023-06-29,35.88,36.24,35.87,36.15,2908770
2023-06-30,36.25,36.43,36.1899,36.39,4193314
2023-07-03,36.44,36.59,36.41,36.41,4865641
2023-07-05,36.62,36.62,36.285,36.29,5070172
2023-07-06,36.23,36.28,36.05,36.18,4066077
2023-07-07,36.39,36.6501,36.39,36.46,3370269
2023-07-10,36.39,36.51,36.38,36.48,3863134
2023-07-11,36.62,36.669,36.55,36.62,3124422
2023-07-12,36.97,37.13,36.95,37.12,3928115
2023-07-13,37.13,37.17,37.0346,37.14,3385621
2023-07-14,37.06,37.175,36.9687,37.02,3924680
2023-07-17,36.93,37.06,36.86,37.04,3470122
2023-07-18,37.3,37.6,37.2083,37.46,4901600
2023-07-19,37.42,37.51,37.32,37.48,3770422
2023-07-20,37.49,37.5,37.2341,37.29,3403422
2023-07-21,37.15,37.235,37.075,37.17,3243813
2023-07-24,37.18,37.25,37.0057,37.02,2858752
2023-07-25,37.08,37.2375,36.98,37.22,2749947
2023-07-26,37.29,37.4799,37.21,37.42,3752519
2023-07-27,37.07,37.07,36.8,36.84,4193772
2023-07-28,37.03,37.2,36.99,37.12,2247413
2023-07-31,37.23,37.365,37.2,37.2,5007818
2023-08-01,36.91,37.03,36.7705,36.84,4269308
2023-08-02,36.85,36.893,36.61,36.67,10211002
2023-08-03,36.62,36.7299,36.59,36.65,3912907
2023-08-04,36.78,36.89,36.705,36.77,3498271
2023-08-07,36.76,36.765,36.59,36.69,3171544
2023-08-08,36.46,36.595,36.42,36.46,3327500
2023-08-09,36.46,36.5116,36.28,36.28,3525254
2023-08-10,36.37,36.465,36.23,36.24,3813831
2023-08-11,36.27,36.39,36.22,36.24,4330660
2023-08-14,36.1,36.24,36.04,36.14,3850726
2023-08-15,36.07,36.2113,35.99,36.03,5293412
2023-08-16,36.05,36.11,35.83,35.83,6265919
2023-08-17,36.04,36.04,35.7,35.77,4110993
2023-08-18,35.88,35.925,35.74,35.78,3230824
2023-08-21,35.89,35.91,35.71,35.87,5193749
2023-08-22,35.89,35.9747,35.7843,35.94,5514497
2023-08-23,36.19,36.37,36.15,36.31,9951951
2023-08-24,36.25,36.4299,36.21,36.3,13451669
2023-08-25,36.24,36.41,36.0587,36.26,10726238
2023-08-28,36.25,36.4828,36.23,36.37,3971072
2023-08-29,36.34,36.71,36.32,36.7,7662685
2023-08-30,36.86,36.92,36.8,36.81,3052899
2023-08-31,36.81,36.84,36.7287,36.75,4103889
2023-09-01,36.9,36.96,36.6446,36.76,5390963
2023-09-05,36.59,36.62,36.46,36.48,6052466
2023-09-06,36.4,36.5393,36.2701,36.29,4283309
2023-09-07,36.39,36.41,36.31,36.34,2488821
2023-09-08,36.4,36.545,36.31,36.35,4047201
2023-09-11,36.53,36.555,36.3885,36.41,3745356
2023-09-12,36.16,36.27,36.14,36.23,3217155
2023-09-13,36.23,36.28,36.135,36.15,4007952
2023-09-14,36.02,36.21,36.0,36.17,3931004
2023-09-15,36.45,36.5599,36.4049,36.42,3646005
2023-09-18,36.505,36.62,36.4119,36.62,3315015
2023-09-19,36.65,36.67,36.5401,36.58,3494197
2023-09-20,36.6,36.88,36.6,36.61,5323563
2023-09-21,36.3,36.435,36.27,36.34,5921890
2023-09-22,36.47,36.53,36.44,36.46,2650712
2023-09-25,36.42,36.48,36.2644,36.27,27030011
2023-09-26,36.09,36.16,35.96,35.98,6387620
2023-09-27,35.77,35.785,35.45,35.54,3860755
2023-09-28,35.49,35.54,35.175,35.35,6333928
2023-09-29,35.49,35.52,34.96,34.99,9430960
2023-10-02,34.75,34.795,34.6,34.64,9975911
2023-10-03,34.53,34.71,34.45,34.53,9486846
2023-10-04,34.54,34.585,34.3948,34.52,7561793
2023-10-05,34.45,34.495,34.3501,34.47,6622918
2023-10-06,34.53,34.75,34.4,34.64,5810770
2023-10-09,34.95,35.29,34.93,35.29,5575475
2023-10-10,35.13,35.27,35.0947,35.22,3962567
2023-10-11,35.44,35.543,35.38,35.48,4847084
2023-10-12,35.54,35.565,35.3647,35.37,4539255
2023-10-13,36.12,36.56,36.08,36.5,9630653
2023-10-16,36.31,36.41,36.25,36.34,3196512
2023-10-17,36.41,36.57,36.335,36.39,3590140
2023-10-18,36.93,37.16,36.7,36.92,7123629
2023-10-19,36.96,37.449,36.91,37.37,17552224
2023-10-20,37.45,37.815,37.38,37.47,8387697
2023-10-23,37.46,37.47,37.3,37.35,6055908
2023-10-24,37.175,37.44,37.1,37.34,4706268
2023-10-25,37.44,37.625,37.16,37.51,9453401
2023-10-26,37.43,37.665,37.335,37.57,5847627
2023-10-27,37.53,38.0434,37.4601,38.01,8503752
2023-10-30,37.89,37.91,37.72,37.79,5245317
