Date,Open,High,Low,Close,Volume,PriceMode
2023-04-11,170.3439749324,171.6946096093,169.9098423577,170.8938761937,21876241,adjusted
2023-04-12,172.514637806,172.6689960548,169.388883268,169.6397154223,27018113,adjusted
2023-04-13,170.3150327608,172.3843980336,169.7265419372,171.8875574203,23259875,adjusted
2023-04-14,172.0419156691,172.900533428,169.1573458948,170.2860905891,29600374,adjusted
2023-04-17,170.7298705544,172.5532273682,170.5176279623,172.4760482439,21888148,adjusted
2023-04-18,173.2574868784,173.2960764406,170.7009283827,171.7428465621,22692960,adjusted
2023-04-19,170.8359918504,172.4856956344,170.353622323,171.9647365447,19306758,adjusted
2023-04-20,170.9035235843,172.1383895746,170.2957379797,171.0771766142,20336276,adjusted
2023-04-21,171.5402513606,171.6830327407,169.6590102034,171.2990665968,25972820,adjusted
2023-04-24,171.1254135669,172.1576843557,170.2716195033,171.1832979102,17781006,adjusted
2023-04-25,169.4371202208,169.7361893278,166.9095038968,166.9577408495,28857915,adjusted
2023-04-26,166.1570074339,167.2857521282,164.9703783963,165.3466266278,29916977,adjusted
2023-04-27,165.9640596229,167.7247083982,164.912494053,167.5558790636,33424124,adjusted
2023-04-28,167.1796308322,169.6252443365,167.0735095361,169.0222824271,31911856,adjusted
2023-05-01,168.8293346161,171.0868240047,168.597797243,169.1187563326,27420136,adjusted
2023-05-02,168.2504911832,168.2987281359,163.928460217,165.6456957348,40851051,adjusted
2023-05-03,166.1473600434,169.5046519546,166.1184178717,166.2534813394,43261392,adjusted
2023-05-04,165.2790948939,165.5106322671,162.8286576944,164.3915349634,42382097,adjusted
2023-05-05,167.1796308322,168.9258085216,166.9963304117,168.2987281359,35456844,adjusted
2023-05-08,169.0801667704,169.3599410964,167.0252725834,167.9128325139,22109887,adjusted
2023-05-09,166.8805617251,168.125075106,166.0894757001,167.4111682054,21465513,adjusted
2023-05-10,169.7554841089,169.8133684522,166.6297295709,168.2601385737,27281899,adjusted
2023-05-11,167.1120990983,167.6523529691,166.0412387473,166.9673882401,25884562,adjusted
2023-05-12,167.526936892,168.0623670675,165.5974587821,166.6297295709,20406402,adjusted
2023-05-15,167.1989256133,169.5142993452,166.7262034764,168.6653289768,24310016,adjusted
2023-05-16,167.4883473298,168.6430435046,166.1570074339,166.2052443867,24212865,adjusted
2023-05-17,167.3146942999,170.2764431986,166.0894757001,169.9098423577,38231617,adjusted
2023-05-18,169.3695884869,171.3087139874,168.8486293972,170.9421131465,30446567,adjusted
2023-05-19,172.215568699,172.58612497,169.0705193799,169.9001949671,34316254,adjusted
2023-05-22,170.3922118852,172.707585617,169.8326632333,171.9743839353,28207225,adjusted
