Date,Open,High,Low,Close,Volume,PriceMode
2023-04-17,54.4903341772,54.9527564797,54.4148366584,54.9527564797,2437152,adjusted
2023-04-18,55.2830581243,55.6322341487,54.7923242523,54.9150077203,2127037,adjusted
2023-04-19,54.6602035944,55.7832291862,54.6602035944,55.5567366299,3659759,adjusted
2023-04-20,55.3679928329,55.7171688573,55.1415002766,55.2924953142,2546469,adjusted
2023-04-21,55.1981234157,55.5756110096,54.8772589609,55.3113696939,3032421,adjusted
2023-04-24,55.6982944776,55.8870382745,54.8017614421,55.1320630868,3790880,adjusted
2023-04-25,54.811198632,55.7643548065,54.811198632,55.0188168086,2751477,adjusted
2023-04-26,54.4431482279,55.1226258969,53.8556831599,54.065660634,3822440,adjusted
2023-04-27,54.5375201264,56.0835205672,54.5280829366,56.0285961222,3260928,adjusted
2023-04-28,55.9719729832,56.6231390826,55.5756110096,56.4721440451,2738022,adjusted
2023-05-01,56.4721440451,57.0572498156,56.226777109,56.2550886786,3124109,adjusted
2023-05-02,56.0380333121,56.6137018928,55.1981234157,56.5193299943,3194849,adjusted
2023-05-03,56.8024456897,57.0478126257,55.490676301,55.6605457182,3484653,adjusted
2023-05-04,55.7926663761,55.9153498441,54.8395102015,55.2169977954,3357708,adjusted
2023-05-05,58.4162051536,59.0107481139,56.9156919679,58.5955117607,6385715,adjusted
2023-05-08,59.4542960367,59.8884067697,58.6191047353,59.5392307454,6068629,adjusted
2023-05-09,59.3410497586,59.6336026438,58.822004317,59.435421657,4113993,adjusted
2023-05-10,59.8129092509,60.0960249463,58.0104059901,58.7936927474,3435792,adjusted
2023-05-11,58.4162051536,58.63326052,57.8782853323,58.5672001911,2251798,adjusted
2023-05-12,58.9258134053,59.1853361261,57.892441117,58.5388886216,3428077,adjusted
2023-05-15,58.5294514317,59.1711803413,58.265210116,58.9069390256,4336380,adjusted
2023-05-16,58.5955117607,58.9069390256,57.3498027008,57.3781142704,3724338,adjusted
2023-05-17,57.8122250033,58.576637381,57.6895415353,58.4822654825,4251865,adjusted
2023-05-18,58.4350795333,59.7845976814,58.3123960652,59.6336026438,4588566,adjusted
2023-05-19,60.4452009707,60.5018241098,59.1994919109,59.6619142134,5242048,adjusted
2023-05-22,59.6430398337,60.2281456042,58.8880646459,59.4542960367,5268259,adjusted
2023-05-23,58.9258134053,59.190054721,58.4445167231,58.4822654825,3739019,adjusted
2023-05-24,58.1519638378,58.1519638378,57.1610589039,57.3309283211,4105894,adjusted
2023-05-25,57.8122250033,57.835817978,56.8118828796,57.6046068267,5017810,adjusted
2023-05-26,57.7367274846,58.6615720896,57.7367274846,58.3973307739,3433492,adjusted
2023-05-30,58.7087580388,58.8503158865,57.6706671556,58.2085869769,2764181,adjusted
2023-05-31,57.774476244,58.0387175597,56.2456514887,56.3400233872,8308395,adjusted
2023-06-01,55.736043237,56.6137018928,55.6794200979,56.5853903232,6097879,adjusted
2023-06-02,57.4347374095,58.9635621647,57.1752146887,58.8786274561,3370126,adjusted
2023-06-05,58.9635621647,58.9635621647,57.9632200409,58.3123960652,3067300,adjusted
2023-06-06,58.3690192043,59.7374117322,57.9254712815,59.0296224936,3321177,adjusted
2023-06-07,59.3221753789,60.426326591,58.9635621647,60.2375827941,4253458,adjusted
2023-06-08,60.0960249463,60.303643123,59.7091001626,59.9733414783,2287937,adjusted
2023-06-09,60.0771505666,60.3319546925,59.1994919109,59.9355927189,2657501,adjusted
2023-06-12,60.0299646174,60.2281456042,59.6052910743,59.9733414783,2080222,adjusted
2023-06-13,60.2187084144,61.351171196,60.2139898194,61.0869298803,2641014,adjusted
2023-06-14,61.6531612711,61.7003472204,60.4121708062,60.8698745138,2599401,adjusted
2023-06-15,61.1529902092,62.2005182822,60.794376995,61.9551513462,3810685,adjusted
2023-06-16,62.305287378,62.5994936093,61.9873548377,62.1344579533,3938371,adjusted
2023-06-20,61.6124791558,62.514078897,61.5365549671,62.3527399959,2985160,adjusted
2023-06-21,62.2863063308,63.1214724068,61.9446474815,63.0930008361,3520043,adjusted
2023-06-22,63.1214724068,63.2163776427,61.8971948635,62.0110811466,3679512,adjusted
2023-06-23,61.2043866414,62.25783476,61.0620287875,61.6789128209,5643524,adjusted
2023-06-26,61.8497422456,62.8367566991,61.6219696794,62.6374557037,3800745,adjusted
2023-06-27,62.8272661755,63.7858090582,62.6469462273,63.5390554449,3387955,adjusted
2023-06-28,63.4156786382,63.8332616762,63.3207734023,63.396697591,3206215,adjusted
2023-06-29,63.60548911,64.2508447142,63.4441502089,63.8902048177,3820494,adjusted
2023-06-30,64.3362594265,65.161934979,64.0800152896,64.6684277522,4120214,adjusted
2023-07-03,64.4501457096,64.6114846107,63.5485459684,64.2223731434,2530698,adjusted
2023-07-05,64.1179773839,64.4596362332,63.5959985864,63.7288659167,3133209,adjusted
2023-07-06,63.187906072,63.5865080628,62.675417798,63.4536407325,2902496,adjusted
2023-07-07,63.396697591,64.3884573063,63.2448492135,63.4916028269,3806465,adjusted
2023-07-10,63.8807142941,64.7918045589,63.8332616762,64.5735225163,3915207,adjusted
2023-07-11,64.7538424646,65.2948023093,64.4596362332,64.8582382241,3632619,adjusted
2023-07-12,65.6174801114,65.9591389607,65.1809160262,65.2948023093,5611155,adjusted
2023-07-13,65.1809160262,65.5035938283,64.5545414691,65.2853117857,3666308,adjusted
2023-07-14,65.2853117857,65.4371601631,64.8487477005,65.209387597,2912399,adjusted
2023-07-17,65.2568402149,65.8974505573,65.1809160262,65.835762154,2015321,adjusted
2023-07-18,65.7028948237,66.1774210033,65.5652822316,65.9116863427,2879792,adjusted
2023-07-19,65.6554422058,66.0540441966,65.1334634082,65.9306673899,3004554,adjusted
2023-07-20,66.2058925741,66.3387599043,65.114482361,65.2663307385,3107222,adjusted
2023-07-21,65.3517454508,65.5225748755,64.8582382241,65.4561412103,3057814,adjusted
2023-07-24,65.5510464462,66.2580904538,65.3517454508,65.3897075452,2504913,adjusted
2023-07-25,64.8582382241,65.6317158968,64.8392571769,65.3232738801,2488930,adjusted
2023-07-26,65.1714255026,65.4941033047,64.7253708938,65.2473496913,3522037,adjusted
2023-07-27,65.626970635,66.4906082818,65.3802170216,65.788309536,4286128,adjusted
2023-07-28,66.2913072864,66.3387599043,65.6459516822,65.6649327293,3767320,adjusted
2023-07-31,65.8642337248,66.1679304797,65.6459516822,66.0065915786,3466297,adjusted
2023-08-01,65.7503474417,66.8417576547,65.5984990642,66.462136711,3750553,adjusted
2023-08-02,65.4846127811,65.4846127811,59.7238649611,60.3122774238,10345971,adjusted
2023-08-03,60.2078816643,60.3217679473,58.7843031255,58.8792083614,6237178,adjusted
2023-08-04,59.2683198287,60.3502395181,58.4236632291,59.56252606,7332144,adjusted
2023-08-07,59.5767618454,59.8377512442,58.9741135974,59.3822061118,3595822,adjusted
2023-08-08,58.9266609794,58.9314062412,57.8413247015,58.2528338044,5362197,adjusted
2023-08-09,58.1864001393,58.4995874178,57.3607245868,57.5030824407,3731548,adjusted
2023-08-10,57.3891961576,57.8827033843,56.0889944256,56.6204637467,5943929,adjusted
2023-08-11,56.4591248456,56.8672173601,56.0415418076,56.3642196097,3448230,adjusted
2023-08-14,55.9561270953,56.449634322,55.7663166234,56.3926911805,3424201,adjusted
2023-08-15,56.079503902,56.4401437984,55.6429398168,56.1174659963,3251954,adjusted
2023-08-16,56.2028807087,57.4556298227,55.8896934301,56.2598238502,4996446,adjusted
2023-08-17,56.4591248456,56.6679163646,55.9466365717,56.1459375671,4078828,adjusted
2023-08-18,55.6903924347,56.5872469141,55.6903924347,56.2693143738,3365553,adjusted
2023-08-21,56.2693143738,56.449634322,55.3866956798,55.8517313358,3491229,adjusted
2023-08-22,56.2503333266,56.5065774636,55.4626198685,55.6619208639,5383594,adjusted
2023-08-23,55.8422408122,56.5919921759,55.6334492932,56.2693143738,3658041,adjusted
2023-08-24,55.9751081425,56.4686153692,55.3487335854,55.3961862034,2913937,adjusted
2023-08-25,55.6429398168,55.8991839537,54.9121695002,55.5480345808,2354783,adjusted
2023-08-28,55.775807147,56.1744091379,55.4531293449,55.6429398168,2310996,adjusted
2023-08-29,55.5765061516,56.2598238502,55.3677146326,55.9561270953,3044875,adjusted
2023-08-30,56.1079754727,56.5334356453,55.9324007863,56.0225607604,3584241,adjusted
2023-08-31,56.2313522794,56.5160679872,55.9371460481,56.0510323312,5099135,adjusted
2023-09-01,56.4401437984,56.7818026477,56.2313522794,56.7343500298,2682801,adjusted
2023-09-05,56.4781058928,56.7343500298,55.3487335854,55.3772051562,3456567,adjusted
2023-09-06,55.3297525382,55.5195630101,54.4376433206,54.6464348397,5838318,adjusted
2023-09-07,54.3617191319,54.5420390801,53.2703089189,54.0959844713,5073663,adjusted
2023-09-08,54.058022377,54.940641071,53.8871929523,54.428152797,6773840,adjusted
2023-09-11,54.7982832171,54.8172642643,54.1339465657,54.2573233724,4134770,adjusted
2023-09-12,53.7733066692,54.7603211228,53.4885909615,54.4091717499,2838964,adjusted
2023-09-13,54.3237570375,55.1570250089,54.0295508062,54.266813896,5799611,adjusted
2023-09-14,54.7887926935,54.9880936889,53.5170625323,54.2098707544,5115984,adjusted
2023-09-15,54.0864939478,54.6644668345,53.6784014333,54.219361278,5428356,adjusted
2023-09-18,54.0959844713,54.9786031654,53.8207592872,54.6274537925,2537470,adjusted
2023-09-19,54.4186622735,54.6084727453,53.640439339,54.3427380847,4019409,adjusted
2023-09-20,54.6369443161,54.8172642643,53.5834961974,53.6309488154,3052847,adjusted
2023-09-21,53.2608183953,53.3699594166,52.3687091777,52.4066712721,3843558,adjusted
2023-09-22,52.3760985355,53.0496693029,52.2471168992,52.6913869798,2905327,adjusted
2023-09-25,52.2996649733,52.662724394,52.0321475054,52.6340618081,3133130,adjusted
2023-09-26,52.2423398016,52.8920250807,51.7359674516,51.7646300375,3165120,adjusted
2023-09-27,52.9206876666,52.9397005152,51.8888345761,52.1085810676,5066934,adjusted
2023-09-28,49.3856354123,51.5257751554,49.1658889208,50.8187647046,8483639,adjusted
2023-09-29,51.5162209601,51.6881964752,50.4365968933,50.8378730951,4196569,adjusted
2023-10-02,50.5799098225,50.8378730951,49.7582490283,50.0448748867,3968688,adjusted
2023-10-03,49.7678032235,49.9684413245,49.2327682878,49.6531528802,3243061,adjusted
2023-10-04,49.6722612707,50.0114352032,49.3139789477,49.8346825905,3649972,adjusted
2023-10-05,49.681815466,49.8251283952,48.7741669142,49.0416843821,5188850,adjusted
2023-10-06,49.0130217963,50.4652594791,48.8123836953,50.0162123009,4281745,adjusted
2023-10-09,49.8251283952,50.3315007452,49.4047438028,50.2741755735,2827044,adjusted
2023-10-10,50.5225846508,50.6850059706,50.2216274994,50.2837297688,4512852,adjusted
2023-10-11,50.4174885027,51.1244989536,50.1786336207,51.0289570008,3511152,adjusted
2023-10-12,50.799656314,50.8856440715,49.5069736923,50.0257664962,2544038,adjusted
2023-10-13,50.121308449,50.2455129876,48.9939134057,49.3378644359,3896473,adjusted
2023-10-16,49.8346825905,50.3410549405,49.442960584,50.293283964,4156978,adjusted
2023-10-17,49.987549715,50.6467891895,49.7009238566,50.4557052838,2681603,adjusted
2023-10-18,49.7869116141,49.7869116141,48.1292587327,48.2869029548,3371725,adjusted
2023-10-19,48.2869029548,48.5066494463,46.901544639,47.0066407871,5207553,adjusted
2023-10-20,46.9875323965,47.1021827399,46.4763829489,46.5384852183,6901983,adjusted
