Date,Open,High,Low,Close,Volume,PriceMode
2023-04-11,38.2553785059,38.7965118868,38.090286966,38.6039050902,6278770,adjusted
2023-04-12,38.805683639,38.9799469312,38.0237917624,38.3104090192,2409200,adjusted
2023-04-13,38.3562677803,38.6589356035,37.8976801694,38.5763898336,914400,adjusted
2023-04-14,39.2917865067,39.5119085599,38.7735825063,38.9982904356,2906807,adjusted
2023-04-17,38.5763898336,39.5669390732,37.987013036,39.557767321,797065,adjusted
2023-04-18,39.6861718521,39.6870890273,39.053320949,39.6311413388,1704699,adjusted
2023-04-19,39.6311413388,40.4107402774,39.4293627899,40.3006792508,1548528,adjusted
2023-04-20,39.6770000999,39.9934255514,39.3651605244,39.5852825777,852949,adjusted
2023-04-21,39.2826147544,39.2826147544,38.7277237452,38.970775179,674924,adjusted
2023-04-24,38.8790576568,39.0624927012,38.6039050902,38.805683639,666216,adjusted
2023-04-25,38.2553785059,38.2553785059,37.2648292662,37.4757795673,1331655,adjusted
2023-04-26,37.338203284,37.7280027533,36.7603828942,37.0905659741,997633,adjusted
2023-04-27,37.2464857618,37.8518214083,37.1914552485,37.6683863639,572626,adjusted
2023-04-28,37.2831727707,38.383783037,37.1547682396,38.2645502581,1114490,adjusted
2023-05-01,38.4112982936,38.4938440636,37.5583253372,37.5766688417,891058,adjusted
2023-05-02,37.420749054,37.4299208062,35.4946810879,35.9440969467,2701266,adjusted
2023-05-03,35.99912746,36.4668868232,35.1553262558,35.2562155303,4187054,adjusted
2023-05-04,34.4032425739,34.7884561671,33.192571281,33.9354832107,6299212,adjusted
2023-05-05,35.2745590347,35.623085619,34.8526584326,35.4855093357,1581886,adjusted
2023-05-08,36.1367037433,36.2559365221,35.3479330524,35.4029635658,1911875,adjusted
2023-05-09,35.0636087337,35.6093279907,34.7976279193,35.3937918135,1493499,adjusted
2023-05-10,35.9899557078,35.9899557078,34.5683341138,34.953547707,1292974,adjusted
2023-05-11,34.4766165916,34.8067996715,34.1922922728,34.5408188572,1116583,adjusted
2023-05-12,34.8618301848,34.8801736893,33.9767560957,34.2931815472,812051,adjusted
2023-05-15,34.4124143261,35.3020742913,34.3482120606,35.1920132647,910096,adjusted
2023-05-16,35.2562155303,35.4029635658,34.6692233882,34.6692233882,807032,adjusted
2023-05-17,35.2287002736,36.457715071,35.2287002736,36.4393715665,3022952,adjusted
2023-05-18,36.3568257965,36.7145241331,35.9624404511,36.6503218676,1293533,adjusted
2023-05-19,36.7603828942,36.8869530748,35.8798946812,36.2834517788,1676171,adjusted
2023-05-22,36.5586043454,36.9850908236,36.2651082744,36.9254744341,1219871,adjusted
2023-05-23,36.962161443,37.9114377977,36.962161443,37.1455964874,1374660,adjusted
2023-05-24,36.8062416553,36.9805049474,36.3201387877,36.4944020798,2785592,adjusted
2023-05-25,36.3935128054,36.668665372,36.0541579733,36.4301998143,662261,adjusted
2023-05-26,36.4852303276,36.8612721686,36.1917342566,36.7787263986,2355206,adjusted
2023-05-30,36.8887874253,37.0171919563,36.2605223982,36.8979591775,1364159,adjusted
2023-05-31,36.5310890887,36.5769478498,35.623085619,35.9899557078,3389978,adjusted
2023-06-01,36.2651082744,36.8612721686,35.8248641678,36.6228066109,777951,adjusted
2023-06-02,37.2740010185,38.1728327359,37.0997377263,37.9710541871,1420265,adjusted
2023-06-05,38.0627717093,38.1178022226,37.255657514,37.5674970895,958357,adjusted
2023-06-06,37.5124665762,38.9524316746,37.4390925584,38.6589356035,2348708,adjusted
2023-06-07,38.8790576568,39.3651605244,38.4755005592,39.2367559933,1105761,adjusted
2023-06-08,39.0900079578,39.1633819756,38.594733338,39.0716644534,651717,adjusted
2023-06-09,38.9891186834,39.2000689845,38.7414813735,38.8698859046,883058,adjusted
2023-06-12,38.8423706479,39.3559887722,38.007741196,38.4663288069,973846,adjusted
2023-06-13,38.4846723114,39.3743322766,38.2278632492,39.053320949,1109228,adjusted
2023-06-14,39.2459277456,39.4477062944,38.1728327359,38.3654395325,1257469,adjusted
2023-06-15,38.1911762404,39.0074621879,38.0169129482,38.9340881701,1277475,adjusted
2023-06-16,39.18172548,39.18172548,38.512187568,38.677279108,597927,adjusted
2023-06-20,38.390160282,38.4457847596,37.9173522225,38.2696405806,1034996,adjusted
2023-06-21,38.2325575955,38.390160282,37.9266229688,38.037871924,1599316,adjusted
2023-06-22,37.9915181927,37.9915181927,37.1015265513,37.1386095363,1221889,adjusted
2023-06-23,36.777050432,36.953194611,36.5545525216,36.7492381932,627779,adjusted
2023-06-26,36.7955919245,37.3611074467,36.7955919245,36.9995483423,632919,adjusted
2023-06-27,37.0273605811,37.5001686406,36.7585089395,37.3889196855,608692,adjusted
2023-06-28,37.3425659541,37.3425659541,36.9346531185,37.2498584915,773094,adjusted
2023-06-29,37.6670420734,38.0842256553,37.5743346108,37.9637059539,1925014,adjusted
2023-06-30,38.2881820731,38.4179725208,37.9080814763,38.0564134165,607959,adjusted
2023-07-03,38.1862038642,38.9464050579,38.1862038642,38.705365655,378078,adjusted
2023-07-05,38.4457847596,38.7841669983,38.2047453567,38.390160282,2375850,adjusted
2023-07-06,37.9266229688,37.9266229688,37.2498584915,37.7782910286,1843685,adjusted
2023-07-07,37.7319372972,38.6497411775,37.7319372972,38.2789113269,569682,adjusted
2023-07-10,38.1398501329,38.6775534162,38.0842256553,38.3994310283,400274,adjusted
2023-07-11,38.6219289387,39.1132784907,38.3716187895,39.020571028,2787623,adjusted
2023-07-12,39.6695232666,40.2025911768,39.335776401,39.4562961025,807455,adjusted
2023-07-13,39.7066062516,40.0774361022,39.4841083413,39.966187147,645661,adjusted
2023-07-14,40.3833707289,40.4853489379,39.0113002818,39.0576540131,1045712,adjusted
2023-07-17,39.0113002818,39.5860865502,38.9093220729,39.4655668487,459887,adjusted
2023-07-18,39.5397328189,40.7078468482,39.5397328189,40.6707638632,849309,adjusted
2023-07-19,40.8376372959,41.9408561014,40.7449298333,41.7832534149,9802808,adjusted
2023-07-20,41.6256507284,42.0381989372,41.3567990867,42.0242928178,4626552,adjusted
2023-07-21,42.3024152057,42.3024152057,41.4680480419,41.6163799822,784933,adjusted
2023-07-24,41.6720044597,42.5898083399,41.6534629672,42.3302274445,1373316,adjusted
2023-07-25,42.3302274445,42.5063716236,41.6349214747,41.6441922209,1567222,adjusted
2023-07-26,42.1448125192,42.6361620713,42.0891880416,42.4414763997,1133915,adjusted
2023-07-27,42.6083498325,42.9977211756,41.8203364,41.9315853552,1645590,adjusted
2023-07-28,42.2746029669,42.4322056534,41.996480579,42.2838737132,1647543,adjusted
2023-07-31,42.4414763997,42.7103280414,42.1832861162,42.4692886385,407843,adjusted
2023-08-01,42.2746029669,42.2746029669,41.7038031194,42.0521050566,581351,adjusted
2023-08-02,41.4587772957,41.6349214747,41.0601352063,41.5885677434,805621,adjusted
2023-08-03,41.4216943106,42.0335635641,41.2455501316,41.8759608776,630169,adjusted
2023-08-04,41.8481486388,42.3673104296,41.7322643105,41.8388778925,867022,adjusted
2023-08-07,41.996480579,42.3394981908,41.9779390865,42.2189784894,439159,adjusted
2023-08-08,41.0786766988,41.7448725254,40.559514908,41.6998166985,809866,adjusted
2023-08-09,41.4865895344,41.681275206,41.0045107287,41.0230522212,940093,adjusted
2023-08-10,41.189925654,41.5885677434,40.9581569974,41.1250304301,520215,adjusted
2023-08-11,40.911803266,41.3938820718,40.8190958034,41.2733623704,584248,adjusted
2023-08-14,40.9859692362,40.9859692362,40.4482659528,40.6058686393,854007,adjusted
2023-08-15,39.9939993858,40.0403531172,39.3635886398,39.4933790875,736929,adjusted
2023-08-16,39.3172349085,39.4933790875,39.0576540131,39.122549237,817182,adjusted
2023-08-17,39.298693416,39.4470253562,38.9603111773,39.1040077444,875346,adjusted
2023-08-18,38.7517193864,39.1689029683,38.6497411775,38.9742172967,616557,adjusted
2023-08-21,39.0483832668,39.1503614757,38.4735969984,38.844426849,410603,adjusted
2023-08-22,38.8258853565,38.9185928191,37.8014678942,37.8431862524,433777,adjusted
2023-08-23,37.8339155062,38.2835467,37.6299590883,38.2603698343,385498,adjusted
2023-08-24,38.2603698343,38.9000513266,38.176933118,38.2881820731,489346,adjusted
2023-08-25,38.4365140134,38.66828267,37.8339155062,38.1120378941,851400,adjusted
2023-08-28,38.3345358045,38.8536975953,38.3252650582,38.6033874461,644830,adjusted
2023-08-29,38.5941166999,39.2430689384,38.4828677447,39.122549237,386280,adjusted
2023-08-30,39.122549237,39.2245274459,38.8258853565,38.9093220729,381354,adjusted
2023-08-31,39.020571028,39.1242179713,38.7795316252,38.9000513266,352026,adjusted
2023-09-01,39.1503614757,39.5768158039,39.1503614757,39.335776401,639155,adjusted
2023-09-05,39.1967152071,39.650981774,38.9556758042,38.9556758042,538673,adjusted
2023-09-06,38.7702608789,38.844426849,38.1305793866,38.4457847596,650118,adjusted
2023-09-07,38.2232868493,38.5755752073,37.89881073,38.0007889389,527057,adjusted
2023-09-08,38.0007889389,38.4133371477,37.7041250585,38.4087017746,301933,adjusted
2023-09-11,38.6775534162,39.1318199832,38.4550555059,38.5199507297,350846,adjusted
2023-09-12,38.5384922223,39.4841083413,38.4179725208,39.1689029683,506361,adjusted
2023-09-13,39.3635886398,39.5860865502,38.6311996849,38.844426849,432582,adjusted
2023-09-14,39.2059859533,39.7066062516,39.2059859533,39.5582743114,468890,adjusted
2023-09-15,39.3450471473,39.5582743114,39.0947369982,39.3172349085,493764,adjusted
2023-09-18,39.2868831555,39.2868831555,38.8469299727,39.0996690352,476053,adjusted
2023-09-19,39.0903083292,39.3056045676,38.6409944403,38.9311763269,1636996,adjusted
2023-09-20,39.0996690352,39.3804902157,38.5801498512,38.6129123223,1653309,adjusted
2023-09-21,38.3227304357,38.6784372644,37.9951057251,38.0044664311,637879,adjusted
2023-09-22,38.1261556093,38.1261556093,37.5083490122,37.5177097182,451192,adjusted
2023-09-25,37.414741952,37.7423666626,37.2088064196,37.7236452506,327511,adjusted
2023-09-26,37.3398563039,37.6393988964,36.9794691222,37.1245600655,411743,adjusted
2023-09-27,37.2368885377,37.2556099497,36.6752461766,36.9935101812,528647,adjusted
2023-09-28,36.9279852391,37.6066364254,36.9279852391,37.424102658,552486,adjusted
2023-09-29,37.7610880747,38.0231878432,37.3679384219,37.5083490122,440721,adjusted
2023-10-02,37.3304955979,37.4568651291,36.4412285262,36.6003605285,3660396,adjusted
2023-10-03,36.328900054,36.356982172,35.6642899267,35.8327826351,1017085,adjusted
2023-10-04,35.8702254591,35.9965949904,35.4677151004,35.9544718133,627503,adjusted
2023-10-05,35.814061223,36.2446536998,35.5426007485,36.1884894637,457390,adjusted
2023-10-06,35.9076682832,36.7407711188,35.6268471027,36.4505892322,621165,adjusted
2023-10-09,36.0948824035,36.6007349567,35.9919146374,36.4880320563,4336171,adjusted
2023-10-10,36.8156567669,37.386659834,36.8156567669,37.0496744173,3783074,adjusted
2023-10-11,37.1620028895,37.4849472471,36.7688532368,37.0028708872,815402,adjusted
2023-10-12,37.0309530053,37.0590351234,36.347621466,36.6471640586,731755,adjusted
2023-10-13,37.0683958294,37.414741952,36.319539348,36.4973927623,827095,adjusted
2023-10-16,36.8437388849,37.1526421835,36.5909998225,37.0683958294,648498,adjusted
2023-10-17,36.8156567669,37.948302195,36.7594925308,37.7142845446,976984,adjusted
2023-10-18,37.3304955979,37.5083490122,36.6658854706,36.7501318248,1145176,adjusted
2023-10-19,36.7033282947,37.2368885377,36.2259322878,36.2446536998,1503862,adjusted
2023-10-20,35.9638325193,36.0574395795,35.0184012115,35.1494510958,900749,adjusted
2023-10-23,35.0090405055,35.3834687462,34.737580031,34.7656621491,870470,adjusted
2023-10-24,34.9247941514,35.1494510958,34.5597266167,34.737580031,2415569,adjusted
2023-10-25,34.5784480287,34.756301443,34.1712573169,34.6439729708,1144900,adjusted
2023-10-26,34.6439729708,35.5051579244,34.6346122648,35.2149760379,1520125,adjusted
2023-10-27,35.2336974499,35.2336974499,34.2648643771,34.3912339084,890121,adjusted
2023-10-30,34.6814157949,35.1775332138,34.4754802625,35.0652047416,622220,adjusted
2023-10-31,35.0839261537,35.5051579244,34.9575566224,35.4770758064,2825693,adjusted
2023-11-01,35.5051579244,35.795339811,35.261779568,35.5332400425,1695184,adjusted
2023-11-02,35.8795861651,37.1620028895,35.8795861651,37.1339207715,686980,adjusted
2023-11-03,37.8921379589,38.5380266741,37.8921379589,38.2852876116,939806,adjusted
2023-11-06,38.3601732598,38.491223144,37.7236452506,37.9857450191,402979,adjusted
2023-11-07,37.7704487807,37.9571948657,37.6300381904,37.7985308987,432362,adjusted
2023-11-08,37.8172523108,37.8172523108,37.4428240701,37.6581203085,600148,adjusted
2023-11-09,37.7985308987,37.9014986649,37.0309530053,37.1339207715,409638,adjusted
2023-11-10,37.2930527738,37.5738739543,37.0028708872,37.5551525423,396618,adjusted
2023-11-13,37.3492170099,37.6393988964,37.1339207715,37.4521847761,396183,adjusted
2023-11-14,38.3976160839,39.55834363,38.3882553778,39.1932760953,747223,adjusted
2023-11-15,39.2681617435,39.8906486937,39.2588010375,39.7736398684,548632,adjusted
