Date,Open,High,Low,Close,Volume,PriceMode
2023-04-28,141.46,144.72,141.4,144.64,1948955,adjusted
2023-05-01,144.71,145.99,144.46,144.54,1568212,adjusted
2023-05-02,144.03,144.39,141.17,142.42,1356819,adjusted
2023-05-03,143.49,144.985,142.52,142.57,1262245,adjusted
2023-05-04,142.04,142.61,140.67,141.27,862131,adjusted
2023-05-05,142.0,143.84,141.705,143.66,848937,adjusted
2023-05-08,144.35,144.83,142.61,143.13,791416,adjusted
2023-05-09,141.93,143.17,141.47,143.0,548748,adjusted
2023-05-10,144.68,145.775,143.43,145.67,1080292,adjusted
2023-05-11,145.84,145.84,143.53,144.51,1023445,adjusted
2023-05-12,145.29,145.54,143.99,145.27,875936,adjusted
2023-05-15,146.0,148.85,144.9,148.8,1539370,adjusted
2023-05-16,148.13,149.23,146.34,146.52,1977267,adjusted
2023-05-17,159.975,161.65,155.92,157.66,2668086,adjusted
2023-05-18,157.0,157.78,155.27,157.72,1374287,adjusted
2023-05-19,157.49,158.9799,156.89,157.19,1117141,adjusted
2023-05-22,157.0,159.24,156.75,158.72,901976,adjusted
2023-05-23,158.41,159.4,157.0769,157.49,1007973,adjusted
2023-05-24,155.79,156.49,155.0,155.46,1084641,adjusted
2023-05-25,156.67,158.14,156.17,157.1,1251591,adjusted
2023-05-26,158.06,162.33,158.06,161.63,1087468,adjusted
2023-05-30,163.32,164.355,161.3657,162.27,1245052,adjusted
2023-05-31,160.95,163.07,160.705,161.8,2643915,adjusted
2023-06-01,161.96,163.72,160.95,163.14,795699,adjusted
2023-06-02,164.08,164.39,161.79,163.26,805109,adjusted
2023-06-05,163.3,163.3,160.38,161.45,770400,adjusted
2023-06-06,160.88,162.405,160.49,161.47,603479,adjusted
2023-06-07,161.89,163.47,161.22,161.47,785165,adjusted
2023-06-08,161.9,162.69,160.94,162.38,733971,adjusted
2023-06-09,163.4,164.165,161.51,161.57,805880,adjusted
2023-06-12,161.95,164.1078,161.91,164.03,841525,adjusted
2023-06-13,164.85,165.46,163.86,164.93,697917,adjusted
2023-06-14,164.62,165.9543,163.36,164.18,881880,adjusted
2023-06-15,163.12,165.9,162.94,165.41,994384,adjusted
2023-06-16,166.65,167.4399,164.79,164.86,1927645,adjusted
