Date,Open,High,Low,Close,Volume,PriceMode
2023-04-11,57.3008117994,57.3556888737,57.0721573229,57.236788546,9913049,adjusted
2023-04-12,57.1453267554,57.6483666036,56.9898417114,57.3373965156,9593704,adjusted
2023-04-13,57.401419769,57.7672669313,57.1453267554,57.7581207523,9871424,adjusted
2023-04-14,57.6666589617,57.7581207523,57.4151390376,57.6666589617,8946011,adjusted
2023-04-17,57.9136057963,58.1056755565,57.749066035,58.0416523031,9441659,adjusted
2023-04-18,58.0873831984,58.1696988099,57.7947054685,58.1331140937,9035679,adjusted
2023-04-19,58.2885991377,58.3800609282,58.0096406764,58.2428682424,9769543,adjusted
2023-04-20,58.1971373471,58.5355459722,58.023359945,58.498961256,10706385,adjusted
2023-04-21,58.5355459722,58.7824928068,58.3526223911,58.5812768675,12931095,adjusted
2023-04-24,59.2215094016,59.441017699,58.1913752543,58.4898150769,15532266,adjusted
2023-04-25,58.6910310162,58.6910310162,58.1971373471,58.3983532864,12818860,adjusted
2023-04-26,58.1331140937,58.3251838539,57.9776290497,58.1239679146,13080556,adjusted
2023-04-27,58.1056755565,58.3160376748,57.7252859695,58.2428682424,13795824,adjusted
2023-04-28,58.178844989,58.6818848372,58.0599446612,58.6727386581,13687621,adjusted
2023-05-01,58.6727386581,59.1666323272,58.5904230466,58.809931344,9091540,adjusted
2023-05-02,58.663592479,58.663592479,57.867874901,58.5446921513,10948420,adjusted
2023-05-03,58.5538383303,58.7001771953,58.1514064518,58.2154297052,11084594,adjusted
2023-05-04,58.2977453167,58.4715227188,58.0873831984,58.2794529586,11938308,adjusted
2023-05-05,58.2062835261,58.7230426429,58.1971373471,58.5538383303,9039023,adjusted
2023-05-08,58.3617685701,58.5858499571,58.178844989,58.4623765398,7240719,adjusted
2023-05-09,58.2062835261,58.3068914958,57.87702108,57.9776290497,9067653,adjusted
2023-05-10,57.9136057963,58.2062835261,57.6117818874,58.0782370193,10134026,adjusted
2023-05-11,58.1514064518,58.4715227188,57.6300742455,58.4074994654,9581525,adjusted
2023-05-12,58.4074994654,58.7093233743,58.2611606005,58.6361539419,8740752,adjusted
2023-05-15,58.7367619115,58.7642004487,58.2703067795,58.4806688979,8149993,adjusted
2023-05-16,58.4395110921,58.4395110921,57.7672669313,57.8221440057,9130361,adjusted
2023-05-17,57.9867752287,58.0050675869,57.3739812318,57.7581207523,11582953,adjusted
2023-05-18,57.6300742455,57.6575127826,57.2276423669,57.4380044853,13595053,adjusted
2023-05-19,57.6575127826,57.712389857,57.2596539936,57.4654430224,14251355,adjusted
2023-05-22,57.4242852167,57.4974546491,56.1941241333,56.2581473867,15055371,adjusted
2023-05-23,56.2581473867,56.4044862517,55.9471772988,56.1575394171,13932724,adjusted
2023-05-24,56.139247059,56.1849779543,55.5355992412,55.6819381061,11090129,adjusted
2023-05-25,55.3069447647,55.5447454202,55.0142670348,55.2520676904,14463630,adjusted
2023-05-26,55.2886524066,55.4624298087,54.9776823186,55.1148750045,12570281,adjusted
2023-05-30,54.9593899605,55.0554248406,54.4380577542,54.6758584097,15634206,adjusted
2023-05-31,54.8039049165,55.1331673626,54.2962919788,54.566104261,54787628,adjusted
2023-06-01,54.8221972746,55.0279863034,54.6667122306,54.877074349,13402678,adjusted
2023-06-02,55.1240211835,56.0843699846,54.9502437814,55.9380311197,15259845,adjusted
2023-06-05,55.7916922548,56.1941241333,55.3845043631,55.5630377783,12915645,adjusted
2023-06-06,55.7459613595,55.7825460757,54.9908528165,55.1606058998,10943523,adjusted
2023-06-07,54.886220528,55.2017637055,54.7124431259,55.0782902882,16817908,adjusted
