Date,Open,High,Low,Close,Volume
2023-03-29,51.21,52.5382,51.195,52.24,596828
2023-03-30,53.04,53.31,52.73,53.27,585552
2023-03-31,53.52,54.225,53.52,54.01,589344
2023-04-03,53.83,53.83,52.5013,52.95,667580
2023-04-04,52.96,53.15,52.06,52.45,646376
2023-04-05,51.97,52.03,51.16,51.31,501640
2023-04-06,45.92,48.06,45.33,46.33,4929069
2023-04-10,46.08,48.19,45.86,47.47,1324937
2023-04-11,47.54,48.06,46.79,46.84,765208
2023-04-12,47.15,47.35,45.19,45.38,966221
2023-04-13,45.72,46.11,45.03,45.63,768939
2023-04-14,45.42,46.1197,44.94,45.24,659623
2023-04-17,46.81,46.88,45.57,46.22,1400741
2023-04-18,46.03,46.66,45.1,46.49,1431240
2023-04-19,45.7,46.55,45.515,46.47,946076
2023-04-20,46.14,46.9,45.93,46.1,641225
2023-04-21,46.1,47.26,45.95,47.05,847259
2023-04-24,46.87,47.67,46.28,47.6,760463
2023-04-25,47.43,48.18,47.06,47.52,974084
2023-04-26,47.56,48.72,47.5111,47.9,1062629
2023-04-27,48.0,48.58,47.385,48.43,558584
2023-04-28,48.57,48.82,47.87,48.25,683518
2023-05-01,48.25,48.48,47.9,48.3,638325
2023-05-02,48.0,48.0,47.09,47.19,777426
2023-05-03,47.27,49.28,47.23,48.46,1108152
2023-05-04,48.1,48.17,46.97,47.5,911856
2023-05-05,48.0,48.23,47.52,47.78,505103
2023-05-08,47.96,48.54,47.68,47.89,1270643
2023-05-09,45.0,47.9,45.0,45.99,2388971
2023-05-10,45.2,45.565,43.56,44.56,2210242
2023-05-11,44.51,44.51,43.26,43.3,1887245
2023-05-12,43.3,43.45,42.0,42.22,1872369
2023-05-15,42.3,45.55,42.25,45.12,1706935
2023-05-16,44.5,44.765,44.18,44.33,1384172
2023-05-17,44.66,46.14,44.54,46.1,931227
2023-05-18,45.98,47.38,45.62,47.37,1109761
2023-05-19,47.64,48.04,46.69,46.69,967347
2023-05-22,46.38,48.36,46.26,48.27,965706
2023-05-23,48.3,48.5,46.97,47.06,928726
2023-05-24,46.67,46.76,45.35,45.53,853491
2023-05-25,46.23,48.375,45.66,47.99,1318265
2023-05-26,48.6,53.89,48.365,53.63,3607132
2023-05-30,55.11,55.29,52.385,54.86,3046590
2023-05-31,53.94,54.62,52.5684,52.9,1801380
2023-06-01,52.94,53.61,52.21,52.22,795453
2023-06-02,52.63,53.74,52.29,53.0,1510769
2023-06-05,52.59,52.92,50.97,51.42,1303813
2023-06-06,50.09,50.65,49.19,50.09,2308373
2023-06-07,50.6,52.12,50.481,50.8,1212553
2023-06-08,51.05,51.22,49.65,51.08,1259498
2023-06-09,51.52,51.83,50.42,51.06,784345
2023-06-12,51.46,53.86,51.3,53.29,1616699
2023-06-13,54.02,54.95,52.56,53.49,2578260
2023-06-14,53.95,57.94,53.75,56.43,10266944
2023-06-15,55.8,57.38,54.76,56.4,2518981
2023-06-16,59.11,59.74,56.58,57.8,3545791
2023-06-20,60.0,65.16,59.94,61.37,7400699
2023-06-21,59.8,60.19,54.94,55.8,4449558
2023-06-22,55.63,57.85,55.28,56.63,1809103
2023-06-23,55.18,56.06,54.64,55.29,1939326
2023-06-26,55.37,56.29,54.69,55.71,1617522
2023-06-27,55.76,58.33,54.952,57.91,1575387
2023-06-28,56.7,56.96,55.1732,56.31,1920259
2023-06-29,56.4,57.18,55.87,56.92,1175904
2023-06-30,57.69,58.125,56.72,56.73,1313440
2023-07-03,57.51,58.0899,57.1,57.4,601250
2023-07-05,55.14,55.59,54.145,54.62,2063641
2023-07-06,53.7,54.25,52.99,53.6,1532498
2023-07-07,53.17,55.92,53.17,54.4,1605744
2023-07-10,53.83,54.635,53.81,54.55,1040676
2023-07-11,55.05,55.18,53.55,54.82,1634471
2023-07-12,55.27,55.27,53.045,54.48,1440966
2023-07-13,55.06,55.6,54.48,55.58,1247722
2023-07-14,54.93,54.93,51.18,51.92,3227598
2023-07-17,51.64,52.98,51.27,52.39,1371647
2023-07-18,51.03,52.2,50.02,52.1,2421274
2023-07-19,52.85,53.795,52.2,52.98,1430509
2023-07-20,51.93,52.83,50.74,52.46,1819331
2023-07-21,53.08,53.08,51.66,51.85,879273
2023-07-24,52.17,52.58,51.66,51.89,798149
2023-07-25,52.16,53.5,51.42,53.0,1657305
2023-07-26,53.36,53.36,52.34,52.79,989685
2023-07-27,53.46,53.71,52.37,52.76,1188847
2023-07-28,53.27,53.7501,52.27,52.36,1095818
2023-07-31,52.29,52.97,51.7792,52.36,870306
2023-08-01,51.55,51.73,50.825,51.44,1630798
2023-08-02,50.55,50.962,50.365,50.51,979791
2023-08-03,50.25,51.09,49.915,50.96,1089967
2023-08-04,51.32,52.86,50.57,52.4,1316028
2023-08-07,52.3,52.575,52.01,52.36,694522
2023-08-08,51.93,53.2285,51.6394,52.46,1718950
2023-08-09,52.4,52.5,50.13,50.32,1379327
2023-08-10,50.5,51.08,49.81,49.91,1126941
2023-08-11,49.25,49.79,48.57,49.53,1402685
2023-08-14,49.26,50.76,49.0,50.58,1246668
2023-08-15,50.15,51.98,49.89,51.34,2071782
2023-08-16,48.44,49.44,45.07,46.81,6120419
2023-08-17,48.85,49.0,44.7501,46.2,4108466
2023-08-18,45.51,48.5844,45.51,47.98,2704102
2023-08-21,47.82,48.95,47.64,48.66,1217758
2023-08-22,49.56,51.5,48.72,51.31,2343698
2023-08-23,51.54,53.605,51.1,53.18,1642735
2023-08-24,53.91,54.28,51.78,52.12,2254498
2023-08-25,52.3,52.47,51.5,51.59,1243936
2023-08-28,51.37,52.0,50.791,51.08,1471267
2023-08-29,51.32,53.55,51.08,52.97,1323432
2023-08-30,53.12,53.465,52.21,52.63,959600
2023-08-31,53.55,54.66,53.48,54.13,1291687
2023-09-01,54.35,54.4,53.58,53.89,1288279
2023-09-05,53.111,53.72,52.59,52.97,1192943
2023-09-06,52.79,53.065,52.15,52.33,1180201
2023-09-07,50.92,51.565,49.76,49.83,1787621
2023-09-08,50.0,50.135,49.35,49.66,764666
2023-09-11,49.98,50.1,48.47,48.52,1413167
2023-09-12,48.18,48.67,47.67,47.83,870234
2023-09-13,47.68,47.98,45.58,47.01,1852610
2023-09-14,47.26,48.37,47.04,48.24,1079944
2023-09-15,48.16,48.74,47.53,48.25,1660531
2023-09-18,47.96,48.71,47.45,48.36,992644
2023-09-19,48.44,48.76,47.6,47.86,1153021
2023-09-20,48.28,48.94,48.16,48.33,863431
2023-09-21,47.59,47.67,45.8,46.62,1286350
2023-09-22,46.97,47.39,46.215,46.41,1172344
2023-09-25,45.91,46.555,45.76,45.99,1112039
2023-09-26,45.7,45.8,44.58,44.8,1851459
2023-09-27,44.88,45.29,43.41,43.83,1883743
2023-09-28,44.03,45.3,43.89,44.95,1378667
2023-09-29,45.62,45.985,44.97,45.18,789679
2023-10-02,45.46,46.14,44.96,45.68,1229846
2023-10-03,45.05,45.21,44.03,44.75,1011855
2023-10-04,44.53,44.7,42.7,43.07,1638797
2023-10-05,42.95,43.025,40.875,41.61,1408082
2023-10-06,41.08,41.87,40.8,41.22,1148169
2023-10-09,40.88,41.37,40.27,41.26,967516
2023-10-10,42.1,43.355,41.66,42.0,1188549
2023-10-11,42.27,42.885,41.911,42.87,910657
2023-10-12,43.07,43.18,41.375,41.83,657588
2023-10-13,41.85,42.28,41.17,41.42,714576
2023-10-16,41.63,42.67,41.51,42.16,1316108
2023-10-17,41.26,41.98,40.925,41.25,1578112
2023-10-18,40.74,40.84,39.76,39.84,1203668
2023-10-19,39.7,40.19,38.965,39.35,1430074
2023-10-20,39.25,39.385,38.595,38.64,1276386
2023-10-23,38.6,38.6,37.53,37.63,1169085
