Date,Open,High,Low,Close,Volume,PriceMode
2023-06-08,426.7444271877,438.0915133378,423.2786217545,436.3194489779,2040858,adjusted
2023-06-09,439.8831585194,439.8831585194,433.3235832644,436.6914845894,2082341,adjusted
2023-06-12,436.7991791085,437.6215736181,429.4857422197,435.9767845989,2566696,adjusted
2023-06-13,434.371157223,438.0235678867,432.9809188854,436.3781914429,1766345,adjusted
2023-06-14,434.9781626944,439.3740571563,434.2438818823,438.3362736085,2163490,adjusted
2023-06-15,438.6104051117,447.0056823971,438.306902376,444.416118733,2287108,adjusted
2023-06-16,446.2469255579,447.4021940356,438.1208845703,438.3264831977,4295714,adjusted
2023-06-20,436.5152571944,445.3462077617,435.7809763823,442.4776173889,2507676,adjusted
2023-06-21,444.9741721502,445.7965666598,440.7762397952,443.5056105259,2347588,adjusted
2023-06-22,445.4636926916,452.571530953,444.3084242138,448.0875227936,2913524,adjusted
2023-06-23,447.4217748573,450.3686885166,442.8398625896,449.2232104497,4832135,adjusted
2023-06-26,455.5086542015,455.5086542015,439.5111229079,443.270640666,3214677,adjusted
2023-06-27,452.8065008129,458.1716459468,442.2328571182,454.7645829786,4138716,adjusted
2023-06-28,458.6905377207,458.7101185424,447.7350680038,449.0861446981,2854710,adjusted
2023-06-29,449.4385994879,456.0667076187,447.9173654534,454.7547925677,2112385,adjusted
2023-06-30,454.911439141,460.0220335934,454.2750624371,459.1506870297,3173216,adjusted
2023-07-03,456.4876952844,456.4876952844,447.7840200579,451.7491364434,2113173,adjusted
2023-07-05,452.4148843797,457.4593935591,450.3588981058,455.939432278,2130392,adjusted
2023-07-06,453.4135062842,457.7996103354,451.94494466,453.5016199817,2193610,adjusted
2023-07-07,452.6400638288,453.8932364148,441.7824982201,442.6048927297,2914742,adjusted
2023-07-10,443.4664488826,445.1406091343,440.2845653634,443.6622570992,2011375,adjusted
2023-07-11,440.5684872774,441.1167502838,428.438168261,430.1808613885,3573117,adjusted
2023-07-12,429.2801435923,434.9879531052,425.8926614457,431.3655010987,3107830,adjusted
2023-07-13,431.0032558981,432.9711284746,425.2367039201,425.58915871,2865139,adjusted
2023-07-14,431.8550216401,441.0090557647,431.6298421911,440.0398050927,2955014,adjusted
2023-07-17,440.0300146818,441.1754927488,433.9697503791,437.7684297805,2349068,adjusted
2023-07-18,437.5824119747,443.821253371,435.7124435065,441.7433365768,2237938,adjusted
2023-07-19,441.9391447934,445.4636926916,439.1586681181,444.0538735323,2212841,adjusted
2023-07-20,445.610548854,455.4694925582,445.4636926916,454.0988350422,2624224,adjusted
2023-07-21,455.6555103639,457.251347329,452.287609039,452.3561419148,2226909,adjusted
2023-07-24,452.3169802715,455.880689813,448.0777323828,449.6931501695,2190663,adjusted
2023-07-25,448.1658460802,451.259615902,447.0301584241,447.950457042,1737804,adjusted
2023-07-26,445.4636926916,445.4636926916,437.2005859524,444.0832447648,1959809,adjusted
2023-07-27,443.8189036724,449.0665638764,442.7741689329,445.4539022808,1883510,adjusted
2023-07-28,445.5909680324,449.9379104402,442.311278309,448.8707556599,1438327,adjusted
