Date,Open,High,Low,Close,Volume,PriceMode
2023-04-11,49.5899829771,49.731862999,49.1381048254,49.3188560861,9080420,adjusted
2023-04-12,49.8854043925,49.9175994961,48.2119975595,48.3043167518,9727740,adjusted
2023-04-13,48.5394877469,48.7906931281,47.6658566535,48.4287047162,12970980,adjusted
2023-04-14,48.3062603138,49.1585122258,47.8689588766,48.6706781781,9247310,adjusted
2023-04-17,47.616295824,48.1055875431,46.9472246251,47.8757613434,12446220,adjusted
2023-04-18,48.0798353474,48.6318069392,47.530293208,48.1391139866,8995450,adjusted
2023-04-19,47.2266116544,47.9971367867,46.912143332,47.716389264,17221370,adjusted
2023-04-20,49.6541205213,52.1360491225,49.3771629444,51.166211713,40479680,adjusted
2023-04-21,50.9397867466,50.9532847843,49.9330216601,50.2595400665,14387300,adjusted
2023-04-24,50.0826759297,50.3463103895,49.2090448363,49.9864696135,10246750,adjusted
2023-04-25,49.7114555986,50.2041485511,48.5363294588,48.5618387093,13710760,adjusted
2023-04-26,48.9048773922,49.3382917055,48.1187065862,48.3363855239,12733680,adjusted
2023-04-27,48.9340308214,50.4849932519,47.9496166972,50.4247428317,19830990,adjusted
2023-04-28,50.4606987276,50.9669966138,49.8057183528,50.9290971559,11458570,adjusted
2023-05-01,50.9086897555,51.6491868558,50.6638009507,50.9048026316,8384300,adjusted
2023-05-02,50.8970283838,51.1827319895,49.9757800228,50.7153053422,9465790,adjusted
2023-05-03,50.7765275434,51.2128571996,49.8533356204,50.00298989,13627820,adjusted
2023-05-04,50.0525507196,50.1098857969,49.287759095,49.7785084856,7801620,adjusted
2023-05-05,50.4354324224,51.610315617,50.1948486073,51.4810687477,14019330,adjusted
2023-05-08,51.5043914911,51.6521021987,50.8445619292,51.1924497992,7956950,adjusted
2023-05-09,50.4917957187,50.5248362718,49.7644176615,50.1215471686,10002090,adjusted
2023-05-10,50.9329842798,51.6472432939,50.5374694244,51.2420106287,10969560,adjusted
2023-05-11,51.3527936595,51.5840775307,50.5967480636,51.2595026862,7162010,adjusted
2023-05-12,51.5043914911,51.8445148311,50.6676880746,51.2225750093,9169380,adjusted
2023-05-15,51.5043914911,53.6899171782,51.4995325862,53.6685477147,17455810,adjusted
2023-05-16,53.4800222062,54.8269106327,53.3789569851,54.3162397322,17388030,adjusted
2023-05-17,54.8580076238,56.388562654,54.4304239963,55.7909173565,16674400,adjusted
2023-05-18,55.7802277658,58.3350399399,55.7802277658,58.1844138893,19222690,adjusted
2023-05-19,57.8462341113,57.888020693,57.1698745551,57.2242942895,12253350,adjusted
2023-05-22,56.829751215,57.4983365234,56.5323862377,56.8559893013,10423960,adjusted
2023-05-23,56.3739859394,56.5061481515,55.5975329431,55.7306669362,10668500,adjusted
2023-05-24,54.7637448696,55.3079422136,54.3623993283,54.9901698359,13255330,adjusted
2023-05-25,56.9463649316,58.9666975714,56.3569797724,58.5109322958,20554120,adjusted
2023-05-26,58.7927487775,61.5147072788,58.3049147298,61.0521395363,21988520,adjusted
2023-05-30,62.1939821779,62.640991707,60.1726777571,61.2183140825,13655950,adjusted
2023-05-31,60.0939634984,61.2537840879,59.6566620612,59.9297325142,26879920,adjusted
2023-06-01,59.9297325142,60.7824703167,58.7606800055,60.2368153012,14557380,adjusted
2023-06-02,60.2504202348,60.4438046482,59.0599885447,59.6352828798,11814250,adjusted
2023-06-05,59.4312088758,59.6576338422,58.6003361452,58.8520274168,10442970,adjusted
2023-06-06,57.923976589,59.834497979,57.701924637,59.492431077,11064440,adjusted
2023-06-07,59.562399307,60.3699395765,59.0424964872,59.3544381791,12027060,adjusted
2023-06-08,59.4671647718,59.8801716847,58.7441597289,59.7198278244,9113080,adjusted
2023-06-09,60.0813303458,60.3582879227,58.8666041314,58.947261952,10675900,adjusted
2023-06-12,59.5371330017,61.0812929655,59.0113994961,60.9821713064,15097030,adjusted
2023-06-13,60.903798229,61.364718174,60.0170389268,60.9564191106,11760720,adjusted
2023-06-14,60.4165678431,61.4611897904,59.7393176068,61.3939519971,11219350,adjusted
2023-06-15,60.1924418657,60.9159789886,60.0677108869,60.5140139203,18625180,adjusted
2023-06-16,60.7693226425,60.805377691,59.47816212,59.700339176,26788100,adjusted
2023-06-20,59.521038394,60.2879390213,59.2433170741,59.8591762817,9811300,adjusted
2023-06-21,59.3729203567,60.007294319,58.6927467381,59.0328335474,8988080,adjusted
2023-06-22,58.5748369847,60.8531262688,58.3136814979,60.4038998531,11737320,adjusted
2023-06-23,59.3933840329,59.5736592756,58.6011474255,59.3212739358,10808180,adjusted
2023-06-26,59.8465082917,61.7233197379,59.8016830962,60.4487250486,13441180,adjusted
2023-06-27,60.7810161717,63.3623627559,60.6124344582,63.2580954533,13354950,adjusted
2023-06-28,62.3645149257,63.3073057223,61.972645271,62.5779218347,11805520,adjusted
2023-06-29,63.1080284945,63.1348261657,61.9757050778,62.4005699742,14022910,adjusted
2023-06-30,62.7874309006,63.2298360909,62.2592731624,62.6441851672,10866540,adjusted
2023-07-03,62.6441851672,63.4383706961,62.2534263977,63.4364217745,6219340,adjusted
2023-07-05,62.7620949205,62.9579615356,61.244859499,61.2526551852,11058720,adjusted
2023-07-06,60.1671058856,60.6839696235,59.6038675596,60.5140139203,12978500,adjusted
2023-07-07,60.5987920074,61.3286631254,60.118382847,60.2090076988,7289010,adjusted
2023-07-10,60.4165678431,61.4183135164,60.1826972579,61.1610558727,12881930,adjusted
2023-07-11,61.2497318029,61.4046710656,59.2725508972,60.3600491184,12032830,adjusted
2023-07-12,61.2896846945,61.2935825376,60.2010853327,60.6699276438,13032880,adjusted
2023-07-13,61.0986903833,62.568177227,61.0986903833,62.1998310553,10888550,adjusted
2023-07-14,62.5720750701,63.0651522205,61.9679093916,62.2251670353,9191150,adjusted
2023-07-17,61.8782590006,64.6878730205,61.8782590006,64.3212321552,13836600,adjusted
2023-07-18,63.7531215253,64.4108825462,63.2113213363,63.9187798565,10236850,adjusted
2023-07-19,63.5786930472,63.7500324847,62.1915481387,62.3762084549,9325870,adjusted
2023-07-20,61.3617947916,61.3783606248,59.6964413329,59.9800094174,16720110,adjusted
2023-07-21,60.3697937261,61.0938180794,60.220701228,60.7702971032,25742220,adjusted
2023-07-24,61.3413311154,62.6173874959,61.2935825376,62.2709666916,11476270,adjusted
2023-07-25,62.2709666916,63.7671829942,62.175469536,63.3633372166,9087210,adjusted
2023-07-26,62.5623304623,63.17818967,61.5995632199,62.5964365893,13613940,adjusted
2023-07-27,65.7761020873,69.7655444865,65.6123926776,68.4022738669,33899650,adjusted
2023-07-28,69.2149741505,70.5577810938,68.7577571564,70.283957617,18503720,adjusted
2023-07-31,70.3034468324,70.7970112133,69.5487269648,70.0140319832,11359750,adjusted
2023-08-01,69.0746517994,70.1114780604,69.0346989077,69.7616466434,9536820,adjusted
2023-08-02,68.7189736177,68.9187380759,66.6141383509,66.8363154069,14984830,adjusted
2023-08-03,66.3812422265,67.7259980914,66.0216662017,67.5652120641,12157500,adjusted
2023-08-04,67.5652120641,68.4685371994,66.899655357,67.2826184403,6652860,adjusted
2023-08-07,68.0173618621,68.8515002827,67.3576519197,68.7345649901,6847720,adjusted
2023-08-08,67.7844657377,68.0592636753,66.9142722686,67.8224697078,8095770,adjusted
2023-08-09,67.8975031872,68.2073817126,66.8178006522,66.85288124,8140230,adjusted
2023-08-10,67.3966303506,68.3077511721,66.349085021,66.8860129062,9378430,adjusted
2023-08-11,65.367803024,65.5315124336,63.4763746662,63.5319189301,16034810,adjusted
2023-08-14,63.4373962353,65.02186945,63.0476119266,65.0160226854,13016650,adjusted
2023-08-15,64.4313462224,64.8805726381,63.7930744169,63.908060788,6713180,adjusted
2023-08-16,64.2617900481,64.3017429398,62.9199575655,62.9784252118,8088110,adjusted
2023-08-17,63.357490452,64.2369412984,63.0232504073,63.199627807,8913920,adjusted
2023-08-18,62.6217725694,63.9952750271,62.3138429656,63.626441625,9336000,adjusted
2023-08-21,63.827180544,65.5090998358,63.7024495652,65.2148126828,9082530,adjusted
2023-08-22,66.0099726725,66.3172006646,64.7188413839,64.9789931761,6278880,adjusted
2023-08-23,64.9419636667,66.4289908043,64.787024404,66.0772104657,8712890,adjusted
2023-08-24,67.3021076557,67.4054004975,63.6186459388,63.9178053957,11350230,adjusted
2023-08-25,64.1935777941,64.9341679806,62.9998633488,64.3407213706,7602330,adjusted
2023-08-28,65.2654846429,65.7527150288,64.4751969571,64.9302701375,6093040,adjusted
2023-08-29,64.6242894552,67.4015026544,64.4937117118,66.7164567319,10398140,adjusted
2023-08-30,66.6287552625,67.1656831477,65.5129976789,66.899655357,9027110,adjusted
2023-08-31,66.327646884,68.641016756,66.327646884,68.4461246016,16816270,adjusted
2023-09-01,69.1165536125,69.3728367955,68.0271064698,68.4032483277,6453750,adjusted
2023-09-05,68.0417233814,68.9401762129,67.7440256157,68.2872874959,5200040,adjusted
2023-09-06,67.9355071573,69.0351861381,67.0175651104,67.8458567663,9012810,adjusted
2023-09-07,66.3607785503,66.4199672976,64.8016413156,65.9417604185,12040220,adjusted
2023-09-08,65.6299329715,66.3081576686,64.9487848921,65.179732095,9025330,adjusted
2023-09-11,65.6416265008,65.8121571358,63.4412940784,64.6730124938,9528810,adjusted
2023-09-12,63.9435862805,64.954266178,63.7187735373,63.7979467208,8924270,adjusted
2023-09-13,64.268098588,65.2054699823,63.8135858682,64.3805049596,8779090,adjusted
2023-09-14,65.2191542362,65.2445678507,63.6317807802,64.1625343434,10358670,adjusted
2023-09-15,63.238847203,63.3317046404,60.383725365,60.9056819078,31613000,adjusted
2023-09-18,60.6769593778,62.2135056049,60.4267330202,62.1314000813,12599140,adjusted
2023-09-19,62.1314000813,62.2398966661,60.7707942619,61.1050810365,10946100,adjusted
2023-09-20,61.3347810132,61.8469630889,60.3377853696,60.4902670563,8475910,adjusted
2023-09-21,59.6477079928,60.4189134465,59.5255271541,59.6623696934,11695710,adjusted
2023-09-22,60.598763641,61.4750934883,60.1618449619,60.514703224,12745250,adjusted
2023-09-25,60.141318581,60.8959074407,59.9790624273,60.6588766137,7635220,adjusted
2023-09-26,59.8138739334,60.163311132,58.9908638041,59.233270588,10592390,adjusted
2023-09-27,59.8187611669,60.3783494081,58.9033823236,60.0074083819,11951100,adjusted
2023-09-28,59.7190616026,61.6309473661,59.3925944017,61.3367359066,11734160,adjusted
2023-09-29,62.2144830516,62.2985434686,61.0972614628,61.2634274034,7708420,adjusted
2023-10-02,61.3103448455,62.6543340708,60.8968848874,61.665158001,9881750,adjusted
2023-10-03,61.5869622642,62.2633553871,59.9077088175,60.4169585531,10197120,adjusted
2023-10-04,61.0317725333,61.9701213743,60.7991402164,61.8117750074,9588390,adjusted
2023-10-05,61.8704218099,61.9583920138,60.6300419357,61.1715474127,7536700,adjusted
2023-10-06,60.6671849107,61.7824516061,59.5480084285,61.3944052625,10649200,adjusted
2023-10-09,60.7228993731,61.6641805542,60.0895139054,61.3533525007,6921950,adjusted
2023-10-10,61.917339252,62.8449361792,61.4110218565,62.0072643492,6742360,adjusted
2023-10-11,62.6494468373,62.8742595804,61.9647454174,62.7256876806,6615460,adjusted
2023-10-12,63.0795233894,65.0002061733,63.0658391355,64.0188496771,13287450,adjusted
2023-10-13,64.6092274896,64.9405819241,62.7520787418,63.0570421151,12294890,adjusted
2023-10-16,63.3209527266,64.0843386067,62.9590335336,63.6024573789,9989840,adjusted
2023-10-17,62.374784312,63.8702777773,61.2331265554,63.5291488757,10341460,adjusted
2023-10-18,62.361100058,63.0599744552,61.2155325146,62.7755374628,13345940,adjusted
2023-10-19,61.2810214442,61.8235043679,58.6676905986,58.8374046707,25077980,adjusted
2023-10-20,59.0084578449,59.4492863108,58.4923659823,58.6810131972,13013050,adjusted
2023-10-23,58.2851472799,59.3593612135,57.6097316038,58.6057498006,8106020,adjusted
2023-10-24,59.1570297447,59.7552271308,58.5431932112,59.0397361396,9661300,adjusted
2023-10-25,58.3232677016,58.5040953428,56.7964959416,57.0183763446,11331530,adjusted
2023-10-26,57.5813856492,59.0944731553,57.0359703854,57.1933393056,11975960,adjusted
2023-10-27,57.1122112287,58.0168381582,56.768149987,57.0848427208,9496860,adjusted
2023-10-30,56.9274738006,57.9982666707,56.4172466183,57.0340154919,8658600,adjusted
2023-10-31,57.3106329107,57.745107973,56.1464938798,57.4953703388,8179490,adjusted
2023-11-01,57.9498830586,59.3935718484,57.5491299078,59.2977820709,10439250,adjusted
2023-11-02,60.8460576585,61.7169626766,60.4257555735,60.9222985018,13559780,adjusted
2023-11-03,61.5009469538,62.498920044,61.2751567639,61.977940948,9834020,adjusted
2023-11-06,61.977940948,62.5150479148,61.3948939858,62.4637319625,6929620,adjusted
2023-11-07,62.5565893999,63.2491103935,62.2330545391,62.6797476853,8193810,adjusted
2023-11-08,63.0062148862,63.4480207989,62.6621536445,63.2974940056,7304160,adjusted
2023-11-09,63.5340361093,65.3423125216,63.3883965496,63.5594497237,12196440,adjusted
2023-11-10,64.6170470633,67.2356267977,64.1547147697,66.9971298006,13738110,adjusted
2023-11-13,66.4663762374,66.4673536841,65.542689097,65.8241937493,8159670,adjusted
2023-11-14,67.5415676177,68.0473962898,66.8485579008,67.9247267278,9554950,adjusted
2023-11-15,68.2453292485,68.3782620009,67.5933722933,68.2160058472,6294640,adjusted
2023-11-16,68.3235249852,69.0409708699,68.014651825,68.4642773114,10046590,adjusted
2023-11-17,67.5963046334,68.5737513428,67.2483336049,68.4545028443,10265170,adjusted
2023-11-20,68.1602913847,70.4739077458,68.1602913847,70.2930801046,10267940,adjusted
2023-11-21,69.9881167313,69.9881167313,68.761421111,69.141647881,8708930,adjusted
2023-11-22,69.8874397202,71.1801129933,69.7310482467,70.1278916107,7822500,adjusted
2023-11-24,70.0321018332,70.584359224,69.8874397202,70.1318013975,3005970,adjusted
2023-11-27,69.8874397202,71.4498882851,69.4651827418,70.6156375187,6819390,adjusted
2023-11-28,69.6264614488,70.1249592706,68.8601432287,69.4368367872,9053410,adjusted
2023-11-29,70.3761630749,70.9103377016,69.6968376119,69.7887176026,8125040,adjusted
2023-11-30,70.2588694698,70.2588694698,69.04390321,69.9773648175,12923980,adjusted
2023-12-01,69.6020252811,70.6293217726,69.2149563842,70.5794719904,6920140,adjusted
