Date,Open,High,Low,Close,Volume,PriceMode
2023-04-11,24.0944405255,24.0944405255,23.7537110635,23.8176708511,42830,adjusted
2023-04-12,24.2112620553,24.2112620553,23.6758300436,23.6855651711,18483,adjusted
2023-04-13,23.6076841512,24.4156997325,23.6076841512,24.3936009931,20384,adjusted
2023-04-14,24.5325212623,24.5422563898,24.0262946331,24.405964605,15228,adjusted
2023-04-17,24.3475538401,24.42543486,24.0749702705,24.2951788542,11839,adjusted
2023-04-18,24.3767592225,24.3993447183,24.1525592366,24.2330687409,5211,adjusted
2023-04-19,24.0944405255,24.3573863188,24.0944405255,24.2502025652,3377,adjusted
2023-04-20,24.1966593641,24.2112620553,24.0944405255,24.1431161629,3212,adjusted
2023-04-21,24.1723215453,24.3101709505,24.1382485992,24.2404674377,2597,adjusted
2023-04-24,24.4010970412,24.4010970412,24.141753245,24.1820566728,2515,adjusted
2023-04-25,23.9630163044,23.9630163044,23.6466246612,23.6466246612,3702,adjusted
2023-04-26,24.1820566728,24.4156997325,24.0555000155,24.104175653,10384,adjusted
2023-04-27,25.067953274,25.6033852857,24.9900722541,25.4573583734,10855,adjusted
2023-04-28,25.4670935009,25.4670935009,25.1896423675,25.389212481,8624,adjusted
2023-05-01,25.2529206962,25.3503693223,25.2139801862,25.2891353704,3994,adjusted
2023-05-02,25.3308017161,25.3454044073,24.9900722541,25.1166289114,5599,adjusted
2023-05-03,25.3404394923,25.3404394923,25.0291101153,25.067953274,14471,adjusted
2023-05-04,24.8350890245,24.9803371266,24.8350890245,24.9413966167,8657,adjusted
2023-05-05,25.1068937839,25.389212481,25.0874235289,25.3136678917,10774,adjusted
2023-05-08,25.1962622542,25.4378881184,25.1962622542,25.4378881184,3268,adjusted
2023-05-09,25.4631020986,25.4631020986,25.3405368436,25.3405368436,1251,adjusted
2023-05-10,25.6131204131,25.9441147476,25.5518864613,25.8370283453,5838,adjusted
2023-05-11,26.05120115,26.3627252295,25.8954391102,26.2069631897,12048,adjusted
2023-05-12,26.1874929348,26.2361685722,25.8662337277,26.0414660225,9766,adjusted
2023-05-15,26.1972280622,26.1972280622,25.9733201301,26.1485524248,3300,adjusted
2023-05-16,26.1874929348,26.5574277792,26.1874929348,26.4114008669,12450,adjusted
2023-05-17,26.5866331616,26.8008059663,26.4990170143,26.7697509096,9109,adjusted
2023-05-18,26.8981572412,27.2291515757,26.8884221137,27.2291515757,20392,adjusted
2023-05-19,27.1610056833,27.1804759382,27.0247138985,27.1047366464,19482,adjusted
2023-05-22,27.1415354283,27.355708233,27.1415354283,27.1902110657,10043,adjusted
2023-05-23,27.1415354283,27.1901137144,26.8979625386,26.8979625386,14431,adjusted
2023-05-24,26.8884221137,26.9663031336,26.7862032751,26.9078923686,7157,adjusted
2023-05-25,27.1512705558,27.297297468,26.9857733885,27.2388867031,5206,adjusted
2023-05-26,27.2096813207,27.998226647,27.2096813207,27.9106104996,8482,adjusted
2023-05-30,28.4363073838,28.4363073838,27.9106104996,28.1150481768,16595,adjusted
2023-05-31,28.0858427943,28.1539886867,27.8783872276,27.9614278651,5999,adjusted
2023-06-01,28.0761076668,28.4460425113,28.0761076668,28.3810118597,3398,adjusted
2023-06-02,28.7186260809,28.8257124832,28.489850585,28.621274806,14921,adjusted
2023-06-05,28.7770368458,29.0009447779,28.5823342961,28.601804551,7902,adjusted
2023-06-06,28.8256151319,28.8256151319,28.6615782338,28.7186260809,2894,adjusted
2023-06-07,28.8938583756,28.942534013,27.8521997347,27.8521997347,9379,adjusted
2023-06-08,27.8748825817,28.2708102166,27.8717673409,28.1199157405,4726,adjusted
2023-06-09,28.1637238142,28.3180255849,28.0956752731,28.1734589417,10352,adjusted
2023-06-12,28.266721463,28.7283612083,28.266721463,28.7283612083,9048,adjusted
2023-06-13,28.7673017183,28.8155879506,28.6332490128,28.6810484888,6140,adjusted
2023-06-14,28.7380963358,28.8797424407,28.4071020013,28.8646529931,6292,adjusted
2023-06-15,28.981474523,29.3806147498,28.9813771717,29.3806147498,2282,adjusted
2023-06-16,29.3903498773,29.3903498773,29.0593555428,29.0672409961,11666,adjusted
2023-06-20,28.8159773557,29.0690906703,28.7770368458,29.0106799054,4695,adjusted
2023-06-21,28.8159773557,28.9717393955,28.621274806,28.7186260809,5914,adjusted
2023-06-22,28.5044532762,29.3806147498,28.5044532762,29.3806147498,7899,adjusted
2023-06-23,28.9863420867,29.2735283475,28.9863420867,29.2735283475,3635,adjusted
2023-06-26,29.2491905288,29.3415768886,28.5920694236,28.6504801885,5593,adjusted
2023-06-27,28.9327988855,29.1567068177,28.9327988855,28.9912096504,4934,adjusted
2023-06-28,29.1080311803,29.3611444949,29.0496204154,29.0982960528,5686,adjusted
2023-06-29,29.1421041265,29.1664419452,28.8451827382,28.9035935031,8172,adjusted
2023-06-30,29.0982960528,29.4877011522,29.0982960528,29.4487606422,3163,adjusted
2023-07-03,29.5071714072,29.5071714072,29.2151175826,29.3514093674,3343,adjusted
2023-07-05,29.3903498773,29.6789964073,29.3903498773,29.5947875545,5779,adjusted
2023-07-06,29.3514093674,29.4584957697,29.3514093674,29.4584957697,765,adjusted
2023-07-07,29.4390255148,29.6337280645,29.3974565204,29.3974565204,4331,adjusted
2023-07-10,29.2053824551,29.2053824551,28.7187234321,28.9035935031,4191,adjusted
2023-07-11,28.962004268,29.1664419452,28.9327988855,29.1372365627,5736,adjusted
2023-07-12,29.6921388294,29.7408144668,29.5362794383,29.6434631919,2560,adjusted
2023-07-13,29.9647223989,30.3735977533,29.9647223989,30.3735977533,3726,adjusted
2023-07-14,30.4958709545,30.6364461954,30.247041096,30.2762464785,3917,adjusted
2023-07-17,30.3151869884,30.4709490282,30.3151869884,30.3638626258,4359,adjusted
2023-07-18,30.1788952036,30.7143272153,30.1691600761,30.5293597931,3818,adjusted
2023-07-19,30.6169759404,30.8311487451,30.5293597931,30.7045920878,3709,adjusted
2023-07-20,30.6364461954,30.6461813229,29.8045795518,29.8045795518,3436,adjusted
2023-07-21,30.0133980364,30.0133980364,29.5655821721,29.5655821721,2511,adjusted
2023-07-24,29.9160467615,29.9160467615,29.623992937,29.623992937,2344,adjusted
2023-07-25,29.7894901042,29.9111791978,29.7894901042,29.8868413791,1964,adjusted
2023-07-26,30.0620736738,30.0620736738,29.7893927529,29.945252144,4108,adjusted
2023-07-27,30.6560138017,30.6914496657,30.1594249486,30.1886303311,1304,adjusted
2023-07-28,30.5170935324,31.0258512948,30.5170935324,30.9625729662,4831,adjusted
2023-07-31,31.0939971872,31.0939971872,30.7340895241,30.7922082352,1845,adjusted
2023-08-01,30.8116784901,30.8116784901,30.7630028527,30.7630028527,1122,adjusted
2023-08-02,30.3443923709,30.3443923709,30.0620736738,30.0620736738,4685,adjusted
2023-08-03,29.9841926539,30.2081005861,29.8868413791,30.0377358551,3413,adjusted
2023-08-04,30.6121083767,30.7125748923,30.0912790563,30.0912790563,3877,adjusted
2023-08-07,30.227570841,30.4514787732,30.1789925549,30.4514787732,2955,adjusted
2023-08-08,30.3290108694,30.3290108694,30.1657527815,30.1886303311,2486,adjusted
2023-08-09,29.7408144668,30.1107493112,29.7310793393,29.8479008691,2261,adjusted
2023-08-10,31.1718782071,31.1718782071,29.9031963932,29.9031963932,2637,adjusted
2023-08-11,29.6726685744,29.7894901042,29.5461119171,29.7068388719,3090,adjusted
2023-08-14,29.9549872715,30.0620736738,29.9188699485,30.0620736738,697,adjusted
2023-08-15,29.7456820305,29.7456820305,29.7439297076,29.7439297076,764,adjusted
2023-08-16,29.7408144668,29.7408144668,29.2929986025,29.2929986025,3446,adjusted
2023-08-17,29.0982960528,29.4584957697,29.0885609253,29.0885609253,6262,adjusted
2023-08-18,28.280545344,28.7867719733,28.280545344,28.7867719733,3369,adjusted
2023-08-21,29.0106799054,29.2053824551,28.8451827382,29.2053824551,2083,adjusted
2023-08-22,29.4487606422,29.4487606422,29.2053824551,29.2053824551,3398,adjusted
2023-08-23,29.7797549767,29.8479008691,29.7213442118,29.7213442118,1272,adjusted
2023-08-24,29.8320326113,29.8320326113,29.1080311803,29.1080311803,2224,adjusted
2023-08-25,28.942534013,29.26379322,28.7186260809,29.2345878376,4466,adjusted
2023-08-28,29.4098201323,29.5461119171,29.283263475,29.4195552598,3446,adjusted
2023-08-29,29.9355170165,30.1691600761,29.9355170165,30.056816705,2548,adjusted
2023-08-30,30.1788952036,30.2081005861,30.115616875,30.1496898212,2821,adjusted
