Date,Open,High,Low,Close,Volume,PriceMode
2023-04-11,213.8184780094,214.3543141804,211.7644393539,212.2010466043,16710101,adjusted
2023-04-12,213.1784514718,215.1679913289,210.9448084701,212.3498899852,18972172,adjusted
2023-04-13,214.0665503107,219.4447578048,214.0268587425,218.6509264403,23310357,adjusted
2023-04-14,216.1999721027,220.3973554421,215.8725166648,219.7821361346,21591207,adjusted
2023-04-17,218.0952444852,219.2750763506,215.4557551985,217.1724155241,15411724,adjusted
2023-04-18,218.2143191899,218.7402324688,214.5428491294,216.2098949947,12280984,adjusted
2023-04-19,211.8259612846,215.6542130396,211.2881405352,214.0367816346,15898078,adjusted
2023-04-20,211.8338995983,215.0786853004,211.1293742624,211.427061024,16475443,adjusted
2023-04-21,208.5891138962,211.7644393539,207.9639716967,211.248448967,17717166,adjusted
2023-04-24,212.0273959934,212.2705068487,209.0852584989,211.1492200465,15750920,adjusted
2023-04-25,209.1894488655,209.631017562,205.5328631431,205.9496246094,19198175,adjusted
2023-04-26,210.8614561769,212.4590417978,207.2693692528,207.7853596397,35185227,adjusted
2023-04-27,238.0402575165,239.8214166405,234.9443151953,236.7205128732,71196531,adjusted
2023-04-28,237.1670430157,238.5760936875,233.9321802056,238.4669418749,39554036,adjusted
2023-05-01,236.7750887795,242.1185661513,234.6367055416,241.3048890028,29143912,adjusted
2023-05-02,241.3048890028,243.0314722204,237.1471972316,237.3952695329,24350149,adjusted
2023-05-03,237.6234960502,239.8859154388,230.955312589,235.2023103887,34463859,adjusted
2023-05-04,234.2397898593,236.3632887592,231.1303524049,231.7193752773,17889391,adjusted
2023-05-05,230.4492450942,232.8704307557,228.0776738929,230.9850812652,27000480,adjusted
2023-05-08,229.6306064996,233.8031826089,228.4944353593,231.4713029759,16400526,adjusted
2023-05-09,229.6752595139,234.0611778023,229.2981896158,231.5705318964,16865587,adjusted
2023-05-10,234.3489416719,234.9244694112,228.9409655018,231.2827680268,19119007,adjusted
2023-05-11,231.2529993507,236.3732116512,230.5087824465,233.9718717738,20448991,adjusted
2023-05-12,234.9145465191,235.1327509154,229.6653366218,232.0071391469,16161447,adjusted
2023-05-15,235.0931585761,238.4024430766,233.5154187393,237.0181996348,20653229,adjusted
2023-05-16,233.9718717738,237.7872237691,233.7039536883,236.9785080666,18163772,adjusted
2023-05-17,236.6113610606,241.9620821436,236.3037514069,240.6152480049,21193080,adjusted
2023-05-18,239.4393852964,245.1828544469,239.3302334837,244.9465903871,22943297,adjusted
2023-05-19,245.5618096945,246.7724025253,241.53311552,243.7459204484,21733581,adjusted
2023-05-22,243.5176939311,251.6147738483,243.2299300615,246.4052555192,27738479,adjusted
2023-05-23,244.9068988189,249.6698870055,244.748132546,244.8374385745,17748115,adjusted
