Date,Open,High,Low,Close,Volume,PriceMode
2023-04-11,32.191,33.782,31.8095,33.235,14267460,adjusted
2023-04-12,33.425,33.5745,31.83401,32.283,8812480,adjusted
2023-04-13,33.042,34.5,32.7,34.072,11131720,adjusted
2023-04-14,34.285,34.763,32.461,33.375,8720870,adjusted
2023-04-17,32.173,32.247,31.22,31.303,7652840,adjusted
2023-04-18,32.5,33.4,32.4,32.985,10000520,adjusted
2023-04-19,31.988,32.19909,31.29,31.472,6234660,adjusted
2023-04-20,31.027,31.29,29.227,29.471,8256390,adjusted
2023-04-21,29.734,30.05,28.774,29.102,6576180,adjusted
2023-04-24,29.103,29.79532,28.3,28.533,5676380,adjusted
2023-04-25,28.236,29.689,28.015,29.091,5699510,adjusted
2023-04-26,31.05,32.164,29.63,29.946,10674660,adjusted
2023-04-27,30.651,31.888,29.60101,31.864,10165150,adjusted
2023-04-28,31.304,32.898,30.809,32.838,7607300,adjusted
2023-05-01,32.0,32.33591,30.42361,30.747,9055130,adjusted
2023-05-02,31.014,33.29265,30.513,32.801,13733020,adjusted
2023-05-03,32.049,32.189,30.168,30.425,11930080,adjusted
2023-05-04,31.115,32.119,30.75,31.2235,7150600,adjusted
2023-05-05,31.3,32.87199,31.2,32.672,9082140,adjusted
2023-05-08,31.115,31.1745,29.4,29.467,10429910,adjusted
2023-05-09,29.751,31.0,28.963,30.343,7220480,adjusted
2023-05-10,31.324,32.565,30.5,31.511,12951620,adjusted
2023-05-11,31.135,31.135,28.476,28.737,15422380,adjusted
2023-05-12,28.49,28.659,26.651,27.1,10850520,adjusted
2023-05-15,28.0,28.688,27.6,28.25,6507190,adjusted
2023-05-16,27.75,28.29999,27.23713,27.344,4653910,adjusted
2023-05-17,27.149,29.105,26.92603,29.057,6113140,adjusted
2023-05-18,28.9,29.721,28.00112,28.758,6696310,adjusted
2023-05-19,29.09,29.196,28.2575,28.828,3731810,adjusted
2023-05-22,28.778,29.706,28.602,29.412,5910290,adjusted
2023-05-23,29.919,30.12,28.826,28.933,6432840,adjusted
2023-05-24,28.2,28.69479,27.663,28.443,8064370,adjusted
