Date,Open,High,Low,Close,Volume,PriceMode
2023-05-30,102.5274582704,102.89232467,100.0818672681,100.2396473328,88754,adjusted
2023-05-31,99.8846421873,100.6932650187,97.9518363952,98.9478230534,102976,adjusted
2023-06-01,99.2140769125,102.0343955684,98.4942053674,101.482165342,45992,adjusted
2023-06-02,104.8448529702,107.882119215,103.8192825499,107.5271140695,82444,adjusted
2023-06-05,106.462098633,106.462098633,100.4960399379,103.5037224206,63500,adjusted
2023-06-06,103.4741386584,108.3357369009,103.4741386584,107.8525354529,88623,adjusted
2023-06-07,108.4639332035,110.7024378709,108.1483730742,109.0358859379,93731,adjusted
2023-06-08,108.7104645545,109.8740925314,107.8328129448,109.0260246839,57533,adjusted
2023-06-09,108.5428232358,108.5428232358,106.0775097254,107.1326639079,59693,adjusted
2023-06-12,106.8072425245,107.3003052266,105.988758439,106.4325148709,74108,adjusted
2023-06-13,107.4778077993,110.7616053952,106.5015436492,110.4263227578,109235,adjusted
2023-06-14,111.5899507347,111.5899507347,107.1819701781,108.3850431712,81187,adjusted
2023-06-15,108.3357369009,111.0771655245,107.398917767,110.8898016977,88727,adjusted
2023-06-16,112.1027359448,112.2332989483,107.62572661,107.9610092474,319522,adjusted
2023-06-20,107.4186402751,108.582268252,106.3191104494,107.9215642312,68495,adjusted
2023-06-21,107.152386416,108.9175508894,106.2747348063,108.1779568363,61243,adjusted
2023-06-22,107.5862815938,107.5862815938,106.0725790984,107.4186402751,54436,adjusted
2023-06-23,105.4858344829,106.237459266,104.7955467,105.7027820718,157154,adjusted
2023-06-26,105.5351407531,107.7243391504,105.5351407531,106.4325148709,54099,adjusted
2023-06-27,106.8466875407,109.8445087693,106.5015436492,108.6414357762,81271,adjusted
2023-06-28,108.0793442959,110.012150088,107.2312764483,109.6965899587,121662,adjusted
2023-06-29,110.712299125,113.098722603,110.6925766169,113.0099713167,46866,adjusted
2023-06-30,113.8185941481,113.8185941481,111.6195344968,112.615521155,90401,adjusted
2023-07-03,112.5760761388,113.6410915753,112.3492672959,113.4438664945,26692,adjusted
2023-07-05,113.8580391642,114.1637380395,111.6392570049,113.5030340187,73261,adjusted
2023-07-06,112.7239949495,114.9624996169,111.5800894806,114.8737483305,81847,adjusted
2023-07-07,114.7159682659,117.3982293652,114.7159682659,116.1261275938,62047,adjusted
2023-07-10,115.4950073351,118.295603483,113.6312303213,117.5362869218,111413,adjusted
2023-07-11,117.5264256677,118.305464737,115.9683475291,117.2798943167,78906,adjusted
2023-07-12,118.7294986608,120.810124651,118.3744935153,119.5479827462,155883,adjusted
2023-07-13,119.9818779241,121.6957638765,118.4681754287,119.6860403028,81516,adjusted
2023-07-14,119.1633938386,119.8339591134,118.0043020386,119.2817288871,71998,adjusted
2023-07-17,118.3942160234,120.918697058,117.5757319379,119.6170115245,96227,adjusted
2023-07-18,119.0845038063,119.8487509945,114.745552028,118.1378234183,110313,adjusted
2023-07-19,117.6447607162,117.6447607162,114.3806856284,114.6568007416,81248,adjusted
2023-07-20,114.8441645684,115.3717416596,113.8974841804,114.3412406123,84290,adjusted
2023-07-21,114.5483269472,114.5483269472,112.7239949495,112.8028849818,124704,adjusted
2023-07-24,113.088861349,113.6115078132,111.8266208317,111.8364820857,67815,adjusted
2023-07-25,113.0296938247,114.3905468825,113.0296938247,114.035541737,71800,adjusted
2023-07-26,113.2762251758,114.5680494552,112.3196835338,114.4102693906,67537,adjusted
2023-07-27,115.5541748594,115.5541748594,113.6805365915,114.4004081365,63154,adjusted
2023-07-28,114.7849970442,115.7569222425,113.6953284726,114.4497144067,38812,adjusted
2023-07-31,114.9427771088,119.015475028,114.6372754586,117.4869806515,88403,adjusted
2023-08-01,116.4811327393,118.53227358,114.0059579749,115.3175047624,163181,adjusted
2023-08-02,109.1049147162,112.2605160095,106.0084809471,106.4127923628,133331,adjusted
2023-08-03,106.442376125,106.442376125,102.4387069841,102.4584294922,88618,adjusted
2023-08-04,102.3006494275,103.8291438039,101.8568929956,101.9949505522,80546,adjusted
2023-08-07,102.3400944437,105.5844470233,102.0245343143,105.3477769263,86105,adjusted
2023-08-08,103.9277563444,104.6180441273,102.1034243467,104.1545651873,81388,adjusted
2023-08-09,103.7896987878,105.5844470233,102.7148220972,104.4898478247,67518,adjusted
2023-08-10,104.9237430026,107.0340513675,104.2433164737,106.8269650326,88594,adjusted
2023-08-11,106.205706028,107.1819701781,104.1151201711,105.0420780511,64668,adjusted
2023-08-14,105.1505518455,105.8802846446,103.2177460534,104.6279053813,65017,adjusted
2023-08-15,103.7009475014,104.2285245926,102.5077357624,103.2078847993,79288,adjusted
2023-08-16,103.2867748317,105.1653437266,102.0787712116,102.2414819032,50319,adjusted
2023-08-17,102.7838508755,104.4306803005,102.0639793305,102.1132856007,52920,adjusted
2023-08-18,101.4131365637,104.558876603,101.4131365637,103.2571910695,113170,adjusted
2023-08-21,103.2374685614,103.4642774044,102.3105106815,102.6950995892,48633,adjusted
2023-08-22,103.2966360857,105.7126433259,103.2966360857,105.5154182451,60285,adjusted
2023-08-23,105.4266669587,108.1385118201,104.9040204945,106.69876873,88465,adjusted
2023-08-24,106.0491063859,106.7599839261,104.8075390153,105.0815230672,70149,adjusted
