Date,Open,High,Low,Close,Volume,PriceMode
2023-04-11,62.821062873,63.4626984932,62.228783839,62.7519636524,23090190,adjusted
2023-04-12,63.5317977138,63.5317977138,61.044225771,61.1626815778,16694110,adjusted
2023-04-13,60.7184723023,62.5545373077,60.0077374615,62.1892985701,23286546,adjusted
2023-04-14,62.3669822803,62.4064675492,60.9701908917,61.8240598324,14953015,adjusted
2023-04-17,61.4193358259,61.9622582737,61.1774885536,61.7352179773,11201322,adjusted
2023-04-18,62.5150520388,62.6335078456,60.6888583506,61.1330676261,12175168,adjusted
2023-04-19,60.1952924889,60.4223327853,59.6030134549,59.8695390202,11652635,adjusted
2023-04-20,59.1094475933,61.1528102606,59.099576276,60.6691157161,14382205,adjusted
2023-04-21,60.3631048819,60.6543087403,59.9485095581,60.3433622474,9606175,adjusted
2023-04-24,59.3216809138,60.091643658,58.5862677799,58.7442088556,13402645,adjusted
2023-04-25,58.3690988008,58.5763964627,57.2832539051,57.3918383947,15987313,adjusted
2023-04-26,58.8083724176,60.3927188336,58.5763964627,60.2347777579,25307036,adjusted
2023-04-27,59.9682521926,61.1626815778,59.3562305241,61.1034536744,13524587,adjusted
2023-04-28,61.6266334878,63.6058325931,61.4983063637,63.5317977138,18094717,adjusted
2023-05-01,63.0678458038,63.2751434657,61.5032420223,61.5476629499,12823373,adjusted
2023-05-02,61.4292071431,61.7747032463,60.4568823956,61.1034536744,12237630,adjusted
2023-05-03,60.6987296678,61.3798505569,60.0324157546,60.1261932683,10818080,adjusted
2023-05-04,59.7708258479,60.1755498545,59.1291902277,59.731340579,13357926,adjusted
2023-05-05,59.8300537513,60.9455125987,59.331552231,60.4420754198,12312661,adjusted
2023-05-08,60.4618180542,60.5555955679,59.5289785757,60.0867079994,11510442,adjusted
2023-05-09,59.1094475933,60.6000164955,58.7836941246,60.1459359028,11895219,adjusted
2023-05-10,61.1231963089,61.508177681,59.0206057382,59.2180320828,14548695,adjusted
2023-05-11,59.8103111168,61.0146118193,59.2920669621,60.8171854746,15536578,adjusted
2023-05-12,61.1922955295,61.3897218742,59.3759731586,60.1360645855,12131366,adjusted
2023-05-15,61.4292071431,64.0352348927,61.0047405021,63.8081945963,22227199,adjusted
2023-05-16,63.7193527412,64.3807309959,62.4854380871,62.9099047281,15266397,adjusted
2023-05-17,63.7489666929,64.4794441682,62.6236365283,64.0845914789,15947694,adjusted
2023-05-18,65.1309511056,67.7073649035,64.2425325546,66.7004905457,30688019,adjusted
2023-05-19,66.7004905457,67.5099385588,65.5751603811,67.2927695797,16812097,adjusted
2023-05-22,64.9039108092,65.8910425326,63.9266504031,65.3777340364,37491046,adjusted
2023-05-23,65.0026239816,66.6906192285,64.8644255403,65.1605650573,15896231,adjusted
2023-05-24,64.1142054306,65.8712998981,64.0451062099,65.6738735534,15806645,adjusted
2023-05-25,68.847502044,68.9807648266,66.6412626423,68.7142392613,29021516,adjusted
2023-05-26,68.9807648266,73.6301552435,68.9017942887,72.9786483061,33409984,adjusted
2023-05-30,73.4277932402,73.8077402405,70.6620475778,70.7674732458,24454683,adjusted
2023-05-31,68.0084400791,68.9511508749,67.0459866489,67.3223835314,30381466,adjusted
2023-06-01,68.0528610067,68.8919229715,67.2187347005,68.2009307652,18153026,adjusted
2023-06-02,69.0844136576,69.6372074226,67.4112253865,68.279901303,13468239,adjusted
2023-06-05,68.6056547717,68.6056547717,66.6412626423,66.8979168904,12441091,adjusted
2023-06-06,66.1625037565,67.9541478343,65.9552060946,66.670876594,12476560,adjusted
2023-06-07,67.5296811933,67.7813997828,66.0835332186,66.1970533668,14610807,adjusted
2023-06-08,65.6462338652,65.6640022362,63.1863016106,64.4794441682,25856752,adjusted
2023-06-09,65.0815945194,65.5455464294,63.6354465448,64.5880286578,14652510,adjusted
2023-06-12,64.9927526643,66.670876594,64.9433960782,66.5820347389,14742476,adjusted
2023-06-13,67.6728152932,67.9936331033,66.7301044974,66.9966300627,11911879,adjusted
2023-06-14,66.670876594,68.319386572,66.6511339595,68.2305447169,11085818,adjusted
2023-06-15,67.7073649035,68.6253974062,67.4803246071,67.9344051999,11842643,adjusted
2023-06-16,69.2472903919,69.5927864951,65.2099216435,66.7893324008,32259693,adjusted
2023-06-20,66.4487719563,66.7498471319,64.9236534437,66.0391122911,13265684,adjusted
2023-06-21,65.8910425326,66.3352518081,64.4991868027,64.9532673954,10427173,adjusted
2023-06-22,64.6867418301,65.8022006775,64.6669991956,65.3974766709,8646854,adjusted
2023-06-23,64.6077712922,65.1112084711,64.005620941,64.4399588993,12663593,adjusted
2023-06-26,64.7854550024,65.8416859464,64.5682860233,64.6077712922,13815879,adjusted
2023-06-27,64.430087582,65.9798843877,62.9736734374,65.9305278015,18305177,adjusted
2023-06-28,64.8051976369,66.8584316214,64.5485433888,66.206924684,27100091,adjusted
2023-06-29,66.967016111,67.0756006006,62.7322210179,63.5021837621,51141898,adjusted
2023-06-30,63.6650604965,64.2622751891,62.0905853977,62.2978830596,31549615,adjusted
2023-07-03,62.6236365283,63.4923124449,62.4410171595,63.0777171211,12921258,adjusted
2023-07-05,62.6828644317,62.9296473626,61.2219094812,61.2613947501,16552989,adjusted
2023-07-06,60.2051638062,60.9948691848,59.7214692617,60.4420754198,15622711,adjusted
2023-07-07,60.7544818585,60.8138220654,59.9583340822,59.9830591684,15028085,adjusted
2023-07-10,60.156134772,62.1390866868,59.913828927,61.7929354797,16953141,adjusted
2023-07-11,61.9116158935,62.9698495837,61.6248048934,62.9006193423,13464462,adjusted
2023-07-12,63.7610523427,63.988523136,62.4308427041,63.0885299976,13953588,adjusted
2023-07-13,63.4742413426,63.9341279463,62.8511691699,63.8203925497,11384662,adjusted
2023-07-14,63.5929217565,64.8192860329,62.9797396182,63.3753409977,13860248,adjusted
2023-07-17,63.0984200321,64.9478564813,62.6434784456,64.4434647224,11333639,adjusted
2023-07-18,63.6621519979,64.4039045845,63.0497610624,64.2258839637,10402308,adjusted
2023-07-19,64.9082963433,65.0368667917,64.0874234808,64.2456640326,9463941,adjusted
2023-07-20,63.6918221013,64.8242310502,63.543471584,63.9786331015,12745070,adjusted
2023-07-21,64.5720351707,65.4324681712,63.6324818944,64.9280764123,24540157,adjusted
2023-07-24,64.6412654122,65.9071898266,64.5077499466,64.759945826,10275069,adjusted
2023-07-25,64.6808255501,65.2692826021,64.3643444465,64.9577465158,8610906,adjusted
2023-07-26,64.2852241706,67.1335541031,64.2852241706,66.6390523787,14920570,adjusted
2023-07-27,69.7049630699,71.5445094846,69.1906812765,70.2884751047,25068346,adjusted
2023-07-28,70.7928668636,71.33671986,69.8780386734,70.417045553,11935820,adjusted
2023-07-31,70.3379252771,70.9807775188,70.0906744149,70.6049562083,11193789,adjusted
2023-08-01,70.2192448633,70.2983651392,69.1214510351,69.9818840356,13153444,adjusted
2023-08-02,68.9829905523,69.0818908972,66.5994922407,67.4203651032,14012010,adjusted
2023-08-03,66.826963034,68.6269493107,66.4228562248,68.4192585865,11081192,adjusted
2023-08-04,68.7357396901,70.1544651374,68.3698084141,69.1412311041,11255547,adjusted
2023-08-07,69.0818908972,69.4571188056,68.0731073794,68.6170592762,10537537,adjusted
2023-08-08,67.9445369311,68.003877138,66.2236709302,66.9060833099,14767793,adjusted
2023-08-09,67.0346537582,67.2225644135,65.8874097576,65.9665300335,10043174,adjusted
2023-08-10,66.3225712751,66.7181726546,64.2159939292,64.7203856881,12775328,adjusted
2023-08-11,64.1863238257,64.5918152397,63.3654509632,63.6621519979,11823083,adjusted
2023-08-14,63.6621519979,67.7269561723,63.4940214116,67.5291554826,21953958,adjusted
2023-08-15,66.8467431029,66.8863032409,64.6017052742,64.6115953087,13808529,adjusted
2023-08-16,64.2852241706,64.5125960635,63.3852310322,63.5138014806,9895360,adjusted
2023-08-17,63.7808324117,63.997424167,62.7028186526,62.8610592044,9933301,adjusted
2023-08-18,61.6248048934,63.1528152217,61.0709629621,62.8907293078,9576535,adjusted
2023-08-21,62.9797396182,63.4890763943,62.1687567902,63.2566605839,11311886,adjusted
2023-08-22,63.5929217565,64.3643444465,62.5890832559,62.712708687,8877758,adjusted
2023-08-23,62.8709492388,64.8984063088,62.4753478593,64.4731348259,10747418,adjusted
2023-08-24,65.4126881022,65.5115884471,62.6731485491,62.9896296527,12661624,adjusted
2023-08-25,62.7621588595,63.6819320668,61.9363409798,63.0192997562,9409035,adjusted
2023-08-28,64.9973066537,65.3830179987,63.948962998,64.5918152397,9904856,adjusted
2023-08-29,64.1863238257,66.2929011716,64.1566537223,65.9467499645,9954960,adjusted
2023-08-30,66.4511417234,67.9445369311,65.7885094127,67.3412448273,16892172,adjusted
2023-08-31,67.2225644135,69.7643032768,67.2225644135,69.1709012076,18420869,adjusted
2023-09-01,69.4379321387,69.8434235527,68.7851898625,69.6159527595,10772024,adjusted
2023-09-05,69.1412311041,70.3774854151,68.7654097936,69.5170524146,11144304,adjusted
2023-09-06,69.3588118628,69.8828847903,68.8742001729,69.6357328285,9192768,adjusted
2023-09-07,68.6862895177,69.5150744077,68.3401383106,69.1016709662,12043224,adjusted
2023-09-08,68.997825604,69.8335335182,68.8445300695,69.4082620353,9806902,adjusted
2023-09-11,70.051114277,70.0807843804,68.5478290348,69.259911518,9310367,adjusted
2023-09-12,69.1857362593,70.9016572429,69.0225506902,69.5368324836,11062110,adjusted
2023-09-13,70.2686950357,71.0697878292,69.5912276733,70.070894346,14525471,adjusted
2023-09-14,70.881877174,71.4357191053,70.4961658289,71.0005575878,11170290,adjusted
2023-09-15,70.5060558634,70.8403390291,68.8742001729,69.1115610006,16416127,adjusted
2023-09-18,69.8730936562,70.2687939361,69.1413300044,69.7247431389,12735677,adjusted
2023-09-19,69.8434235527,70.2785850702,69.200571311,69.9324338631,10400203,adjusted
2023-09-20,70.1697946908,71.5100921646,68.8840902074,68.9137603109,15529661,adjusted
2023-09-21,68.2412379657,68.5280489659,67.0841039306,67.1533341721,14978568,adjusted
2023-09-22,67.8357465517,68.9829905523,67.0445437927,68.1225575519,15489768,adjusted
2023-09-25,67.5390455171,68.4242036037,66.8665231719,67.8258565172,14899963,adjusted
2023-09-26,67.2225644135,68.2857431209,66.8467431029,67.19289431,12752503,adjusted
2023-09-27,67.3709149308,68.0928874484,66.015980206,67.4599252412,20852300,adjusted
2023-09-28,65.2445575159,66.3521424782,63.1280901355,64.4830248604,46749773,adjusted
2023-09-29,65.6302688609,67.9742070345,65.6302688609,67.2819046204,24315500,adjusted
2023-10-02,67.4895953446,68.5181589314,66.3225712751,67.212674379,14880490,adjusted
2023-10-03,66.4313616544,68.8840902074,66.3720214475,67.0841039306,12481501,adjusted
2023-10-04,67.5588255861,67.7467362413,66.381911482,67.3610248963,12912847,adjusted
2023-10-05,67.8555266207,68.7752998281,67.5884956895,68.2906881382,14045022,adjusted
2023-10-06,68.0661302117,69.6659963199,67.3628825646,69.3044166732,15113360,adjusted
2023-10-09,68.957696464,69.2945103815,67.9323952739,68.828914672,8588667,adjusted
2023-10-10,68.8388209637,69.4530110485,68.2444434622,68.4227567126,9007592,adjusted
2023-10-11,69.0666656726,69.6115117156,68.2840686289,69.5520739654,11165347,adjusted
2023-10-12,69.7303872159,70.0572948417,68.6456482757,69.0963845476,11408726,adjusted
2023-10-13,69.2152600479,69.4034795901,68.442569296,68.5614447963,10288566,adjusted
2023-10-16,68.3633189625,69.373760715,67.5014715853,68.4326630043,11294107,adjusted
2023-10-17,67.4321275435,68.9775090473,66.9863444174,68.3534126708,11843014,adjusted
2023-10-18,67.3726897933,68.8982587138,67.3429709183,68.4921007545,11200982,adjusted
2023-10-19,69.0270405058,69.1261034227,66.5504675829,66.8971877921,18111022,adjusted
2023-10-20,66.9269066672,67.8779106696,66.5058892703,66.5900927497,11506070,adjusted
2023-10-23,66.193841082,67.5212841687,65.6093698723,66.2532788322,9489552,adjusted
2023-10-24,66.6594367915,67.7095037108,66.5009361245,67.4321275435,8450723,adjusted
2023-10-25,67.8432386487,68.5515385046,65.2822641206,65.8768397479,11924264,adjusted
2023-10-26,65.8273082895,66.8080311669,63.2764381789,63.9253002847,16697863,adjusted
2023-10-27,64.3116456607,65.648995039,64.2720204939,65.0348049542,9980252,adjusted
2023-10-30,65.7331985184,66.9170003755,64.559302953,65.4508692052,10667691,adjusted
2023-10-31,65.4607754969,66.4414983743,64.6484595782,66.2433725405,8268405,adjusted
2023-11-01,66.3721543325,69.0072279224,66.3721543325,68.7496643384,16777513,adjusted
2023-11-02,69.661043174,70.3594367383,69.0963845476,69.7799186743,11925952,adjusted
2023-11-03,70.6318597598,72.5041488895,70.4832653844,71.8998650963,14457882,adjusted
