Date,Open,High,Low,Close,Volume,PriceMode
2023-06-26,42.9984901426,43.3451765962,42.9375857657,43.3030120275,605040,adjusted
2023-06-27,43.2139979381,43.6778081935,43.1905731777,43.6450135289,1082872,adjusted
2023-06-28,43.6637533372,43.6637533372,43.3339327112,43.4388756377,924372,adjusted
2023-06-29,43.4529304939,43.7668222829,43.2514775547,43.7668222829,808342,adjusted
2023-06-30,43.8933159889,44.2306325383,43.8933159889,44.1697281613,1375274,adjusted
2023-07-03,44.0807140719,44.250309337,43.9401655097,44.2165776821,387926,adjusted
2023-07-05,43.9776451263,44.0713441678,43.8620673586,43.9261106534,752146,adjusted
2023-07-06,43.6637533372,43.6637533372,43.3081654748,43.6262737206,952296,adjusted
2023-07-07,43.5700542958,43.9689779649,43.5217992894,43.5747392478,644548,adjusted
2023-07-10,43.6075339123,44.0900839761,43.5700542958,43.898000941,661100,adjusted
2023-07-11,44.0338645512,44.3337014839,43.9214257014,44.3290165319,1569994,adjusted
2023-07-12,44.5820039439,44.6569631771,44.399290813,44.4461403337,1243626,adjusted
2023-07-13,44.5304694711,44.5960588001,44.4039757651,44.5210995669,858954,adjusted
2023-07-14,44.4929898545,44.4929898545,44.2165776821,44.4227155734,605498,adjusted
2023-07-17,44.3290165319,44.5350138746,44.1790980655,44.4320854775,938986,adjusted
2023-07-18,44.4086607171,44.8068816435,44.3664961485,44.5960588001,1012892,adjusted
2023-07-19,44.6382233688,44.8115665956,44.5210995669,44.7881418352,793236,adjusted
2023-07-20,44.7928267873,45.0973486721,44.6340069119,45.0973486721,1100862,adjusted
2023-07-21,45.2566370427,45.2988016114,45.0177044869,45.2004176178,1908738,adjusted
2023-07-24,45.3456511321,45.4346652215,45.2285273302,45.2800618031,1308818,adjusted
2023-07-25,45.2800618031,45.4534050298,45.1769928574,45.3925006529,1050618,adjusted
2023-07-26,45.401870557,45.5986385441,45.2988016114,45.5143094068,743032,adjusted
2023-07-27,45.5845836879,45.58926864,45.0497027095,45.0739239118,728320,adjusted
2023-07-28,45.467459886,45.5471040713,45.1723079053,45.3550210363,969714,adjusted
2023-07-31,45.4440351257,45.4955695985,45.1676229533,45.3128564676,722258,adjusted
2023-08-01,45.2097875219,45.4206103653,45.1301433367,45.2613219948,735912,adjusted
2023-08-02,45.0551841035,45.3456511321,45.0106770588,45.1441981929,928110,adjusted
2023-08-03,45.1957326657,45.1957326657,44.8771090751,44.8958957329,977238,adjusted
2023-08-04,44.9755399182,45.1769928574,44.6194835605,44.6335384167,1089304,adjusted
2023-08-07,44.7412923145,45.1151046405,44.7412923145,45.0645540076,569884,adjusted
2023-08-08,44.8818408767,44.8818408767,44.4180306213,44.7600321228,663408,adjusted
2023-08-09,44.7881418352,44.9948419207,44.6803879375,44.7319224103,888748,adjusted
2023-08-10,44.9333753495,45.1348282887,44.4929898545,44.5913738481,1037694,adjusted
2023-08-11,44.5070447107,44.7225525062,44.4883049024,44.6803879375,666460,adjusted
2023-08-14,44.6569631771,44.7082165528,44.4929898545,44.6101136564,639882,adjusted
2023-08-15,44.464880142,44.464880142,44.0432344553,44.0760291198,733558,adjusted
2023-08-16,44.0666592157,44.2915369153,43.9261106534,43.9354805576,725724,adjusted
2023-08-17,44.0713441678,44.1556733051,43.6356436248,43.6356436248,923370,adjusted
2023-08-18,43.5185198229,43.8176540129,43.4299742287,43.7059179059,1664434,adjusted
2023-08-21,43.7433975225,43.7621373308,43.2842722192,43.523204775,1090534,adjusted
2023-08-22,43.5653693437,43.6801506695,43.3952587338,43.4669853501,699776,adjusted
2023-08-23,43.4950950626,43.7433975225,43.4857251584,43.7433975225,826688,adjusted
2023-08-24,43.6871780976,44.0385495032,43.462300398,43.4810402063,645292,adjusted
2023-08-25,43.6262737206,43.8839460848,43.4154508773,43.7152878101,971880,adjusted
2023-08-28,43.9214257014,44.1181936885,43.8324116119,43.958905318,727288,adjusted
2023-08-29,43.9495354138,44.3805510047,43.9354805576,44.3758660526,1155152,adjusted
2023-08-30,44.3805510047,44.5791929727,44.3618111964,44.4508252858,866638,adjusted
2023-08-31,44.5164146149,44.5445243273,44.2540572987,44.2540572987,730574,adjusted
2023-09-01,44.4836199503,44.5632641356,44.2236051102,44.3055917715,813580,adjusted
2023-09-05,44.2868519632,44.2915369153,43.7059179059,43.710602858,948250,adjusted
2023-09-06,43.6801506695,43.7527674267,43.4341906856,43.5794241999,856384,adjusted
