Date,Open,High,Low,Close,Volume,PriceMode
2023-04-28,3.7749556197,3.8295332913,3.7749556197,3.8113407341,14428915,adjusted
2023-05-01,3.8113407341,3.8340814306,3.7749556197,3.7840518983,14836697,adjusted
2023-05-02,3.7567630625,3.7749556197,3.7021853909,3.7294742267,17904013,adjusted
2023-05-03,3.7021853909,3.7385705053,3.6839928337,3.6930891123,13094850,adjusted
2023-05-04,3.6567039979,3.6748965551,3.6476077193,3.6567039979,16030558,adjusted
2023-05-05,3.6839928337,3.7567630625,3.6748965551,3.7385705053,13398045,adjusted
2023-05-08,3.7567630625,3.7658593411,3.7294742267,3.7476667839,10998042,adjusted
2023-05-09,3.7112816695,3.7203779481,3.6930891123,3.7021853909,12912523,adjusted
2023-05-10,3.7294742267,3.7385705053,3.6839928337,3.7112816695,18982315,adjusted
2023-05-11,3.6839928337,3.6839928337,3.6294151621,3.6385114407,14824757,adjusted
2023-05-12,3.6658002765,3.6930891123,3.6476077193,3.6658002765,14260462,adjusted
2023-05-15,3.6748965551,3.7294742267,3.6658002765,3.6930891123,14641919,adjusted
2023-05-16,3.6476077193,3.6658002765,3.5930300477,3.5930300477,15214998,adjusted
2023-05-17,3.6203188835,3.6658002765,3.6203188835,3.6567039979,13023469,adjusted
2023-05-18,3.6476077193,3.6658002765,3.6294151621,3.6476077193,9980082,adjusted
2023-05-19,3.6839928337,3.7294742267,3.6748965551,3.6839928337,17347675,adjusted
2023-05-22,3.6930891123,3.7112816695,3.6748965551,3.7112816695,12505148,adjusted
2023-05-23,3.7294742267,3.734022366,3.6658002765,3.6658002765,14052397,adjusted
2023-05-24,3.6521558586,3.6521558586,3.5748374905,3.5839337691,18610690,adjusted
2023-05-25,3.6021263263,3.6294151621,3.5839337691,3.6021263263,12302955,adjusted
2023-05-26,3.6385114407,3.6839928337,3.6385114407,3.6567039979,15735401,adjusted
2023-05-30,3.7021853909,3.7203779481,3.6476077193,3.6567039979,11886804,adjusted
2023-05-31,3.6476077193,3.6748965551,3.6203188835,3.6476077193,19739074,adjusted
2023-06-01,3.6567039979,3.7112816695,3.6476077193,3.6839928337,15482157,adjusted
2023-06-02,3.6658002765,3.7021853909,3.6658002765,3.6930891123,12171414,adjusted
2023-06-05,3.7112816695,3.7112816695,3.6748965551,3.6748965551,6271506,adjusted
2023-06-06,3.6294151621,3.6567039979,3.6203188835,3.6294151621,15587419,adjusted
2023-06-07,3.6567039979,3.6930891123,3.6476077193,3.6567039979,13769954,adjusted
2023-06-08,3.6385114407,3.6567039979,3.6203188835,3.6294151621,9509169,adjusted
2023-06-09,3.6476077193,3.6748965551,3.6385114407,3.6385114407,15669839,adjusted
2023-06-12,3.6385114407,3.7112816695,3.6294151621,3.7112816695,12939787,adjusted
2023-06-13,3.734022366,3.7567630625,3.7112816695,3.7112816695,14008246,adjusted
2023-06-14,3.7840518983,3.8113407341,3.7476667839,3.7749556197,18595889,adjusted
2023-06-15,3.8022444555,3.8568221271,3.7931481769,3.8568221271,13934031,adjusted
2023-06-16,3.8977553808,3.9023035201,3.8568221271,3.8932072415,20155520,adjusted
2023-06-20,3.8386295699,3.8477258485,3.8022444555,3.8204370127,9382358,adjusted
2023-06-21,3.7931481769,3.7931481769,3.7294742267,3.7476667839,10545626,adjusted
2023-06-22,3.7203779481,3.7294742267,3.6930891123,3.7021853909,14465587,adjusted
2023-06-23,3.6476077193,3.6647087231,3.6112226049,3.6203188835,14453579,adjusted
2023-06-26,3.6658002765,3.6930891123,3.6567039979,3.6567039979,13297347,adjusted
2023-06-27,3.6930891123,3.7567630625,3.6748965551,3.7476667839,17301046,adjusted
2023-06-28,3.7749556197,3.7931481769,3.7567630625,3.7658593411,17131249,adjusted
2023-06-29,3.7840518983,3.7931481769,3.7385705053,3.7749556197,24049903,adjusted
2023-06-30,3.7840518983,3.8022444555,3.7658593411,3.7840518983,13955335,adjusted
2023-07-03,3.8568221271,3.8841109629,3.8477258485,3.8568221271,9451240,adjusted
2023-07-05,3.8204370127,3.8204370127,3.7840518983,3.8022444555,14393125,adjusted
2023-07-06,3.7658593411,3.7749556197,3.7385705053,3.7658593411,9872252,adjusted
2023-07-07,3.7613112018,3.7931481769,3.7567630625,3.7749556197,9671126,adjusted
2023-07-10,3.779503759,3.8022444555,3.7749556197,3.7931481769,11585451,adjusted
2023-07-11,3.8158888734,3.8386295699,3.8022444555,3.8204370127,13098548,adjusted
2023-07-12,3.8939349438,3.9113997987,3.8568221271,3.8932072415,21726998,adjusted
2023-07-13,3.9568811917,3.9659774703,3.9295923559,3.9568811917,25966597,adjusted
2023-07-14,3.6112226049,3.6203188835,3.5566449333,3.6203188835,42501072,adjusted
2023-07-17,3.4975191224,3.5475486547,3.4838747044,3.5020672617,30922763,adjusted
2023-07-18,3.5384523761,3.5748374905,3.5111635403,3.5293560975,34641234,adjusted
2023-07-19,3.5430005154,3.5936667872,3.5384523761,3.5839337691,23929050,adjusted
2023-07-20,3.5748374905,3.5884819084,3.5293560975,3.5748374905,20543972,adjusted
2023-07-21,3.6021263263,3.6112226049,3.5657412119,3.5839337691,18365210,adjusted
2023-07-24,3.60513153,3.632651618,3.5959581673,3.632651618,11858836,adjusted
2023-07-25,3.6234782553,3.6509983433,3.6143048927,3.6418249807,14589172,adjusted
2023-07-26,3.5867848046,3.6418249807,3.577611442,3.632651618,21175590,adjusted
2023-07-27,3.618891574,3.6234782553,3.577611442,3.577611442,24210736,adjusted
2023-07-28,3.6143048927,3.632651618,3.5867848046,3.60513153,12087899,adjusted
2023-07-31,3.5959581673,3.6234782553,3.5867848046,3.6143048927,15525559,adjusted
2023-08-01,3.5867848046,3.6234782553,3.577611442,3.6234782553,17258059,adjusted
2023-08-02,3.5684380793,3.6143048927,3.5592647166,3.6143048927,35606827,adjusted
2023-08-03,3.5684380793,3.577611442,3.5409179913,3.5684380793,14026400,adjusted
2023-08-04,3.550091354,3.6234782553,3.5455046726,3.5867848046,14965490,adjusted
2023-08-07,3.6143048927,3.6143966263,3.5592647166,3.577611442,10667408,adjusted
2023-08-08,3.550091354,3.577611442,3.5317446286,3.577611442,15289943,adjusted
2023-08-09,3.5959581673,3.60513153,3.577611442,3.577611442,16194473,adjusted
2023-08-10,3.632651618,3.660171706,3.6143048927,3.6234782553,16177179,adjusted
2023-08-11,3.5592647166,3.5684380793,3.550091354,3.5684380793,14925965,adjusted
2023-08-14,3.550091354,3.5684380793,3.5317446286,3.550091354,9790539,adjusted
2023-08-15,3.5133979033,3.5317446286,3.4858778153,3.4858778153,10077362,adjusted
2023-08-16,3.4858778153,3.4950511779,3.4400110019,3.4491843646,12950102,adjusted
2023-08-17,3.4996378593,3.5225712659,3.4583577272,3.4583577272,13632699,adjusted
2023-08-18,3.4583577272,3.5042245406,3.4491843646,3.4950511779,10588232,adjusted
2023-08-21,3.5042245406,3.5225712659,3.4767044526,3.4950511779,10376395,adjusted
2023-08-22,3.5409179913,3.5455046726,3.4767044526,3.4858778153,18757833,adjusted
2023-08-23,3.4858778153,3.5133979033,3.4767044526,3.5133979033,8708220,adjusted
