Date,Open,High,Low,Close,Volume,PriceMode
2023-06-30,86.9410858545,87.1312998228,86.5609492104,86.8536981202,13386,adjusted
2023-07-03,86.7468908894,87.3893849313,86.7468908894,87.2809270433,12120,adjusted
2023-07-05,86.8634078685,86.9119566097,86.5036616957,86.5963897915,26051,adjusted
2023-07-06,85.7856258124,85.7856258124,84.9602972109,85.5817210991,34007,adjusted
2023-07-07,85.3583968893,86.765921996,85.3583968893,86.115757253,14732,adjusted
2023-07-10,86.038079267,87.1692649384,86.038079267,87.1692649384,10209,adjusted
2023-07-11,87.4362830154,88.2713213651,87.4362830154,88.2130628756,20198,adjusted
2023-07-12,89.1257792113,89.1257792113,88.6208723022,88.7179697847,19468,adjusted
2023-07-13,89.0481012253,89.1840377009,88.9510037428,88.9801329876,33060,adjusted
2023-07-14,89.2228766939,89.2228766939,88.188788505,88.3587090994,20869,adjusted
2023-07-17,88.1062556448,89.0092622323,88.1062556448,88.8344867638,31766,adjusted
2023-07-18,88.7179697847,90.0870442884,88.7179697847,89.9899468058,28969,adjusted
2023-07-19,90.0676247919,90.3686269877,89.8345908338,90.2715295052,35322,adjusted
2023-07-20,90.0967540366,90.1355930296,89.9608175611,90.0482052954,5910,adjusted
2023-07-21,90.572531701,90.572531701,89.9219785681,89.9219785681,8791,adjusted
2023-07-24,89.9802370576,90.611370694,89.9802370576,90.417175729,8286,adjusted
2023-07-25,90.2715295052,91.0871483584,90.2715295052,90.766726666,15771,adjusted
2023-07-26,90.5822414492,90.8055656591,90.417175729,90.7375974213,9918,adjusted
2023-07-27,91.2230848339,91.4128133148,90.4074659807,90.4657244702,7535,adjusted
2023-07-28,90.8929533933,90.9803411276,90.555830934,90.766726666,9546,adjusted
2023-07-31,90.9123728898,91.2359017016,90.7861461626,91.1162776031,12433,adjusted
2023-08-01,90.6793389318,91.1386100241,90.6404999388,91.0191801206,13062,adjusted
2023-08-02,90.4657244702,90.6599194353,89.9938307051,90.3101743032,18681,adjusted
2023-08-03,90.0287857988,90.511166092,89.6403958687,90.1355930296,9354,adjusted
2023-08-04,90.68904868,91.2764884493,90.1647222744,90.3006587499,15087,adjusted
2023-08-07,90.5531122045,91.2910530717,90.5531122045,91.2813433234,353056,adjusted
2023-08-08,90.456014722,91.1842458409,89.9978117019,91.0385996171,4936561,adjusted
2023-08-09,91.1745360927,91.3881505542,90.6719595231,90.8055656591,176219,adjusted
2023-08-10,91.1842458409,91.9513159529,90.5856398611,90.8541144003,44070,adjusted
2023-08-11,90.4463049737,91.3104725682,90.4463049737,91.0968581066,147691,adjusted
2023-08-14,90.8055656591,91.2619238269,90.611370694,91.2619238269,70630,adjusted
2023-08-15,90.5919511975,90.7083710791,90.1241355267,90.2326905122,3252415,adjusted
