Date,Open,High,Low,Close,Volume,PriceMode
2023-04-11,116.9461024527,116.9461024527,115.0040035058,115.3774840725,5001428,adjusted
2023-04-12,116.1617932626,116.2458263901,112.1843185973,112.2962693971,5288338,adjusted
2023-04-13,112.0908550854,113.5941143665,111.2178442607,113.0992526156,6077122,adjusted
2023-04-14,112.8564902472,113.8368767348,110.8863802578,112.1935622413,4833111,adjusted
2023-04-17,111.231849782,111.8947777879,110.3308279148,111.4652751362,6365432,adjusted
2023-04-18,112.3616284963,112.791131148,109.6258833451,110.5128996911,4829930,adjusted
2023-04-19,109.4764911184,110.8210211586,108.729529985,110.6809659461,4241940,adjusted
2023-04-20,109.5138391751,111.9507998729,109.3551099342,110.7743360878,5125024,adjusted
2023-04-21,110.0553859968,110.3541704502,108.8229001267,109.952678841,4980658,adjusted
2023-04-24,110.008700926,110.0180379402,108.841574155,109.5698612601,4097906,adjusted
2023-04-25,109.0003033959,109.0936735375,106.1431770605,106.4886465847,7045163,adjusted
2023-04-26,106.7127349247,107.4690330723,105.7043373946,106.5913537406,4659508,adjusted
2023-04-27,106.3299173439,106.73598409,104.7146138928,106.3672654005,6945714,adjusted
2023-04-28,107.4643645653,109.1496956226,106.1898621313,109.0563254809,8652507,adjusted
2023-05-01,109.4391430618,109.784612586,107.8518506532,108.1599721208,6208535,adjusted
2023-05-02,108.4307455316,109.2990878492,106.8527901373,108.4120715033,7081220,adjusted
2023-05-03,108.9256072825,109.0749995092,105.1347795304,105.3495308562,11491689,adjusted
2023-05-04,97.1329583885,100.0180957664,96.6380966376,99.5138970013,22117513,adjusted
2023-05-05,101.0358303107,102.0255538125,98.7575988537,101.5680401182,10745645,adjusted
2023-05-08,101.1898910444,101.6147251891,99.7846704122,101.1292004523,6694397,adjusted
2023-05-09,99.9060515964,100.3075432056,98.3187591878,98.7575988537,7804117,adjusted
2023-05-10,99.9060515964,100.3542282764,98.1693669611,99.4018528313,7980121,adjusted
2023-05-11,99.2431235904,99.4485379021,96.8061628926,97.160969431,10630459,adjusted
2023-05-12,97.5437870119,97.7958863944,95.8071023767,96.7501408076,7635857,adjusted
2023-05-15,96.880859006,99.3458307463,96.0685387734,99.2337865763,7444855,adjusted
2023-05-16,98.664228712,99.4205268596,96.8435109493,96.9088700485,7031502,adjusted
2023-05-17,97.2823506152,98.4588144003,96.7127927509,97.8612454936,9504738,adjusted
2023-05-18,97.8612454936,100.0180957664,97.8612454936,99.8687035397,9141957,adjusted
2023-05-19,99.8593665255,100.0180957664,98.5195049924,98.8416319812,5783173,adjusted
2023-05-22,96.7986932813,98.8509689954,96.4046712834,98.3000851595,7912384,adjusted
2023-05-23,97.1703064452,98.6362176695,96.6100855951,96.6941187226,7452455,adjusted
2023-05-24,95.3122406258,96.3019641275,94.8453899174,96.1899199575,8193652,adjusted
2023-05-25,95.1721854132,97.2076545018,94.7426827615,97.1236213743,11677425,adjusted
2023-05-26,97.9826266778,103.9022936602,97.8705825078,103.0339513426,15969935,adjusted
2023-05-30,106.9088122223,108.953618325,105.1441165445,108.3093643474,18291786,adjusted
2023-05-31,106.7790819806,107.1928086103,104.9361179028,106.6380388114,14886687,adjusted
2023-06-01,107.7193697754,109.5999453651,105.6037222371,108.9135352749,8616527,adjusted
2023-06-02,110.2393410656,110.3897871128,107.8416071888,108.716074838,7873384,adjusted
2023-06-05,108.5374201569,108.9981611764,105.9140172094,105.9986431109,7769250,adjusted
2023-06-06,105.8575999417,109.8162115579,105.5379020914,109.4118878061,7594454,adjusted
2023-06-07,109.6657655107,110.164118042,107.6535496298,108.3023482082,7555407,adjusted
2023-06-08,108.6972690821,109.6751683887,107.2868373898,109.4024849282,5798724,adjusted
2023-06-09,110.4725324387,113.6337800049,110.3709813569,111.9976792419,13810273,adjusted
2023-06-12,113.8124346859,115.0066001854,112.6182691865,114.8467512602,9686711,adjusted
2023-06-13,116.8589671412,117.9120894714,115.4203268151,117.0000103104,8873225,adjusted
2023-06-14,116.9247872868,117.0000103104,114.2449670716,116.0315138817,7324605,adjusted
2023-06-15,114.3201900951,117.2444851371,113.8124346859,116.2289743186,8132561,adjusted
2023-06-16,117.1504563576,117.5171685976,114.8091397484,115.3545066694,12905731,adjusted
2023-06-20,114.6586937013,115.0630174531,111.621564124,112.6652835762,8670781,adjusted
2023-06-21,111.5275353445,111.9130533404,108.7587639038,108.8477151292,7925428,adjusted
2023-06-22,109.0827870779,109.7127799005,108.050445108,109.4494993179,7285455,adjusted
2023-06-23,107.2774345119,108.3963769877,106.2807294494,106.6568445673,11958539,adjusted
2023-06-26,107.7193697754,110.5872475497,107.4748949488,109.6657655107,9376996,adjusted
2023-06-27,109.7691971682,112.7781181116,108.7442834718,112.6370749424,7308869,adjusted
2023-06-28,110.0324777507,111.0432871302,109.618751121,110.521427404,6384835,adjusted
2023-06-29,110.5402331599,111.0950029589,109.9008374594,111.0103770573,5138531,adjusted
2023-06-30,112.4584202614,112.702895088,111.3112691517,111.9318590963,6565143,adjusted
2023-07-03,112.1481252891,113.2858735208,111.3864921753,112.9191612808,2662001,adjusted
2023-07-05,111.9130533404,111.9412619742,110.1077007743,110.1359094082,6252356,adjusted
2023-07-06,108.2835424523,109.261441759,106.8354992483,108.33995972,7548331,adjusted
2023-07-07,108.4810028893,110.7000820851,107.9074273344,109.0169669323,6108371,adjusted
2023-07-10,109.5153194636,111.2125389332,109.5153194636,110.1265065302,6037016,adjusted
2023-07-11,110.7659022307,110.8317223763,108.0296647477,109.8914345815,5786646,adjusted
2023-07-12,110.5402331599,112.1105137773,110.1077007743,111.5933554901,8371341,adjusted
2023-07-13,112.8345353793,116.0456181986,112.7217008439,115.7682332992,9823039,adjusted
2023-07-14,115.6553987638,115.8246505669,113.8970605875,115.2416721341,7892158,adjusted
2023-07-17,115.0254059413,117.0282189442,113.5491541034,116.0315138817,6127180,adjusted
2023-07-18,115.0160030633,115.8716649566,114.0192980008,115.5237584725,7484388,adjusted
