Date,Open,High,Low,Close,Volume,PriceMode
2023-06-27,21.2295147839,21.4145604631,21.1944754891,21.393668209,11336202,adjusted
2023-06-28,21.3518837008,21.3727759549,21.2369763032,21.3459144853,8761329,adjusted
2023-06-29,21.3459144853,21.4966371757,21.3150237953,21.4921602641,8395287,adjusted
2023-06-30,21.6085599656,21.7160058439,21.5648951545,21.6742213356,8362251,adjusted
2023-07-03,21.6413906506,21.8085286835,21.6204983965,21.802559468,5321649,adjusted
2023-07-05,21.6980981975,21.7831595178,21.6324368274,21.7070520207,7524768,adjusted
2023-07-06,21.5309601646,21.5428985955,21.3533760047,21.47126801,7891623,adjusted
2023-07-07,21.4085912477,21.6264377659,21.3847143858,21.4324681095,6874989,adjusted
2023-07-10,21.4354527172,21.6713561122,21.4324681095,21.6025907501,9162270,adjusted
2023-07-11,21.626467612,21.8682208381,21.626467612,21.8532977994,9123156,adjusted
2023-07-12,21.9965589705,22.0547588212,21.8861284845,21.9189591695,8286141,adjusted
2023-07-13,21.9607436777,22.045804998,21.9398514236,22.0204358323,8994234,adjusted
2023-07-14,22.0025281859,22.0099897053,21.839240297,21.9010515231,9302055,adjusted
2023-07-17,21.8383747608,21.8980669154,21.769728783,21.8443439762,10001076,adjusted
2023-07-18,21.8234517221,22.1189278874,21.8189748105,22.0204358323,9390195,adjusted
2023-07-19,22.0741587715,22.256219843,22.0741587715,22.2353275889,10055133,adjusted
2023-07-20,22.2174199425,22.3681426329,22.178620042,22.3248658208,8471892,adjusted
2023-07-21,22.3875425831,22.4323116991,22.3174043015,22.3756041522,7883151,adjusted
2023-07-24,22.4084348372,22.554680616,22.399481014,22.5069268923,7482057,adjusted
2023-07-25,22.5099115,22.5725882624,22.458158402,22.4830500305,11333502,adjusted
2023-07-26,22.3935117986,22.5934805165,22.3726195445,22.5248345387,7805982,adjusted
2023-07-27,22.6263112015,22.6919725716,22.4039579256,22.4323116991,10443108,adjusted
2023-07-28,22.5606498315,22.6442188479,22.4920038537,22.5725882624,6857865,adjusted
