Date,Open,High,Low,Close,Volume,PriceMode
2023-04-24,79.16,80.77,78.18,78.71,2309782,adjusted
2023-04-25,76.84,78.1,74.33,74.94,3769886,adjusted
2023-04-26,76.62,76.88,72.81,73.47,3043862,adjusted
2023-04-27,74.71,75.68,73.74,74.73,2722185,adjusted
2023-04-28,74.2,76.91,73.35,76.17,2431187,adjusted
2023-05-01,75.11,76.92,74.965,75.85,1747693,adjusted
2023-05-02,75.19,75.83,73.92,74.45,2111165,adjusted
2023-05-03,73.73,76.22,73.01,74.62,1901586,adjusted
2023-05-04,74.9,76.12,74.49,76.0,1369137,adjusted
2023-05-05,77.51,79.45,77.1,78.41,3010206,adjusted
2023-05-08,85.0,85.96,82.38,84.33,5764512,adjusted
2023-05-09,83.0,85.83,82.86,84.0,4302517,adjusted
2023-05-10,85.0,86.39,84.51,85.54,2757403,adjusted
2023-05-11,85.96,87.38,85.25,86.71,3678276,adjusted
2023-05-12,85.33,86.5,83.31,84.77,3743155,adjusted
2023-05-15,86.12,88.39,85.79,88.07,5111606,adjusted
2023-05-16,79.5,79.57,70.77,72.45,26427723,adjusted
2023-05-17,71.35,74.85,71.3,72.39,9207318,adjusted
2023-05-18,72.41,72.46,69.8,70.16,6045809,adjusted
2023-05-19,70.57,71.41,69.44,69.44,5864977,adjusted
2023-05-22,70.0,70.26,67.76,67.97,6187165,adjusted
2023-05-23,67.45,67.67,64.15,64.36,10867358,adjusted
2023-05-24,63.01,63.655,62.62,63.19,5912047,adjusted
2023-05-25,63.3,63.49,59.68,60.48,7387119,adjusted
2023-05-26,60.19,61.74,59.52,60.12,6617851,adjusted
2023-05-30,60.72,61.27,58.03,58.57,6362103,adjusted
2023-05-31,57.38,59.305,56.62,57.41,9741613,adjusted
2023-06-01,56.75,58.8,56.05,57.98,6091912,adjusted
2023-06-02,59.58,60.6,58.58,59.39,4677715,adjusted
2023-06-05,58.76,59.92,58.11,58.6,3855786,adjusted
2023-06-06,58.05,61.32,58.01,61.28,5743998,adjusted
2023-06-07,62.0,62.7993,60.3,60.97,4765262,adjusted
2023-06-08,61.7,64.16,61.05,63.54,5500102,adjusted
