Date,Open,High,Low,Close,Volume,PriceMode
2023-04-28,108.21,109.47,106.65,108.47,243986,adjusted
2023-05-01,108.49,111.26,108.49,110.36,145788,adjusted
2023-05-02,110.86,111.23,105.47,106.44,278461,adjusted
2023-05-03,106.44,108.8,103.81,106.54,249328,adjusted
2023-05-04,90.69,96.16,83.765,84.5,1662459,adjusted
2023-05-05,83.98,88.52,81.6895,88.29,1228896,adjusted
2023-05-08,88.48,89.99,84.0,85.18,506894,adjusted
2023-05-09,83.87,85.555,82.49,83.87,321409,adjusted
2023-05-10,85.74,85.74,82.58,83.7,390120,adjusted
2023-05-11,83.32,84.5,81.99,82.76,237232,adjusted
2023-05-12,83.22,83.5325,81.0919,82.43,259242,adjusted
2023-05-15,82.23,85.695,81.82,85.39,251501,adjusted
2023-05-16,84.74,86.07,83.99,85.48,220053,adjusted
2023-05-17,85.87,92.07,84.835,90.99,477892,adjusted
2023-05-18,91.26,97.5,90.82,97.04,701671,adjusted
2023-05-19,98.04,98.86,93.34,94.94,474150,adjusted
2023-05-22,93.99,96.98,93.75,96.3,284872,adjusted
2023-05-23,95.41,96.785,93.91,94.0,191025,adjusted
2023-05-24,90.78,93.09,89.34,91.58,239572,adjusted
2023-05-25,94.46,95.21,92.2,94.31,171367,adjusted
2023-05-26,95.49,104.52,94.75,102.88,404444,adjusted
2023-05-30,106.09,108.26,100.09,101.7,389630,adjusted
2023-05-31,99.89,100.9,96.38,99.17,489075,adjusted
2023-06-01,99.17,103.5291,98.685,102.87,248914,adjusted
2023-06-02,104.18,105.0,99.835,101.92,218002,adjusted
2023-06-05,101.61,104.71,100.9,103.24,273049,adjusted
2023-06-06,102.26,108.14,101.54,106.0,239836,adjusted
2023-06-07,107.14,112.195,106.02,110.45,377733,adjusted
2023-06-08,110.67,111.03,108.01,109.59,162286,adjusted
2023-06-09,110.8,112.84,109.45,110.78,167919,adjusted
2023-06-12,112.33,117.38,111.4,117.0,351094,adjusted
2023-06-13,119.82,119.95,114.68,116.0,339807,adjusted
2023-06-14,115.93,118.405,115.0,118.17,401609,adjusted
2023-06-15,116.08,120.74,116.08,118.91,387902,adjusted
2023-06-16,121.06,121.06,116.32,117.89,3604970,adjusted
2023-06-20,116.35,119.38,113.92,118.77,404912,adjusted
2023-06-21,117.09,120.035,115.16,117.79,290084,adjusted
2023-06-22,116.75,120.725,116.45,120.67,265608,adjusted
2023-06-23,117.33,119.0,113.42,114.8,402905,adjusted
2023-06-26,115.22,119.4,113.94,113.96,211897,adjusted
2023-06-27,113.85,120.91,113.85,120.88,313235,adjusted
2023-06-28,118.16,120.43,117.17,118.6,194859,adjusted
2023-06-29,119.41,121.91,118.4,121.41,237422,adjusted
2023-06-30,122.81,122.81,117.85,117.97,241035,adjusted
2023-07-03,118.24,120.79,117.63,120.65,121523,adjusted
2023-07-05,120.56,120.56,115.98,116.41,231947,adjusted
2023-07-06,113.63,115.95,112.59,115.34,183156,adjusted
2023-07-07,115.46,117.57,114.56,115.81,156721,adjusted
2023-07-10,116.4,119.84,116.4,119.24,195067,adjusted
2023-07-11,119.49,120.51,117.94,120.51,112823,adjusted
2023-07-12,123.61,126.7405,121.99,126.45,200981,adjusted
2023-07-13,127.95,132.05,127.17,130.78,213382,adjusted
2023-07-14,130.5,131.87,125.58,126.46,144629,adjusted
2023-07-17,126.31,130.005,126.31,129.59,212689,adjusted
2023-07-18,129.63,131.165,127.8,130.83,122151,adjusted
2023-07-19,131.71,133.1,129.16,129.57,192825,adjusted
2023-07-20,129.95,130.3,122.935,123.38,289007,adjusted
2023-07-21,125.3,126.63,123.52,124.3,146820,adjusted
2023-07-24,124.3,126.51,121.42,123.08,121250,adjusted
2023-07-25,124.28,127.49,124.28,124.81,163054,adjusted
2023-07-26,123.68,123.79,119.65,122.62,224012,adjusted
2023-07-27,125.66,126.565,120.43,121.07,189740,adjusted
2023-07-28,123.98,125.895,123.4678,125.0,148093,adjusted
2023-07-31,125.1,130.47,125.1,129.01,370597,adjusted
2023-08-01,127.28,134.43,125.69,133.63,302777,adjusted
2023-08-02,130.31,130.55,124.94,127.26,362344,adjusted
2023-08-03,136.81,141.29,129.21,138.3,465795,adjusted
2023-08-04,137.23,139.15,132.9,136.85,263163,adjusted
2023-08-07,139.23,141.99,135.89,138.8,241345,adjusted
2023-08-08,135.86,137.275,133.02,135.64,173827,adjusted
2023-08-09,135.24,138.25,132.0,136.81,168285,adjusted
2023-08-10,138.42,141.535,137.065,139.15,181536,adjusted
2023-08-11,137.05,138.85,132.7,133.0,121082,adjusted
2023-08-14,131.82,133.83,130.97,132.16,147111,adjusted
2023-08-15,131.22,132.0,127.73,127.74,123199,adjusted
2023-08-16,127.36,127.52,124.14,124.25,127712,adjusted
2023-08-17,124.53,125.0,121.5,122.9,135093,adjusted
2023-08-18,120.75,124.84,120.7,123.61,127583,adjusted
2023-08-21,123.61,127.105,123.61,126.25,151518,adjusted
2023-08-22,128.64,128.82,124.26,127.55,137745,adjusted
2023-08-23,126.22,132.8872,126.14,131.08,86673,adjusted
2023-08-24,132.65,133.83,124.75,125.38,138384,adjusted
2023-08-25,125.79,128.435,122.95,125.18,125507,adjusted
2023-08-28,126.22,128.165,124.51,127.8,148585,adjusted
2023-08-29,126.96,132.875,126.96,131.72,290445,adjusted
2023-08-30,130.26,132.8,129.3,132.03,133953,adjusted
2023-08-31,131.73,135.17,130.53,132.69,190462,adjusted
2023-09-01,133.89,133.89,129.52,130.59,135601,adjusted
2023-09-05,129.42,133.26,128.2,130.51,126981,adjusted
2023-09-06,130.68,132.16,124.465,126.45,190946,adjusted
2023-09-07,123.65,125.29,115.785,117.67,175150,adjusted
2023-09-08,117.49,117.77,111.85,113.04,192908,adjusted
2023-09-11,115.02,115.02,110.0945,110.38,190375,adjusted
2023-09-12,109.38,111.655,108.1,111.45,194885,adjusted
2023-09-13,110.99,112.59,109.13,110.59,162271,adjusted
2023-09-14,111.78,114.87,110.55,113.97,131840,adjusted
2023-09-15,113.37,115.51,111.425,115.38,385478,adjusted
2023-09-18,114.8,117.565,114.195,114.66,122674,adjusted
2023-09-19,114.72,116.93,111.22,113.26,80184,adjusted
2023-09-20,113.73,114.81,110.0105,110.29,106676,adjusted
2023-09-21,108.59,108.78,103.62,106.55,218007,adjusted
2023-09-22,107.44,109.55,105.8,106.88,130719,adjusted
2023-09-25,105.53,108.05,105.01,105.54,127644,adjusted
2023-09-26,104.69,106.83,104.36,106.06,146832,adjusted
2023-09-27,107.15,108.97,105.88,108.22,184466,adjusted
2023-09-28,108.11,114.35,107.35,112.8,201221,adjusted
2023-09-29,114.89,116.49,112.55,114.25,162222,adjusted
2023-10-02,113.75,115.1,112.0,114.98,200262,adjusted
2023-10-03,113.53,115.09,108.3,108.91,119649,adjusted
2023-10-04,109.86,114.495,109.86,114.02,123876,adjusted
2023-10-05,113.96,114.19,111.16,112.32,149217,adjusted
2023-10-06,111.11,116.81,111.11,115.1,103914,adjusted
2023-10-09,113.65,115.04,112.1,114.42,100229,adjusted
2023-10-10,114.48,118.9699,114.48,117.68,112293,adjusted
2023-10-11,118.04,120.0,116.885,119.95,96639,adjusted
2023-10-12,120.55,121.335,117.82,119.65,91021,adjusted
2023-10-13,120.03,120.03,112.91,113.05,126479,adjusted
2023-10-16,113.53,117.56,113.53,116.3,99156,adjusted
2023-10-17,113.62,116.56,111.46,115.36,140830,adjusted
2023-10-18,113.12,115.49,112.3,112.79,86466,adjusted
2023-10-19,114.46,115.065,111.03,111.82,108321,adjusted
2023-10-20,112.04,112.27,107.13,107.21,113779,adjusted
2023-10-23,106.07,108.39,104.84,104.95,113030,adjusted
2023-10-24,106.32,108.66,105.34,107.69,119804,adjusted
2023-10-25,105.67,113.39,101.8,102.28,138342,adjusted
2023-10-26,102.44,104.845,101.48,102.0,138629,adjusted
2023-10-27,102.27,102.27,98.0,98.95,204168,adjusted
2023-10-30,99.53,99.53,94.0101,96.47,181086,adjusted
2023-10-31,96.88,100.93,96.06,99.8,155788,adjusted
2023-11-01,98.53,98.785,92.29,96.75,513070,adjusted
2023-11-02,102.29,108.51,99.04,108.32,405061,adjusted
2023-11-03,110.21,114.645,109.67,112.11,228060,adjusted
2023-11-06,112.73,112.965,107.725,108.63,204910,adjusted
2023-11-07,107.67,111.1,105.68,105.92,159397,adjusted
2023-11-08,105.63,108.78,104.01,108.28,113845,adjusted
2023-11-09,109.72,112.22,106.51,106.73,139820,adjusted
2023-11-10,109.42,109.65,105.525,108.0,139261,adjusted
2023-11-13,106.26,107.515,105.15,106.97,118507,adjusted
2023-11-14,112.54,116.4,112.41,115.47,262866,adjusted
2023-11-15,116.11,121.44,115.21,117.04,151901,adjusted
2023-11-16,116.23,116.5,113.93,114.8,94107,adjusted
2023-11-17,116.57,116.715,113.53,113.67,159572,adjusted
2023-11-20,114.78,119.11,114.7,118.81,144579,adjusted
2023-11-21,116.86,117.41,114.47,115.18,135614,adjusted
2023-11-22,115.47,117.925,114.64,115.47,109264,adjusted
2023-11-24,114.26,114.89,112.92,114.73,47407,adjusted
2023-11-27,114.88,116.68,113.3,114.13,141292,adjusted
2023-11-28,113.1,113.3099,109.9824,111.5,259348,adjusted
2023-11-29,114.54,117.24,112.57,112.92,176193,adjusted
2023-11-30,113.0,113.465,109.6,110.6,160953,adjusted
2023-12-01,109.88,111.65,108.385,110.62,141397,adjusted
2023-12-04,110.9,111.04,107.42,108.46,142671,adjusted
2023-12-05,107.3,107.9156,101.62,102.07,274017,adjusted
2023-12-06,103.86,104.47,100.87,102.0,224550,adjusted
2023-12-07,103.32,104.5815,101.164,104.5,123382,adjusted
2023-12-08,104.23,115.22,104.23,114.81,237513,adjusted
2023-12-11,116.42,118.92,111.755,112.2,391419,adjusted
2023-12-12,111.8,114.13,111.51,112.71,108228,adjusted
2023-12-13,113.0,118.13,109.71,117.21,255884,adjusted
2023-12-14,119.23,127.56,119.01,126.61,338560,adjusted
2023-12-15,128.6,132.44,126.22,129.42,323306,adjusted
2023-12-18,128.58,128.8,124.82,127.59,117632,adjusted
2023-12-19,128.74,129.42,117.0201,124.58,504827,adjusted
2023-12-20,124.12,127.42,120.52,120.74,165331,adjusted
2023-12-21,123.78,125.81,122.44,125.7,91363,adjusted
2023-12-22,127.22,127.72,124.94,126.67,71727,adjusted
2023-12-26,128.1,130.065,128.0,128.81,63325,adjusted
2023-12-27,129.99,130.42,126.1075,128.01,83606,adjusted
2023-12-28,128.01,128.9,125.31,126.17,94392,adjusted
2023-12-29,126.08,126.35,121.425,122.08,151815,adjusted
2024-01-02,121.01,121.02,115.01,117.44,235122,adjusted
2024-01-03,115.0,118.28,112.94,116.8,187395,adjusted
2024-01-04,115.85,116.16,110.14,111.56,195566,adjusted
2024-01-05,111.56,119.04,111.56,113.23,250846,adjusted
2024-01-08,112.75,115.9083,112.75,114.72,103968,adjusted
2024-01-09,114.5,118.08,113.0,117.28,117553,adjusted
2024-01-10,116.93,117.83,112.42,116.47,98913,adjusted
2024-01-11,115.93,117.72,113.53,116.48,147608,adjusted
2024-01-12,117.41,117.73,115.44,116.34,89339,adjusted
2024-01-16,114.69,118.57,113.87,117.55,91569,adjusted
2024-01-17,114.84,116.225,113.23,114.9,179082,adjusted
2024-01-18,117.82,118.77,116.44,117.58,147954,adjusted
2024-01-19,119.69,121.47,116.93,121.25,117221,adjusted
2024-01-22,123.0,125.615,122.83,124.0,160636,adjusted
2024-01-23,125.28,126.14,123.18,125.17,148756,adjusted
2024-01-24,126.25,127.05,122.89,123.01,100000,adjusted
2024-01-25,126.0,126.0,120.55,121.13,124667,adjusted
2024-01-26,119.78,120.02,115.51,116.53,129005,adjusted
2024-01-29,116.6,119.45,114.55,119.12,114099,adjusted
2024-01-30,118.35,118.35,109.87,110.0,206282,adjusted
2024-01-31,108.68,110.66,105.64,106.57,212948,adjusted
2024-02-01,107.58,107.58,103.32,106.83,285556,adjusted
2024-02-02,105.31,107.815,105.31,105.81,132368,adjusted
2024-02-05,105.81,108.75,104.52,107.67,180348,adjusted
2024-02-06,107.52,109.46,105.6,107.59,167698,adjusted
2024-02-07,108.73,110.29,105.63,109.11,144806,adjusted
2024-02-08,109.83,117.88,108.85,116.37,244188,adjusted
2024-02-09,117.72,126.66,117.72,124.96,228548,adjusted
2024-02-12,125.43,129.43,124.61,125.85,415477,adjusted
2024-02-13,116.64,125.305,116.54,120.61,364091,adjusted
2024-02-14,111.11,120.95,109.64,115.54,424422,adjusted
2024-02-15,115.24,117.12,107.0,107.6,459950,adjusted
2024-02-16,107.87,109.51,101.5,103.52,366291,adjusted
2024-02-20,102.22,105.6,101.92,104.94,356481,adjusted
2024-02-21,102.83,103.47,99.08,100.43,291999,adjusted
2024-02-22,104.81,105.99,97.565,98.4,321933,adjusted
2024-02-23,98.42,98.585,95.75,97.0,162670,adjusted
2024-02-26,97.79,98.8067,95.85,95.96,114665,adjusted
2024-02-27,95.96,96.79,93.25,93.4,220809,adjusted
2024-02-28,92.02,94.5,90.99,93.15,152999,adjusted
2024-02-29,95.09,95.68,91.79,92.5,334155,adjusted
2024-03-01,93.97,95.12,91.8,94.0,293486,adjusted
2024-03-04,94.57,97.11,93.195,94.64,314365,adjusted
2024-03-05,93.5,93.635,89.69,91.19,202654,adjusted
2024-03-06,93.53,96.05,92.07,92.91,183038,adjusted
2024-03-07,94.18,96.4,93.7,96.24,204467,adjusted
2024-03-08,96.71,98.38,95.91,96.42,154829,adjusted
2024-03-11,94.96,96.57,93.76,94.43,175158,adjusted
2024-03-12,94.85,94.85,91.665,93.86,159189,adjusted
2024-03-13,92.65,94.06,90.32,90.73,190346,adjusted
2024-03-14,90.14,91.09,86.345,87.18,191337,adjusted
2024-03-15,86.0,87.375,84.05,84.13,358267,adjusted
2024-03-18,85.39,86.86,83.7,85.12,173204,adjusted
2024-03-19,84.31,87.07,83.8327,85.55,134268,adjusted
2024-03-20,85.6,89.045,84.83,88.3,133605,adjusted
2024-03-21,90.43,96.25,89.94,95.78,348553,adjusted
2024-03-22,95.67,96.59,93.53,93.8,165450,adjusted
2024-03-25,92.03,94.6,91.63,93.21,137419,adjusted
2024-03-26,94.06,94.06,89.5,89.81,128290,adjusted
2024-03-27,90.46,91.87,89.01,91.09,109653,adjusted
2024-03-28,91.37,95.435,91.37,93.23,134671,adjusted
2024-04-01,92.73,96.0014,92.46,94.94,130466,adjusted
2024-04-02,93.54,94.5,90.0,90.19,203034,adjusted
2024-04-03,89.0,89.94,87.8,88.8,218446,adjusted
2024-04-04,90.27,91.69,87.0901,87.25,283472,adjusted
2024-04-05,86.74,87.83,83.36,83.52,249232,adjusted
2024-04-08,83.96,85.36,83.16,84.77,192475,adjusted
2024-04-09,85.64,87.11,84.885,86.02,280444,adjusted
2024-04-10,83.66,83.795,80.1,82.1,448983,adjusted
2024-04-11,82.46,88.13,81.05,87.84,252973,adjusted
2024-04-12,86.07,86.07,81.22,81.63,200541,adjusted
2024-04-15,82.07,82.95,77.58,78.51,217508,adjusted
2024-04-16,77.69,79.185,76.6926,78.68,141936,adjusted
2024-04-17,79.0,79.65,76.94,77.13,124122,adjusted
2024-04-18,76.69,76.87,73.88,74.47,185360,adjusted
2024-04-19,73.82,74.385,72.77,73.44,211425,adjusted
2024-04-22,74.48,75.59,72.39,73.71,126797,adjusted
2024-04-23,73.7,76.12,73.7,74.56,165349,adjusted
2024-04-24,75.14,77.11,74.74,76.22,141562,adjusted
2024-04-25,75.83,83.23,75.74,83.07,346215,adjusted
2024-04-26,83.07,88.99,82.99,88.79,246486,adjusted
2024-04-29,88.79,91.65,88.13,90.36,175368,adjusted
2024-04-30,89.02,91.005,88.51,89.12,177066,adjusted
2024-05-01,87.55,91.0,86.73,87.28,292352,adjusted
2024-05-02,89.21,91.81,87.48,90.27,133356,adjusted
2024-05-03,92.8,94.95,91.445,92.25,185140,adjusted
2024-05-06,92.62,97.17,92.36,96.64,187880,adjusted
2024-05-07,96.44,99.98,95.6,97.0,228881,adjusted
2024-05-08,96.13,97.32,94.82,96.92,148689,adjusted
2024-05-09,111.23,128.81,109.33,124.34,848337,adjusted
2024-05-10,124.53,125.72,119.57,123.15,339043,adjusted
2024-05-13,123.39,127.095,122.76,124.01,184345,adjusted
