Date,Open,High,Low,Close,Volume,PriceMode
2023-04-11,126.8695258711,127.0520719515,125.5522338856,125.7397136438,6288960,adjusted
2023-04-12,126.8251227705,127.0520719515,123.4060840216,123.5047575785,7748904,adjusted
2023-04-13,123.8353139944,125.2068764362,122.937384626,124.5013605039,5760774,adjusted
2023-04-14,124.432289014,125.7890504223,123.0078375456,124.368151202,4901284,adjusted
2023-04-17,123.2432726526,124.3188144235,122.6758997,124.2793450007,5293376,adjusted
2023-04-18,125.409157228,126.2133467173,123.8945181286,124.8368505976,5703642,adjusted
2023-04-19,123.1248643842,123.8649160615,122.8486277615,123.652767914,5013022,adjusted
2023-04-20,122.8485784247,125.5867696305,122.7548385456,123.7909108937,5879700,adjusted
2023-04-21,122.937384626,123.6577015918,121.6496947075,122.5229556867,5202358,adjusted
2023-04-24,122.2565370829,123.0261908272,121.0872554328,121.8667765329,4489098,adjusted
2023-04-25,120.9047093524,120.919510386,117.9494363213,118.0037067776,10464576,adjusted
2023-04-26,119.2025904947,120.0018463062,118.2553243479,118.8276309783,7690178,adjusted
2023-04-27,118.9608402802,120.1449229638,116.9972364965,119.9771779169,6814222,adjusted
2023-04-28,120.6284233929,121.9851848012,120.1646576752,121.9851848012,7553466,adjusted
2023-05-01,122.3404096063,123.3024767867,122.024654224,122.9176499146,5202088,adjusted
2023-05-02,122.8781804918,123.5195586121,120.8751072853,121.8519754993,6717686,adjusted
2023-05-03,121.2204647347,122.6512313108,120.4557446682,120.593887648,8223032,adjusted
2023-05-04,120.0314483733,121.1883958287,119.3308661188,120.1893260644,5889236,adjusted
2023-05-05,120.5396171917,123.3123441424,119.9771779169,122.7301701563,5552642,adjusted
2023-05-08,122.3354759285,123.489956545,121.733567231,123.4110176994,3918938,adjusted
2023-05-09,121.9506490563,122.1282614588,121.1119238221,121.5066180499,4951653,adjusted
2023-05-10,122.7893742905,123.3814156323,121.3388730031,122.4933536196,5474872,adjusted
2023-05-11,122.1479961702,122.384812707,120.2731985878,121.407944493,5339534,adjusted
2023-05-12,121.8322407879,122.2444989089,120.1942597423,121.2698015132,3364892,adjusted
2023-05-15,121.4474139158,124.4470900476,121.2155310569,124.4470900476,6192761,adjusted
2023-05-16,124.042528464,125.7298462882,124.042528464,124.4174879805,5126398,adjusted
2023-05-17,125.6015706641,128.2164199237,125.118070235,127.7822562731,6322773,adjusted
2023-05-18,128.3742976149,132.5284543632,128.3742976149,132.2620357594,9632610,adjusted
2023-05-19,131.9956171556,132.1534948467,130.8214018277,131.5318514378,5312965,adjusted
2023-05-22,130.3971055327,131.8377394644,130.2194931302,131.4233105252,4235142,adjusted
2023-05-23,130.6536567808,131.2753001897,129.3412984732,129.5287782314,4853834,adjusted
2023-05-24,127.0224698844,127.9253329307,126.2528161401,127.6243785819,7897087,adjusted
2023-05-25,136.1004371254,139.2678583041,134.4723234355,138.5968781167,16072916,adjusted
2023-05-26,139.9092364244,146.3624870501,139.8993690687,145.4053535475,12978761,adjusted
2023-05-30,148.6517135717,149.6976532756,145.5434965273,146.105935802,13295426,adjusted
2023-05-31,143.8068419246,145.3856188361,142.168860879,142.4155447714,10722339,adjusted
2023-06-01,142.9385146233,145.8296498425,141.8925749194,144.5567609576,7272666,adjusted
