Date,Open,High,Low,Close,Volume,PriceMode
2023-04-28,19.96,19.98,19.32,19.49,1344645,adjusted
2023-05-01,19.44,19.53,19.11,19.25,1488410,adjusted
2023-05-02,19.17,19.17,18.48,18.64,1455394,adjusted
2023-05-03,18.63,19.0805,18.56,18.58,1010623,adjusted
2023-05-04,18.5,18.55,17.82,18.09,1321128,adjusted
2023-05-05,18.24,18.725,18.14,18.68,901282,adjusted
2023-05-08,18.68,19.035,18.345,18.77,1259652,adjusted
2023-05-09,18.49,18.91,18.29,18.81,1030405,adjusted
2023-05-10,19.09,19.09,18.6,18.64,1076924,adjusted
2023-05-11,18.5,18.735,18.2,18.71,856554,adjusted
2023-05-12,18.79,18.87,18.21,18.46,627201,adjusted
2023-05-15,18.59,19.145,18.165,19.12,787255,adjusted
2023-05-16,18.92,19.655,18.76,19.29,866415,adjusted
2023-05-17,19.49,20.66,19.44,20.59,1964592,adjusted
2023-05-18,20.69,21.51,20.585,21.47,2554086,adjusted
2023-05-19,21.625,21.74,21.08,21.21,1660687,adjusted
2023-05-22,20.9,21.79,20.88,21.71,1215709,adjusted
2023-05-23,21.7,22.115,21.43,21.45,1196830,adjusted
2023-05-24,20.89,21.04,20.415,20.78,1443713,adjusted
2023-05-25,21.045,21.48,20.58,21.15,1008724,adjusted
2023-05-26,21.29,22.645,21.245,22.41,1079904,adjusted
2023-05-30,22.75,22.959,22.04,22.24,1093939,adjusted
2023-05-31,21.73,21.985,21.44,21.74,2292997,adjusted
2023-06-01,21.74,22.5,21.41,22.23,1393919,adjusted
2023-06-02,22.51,22.67,21.9203,22.61,965076,adjusted
2023-06-05,22.37,22.53,21.76,21.9,1303358,adjusted
2023-06-06,21.74,22.46,21.74,22.09,1308842,adjusted
2023-06-07,22.33,22.95,22.33,22.43,2708905,adjusted
2023-06-08,26.88,27.37,22.71,23.52,8117740,adjusted
2023-06-09,23.61,23.92,21.35,21.4,3651017,adjusted
2023-06-12,21.68,23.125,21.61,22.82,2992350,adjusted
2023-06-13,23.35,24.1,22.92,23.34,2378967,adjusted
2023-06-14,23.3,23.67,22.97,23.09,1519715,adjusted
2023-06-15,22.87,23.14,22.58,22.6,1485529,adjusted
2023-06-16,22.85,22.98,22.0975,22.6,2746637,adjusted
2023-06-20,22.6,22.82,22.224,22.61,1245767,adjusted
2023-06-21,23.5,24.07,23.07,23.98,1679119,adjusted
