Date,Open,High,Low,Close,Volume,PriceMode
2023-04-17,136.6338398513,138.2073080346,136.2225182931,138.1191677006,2194701,adjusted
2023-04-18,139.1964384485,140.3977585552,137.6654082038,138.7165632972,2765376,adjusted
2023-04-19,136.8754096554,137.5266687893,136.3579932508,137.1985908798,1264410,adjusted
2023-04-20,135.8242545621,139.1278848554,135.687147376,137.0712770641,2391912,adjusted
2023-04-21,136.5979308264,136.5979308264,134.8677687162,136.0658243661,2157669,adjusted
2023-04-24,135.8209901052,136.5946663696,134.5413230351,135.4553709423,2074767,adjusted
2023-04-25,134.6457856531,134.6588434803,130.8198422698,130.9047181469,2482581,adjusted
2023-04-26,132.2659966374,132.9515325678,130.9313561145,131.6033119046,1909026,adjusted
2023-04-27,131.4335601504,132.32475686,128.8122013306,132.1582695626,3116817,adjusted
2023-04-28,132.7719874432,134.5739676032,132.1843852171,134.5413230351,2359110,adjusted
2023-05-01,135.079958409,136.1539647,134.7273970733,135.7589654258,1803966,adjusted
2023-05-02,135.8111967348,136.5848729992,133.4738456577,134.7894217528,2115519,adjusted
2023-05-03,134.0320677725,135.6479738942,133.1441355197,133.242069224,2525355,adjusted
2023-05-04,132.1876496739,133.6338040414,131.3062463347,132.4945086142,2102655,adjusted
2023-05-05,132.6577314548,136.0103286003,131.9885178084,135.4423131151,1619496,adjusted
2023-05-08,135.2921481018,136.1082623047,134.1691749586,136.0135930571,1366008,adjusted
2023-05-09,134.0810346246,134.2605797493,133.1539288901,133.6990931777,2349024,adjusted
2023-05-10,135.200743311,136.0168575139,133.7545889435,135.0603716681,2766735,adjusted
2023-05-11,135.0995451499,135.3900818061,132.9025657156,134.1757038722,1854612,adjusted
2023-05-12,134.6555790235,135.2138011383,132.7883097272,134.0516545133,1383333,adjusted
2023-05-15,134.4335959603,137.7176395128,134.0385966861,137.6915238583,1799160,adjusted
2023-05-16,137.2442932751,138.997306583,137.2442932751,137.4336317702,2047860,adjusted
2023-05-17,138.6904476427,141.370566685,137.8221021308,140.8286668543,1985964,adjusted
2023-05-18,141.4554425621,145.6306828242,141.3509799442,145.2781214886,3429204,adjusted
2023-05-19,144.8537421031,145.183452241,143.6263063419,144.5305608787,2877687,adjusted
2023-05-22,143.2280426109,145.4119642178,143.1660179314,145.0300227709,2299650,adjusted
2023-05-23,144.057214641,145.0071715732,142.9211836706,143.2378359813,1553271,adjusted
2023-05-24,140.3553206166,141.2628396103,139.1895504446,140.6752373842,4340850,adjusted
2023-05-25,147.142126328,150.6204050608,145.5458069471,150.0442284336,12973893,adjusted
2023-05-26,152.3326126585,160.6732998123,152.2803813495,159.8506566957,8010945,adjusted
2023-05-30,163.5492862633,164.2087065393,159.067187061,159.7168139665,7862565,adjusted
2023-05-31,157.0171081832,159.1781785926,155.5448381612,155.616656211,5318856,adjusted
2023-06-01,156.5666131432,159.6449959166,154.9637648487,158.2935107966,7343553,adjusted
2023-06-02,159.5013598169,159.9583837705,156.7722739224,157.9213627201,3319113,adjusted
2023-06-05,157.3435538644,157.4316941983,154.6797571061,155.4762845681,2710878,adjusted
2023-06-06,154.3794270794,158.1164140146,154.144386189,157.3533472348,3235833,adjusted
2023-06-07,158.3933950835,160.6227686352,156.7654947481,157.1218022512,3906435,adjusted
2023-06-08,157.5827137919,159.1223544706,156.7720325004,158.7300893295,2727534,adjusted
2023-06-09,160.5279712261,161.6153955746,158.3999328358,159.14850548,2519541,adjusted
2023-06-12,161.0150337762,164.4310093796,160.8189012057,164.2741033232,2647437,adjusted
2023-06-13,166.915355273,167.5527861272,164.5813776837,166.4740569893,4164303,adjusted
2023-06-14,165.8529705159,168.9191763686,164.885383168,168.8374544642,8500359,adjusted
2023-06-15,166.8924731397,168.6772795316,166.2419667808,167.4416443372,6561201,adjusted
2023-06-16,169.1283844438,169.1447288247,165.6568379454,165.8954659062,4956477,adjusted
2023-06-20,165.1338177573,166.5851987793,163.1038456524,164.5519577981,2024391,adjusted
2023-06-21,163.5189929266,164.3362119705,160.3547207888,160.5410467308,4128399,adjusted
2023-06-22,159.4492420882,161.9597389909,159.2302273844,161.289619375,3657108,adjusted
2023-06-23,158.6908628154,159.4557798405,157.7265443437,158.4489659785,2057355,adjusted
2023-06-26,159.5603838781,162.0087721336,158.9556417857,158.962179538,2434728,adjusted
2023-06-27,159.521157364,164.7938546351,158.9164152715,164.5160001602,2763723,adjusted
2023-06-28,161.8616727057,164.6304108263,161.6851533922,163.2476762041,2912295,adjusted
2023-06-29,163.9112580677,164.0256687338,161.9401257339,163.2934404705,1674558,adjusted
2023-06-30,165.0913223671,166.4805947416,164.5029246555,165.817012878,1618311,adjusted
2023-07-03,166.5786610269,167.6933478027,165.4541676225,167.2912760332,809469,adjusted
2023-07-05,166.1733203811,166.5165523796,163.5418750599,163.5941770787,2822760,adjusted
2023-07-06,160.8156323295,161.8028329345,159.4950063546,161.5315162119,3454584,adjusted
2023-07-07,161.8355216963,164.1694992856,161.3386525176,161.6001626116,1824387,adjusted
2023-07-10,162.1068384188,165.1076667479,161.9433946101,164.9638361962,1833489,adjusted
