Date,Open,High,Low,Close,Volume,PriceMode
2023-04-11,394.7725054061,395.6577750033,393.4830909927,394.2528906425,59297945,adjusted
2023-04-12,396.3217272013,396.61040207,392.0589616406,392.6459338735,86420379,adjusted
2023-04-13,393.7332758789,398.2173588389,392.5903158488,397.8613265009,85814754,adjusted
2023-04-14,397.2262417898,399.4201707917,394.5800554936,396.889454443,78161500,adjusted
2023-04-17,396.8028519824,398.3328287864,395.5663612949,398.3135837951,65496534,adjusted
2023-04-18,399.8916730772,400.0263880159,397.1975667528,398.5733911769,63559997,adjusted
2023-04-19,396.6585145481,399.4105482961,396.6007795743,398.5060337076,55227330,adjusted
2023-04-20,395.6866424902,398.0826439002,394.7821279017,396.3313496969,75840359,adjusted
2023-04-21,396.6296470612,397.1011493467,394.6859029455,396.6392695568,73457422,adjusted
2023-04-24,396.4371971488,397.476426676,395.0996702572,397.0530368686,64332095,adjusted
2023-04-25,395.080425266,395.6385300121,390.6925672622,390.7503022359,97766721,adjusted
2023-04-26,391.3661419557,392.4438614655,388.5371282427,389.0952329888,78319853,adjusted
2023-04-27,391.6355718332,397.1107718423,391.385386947,396.8413419649,92968369,adjusted
2023-04-28,395.9560723676,400.2380829196,395.8983373939,400.228460424,89433137,adjusted
2023-05-01,399.7858256254,401.8546621842,399.5885644651,399.8243156079,62122254,adjusted
2023-05-02,399.1122509318,399.1603634099,392.4246164742,395.3306101522,103998484,adjusted
2023-05-03,395.8309799246,398.2462263258,392.3765039961,392.6170663867,91531769,adjusted
2023-05-04,391.5682143638,391.895379215,388.4986382603,389.8361651518,94901863,adjusted
2023-05-05,393.4734684971,398.1018888914,393.2136611152,397.0530368686,87891791,adjusted
2023-05-08,397.3802017198,397.6400091016,395.7539999596,397.1588843204,50046768,adjusted
2023-05-09,395.6096625252,396.533422105,395.1856953681,395.4172126128,49220119,adjusted
2023-05-10,398.2558488214,398.8861222847,393.4349785146,397.2647317723,96142922,adjusted
2023-05-11,396.3987071663,396.8605869562,394.493453033,396.5719120875,70157064,adjusted
2023-05-12,397.8132140228,398.0249089265,393.627428427,396.0522973239,70481548,adjusted
2023-05-15,396.6585145481,397.8228365184,394.7436379192,397.4186917023,54289383,adjusted
2023-05-16,396.3121047057,397.2310530376,394.7532604148,394.7628829105,57705495,adjusted
2023-05-17,396.7836069912,400.1562917068,395.1333489919,399.5548857304,87286957,adjusted
2023-05-18,399.2373433749,403.8272737868,399.0160259756,403.4038839794,97177195,adjusted
2023-05-19,404.3083985679,404.8376358272,401.5948548024,402.8169117464,103793317,adjusted
2023-05-22,402.8361567377,404.5200934716,401.5948548024,402.980494172,60745399,adjusted
2023-05-23,401.3350474206,402.9150612018,398.063398909,398.4579212295,86383493,adjusted
2023-05-24,396.8509644605,397.2358642854,394.4063694476,395.5711725427,89213678,adjusted
2023-05-25,399.0833834449,400.4497778233,396.8414381899,398.9967809843,90961606,adjusted
2023-05-26,399.6511106867,404.8857483053,399.5741307217,404.1640611336,93829975,adjusted
2023-05-30,406.0981827537,406.6274200129,402.9275704461,404.3180210635,72215960,adjusted
2023-05-31,402.4897468953,403.3942614838,400.5075127971,402.0759795835,106350372,adjusted
2023-06-01,402.3069194785,406.9545848641,401.0559950475,405.8961103456,88865018,adjusted
2023-06-02,408.4749391724,412.5548773163,407.9457019132,411.7658326753,91426171,adjusted
2023-06-05,412.1122425177,413.4016569311,410.2743458538,410.9767880343,65460158,adjusted
2023-06-06,410.5630207225,412.3982230876,409.9086910202,411.8716801272,64022175,adjusted
2023-06-07,412.2662024477,413.4016569311,410.0241609676,410.447550775,85373275,adjusted
2023-06-08,410.5149082444,413.3824119399,409.7451085946,412.9301546456,61952842,adjusted
2023-06-09,413.7288217823,415.6821883936,412.6799697594,413.6710868085,85647268,adjusted
2023-06-12,414.652581362,417.5008400663,413.9308941904,417.4238601013,76256703,adjusted
2023-06-13,418.8864794359,420.820601056,418.222527238,420.1758938493,95899704,adjusted
2023-06-14,420.5126811961,422.4864474982,417.2217876932,420.6762636217,100612080,adjusted
2023-06-15,419.8583514938,427.14258068,419.7621265376,425.891656249,110303091,adjusted
2023-06-16,427.8850901306,428.4528090959,423.9734504416,424.4467105521,114165849,adjusted
2023-06-20,422.505378262,423.3939482655,420.1680528182,422.2446022828,76160359,adjusted
2023-06-21,421.2594485833,422.0610932603,419.4919669461,420.0811274918,76982251,adjusted
2023-06-22,419.1249489012,421.703733585,418.7869059651,421.5974915194,70637175,adjusted
2023-06-23,418.1397952017,420.197027927,417.6955102,418.4102295506,92074537,adjusted
2023-06-26,417.840385744,419.7624012949,416.4592388909,416.7006981309,72823560,adjusted
2023-06-27,417.5796097648,421.8872426075,417.1256663934,421.2691069529,72813699,adjusted
2023-06-28,420.1873695574,422.4957198924,419.5692339029,421.4815910842,75635976,adjusted
2023-06-29,421.0662811913,423.307022939,420.660629668,423.1428306558,67882304,adjusted
2023-06-30,426.3590677334,429.1213614398,426.0403415366,428.1362077403,104964019,adjusted
2023-07-03,427.7885064346,428.9088773085,427.5084137161,428.62878459,32793378,adjusted
2023-07-05,426.8130111048,428.7244024491,426.8033527352,427.9913321963,58418432,adjusted
2023-07-06,424.4080770737,425.0648462067,422.1287018475,424.6398779442,80658302,adjusted
2023-07-07,423.6450658751,427.5180720857,423.3263396783,423.5677989183,86134178,adjusted
2023-07-10,423.210439243,424.813728597,422.6357662517,424.6398779442,62443501,adjusted
2023-07-11,425.4028891428,427.8367982826,424.4273938129,427.3442214329,64463752,adjusted
2023-07-12,431.1399606867,432.1926263897,429.7105219855,430.7826010114,91924527,adjusted
2023-07-13,432.5983744967,434.9936501581,432.1637478646,434.2016638507,72425241,adjusted
2023-07-14,435.0854046693,435.9401703791,433.1682183032,433.9312295018,69815823,adjusted
2023-07-17,433.7863539578,436.4906974465,433.7380621098,435.4379351598,52680221,adjusted
2023-07-18,435.1095505933,439.32059974,434.6733786221,438.6734889766,80744448,adjusted
2023-07-19,439.4654752841,440.8369637676,438.5980571101,439.6489843065,65891688,adjusted
2023-07-20,438.6541722374,439.5524006105,436.017437336,436.7321566865,70591642,adjusted
2023-07-21,438.4513464758,438.6493430526,436.7224983169,436.7321566865,71275618,adjusted
2023-07-24,437.8815026692,439.4944503929,436.8461254479,438.6831473463,54023382,adjusted
2023-07-25,438.4127129974,441.1315440405,438.3644211494,439.880785177,55191240,adjusted
2023-07-26,438.9439233255,441.3778324654,437.8911610388,439.9483937642,71052885,adjusted
2023-07-27,443.3384814947,443.744133018,436.1236794016,437.0315661442,92194375,adjusted
2023-07-28,440.3057534395,442.140843664,437.0333046507,441.3102238781,80011790,adjusted
2023-07-31,441.7834839887,442.5078617088,440.4651165379,442.1505020336,62040449,adjusted
2023-08-01,440.682429854,441.628950075,439.929077025,440.8852556156,55502199,adjusted
2023-08-02,437.765602234,438.0263782133,433.9987415053,434.752190918,93933369,adjusted
2023-08-03,432.7335916711,435.3896433118,432.0864809077,433.5062612393,64419692,adjusted
2023-08-04,435.3220347246,437.4227301131,431.0240602515,431.54561221,100128902,adjusted
2023-08-07,433.3807024345,435.4620810838,432.6852998231,435.312376355,58357464,adjusted
2023-08-08,432.7722251495,435.298081968,430.0587062097,433.4193359129,71361324,adjusted
2023-08-09,433.6897702618,433.8538659613,429.7588138335,430.5218250321,78789575,adjusted
2023-08-10,432.8784672151,436.2685549456,429.5076962239,430.6763589458,93005495,adjusted
2023-08-11,428.8026352429,431.4400462302,428.1989871427,430.4252413361,68690902,adjusted
2023-08-14,429.5076962239,432.8012002583,429.1986283966,432.8012002583,47867441,adjusted
2023-08-15,431.0240602515,431.3814199267,427.1896875193,427.7595313258,75707534,adjusted
2023-08-16,427.3442214329,429.0054610045,424.5143191394,424.620561205,80107206,adjusted
2023-08-17,426.0886333846,426.3494093638,420.8634554296,421.3850073881,95711315,adjusted
2023-08-18,418.5647634642,422.6212786973,418.2170621585,421.5878331498,98851960,adjusted
2023-08-21,422.6019619581,425.0745045763,420.4481455367,424.3308101169,68718957,adjusted
2023-08-22,426.1079501238,426.1079501238,422.6212786973,423.1814641342,65062861,adjusted
2023-08-23,424.2438847905,428.5128841548,424.0990092465,427.8947485002,68441021,adjusted
2023-08-24,429.4980378543,430.0099314432,421.9307052707,421.9645095643,88517272,adjusted
2023-08-25,423.6933577231,426.223850559,420.1390777094,424.9392874019,102325103,adjusted
2023-08-28,427.1317373016,428.2521081755,424.9419917454,427.633972521,61595393,adjusted
2023-08-29,427.5277304553,434.0954217851,427.3442214329,433.8153290666,83081916,adjusted
2023-08-30,434.1533720027,436.2395798368,433.4483110217,435.602127443,69053911,adjusted
2023-08-31,436.2202630976,437.3599507107,434.7811660268,434.9646750493,66084563,adjusted
2023-09-01,437.6883352772,438.1712537573,434.3175642859,435.7759780959,58944098,adjusted
2023-09-05,435.3316930942,435.6504192911,433.8249874362,433.8925960234,55166210,adjusted
2023-09-06,433.0812929768,433.1875350424,428.6481013292,430.9757684034,70758512,adjusted
2023-09-07,427.9720154571,430.3286576401,427.6243141514,429.6525717679,70355426,adjusted
2023-09-08,429.7008636159,431.8353632981,429.3435039406,430.2996825313,62068437,adjusted
2023-09-11,432.9267590632,433.4386526521,431.2171310598,433.1295848248,60180118,adjusted
2023-09-12,431.6808293844,433.2068517816,430.1741237264,430.7536259026,67565422,adjusted
2023-09-13,430.9757684034,432.4148654742,429.8740381829,431.2558611219,60199272,adjusted
2023-09-14,433.7284037402,435.6697360303,432.419694659,434.9743334189,83430814,adjusted
2023-09-15,433.4064234211,433.7359805709,429.3160376206,429.7522162013,111848859,adjusted
2023-09-18,429.4420447661,431.3030733768,428.9670947561,430.0042304923,55752213,adjusted
2023-09-19,429.0834090443,429.6746733425,426.4275661312,429.1124876163,66514648,adjusted
2023-09-20,430.3725590715,430.7845055087,424.9639446718,425.167494676,82562602,adjusted
2023-09-21,422.317794616,422.5795017643,417.9850873818,418.1401730993,104095826,adjusted
2023-09-22,419.1676159781,420.7669374404,416.7831730707,417.1999659367,100829684,adjusted
2023-09-25,415.9883587683,418.9931445459,415.5521801877,418.9543731165,70874534,adjusted
2023-09-26,415.9108159095,416.6183944958,411.9658229692,412.7994087011,96168436,adjusted
2023-09-27,413.9722444401,414.5344301662,409.3196729134,412.964187276,104705847,adjusted
2023-09-28,412.4116944072,417.0350904332,411.820430109,415.3583230407,92258308,adjusted
2023-09-29,418.4115731051,418.5860445373,412.8284872731,414.3502658766,115111319,adjusted
2023-10-02,413.5166801448,415.4358658995,411.4230229578,414.1854873017,83798599,adjusted
2023-10-03,412.0045943986,414.2464553744,407.2744800132,408.6411728991,103760607,adjusted
2023-10-04,409.1064300518,412.3631331919,407.6428085924,411.6168801047,87452968,adjusted
