Date,Open,High,Low,Close,Volume,PriceMode
2023-04-17,58.7766338045,59.7643988143,58.4997826583,59.3120578285,1879195,adjusted
2023-04-18,59.1828175469,59.4320666615,58.301214197,59.3305207259,2579717,adjusted
2023-04-19,58.2088997101,58.3796815109,56.9857327588,58.0288864607,2927785,adjusted
2023-04-20,54.1424465625,57.1703617326,52.2130737865,52.6931091183,7959691,adjusted
2023-04-21,51.7884271468,52.3700084142,50.1452292801,52.0838335048,5906604,adjusted
2023-04-24,52.1022964022,52.6931091183,51.4930207887,52.6284889775,2325253,adjusted
2023-04-25,52.2961568247,52.4900172471,51.6684183138,51.7791956981,2386520,adjusted
2023-04-26,52.434628555,53.1685287258,51.6961126599,52.0099819153,1810921,adjusted
2023-04-27,52.0699863318,52.6192575288,51.5022522374,52.434628555,2686809,adjusted
2023-04-28,52.7854236052,54.4286214719,52.6284889775,54.2532239468,2891919,adjusted
2023-05-01,54.2255296007,54.5486303049,53.8193458584,54.0593635243,2335983,adjusted
2023-05-02,54.0870578704,54.1239836651,52.3792398629,52.4807857985,1876647,adjusted
2023-05-03,52.7208034644,53.3023847318,51.5022522374,51.6222610704,2351356,adjusted
2023-05-04,51.4284006479,51.5207151348,50.2837010104,50.8837451752,1841518,adjusted
2023-05-05,51.6130296217,52.166916543,50.7175790988,51.6407239677,1564387,adjusted
2023-05-08,51.5022522374,52.0653706074,51.1514571872,51.9638246719,885103,adjusted
2023-05-09,51.2806974689,53.0992928606,50.8745137265,52.9054324382,2185995,adjusted
2023-05-10,53.5424023977,53.6347168846,52.5454059393,52.8685066434,2091116,adjusted
2023-05-11,52.5084801445,52.6100260801,51.7145755572,52.434628555,1562549,adjusted
2023-05-12,53.1362186554,53.1731444502,52.3977027603,53.1454501041,1853668,adjusted
2023-05-15,54.2901497416,56.4226143888,53.6624112307,56.3672256966,2576482,adjusted
2023-05-16,56.3672256966,56.9303440667,55.4586665166,56.1272080307,2061472,adjusted
2023-05-17,56.5887804652,57.0780472457,55.621416957,56.4410772861,1806688,adjusted
2023-05-18,56.4133829401,58.2227468832,56.2841426584,57.9273405251,2010830,adjusted
2023-05-19,57.9550348712,58.1858210884,56.9395755154,57.4749995393,1308099,adjusted
2023-05-22,57.1149730405,58.4166073057,56.9395755154,58.1119694989,1307253,adjusted
