Date,Open,High,Low,Close,Volume,PriceMode
2023-04-17,73.5234552443,74.6544391086,73.5234552443,74.2647723991,384485,adjusted
2023-04-18,74.6449350425,75.025097686,73.8275853591,74.2267561347,604537,adjusted
2023-04-19,73.818081293,74.5166301503,73.1718047991,74.4168374564,542014,adjusted
2023-04-20,73.6565121695,75.1486505451,73.5424633765,74.4263415225,319758,adjusted
2023-04-21,74.5498943816,74.5593984477,73.6470081034,74.3122927295,356631,adjusted
2023-04-24,74.1032032756,74.9300570251,73.8656016234,74.5784065799,367124,adjusted
2023-04-25,73.8941138217,74.1887398704,72.5540405035,72.5635445696,489642,adjusted
2023-04-26,71.9933006044,72.9151950148,71.5223741298,71.9552843401,728391,adjusted
2023-04-27,72.4780079748,73.0102356757,70.8338045419,72.6110649,1081679,adjusted
2023-04-28,72.3164388513,73.9653943173,72.3164388513,73.0387478739,573293,adjusted
2023-05-01,72.9627153452,74.7779919677,72.9627153452,73.5899837069,602972,adjusted
2023-05-02,73.1813088652,73.9131219539,71.4563208705,73.3999023852,830824,adjusted
2023-05-03,75.6618701138,76.7310775485,72.6870974287,72.8581706183,1049782,adjusted
2023-05-04,73.1052763365,73.1052763365,68.8189425316,70.4441378323,980605,adjusted
2023-05-05,72.2499103887,73.818081293,72.1263575296,72.9817234774,536141,adjusted
2023-05-08,73.8085772269,73.8085772269,71.6273940601,72.2499103887,397436,adjusted
2023-05-09,71.3755363088,71.8744997783,71.0048777314,71.4895851018,348361,adjusted
2023-05-10,72.6110649,72.6110649,69.1515848446,69.9974467263,552034,adjusted
2023-05-11,69.0470401176,69.3986905628,68.5195644498,68.9900157211,483353,adjusted
2023-05-12,69.4747230915,69.6838125454,68.4672920864,69.2561295715,500527,adjusted
2023-05-15,69.591622594,71.3624382306,69.1906832045,71.0999183923,517037,adjusted
2023-05-16,70.4794169563,70.9471795773,69.5247993624,69.5438917143,494407,adjusted
2023-05-17,70.3744090209,71.9017971711,70.3219050533,71.7967892358,461573,adjusted
2023-05-18,71.453126902,73.3814544417,71.1858339757,73.0950691635,605020,adjusted
2023-05-19,74.0401405814,74.0974176371,71.0521875126,71.147649272,486338,adjusted
2023-05-22,71.4053960223,72.3695597921,70.8660370818,71.7490583561,442926,adjusted
2023-05-23,71.3576651426,72.3695597921,70.4460053405,70.994910457,455540,adjusted
2023-05-24,70.527147836,70.527147836,69.0522636534,69.3338758436,354696,adjusted
2023-05-25,69.3052373158,70.4889631322,68.9806673339,70.4603246044,457195,adjusted
2023-05-26,70.8994486976,72.1022668659,70.3171319653,71.9113433471,515218,adjusted
2023-05-30,72.2740980328,72.4268368478,70.9471795773,71.0140028088,471522,adjusted
2023-05-31,70.5080554841,71.1953801517,67.9592265084,68.3028888422,712328,adjusted
2023-06-01,68.6274588241,70.2407625578,68.3697120738,69.6298072977,512081,adjusted
2023-06-02,71.0712798645,75.1236315505,71.0712798645,74.6320034896,764765,adjusted
2023-06-05,74.0783252852,74.269248804,72.4363830237,74.1737870446,585935,adjusted
2023-06-06,73.8396708867,77.3144789285,73.6105626642,76.7512545481,724744,adjusted
2023-06-07,77.2190171691,80.0924161266,76.7321621962,79.7678461447,746424,adjusted
2023-06-08,79.7582999688,80.4551708123,79.0614291253,79.9683158394,739147,adjusted
2023-06-09,80.1115084785,80.3634320616,78.1927271148,78.9373288381,667823,adjusted
2023-06-12,78.9373288381,80.6079096273,78.631851208,80.3597090529,468260,adjusted
2023-06-13,80.4933555161,82.7367068617,80.4933555161,81.9730127866,527384,adjusted
2023-06-14,82.1543901294,82.5839680467,79.7105690891,80.2833396454,694622,adjusted
2023-06-15,79.9014926079,82.2116671851,79.9014926079,82.1734824813,457189,adjusted
2023-06-16,82.6221527504,82.7462530376,80.7511022664,81.1520416559,780630,adjusted
2023-06-20,80.8561102018,82.4121368798,80.2451549417,82.2593980648,467998,adjusted
2023-06-21,81.5816195731,83.4622162331,81.5243425175,82.8226224452,534870,adjusted
2023-06-22,82.5744218707,82.5744218707,81.3716037025,82.3166751204,399813,adjusted
2023-06-23,81.0470337205,81.5434348693,79.1187061809,81.0565798965,706377,adjusted
2023-06-26,82.373952176,84.6459420495,82.373952176,83.6531397518,640642,adjusted
2023-06-27,83.8631556225,85.5337364118,83.3381159458,85.4478208283,550388,adjusted
