Date,Open,High,Low,Close,Volume,PriceMode
2023-06-30,89.8354599724,90.7156819984,89.6682177875,90.6100553553,32024910,adjusted
2023-07-03,90.7683048705,91.1345908149,90.0798638184,90.0975161531,16011810,adjusted
2023-07-05,89.9298189737,90.0269068144,88.9148097302,89.2413779216,28170286,adjusted
2023-07-06,88.4381966941,88.5970677062,87.7938864787,87.9792359927,41375735,adjusted
2023-07-07,87.537927626,87.9086266541,87.365817363,87.4496659527,28996478,adjusted
2023-07-10,87.2554902713,87.8468434827,87.246664104,87.564406128,24665198,adjusted
2023-07-11,87.8821481521,88.2351948454,87.6350154667,88.0145406621,20491147,adjusted
2023-07-12,88.3499350208,89.2502040889,88.0542584151,88.9942452362,31927964,adjusted
2023-07-13,89.4179012683,90.0004283124,89.1707685829,89.9298189737,32441493,adjusted
2023-07-14,89.779774129,89.9695367267,89.3517050133,89.4002489336,18568974,adjusted
2023-07-17,89.3472919296,89.5723591967,89.0736807422,89.4443797703,18828245,adjusted
2023-07-18,89.8503834677,90.0842769021,89.647381619,89.8503834677,15412764,adjusted
2023-07-19,90.0269068144,90.8918712132,89.7841872127,90.8653927112,27192463,adjusted
2023-07-20,90.2210824958,90.3005180018,89.3914227663,89.7621217944,56951188,adjusted
2023-07-21,90.1681254918,90.3314095874,89.700338623,89.7886002964,20657453,adjusted
2023-07-24,90.0136675634,90.1592993244,89.409075101,89.462032105,17546711,adjusted
2023-07-25,88.9942452362,89.5855984477,88.9677667342,89.2943349256,17160556,adjusted
2023-07-26,89.7444694597,89.753295627,89.078623396,89.382596599,19310659,adjusted
2023-07-27,88.8883312282,89.0780938259,87.299621108,87.643841634,44794390,adjusted
2023-07-28,87.7321033074,88.1381070048,87.511449124,88.0939761681,27433966,adjusted
2023-07-31,87.9527574907,88.5529368695,87.9262789887,88.3058041841,28665164,adjusted
2023-08-01,87.4825394498,87.5489213848,86.6505525307,86.8629747228,34985340,adjusted
2023-08-02,85.889373009,86.0619660401,85.3317647547,85.9336276323,38121255,adjusted
2023-08-03,84.2519519448,84.3670139655,83.6722163789,83.951020506,59449684,adjusted
2023-08-04,84.2165482461,85.5707397208,84.1988463968,85.4379758508,42071834,adjusted
2023-08-07,85.0662370146,85.1458953366,84.5263306096,84.597138007,35862880,adjusted
2023-08-08,85.7300563649,86.1814535231,85.3583175287,85.5795906455,24010511,adjusted
2023-08-09,85.7477582142,86.1106461258,85.7123545156,86.0221368791,20151127,adjusted
2023-08-10,85.889373009,86.1681771361,84.6059889317,84.6059889317,37253246,adjusted
2023-08-11,84.3493121162,84.8493893601,84.2608028695,84.4112685889,26753471,adjusted
2023-08-14,84.2696537942,84.9069203705,83.9952751294,84.2253991708,19071967,adjusted
2023-08-15,83.9049956977,84.2563774072,83.6943436905,83.7120455399,24125027,adjusted
2023-08-16,83.4465177997,83.897914958,82.9508660182,83.0570771142,23076663,adjusted
2023-08-17,82.7561456754,82.8490803844,82.3313012912,82.7030401274,32244852,adjusted
2023-08-18,82.6941892027,83.3668594777,82.5804548207,82.9951206415,24181708,adjusted
2023-08-21,82.012668003,82.1011772497,81.6320782422,81.8887550576,29254118,adjusted
2023-08-22,81.9949661537,82.5569998703,81.8356495096,82.5171707093,21323072,adjusted
2023-08-23,83.4642196491,84.570585233,83.4022631764,84.5617343083,38294655,adjusted
2023-08-24,84.1988463968,84.570585233,83.9819987423,84.004126054,22300818,adjusted
2023-08-25,83.7828529372,84.5351815343,83.6500890672,84.2785047188,23865213,adjusted
2023-08-28,84.6590944797,84.6679454044,83.9861586769,84.3670139655,16037346,adjusted
2023-08-29,84.0572316021,85.4202740014,84.030678828,85.243255508,28478118,adjusted
2023-08-30,85.1104916379,85.32291383,84.8626657471,85.1547462613,17550106,adjusted
2023-08-31,85.4468267754,85.8982239337,85.3450411417,85.5353360221,26959665,adjusted
2023-09-01,85.0498356791,85.067591386,84.0022489766,84.2064396051,32469677,adjusted
2023-09-05,83.7004019606,83.7048408873,82.9990515411,83.0256851014,29435888,adjusted
2023-09-06,83.5317227458,83.5494784526,82.9724179809,83.2298757298,23609041,adjusted
2023-09-07,83.4518220651,83.513967039,83.167730756,83.4606999185,18091459,adjusted
2023-09-08,83.7891804947,84.2508288721,83.6027455731,83.7803026413,17054175,adjusted
2023-09-11,83.1854864628,83.4340663583,83.0523186616,83.1766086094,17061472,adjusted
2023-09-12,83.3541656776,83.664890547,83.0796624501,83.6560126936,20034330,adjusted
2023-09-13,83.3807992378,83.9224370744,83.2920207037,83.6382569868,23332277,adjusted
2023-09-14,83.3985549446,83.6382569868,82.9191508604,83.0345629548,27800615,adjusted
2023-09-15,82.9724179809,82.9901736877,82.5285253104,82.5285253104,25642922,adjusted
2023-09-18,82.4308689228,83.0345629548,82.4042353626,82.9990515411,17963376,adjusted
2023-09-19,82.6350595513,82.9457844207,82.3864796558,82.3864796558,24947684,adjusted
2023-09-20,82.8214944729,83.0967079287,82.5995481376,82.6439374047,29451164,adjusted
2023-09-21,81.041484864,81.1125076913,80.513252586,80.5221304394,59958747,adjusted
2023-09-22,80.6197868269,81.3255761731,80.4954968792,81.1702137384,29530323,adjusted
2023-09-25,79.5988336847,79.9361921143,79.1460631607,79.1726967209,45587914,adjusted
2023-09-26,79.3946430562,79.563322271,78.7554376106,78.8974832652,38104127,adjusted
2023-09-27,79.487860517,79.563322271,78.2050106991,78.4891020083,47111201,adjusted
2023-09-28,77.7877515888,78.7731933174,77.3261032114,78.7288040504,60238010,adjusted
2023-09-29,79.2525974016,79.4479101767,78.2405221128,78.7376819038,49010145,adjusted
2023-10-02,78.2164461002,78.314417053,77.2278301224,77.4237720279,44704259,adjusted
2023-10-03,76.8715721124,77.1743914209,75.6024029517,75.7582658311,71362641,adjusted
2023-10-04,76.3906237989,76.8715721124,76.0343657888,76.8270398611,56281598,adjusted
2023-10-05,76.6889898822,76.7646947094,76.2703867205,76.4440625004,35758761,adjusted
2023-10-06,74.9923111095,76.3149189717,74.867620806,75.5177916743,62787857,adjusted
2023-10-09,76.1501496421,77.3079881747,75.6602948783,77.2901752742,29424888,adjusted
2023-10-10,76.4618754009,77.6375268339,76.1679625426,77.1832978712,54743911,adjusted
2023-10-11,78.243165451,78.7953653665,78.0205041947,78.7953653665,58517653,adjusted
2023-10-12,78.421294456,78.5454503725,76.5286737777,76.6578173064,66986734,adjusted
2023-10-13,78.0205041947,78.2253525505,77.6375268339,78.029410645,44203089,adjusted
2023-10-16,76.7646947094,76.9250108139,76.5064076521,76.7736011596,38309794,adjusted
2023-10-17,75.6068561768,76.2658444308,75.2635125197,75.9274883858,52949096,adjusted
2023-10-18,75.152627214,75.4554465226,74.6805853508,75.259504617,63724616,adjusted
2023-10-19,74.7073047015,75.3218497688,73.6919693729,73.7186887237,87696929,adjusted
2023-10-20,73.9146306292,74.404485393,73.7186887237,74.1372918855,52188750,adjusted
2023-10-23,73.7543145247,75.5801368261,73.4069629649,75.0279369105,70890435,adjusted
