Date,Open,High,Low,Close,Volume,PriceMode
2023-04-17,56.0185466355,56.0185466355,55.112665078,55.6776234687,114834,adjusted
2023-04-18,55.1905903733,55.2100716971,54.7814825731,54.9568144875,62820,adjusted
2023-04-19,54.3821154349,54.4015967587,53.9243043252,54.1873021967,92694,adjusted
2023-04-20,55.8919180307,57.0802787835,55.8919180307,56.9828721644,108122,adjusted
2023-04-21,56.495839069,57.245870036,56.495839069,56.9341688549,363457,adjusted
2023-04-24,55.755548764,55.8139927354,55.32695964,55.5022915544,276750,adjusted
2023-04-25,55.9454916712,56.0088059736,54.7522605874,54.7522605874,67412,adjusted
2023-04-26,55.6581421449,56.2425818594,55.1905903733,55.7652894259,240779,adjusted
2023-04-27,54.9762958113,56.0088059736,54.9762958113,55.9678951936,315164,adjusted
2023-04-28,55.755548764,56.2133598737,55.3756629495,56.1549159022,83132,adjusted
2023-05-01,55.7165861163,55.7165861163,55.0347397827,55.2490343447,55189,adjusted
2023-05-02,54.6354700511,55.6678828068,54.6354700511,55.541254202,47178,adjusted
2023-05-03,55.9990653117,56.3263515518,55.8237333973,55.9406213402,40183,adjusted
2023-05-04,55.969843326,56.6224676738,55.9250362812,56.5153203928,38770,adjusted
2023-05-05,56.0575092831,57.4971791132,56.0575092831,57.343276655,153826,adjusted
2023-05-08,56.7393556167,57.1143711002,56.5932456881,56.9731315025,133256,adjusted
2023-05-09,58.1907142411,58.1907142411,56.60298635,57.0802787835,387078,adjusted
2023-05-10,56.7783182644,57.245870036,56.60298635,57.1679447407,63897,adjusted
2023-05-11,56.8367622358,57.4893865837,56.5981160191,57.2848326836,45853,adjusted
2023-05-12,58.521896746,59.5446662464,58.521896746,59.2816683748,68352,adjusted
2023-05-15,58.7360939013,59.262187051,57.9764196791,59.262187051,44577,adjusted
2023-05-16,60.3921038324,61.1869418441,60.2606048966,60.4895104515,109438,adjusted
2023-05-17,62.3402362141,63.2363771097,61.3661700232,63.1876738001,160014,adjusted
2023-05-18,64.2884660024,67.0547165778,64.2884660024,66.4410548775,576490,adjusted
2023-05-19,65.4962106724,65.4962106724,64.8435863246,65.3598414057,126196,adjusted
2023-05-22,64.756017774,66.0222064155,64.756017774,65.7981711916,63342,adjusted
2023-05-23,62.9636385762,64.3955158768,62.9636385762,63.0707858572,78672,adjusted
2023-05-24,63.1292298287,63.309432074,62.5545307761,62.8077879857,116409,adjusted
2023-05-25,65.7105052344,67.989820121,65.7105052344,67.6976002637,203732,adjusted
2023-05-26,67.6976976704,70.9850736578,67.6976976704,70.9120186935,524018,adjusted
2023-05-30,69.265846831,69.4996227168,67.6976002637,67.9118948257,136743,adjusted
2023-05-31,67.025494592,67.1813451826,65.963762444,66.1488350203,212771,adjusted
2023-06-01,69.4314380834,70.1522470647,69.15869955,69.5483260263,514450,adjusted
2023-06-02,68.1943740211,68.2284663377,66.928087973,67.0157539301,105761,adjusted
2023-06-05,65.7105052344,67.7950068828,65.7105052344,67.2203078302,104468,adjusted
2023-06-06,69.4119567596,69.4119567596,68.0726157472,68.9931082976,50865,adjusted
2023-06-07,66.0806503869,66.5871648062,64.8241050007,65.0189182389,167326,adjusted
2023-06-08,65.856615163,67.0449759159,65.5059513343,66.8793846634,104703,adjusted
2023-06-09,66.499498849,66.7235340729,65.9929844298,66.2267603156,230223,adjusted
2023-06-12,66.9670506206,67.9605981353,66.5384614966,67.8534508543,167591,adjusted
2023-06-13,69.4509194073,70.1814690504,69.0223302833,69.2366248453,208214,adjusted
2023-06-14,69.0028489595,70.1327657408,68.5255565259,69.5483260263,115925,adjusted
2023-06-15,69.0710335928,70.0353591218,69.0710335928,69.8600272074,80424,adjusted
2023-06-16,70.756168103,70.756168103,69.8892491931,69.8892491931,262507,adjusted
2023-06-20,68.7008884403,69.0588577654,68.2820399782,68.515815864,128466,adjusted
2023-06-21,69.7528799264,70.9802033269,69.4704007311,70.1327657408,432685,adjusted
2023-06-22,67.2105671683,68.1846333592,66.3631295823,67.8729321781,408928,adjusted
2023-06-23,66.4605362014,66.7917187062,66.285204287,66.4020922299,337510,adjusted
2023-06-26,66.6261274538,67.1862155135,66.499498849,66.7332747348,135143,adjusted
2023-06-27,66.7722373824,68.3219766921,66.7722373824,68.0774860782,119728,adjusted
2023-06-28,67.8631915162,68.857713097,67.8534508543,68.2333366687,117195,adjusted
2023-06-29,69.8795085312,69.9963964741,69.265846831,69.3535127882,155470,adjusted
2023-06-30,69.5191040406,70.3080976552,69.5191040406,70.0840624313,91782,adjusted
2023-07-03,71.4867177461,72.6166345275,71.4867177461,72.2757113607,123684,adjusted
2023-07-05,70.327578979,71.7594562796,70.327578979,70.7172054554,105982,adjusted
2023-07-06,68.5937411593,68.5937411593,67.8437101924,68.3015213021,80932,adjusted
2023-07-07,68.944404988,70.0548404456,68.5450378498,69.4606600692,88218,adjusted
2023-07-10,67.2982331255,69.15869955,67.2982331255,69.15869955,159424,adjusted
2023-07-11,69.6067699978,69.8210645598,68.7885543975,69.3048094786,209333,adjusted
2023-07-12,68.4768532164,69.3754292775,68.4719828855,69.15869955,105154,adjusted
2023-07-13,69.4022160977,71.6425683367,69.4022160977,71.4574957604,110568,adjusted
2023-07-14,70.8146120744,71.8081595891,70.6417153256,70.8048714125,409269,adjusted
2023-07-17,68.6814071165,71.496458408,68.6814071165,71.4087924509,147915,adjusted
2023-07-18,71.077609946,72.3341553322,71.077609946,72.2757113607,228706,adjusted
2023-07-19,73.5907007183,73.5907007183,71.3795704651,71.6523089986,157965,adjusted
2023-07-20,68.9249236642,71.6328276747,68.1846333592,68.6716664546,149996,adjusted
2023-07-21,67.2105671683,68.096967402,67.1131605492,67.5222683494,86512,adjusted
2023-07-24,67.5222683494,68.3210026259,67.5125276875,67.9313761495,80917,adjusted
2023-07-25,68.4963345402,68.9541456499,67.775525559,68.6716664546,129700,adjusted
2023-07-26,68.1797630282,68.3404839497,67.4126859029,67.8729321781,83215,adjusted
2023-07-27,69.6457326454,72.567931218,69.6457326454,71.1555352412,104924,adjusted
2023-07-28,73.0549643134,74.5452855854,72.9526873633,74.2725470519,184275,adjusted
2023-07-31,74.7790614712,74.7790614712,72.9088543848,73.093926961,479946,adjusted
2023-08-01,74.0290305042,74.0290305042,73.5955710493,73.843957928,117882,adjusted
2023-08-02,73.5419974088,73.5419974088,69.9087305169,70.1912097123,150699,adjusted
2023-08-03,69.372994112,71.389311127,69.372994112,71.2237198746,82673,adjusted
2023-08-04,74.0290305042,74.0290305042,71.5354210557,72.1880454035,99772,adjusted
2023-08-07,69.3056861382,72.0419354749,69.3056861382,72.0029728273,63968,adjusted
2023-08-08,68.6716664546,70.1619877266,68.6716664546,69.8795085312,172036,adjusted
2023-08-09,70.541873541,70.5808361886,69.7139172788,70.0840624313,155196,adjusted
2023-08-10,69.3876051048,70.6782428077,69.1781808738,69.5093633787,67412,adjusted
2023-08-11,69.15869955,69.15869955,67.2690111398,67.2690111398,75194,adjusted
2023-08-14,67.9459871424,69.0418116071,67.4638243779,68.944404988,82586,adjusted
2023-08-15,68.9638863118,70.7366867792,66.9670506206,68.3404839497,151044,adjusted
2023-08-16,66.0514284012,68.311261964,66.0514284012,67.1716045207,206695,adjusted
2023-08-17,68.4330202378,68.4476312307,67.6586376161,67.8924135019,173798,adjusted
2023-08-18,69.0807742547,71.1555352412,68.5352971879,69.2414951762,281139,adjusted
2023-08-21,67.3177144493,71.4867177461,67.3177144493,71.4672364223,209340,adjusted
