Date,Open,High,Low,Close,Volume,PriceMode
2023-04-28,45.2,45.39,45.0,45.005,796954,adjusted
2023-05-01,45.1,45.25,44.77,44.8,554336,adjusted
2023-05-02,45.0,45.15,44.19,44.5,704917,adjusted
2023-05-03,44.66,44.77,44.34,44.4,483217,adjusted
2023-05-04,44.61,44.61,43.4,43.64,691071,adjusted
2023-05-05,43.64,43.92,43.1901,43.34,612969,adjusted
2023-05-08,43.23,43.31,42.7117,42.79,341987,adjusted
2023-05-09,42.57,42.75,41.8,41.88,1019793,adjusted
2023-05-10,42.11,42.11,41.27,41.55,960544,adjusted
2023-05-11,41.78,42.0,40.79,41.1,725659,adjusted
2023-05-12,41.08,41.1,39.275,40.41,1491548,adjusted
2023-05-15,40.89,41.21,40.51,41.03,1332502,adjusted
2023-05-16,40.62,40.63,39.975,40.34,1052210,adjusted
2023-05-17,40.72,40.77,40.04,40.51,1094945,adjusted
2023-05-18,40.58,41.81,40.58,41.8,683620,adjusted
2023-05-19,41.58,41.765,41.03,41.48,467159,adjusted
2023-05-22,41.3,41.71,40.44,40.66,945019,adjusted
2023-05-23,40.6,40.7,39.75,40.04,691348,adjusted
2023-05-24,39.65,39.65,37.595,37.82,2310951,adjusted
2023-05-25,37.85,38.47,37.695,38.0,739424,adjusted
2023-05-26,37.98,38.96,37.95,38.93,814425,adjusted
2023-05-30,39.81,40.468,39.55,40.43,1134344,adjusted
2023-05-31,40.44,41.67,38.48,39.14,1764770,adjusted
2023-06-01,39.5,39.68,38.71,38.88,902622,adjusted
2023-06-02,39.0,39.2,38.1,38.36,1021015,adjusted
2023-06-05,38.07,38.74,38.03,38.7,750041,adjusted
2023-06-06,38.77,38.89,37.79,38.1,930979,adjusted
2023-06-07,38.35,38.58,37.87,38.47,665506,adjusted
2023-06-08,38.54,38.64,38.39,38.5,503193,adjusted
2023-06-09,38.5,39.44,38.01,39.09,1163418,adjusted
2023-06-12,39.23,39.64,39.02,39.57,582047,adjusted
2023-06-13,40.05,40.735,39.55,40.25,870918,adjusted
2023-06-14,40.38,41.11,40.29,41.11,855847,adjusted
2023-06-15,41.32,41.35,40.87,41.16,394375,adjusted
2023-06-16,41.23,41.28,40.835,41.17,448315,adjusted
2023-06-20,40.88,41.0612,40.61,40.85,769715,adjusted
2023-06-21,40.45,40.54,38.89,39.06,1167320,adjusted
2023-06-22,38.97,39.265,38.96,39.0,292511,adjusted
2023-06-23,38.99,39.03,38.43,38.545,366542,adjusted
2023-06-26,38.64,38.765,38.37,38.5,297065,adjusted
2023-06-27,38.63,38.66,37.05,37.735,1018074,adjusted
2023-06-28,37.09,37.35,36.82,37.29,985707,adjusted
2023-06-29,37.28,37.44,36.67,37.05,525895,adjusted
2023-06-30,37.07,38.01,37.01,37.52,597409,adjusted
2023-07-03,37.25,37.52,37.08,37.24,542245,adjusted
2023-07-05,37.3,37.3,36.25,36.44,490726,adjusted
2023-07-06,36.2,36.2,35.57,35.92,435145,adjusted
2023-07-07,35.99,36.15,35.55,35.57,429861,adjusted
2023-07-10,35.53,35.725,35.32,35.39,726837,adjusted
2023-07-11,35.57,36.74,35.365,36.51,1579715,adjusted
2023-07-12,36.74,37.675,36.68,37.42,1213991,adjusted
2023-07-13,37.83,38.28,37.14,37.17,928812,adjusted
2023-07-14,37.0,37.6,36.91,37.5,1087005,adjusted
2023-07-17,37.47,38.52,37.45,38.37,788930,adjusted
2023-07-18,38.64,38.64,37.95,38.0,673403,adjusted
2023-07-19,38.16,38.19,37.08,37.64,1255188,adjusted
2023-07-20,37.62,37.715,36.71,36.81,733462,adjusted
2023-07-21,36.81,37.0,35.8,36.35,1274264,adjusted
2023-07-24,36.45,36.54,34.93,35.0,1255868,adjusted
2023-07-25,35.0,35.73,34.74,34.78,1151732,adjusted
2023-07-26,38.75,39.0,35.38,36.74,6319594,adjusted
2023-07-27,36.53,37.08,35.9,36.11,1344725,adjusted
2023-07-28,36.21,37.54,36.01,37.21,1756794,adjusted
2023-07-31,37.22,37.76,36.64,37.75,787840,adjusted
2023-08-01,37.83,38.17,37.36,37.93,835915,adjusted
2023-08-02,37.6,37.7,37.12,37.26,588316,adjusted
2023-08-03,36.91,37.57,36.6703,37.38,554201,adjusted
2023-08-04,37.24,37.48,36.37,36.72,748822,adjusted
2023-08-07,37.02,37.06,36.37,36.83,516080,adjusted
2023-08-08,36.56,36.645,35.67,36.11,701065,adjusted
2023-08-09,36.31,36.4023,34.82,35.0,1011035,adjusted
2023-08-10,35.26,35.3,34.21,34.76,1348667,adjusted
2023-08-11,34.51,34.51,33.99,34.35,1331617,adjusted
2023-08-14,34.24,34.39,33.025,33.94,1566487,adjusted
2023-08-15,32.85,33.95,32.8,33.78,1285276,adjusted
2023-08-16,29.97,31.33,29.8,30.17,11830671,adjusted
2023-08-17,30.26,31.1,29.92,30.48,2955243,adjusted
2023-08-18,30.37,31.02,30.24,30.63,1633021,adjusted
