Date,Open,High,Low,Close,Volume,PriceMode
2023-04-28,149.8580245107,152.2852063454,149.8580245107,151.994308148,6575445,adjusted
2023-05-01,152.9124555836,152.9942707016,151.0125267317,151.5215985772,4831344,adjusted
2023-05-02,151.2125192424,152.2563892427,147.9853673649,149.0307827619,7312375,adjusted
2023-05-03,149.9216584914,150.894349339,148.421714661,148.4944392104,4398787,adjusted
2023-05-04,148.530801485,148.9671487812,146.6854160452,147.5399295001,4308975,adjusted
2023-05-05,147.8739133309,152.0410525955,147.6449496351,151.8670401866,5494735,adjusted
2023-05-08,151.8670401866,152.5814069177,149.6415130629,150.4016725332,3831469,adjusted
2023-05-09,148.5791215141,149.7330985413,148.3776334618,149.2843296974,5736844,adjusted
2023-05-10,150.9420268554,151.1160392642,147.484675048,149.3301224366,4428851,adjusted
2023-05-11,148.6157557055,148.753133923,146.4818140601,147.6083154437,3320551,adjusted
2023-05-12,148.4692189401,149.247695506,146.875631617,148.25857234,2400809,adjusted
2023-05-15,147.8098034961,151.5556495603,147.1137538607,151.3541615079,3789239,adjusted
2023-05-16,151.1160392642,152.0776867868,149.1561100277,149.6323545151,4274097,adjusted
2023-05-17,150.6581118725,151.7296619691,149.3528356352,151.4274298906,4910377,adjusted
2023-05-18,152.3249675783,155.8510084945,152.1051624303,155.5213007725,4916286,adjusted
2023-05-19,156.2356675035,156.6020094169,154.7245071109,155.7960572075,4790622,adjusted
2023-05-22,155.4846665811,156.7119119909,154.8252511371,156.4829482951,3334026,adjusted
2023-05-23,155.5029836768,156.373045721,154.9809464502,155.4571909376,5601445,adjusted
2023-05-24,152.8927975441,154.330689554,152.2059064565,153.0118586659,7502471,adjusted
2023-05-25,151.1160392642,156.1623991209,149.8338425674,155.3472883636,7747221,adjusted
2023-05-26,156.9042414954,162.1520894044,156.3089358862,161.456039769,8323156,adjusted
2023-05-30,162.8664561355,163.1961638575,160.3020627419,161.6941620127,5677278,adjusted
2023-05-31,160.0730990461,161.0072709252,158.5894142969,159.248829741,8518319,adjusted
2023-06-01,161.07138076,161.6025765344,158.3512920532,161.016429473,3955414,adjusted
2023-06-02,161.6483692735,161.7628511215,159.4503177933,160.4852336986,4788025,adjusted
2023-06-05,160.4485995073,160.4485995073,155.4842086537,155.933435425,5520407,adjusted
2023-06-06,155.1458003113,157.1057295478,154.6910784113,156.0250209033,4032555,adjusted
