Date,Open,High,Low,Close,Volume,PriceMode
2023-07-17,10.12,10.1593,10.07,10.07,10476,adjusted
2023-07-18,10.07,10.09,10.07,10.0895,1791,adjusted
2023-07-19,10.095,10.15,10.08,10.11,631376,adjusted
2023-07-20,10.11,10.12,10.11,10.12,3530,adjusted
2023-07-21,10.11,10.1279,10.11,10.1279,36942,adjusted
2023-07-24,10.12,10.15,10.1,10.12,22802,adjusted
2023-07-25,10.11,10.13,10.1,10.1,148020,adjusted
2023-07-26,10.12,10.13,10.11,10.11,39165,adjusted
2023-07-27,10.11,10.12,10.11,10.12,3249,adjusted
2023-07-28,10.11,10.11,10.11,10.11,1315,adjusted
2023-07-31,10.11,10.1101,10.11,10.1101,11455,adjusted
2023-08-01,10.11,10.12,10.11,10.12,575069,adjusted
2023-08-02,10.12,10.12,10.115,10.115,231690,adjusted
2023-08-03,10.12,10.12,10.11,10.11,62314,adjusted
2023-08-04,10.115,10.12,10.11,10.12,40053,adjusted
2023-08-07,10.12,10.12,10.12,10.12,26,adjusted
2023-08-08,10.12,10.12,10.11,10.11,8470,adjusted
2023-08-09,10.12,10.13,10.12,10.1268,191787,adjusted
2023-08-10,10.13,10.14,10.12,10.13,510810,adjusted
2023-08-11,10.135,10.15,10.13,10.13,400814,adjusted
2023-08-14,10.13,10.135,10.13,10.13,532704,adjusted
2023-08-15,10.13,10.14,10.13,10.13,37379,adjusted
2023-08-16,10.13,10.14,10.13,10.13,51964,adjusted
2023-08-17,10.13,10.14,10.13,10.13,111323,adjusted
2023-08-18,10.1329,10.145,10.1329,10.135,57273,adjusted
2023-08-21,10.14,10.14,10.13,10.13,1817,adjusted
2023-08-22,10.13,10.145,10.13,10.145,13563,adjusted
2023-08-23,10.15,10.2,10.14,10.14,27552,adjusted
2023-08-24,10.17,10.17,10.13,10.14,19026,adjusted
2023-08-25,10.14,10.17,10.14,10.17,1496,adjusted
2023-08-28,10.15,10.15,10.14,10.14,234,adjusted
2023-08-29,10.17,10.17,10.17,10.17,206,adjusted
2023-08-30,10.165,10.17,10.16,10.16,8817,adjusted
2023-08-31,10.165,10.165,10.165,10.165,900,adjusted
2023-09-01,10.165,10.165,10.165,10.165,1,adjusted
2023-09-05,10.18,10.18,10.18,10.18,335,adjusted
2023-09-06,10.17,10.17,10.17,10.17,832,adjusted
2023-09-07,10.1708,10.1708,10.17,10.17,8201,adjusted
2023-09-08,10.17,10.17,10.17,10.17,674,adjusted
2023-09-11,10.17,10.18,10.17,10.17,785358,adjusted
2023-09-12,10.17,10.17,10.1664,10.17,168850,adjusted
2023-09-13,10.17,10.17,10.17,10.17,659,adjusted
2023-09-14,10.17,10.2,10.17,10.19,94893,adjusted
2023-09-15,10.2,10.21,10.2,10.2,159410,adjusted
2023-09-18,10.207,10.21,10.207,10.21,771,adjusted
2023-09-19,10.22,10.22,10.2,10.2,129007,adjusted
2023-09-20,10.23,10.23,10.21,10.21,2222,adjusted
2023-09-21,10.22,10.22,10.22,10.22,201,adjusted
2023-09-22,10.22,10.22,10.22,10.22,340,adjusted
2023-09-25,10.21,10.22,10.19,10.19,73484,adjusted
2023-09-26,10.2,10.2176,10.2,10.2176,43662,adjusted
2023-09-27,10.22,10.22,10.22,10.22,5232,adjusted
2023-09-28,10.22,10.22,10.22,10.22,0,adjusted
2023-09-29,10.2184,10.2184,10.2184,10.2184,295,adjusted
2023-10-02,10.2184,10.2184,10.2184,10.2184,50,adjusted
2023-10-03,10.22,10.22,10.22,10.22,119,adjusted
2023-10-04,10.22,10.22,10.22,10.22,10,adjusted
2023-10-05,10.22,10.22,10.22,10.22,200,adjusted
2023-10-06,10.22,10.22,10.22,10.22,0,adjusted
2023-10-09,10.22,10.22,10.22,10.22,10,adjusted
2023-10-10,10.22,10.22,10.22,10.22,7,adjusted
2023-10-11,10.22,10.22,10.22,10.22,66,adjusted
2023-10-12,10.22,10.23,10.21,10.22,130759,adjusted
2023-10-13,10.22,10.22,10.22,10.22,1,adjusted
2023-10-16,10.21,10.22,10.21,10.22,604,adjusted
2023-10-17,10.22,10.23,10.22,10.22,27258,adjusted
2023-10-18,10.22,10.24,10.22,10.24,67033,adjusted
2023-10-19,10.23,10.24,10.21,10.21,293658,adjusted
2023-10-20,10.22,10.25,10.22,10.2452,302452,adjusted
2023-10-23,10.2452,10.2452,10.2452,10.2452,379,adjusted
2023-10-24,10.235,10.25,10.23,10.25,119192,adjusted
2023-10-25,10.24,10.24,10.23,10.23,169410,adjusted
2023-10-26,10.23,10.23,10.22,10.22,11611,adjusted
2023-10-27,10.22,10.23,10.22,10.23,180148,adjusted
2023-10-30,10.23,10.2332,10.23,10.23,15500,adjusted
2023-10-31,10.23,10.23,10.23,10.23,0,adjusted
2023-11-01,10.23,10.24,10.23,10.23,177959,adjusted
2023-11-02,10.23,10.24,10.23,10.235,24716,adjusted
2023-11-03,10.24,10.25,10.24,10.24,7563,adjusted
2023-11-06,10.243,10.243,10.243,10.243,1476,adjusted
2023-11-07,10.252,10.255,10.24,10.255,2904,adjusted
2023-11-08,10.255,10.255,10.255,10.255,13,adjusted
2023-11-09,10.24,10.24,10.24,10.24,2540,adjusted
2023-11-10,10.24,10.24,10.24,10.24,1,adjusted
2023-11-13,10.2496,10.27,10.24,10.24,2497,adjusted
2023-11-14,10.2487,10.27,10.24,10.24,6336,adjusted
2023-11-15,10.24,10.25,10.24,10.25,25923,adjusted
2023-11-16,10.25,10.25,10.25,10.25,25819,adjusted
2023-11-17,10.26,10.26,10.26,10.26,50157,adjusted
2023-11-20,10.27,10.275,10.27,10.27,67807,adjusted
2023-11-21,10.27,10.28,10.27,10.27,779483,adjusted
2023-11-22,10.27,10.28,10.27,10.27,68515,adjusted
2023-11-24,10.27,10.27,10.27,10.27,48,adjusted
2023-11-27,10.27,10.275,10.27,10.2722,24894,adjusted
2023-11-28,10.29,10.29,10.27,10.2803,101726,adjusted
2023-11-29,10.3,10.305,10.28,10.29,491832,adjusted
2023-11-30,10.29,10.29,10.29,10.29,205375,adjusted
2023-12-01,10.29,10.29,10.29,10.29,0,adjusted
2023-12-04,10.3,10.3,10.2903,10.2903,1803,adjusted
2023-12-05,10.3,10.3,10.29,10.3,278123,adjusted
2023-12-06,10.29,10.3,10.29,10.29,45254,adjusted
2023-12-07,10.3,10.3,10.29,10.3,233895,adjusted
2023-12-08,10.3,10.3,10.3,10.3,39517,adjusted
2023-12-11,10.3,10.3,10.3,10.3,186147,adjusted
2023-12-12,10.33,10.33,10.3,10.31,771456,adjusted
2023-12-13,10.3,10.31,10.3,10.3,95321,adjusted
2023-12-14,10.31,10.32,10.3,10.32,86942,adjusted
2023-12-15,10.31,10.32,10.31,10.32,92642,adjusted
2023-12-18,10.3,10.33,10.3,10.33,1251,adjusted
2023-12-19,10.3,10.33,10.3,10.33,9339,adjusted
2023-12-20,10.32,10.325,10.32,10.325,5253,adjusted
2023-12-21,10.33,10.33,10.32,10.32,9575,adjusted
2023-12-22,10.32,10.32,10.32,10.32,0,adjusted
2023-12-26,10.35,10.35,10.31,10.32,2630,adjusted
2023-12-27,10.35,10.35,10.31,10.31,2133,adjusted
2023-12-28,10.35,10.35,10.32,10.32,4096,adjusted
2023-12-29,10.38,10.38,10.33,10.33,32382,adjusted
2024-01-02,10.38,10.38,10.38,10.38,667,adjusted
2024-01-03,10.4,10.4,10.4,10.4,628,adjusted
2024-01-04,10.4,10.4,10.34,10.3546,1316,adjusted
2024-01-05,10.4,10.4,10.33,10.38,24123,adjusted
2024-01-08,10.4,10.4,10.4,10.4,1085,adjusted
2024-01-09,10.34,10.39,10.34,10.39,2439,adjusted
2024-01-10,10.3301,10.4,10.3301,10.4,1046,adjusted
2024-01-11,10.4,10.4,10.4,10.4,137,adjusted
2024-01-12,10.392,10.392,10.392,10.392,260,adjusted
2024-01-16,10.35,10.35,10.35,10.35,1205,adjusted
2024-01-17,10.375,10.375,10.375,10.375,504,adjusted
2024-01-18,10.36,10.36,10.36,10.36,233,adjusted
2024-01-19,10.3764,10.3764,10.37,10.37,2556,adjusted
2024-01-22,10.37,10.37,10.37,10.37,374,adjusted
2024-01-23,10.37,10.37,10.37,10.37,10064,adjusted
2024-01-24,10.37,10.3766,10.37,10.37,16764,adjusted
2024-01-25,10.37,10.3701,10.37,10.37,1527,adjusted
2024-01-26,10.37,10.37,10.37,10.37,15484,adjusted
2024-01-29,10.3928,10.42,10.38,10.38,70587,adjusted
2024-01-30,10.38,10.39,10.38,10.39,594083,adjusted
2024-01-31,10.45,10.45,10.39,10.4,26589,adjusted
2024-02-01,10.44,10.45,10.39,10.39,39619,adjusted
2024-02-02,10.4,10.42,10.4,10.4,725114,adjusted
2024-02-05,10.41,10.4122,10.405,10.405,8386,adjusted
2024-02-06,10.405,10.405,10.405,10.405,43,adjusted
2024-02-07,10.41,10.42,10.4,10.42,21559,adjusted
2024-02-08,10.41,10.42,10.41,10.42,50470,adjusted
2024-02-09,10.4166,10.4166,10.41,10.41,7497,adjusted
2024-02-12,10.45,10.45,10.411,10.45,676,adjusted
2024-02-13,10.47,10.47,10.41,10.41,787351,adjusted
2024-02-14,10.45,10.45,10.415,10.42,51064,adjusted
2024-02-15,10.47,10.47,10.41,10.41,151379,adjusted
