Date,Open,High,Low,Close,Volume
2023-04-03,152.5,155.01,152.5,155.01,2583
2023-04-04,155.51,158.29,155.51,156.5,6431
2023-04-05,152.99,152.99,148.98,148.98,4805
2023-04-06,147.28,147.28,146.13,146.13,2303
2023-04-10,146.97,159.55,145.34,150.2,12857
2023-04-11,155.53,155.53,150.2,150.2,2335
2023-04-12,150.2,155.16,150.2,155.16,5237
2023-04-13,155.0,155.0,154.96,154.96,2172
2023-04-14,153.69,154.95,153.55,153.55,1666
2023-04-17,151.15,155.78,150.2401,154.1,4120
2023-04-18,156.4,156.4,154.35,154.35,1035
2023-04-19,157.18,158.2,157.18,158.2,1880
2023-04-20,160.99,160.99,160.86,160.98,1826
2023-04-21,159.7,160.66,159.7,160.5,2578
2023-04-24,159.15,159.15,159.15,159.15,1037
2023-04-25,159.72,159.72,159.0,159.5,2041
2023-04-26,158.2,159.94,158.2,159.94,1507
2023-04-27,158.68,161.87,158.68,161.69,2835
2023-04-28,161.95,161.95,158.6001,160.9,2628
2023-05-01,161.78,161.8,161.4,161.4,1514
2023-05-02,160.77,161.63,159.54,161.63,2984
2023-05-03,161.5,162.61,158.55,158.55,2907
2023-05-04,157.31,160.35,157.31,160.35,3106
2023-05-05,164.98,168.84,163.5,165.98,4557
2023-05-08,167.59,168.85,164.25,164.25,6131
2023-05-09,165.93,167.5399,151.53,162.96,6243
2023-05-10,163.0,164.82,163.0,164.82,5329
2023-05-11,165.31,165.31,164.25,164.25,2516
2023-05-12,168.61,168.61,167.99,167.99,1625
2023-05-15,168.44,177.9,168.44,177.9,3960
2023-05-16,180.84,184.7499,179.22,180.95,3522
2023-05-17,178.82,184.2,177.16,184.2,9679
2023-05-18,182.06,189.0,182.06,189.0,6542
2023-05-19,190.19,192.0,186.24,186.4,8112
2023-05-22,187.6,190.6702,186.01,186.41,13175
2023-05-23,188.0,189.19,185.51,185.51,5461
2023-05-24,182.46,182.46,182.46,182.46,1430
2023-05-25,184.98,184.98,180.55,180.55,4466
2023-05-26,182.27,182.27,182.0,182.0,2163
2023-05-30,183.655,186.0,183.6,186.0,4013
2023-05-31,186.36,186.36,177.96,181.42,12425
2023-06-01,179.91,181.5,179.91,180.21,2608
2023-06-02,183.02,186.2,182.98,186.2,6620
2023-06-05,185.48,185.48,183.675,185.06,3814
2023-06-06,188.86,190.89,188.12,188.4,6401
2023-06-07,189.48,193.2,189.48,191.0,5881
2023-06-08,190.8799,192.48,187.48,191.95,5941
2023-06-09,190.037,192.5,189.94,190.68,3988
2023-06-12,189.66,192.85,188.86,192.85,2200
2023-06-13,192.75,196.8,192.3091,194.0,10963
2023-06-14,195.6,196.7499,192.06,193.62,3462
2023-06-15,193.5,195.41,190.871,195.41,9856
2023-06-16,195.86,195.86,194.0,194.0,8774
2023-06-20,194.77,194.77,192.42,193.19,6182
2023-06-21,193.0,194.35,192.01,192.01,4481
2023-06-22,193.32,193.8,190.9,190.9,6563
2023-06-23,189.44,192.39,189.44,192.29,28691
2023-06-26,194.0,195.41,193.53,195.0,4743
2023-06-27,196.0,199.1999,193.5,198.97,9737
2023-06-28,198.46,200.47,198.46,200.47,7333
2023-06-29,201.83,205.83,201.83,205.83,8449
2023-06-30,207.0,210.4,205.3,208.89,12623
2023-07-03,208.3,211.21,206.2,206.98,5086
2023-07-05,206.96,206.96,203.7,203.7,6586
2023-07-06,202.0,202.0,194.9,195.51,14400
2023-07-07,198.0,200.24,197.01,197.01,14523
2023-07-10,197.01,200.9604,197.01,198.52,9547
2023-07-11,199.83,212.36,198.445,210.23,18856
2023-07-12,212.87,214.155,208.23,208.99,9715
2023-07-13,211.49,211.49,209.02,209.3,9126
2023-07-14,210.29,210.29,204.04,209.42,5890
2023-07-17,210.06,210.53,208.4,208.4,5757
2023-07-18,207.0,211.9517,207.0,209.67,7068
2023-07-19,210.01,210.195,207.12,209.02,9645
2023-07-20,208.35,210.605,208.35,209.5,11925
2023-07-21,208.48,209.55,208.3,208.3,13930
2023-07-24,208.87,209.96,205.05,205.79,7244
2023-07-25,206.56,209.0,205.08,209.0,9160
2023-07-26,208.93,211.9899,207.57,208.29,11288
2023-07-27,208.38,208.38,206.0,206.0,8178
2023-07-28,205.23,206.08,203.65,203.65,9155
2023-07-31,205.47,206.02,204.05,205.61,10162
2023-08-01,204.23,205.3,203.61,204.24,9644
2023-08-02,204.71,206.3,203.3215,205.46,9617
2023-08-03,205.02,210.71,204.54,209.51,9816
2023-08-04,211.23,215.4,210.22,212.4,9928
2023-08-07,213.62,216.0,213.62,215.48,19125
2023-08-08,215.8,215.8,214.0,215.32,22299
2023-08-09,214.28,215.28,213.21,214.53,14907
2023-08-10,214.85,215.34,213.87,214.84,12570
2023-08-11,215.5,215.5,215.0,215.0,3654
2023-08-14,215.25,216.6,214.44,214.44,12024
2023-08-15,214.78,217.0,214.02,216.22,11835
2023-08-16,215.74,215.74,210.01,210.01,10282
2023-08-17,210.05,210.05,200.09,200.09,19630
2023-08-18,200.0,204.86,199.1,203.32,7749
2023-08-21,202.12,202.955,199.01,201.06,8499
2023-08-22,202.14,208.01,202.14,203.69,25764
2023-08-23,205.54,216.09,205.11,215.1,28968
2023-08-24,215.68,215.8188,211.765,213.1,10898
2023-08-25,210.3056,214.7,210.15,213.01,9532
2023-08-28,215.53,216.8,213.7,213.73,20454
2023-08-29,217.75,224.0,217.65,223.14,52886
2023-08-30,222.79,226.47,220.92,221.21,15600
2023-08-31,220.54,220.77,216.16,216.58,7851
2023-09-01,219.0,219.795,217.84,218.38,5713
2023-09-05,218.82,218.82,209.02,210.28,12415
2023-09-06,209.0,210.25,206.63,209.19,8166
2023-09-07,207.215,209.99,207.215,209.99,12317
2023-09-08,211.09,213.0,209.44,212.72,9582
2023-09-11,214.93,220.5,214.81,219.2,12267
2023-09-12,219.52,219.52,207.36,208.0,15850
2023-09-13,209.35,210.1,205.59,207.0,10474
2023-09-14,206.01,208.79,206.01,207.52,5150
2023-09-15,207.74,207.74,202.18,204.03,19310
2023-09-18,202.36,206.47,202.36,205.01,7640
2023-09-19,205.54,205.54,201.12,201.12,8361
2023-09-20,198.93,200.85,196.52,196.52,5261
2023-09-21,195.64,197.11,186.61,197.09,13537
2023-09-22,198.0,199.7,193.98,195.8,13161
2023-09-25,198.0,204.2,198.0,201.01,12441
2023-09-26,200.92,202.88,198.235,200.42,6669
2023-09-27,198.8231,201.89,198.8231,201.31,4283
2023-09-28,203.242,207.0,202.33,205.0,12201
2023-09-29,199.99,205.2,199.99,201.0,25151
2023-10-02,200.48,201.0,198.57,198.81,15309
2023-10-03,198.25,204.124,198.25,203.09,14037
2023-10-04,202.96,207.21,202.96,206.94,8006
2023-10-05,208.86,209.48,205.6101,208.96,12369
2023-10-06,207.95,212.9999,192.56,211.52,33719
2023-10-09,213.005,214.61,207.6001,213.63,10853
2023-10-10,217.11,218.9,210.7,212.16,18491
2023-10-11,211.77,213.98,211.01,213.97,5685
2023-10-12,214.01,214.01,211.5,211.89,3830
2023-10-13,213.42,213.42,208.04,208.04,3654
2023-10-16,211.9,211.9,209.78,209.78,6212
2023-10-17,213.21,213.21,209.825,211.4,6655
2023-10-18,208.41,209.99,201.83,201.83,8630
2023-10-19,200.9801,200.9801,199.94,199.94,3561
2023-10-20,201.44,203.5991,199.995,202.03,7067
2023-10-23,202.415,203.46,199.0,199.0,3854
2023-10-24,199.97,199.98,198.32,198.32,5224
2023-10-25,198.9972,201.19,198.25,198.25,4893
2023-10-26,200.0,201.0,195.13,197.28,7909
2023-10-27,193.5,195.9,192.11,192.11,9052
2023-10-30,193.9,199.97,193.9,198.83,4615
2023-10-31,197.01,199.0,197.01,197.99,10486
2023-11-01,198.46,198.46,191.4775,192.69,8111
2023-11-02,193.99,197.89,193.99,197.14,15059
2023-11-03,197.29,205.24,197.29,204.26,10931
2023-11-06,204.26,204.26,199.855,201.57,10505
2023-11-07,185.57,202.56,185.57,197.64,7532
2023-11-08,196.49,200.4,196.2767,200.4,7470
2023-11-09,200.01,200.39,193.5334,196.29,4849
2023-11-10,197.5,200.2,197.08,197.56,6305
2023-11-13,199.55,200.3,199.03,199.4,4321
2023-11-14,201.21,213.63,201.105,213.63,24048
2023-11-15,212.605,214.06,205.61,206.2,11894
2023-11-16,205.8,205.8,203.31,205.36,10165
2023-11-17,207.88,211.255,206.31,210.61,19460
2023-11-20,210.21,211.5,206.07,207.84,27900
2023-11-21,207.49,214.46,207.41,212.7,19232
2023-11-22,213.8,213.8,213.8,213.8,4111
2023-11-24,212.0,223.1,212.0,223.1,7031
2023-11-27,218.78,222.03,216.71,216.83,19859
2023-11-28,214.7,216.35,209.54,209.79,26314
2023-11-29,215.4,217.98,212.01,217.98,13848
2023-11-30,218.01,218.9,212.01,212.01,28612
2023-12-01,212.08,218.4,212.08,218.01,13686
2023-12-04,217.83,219.4369,215.51,218.62,27129
2023-12-05,218.0,218.4,215.095,218.36,16230
2023-12-06,221.35,221.35,218.05,218.05,17400
2023-12-07,216.73,220.005,215.536,216.46,9732
2023-12-08,216.35,216.35,216.35,216.35,5974
2023-12-11,214.78,217.93,214.78,217.93,4840
2023-12-12,220.54,220.54,218.85,219.15,5827
2023-12-13,219.07,223.16,218.09,219.54,20046
2023-12-14,220.6306,226.63,220.06,226.2,9634
2023-12-15,227.42,229.65,227.42,228.0,18553
2023-12-18,225.7,228.07,225.7,226.79,6203
2023-12-19,216.0201,231.295,216.0201,228.42,15311
2023-12-20,227.36,231.81,227.36,229.3,7268
2023-12-21,228.44,229.7,227.81,229.7,3825
2023-12-22,230.45,234.7,229.11,234.03,5772
2023-12-26,237.35,237.55,231.0021,237.55,5441
2023-12-27,239.89,240.6873,237.53,239.2,8225
2023-12-28,233.4,233.56,230.82,233.56,7728
2023-12-29,232.91,235.5599,230.35,230.35,22999
2024-01-02,226.7,230.0,226.075,230.0,6209
2024-01-03,229.65,229.65,222.45,223.18,17910
2024-01-04,224.61,225.97,221.53,222.89,8765
2024-01-05,214.34,217.84,214.34,217.22,10079
2024-01-08,218.03,222.15,217.9,222.15,14944
2024-01-09,217.15,217.15,216.97,216.97,5337
2024-01-10,217.15,221.5,215.9416,221.5,7620
2024-01-11,221.0,223.0,218.67,222.18,9881
2024-01-12,222.8,224.0,220.81,224.0,17205
2024-01-16,224.08,224.08,219.0,219.58,19970
2024-01-17,220.41,222.595,218.13,220.57,11540
2024-01-18,220.16,222.58,219.98,222.58,9812
2024-01-19,223.0,224.78,219.25,224.78,4971
2024-01-22,226.3,233.3,226.3,231.3,13621
2024-01-23,231.48,235.5,228.72,228.72,12357
2024-01-24,237.47,264.99,234.805,257.1,26336
2024-01-25,259.98,262.835,253.52,253.9,29156
2024-01-26,257.65,257.65,251.21,253.28,34590
2024-01-29,252.89,252.89,247.31,248.635,42518
2024-01-30,247.98,258.05,243.86,258.05,52829
2024-01-31,256.98,263.77,256.0,258.67,118176
2024-02-01,257.98,257.98,248.82,251.4,28002
2024-02-02,248.71,253.5807,243.3,250.02,11521
2024-02-05,250.49,255.46,247.63,252.8,32612
2024-02-06,246.895,251.47,241.91,245.93,15973
2024-02-07,243.63,253.47,243.63,252.21,12454
2024-02-08,254.82,257.0,251.04,254.15,23572
2024-02-09,251.02,259.99,251.02,259.99,32738
2024-02-12,259.88,266.88,256.225,261.7,36640
2024-02-13,252.42,256.43,251.38,254.35,31586
2024-02-14,260.53,260.8,257.01,258.0,26002
2024-02-15,257.07,261.27,257.07,259.0,15924
2024-02-16,258.42,258.42,256.0,256.66,9304
2024-02-20,254.4,256.99,249.435,250.03,20042
2024-02-21,247.98,247.98,245.11,245.11,8031
2024-02-22,245.98,250.27,245.98,249.99,8106
2024-02-23,251.205,254.85,249.925,254.85,6612
2024-02-26,254.06,255.72,252.54,253.64,9371
2024-02-27,254.3,255.32,252.85,254.98,9065
2024-02-28,253.84,255.99,251.375,253.5,9651
2024-02-29,256.28,258.4,252.64,254.98,8535
2024-03-01,258.87,258.87,252.84,253.89,11755
2024-03-04,253.88,266.09,253.88,265.26,15520
2024-03-05,266.93,283.45,266.93,277.67,26497
2024-03-06,275.99,281.23,271.0627,275.56,15310
2024-03-07,275.01,284.71,275.01,283.0,22343
