Date,Open,High,Low,Close,Volume,PriceMode
2023-04-27,11.1683862238,11.3292867033,11.1683862238,11.3103572352,821426,adjusted
2023-04-28,11.3766103738,11.4996519169,11.3292867033,11.4996519169,512579,adjusted
2023-05-01,11.5185813851,11.5280461192,11.395539842,11.405004576,613529,adjusted
2023-05-02,11.3576809056,11.4381311454,11.2819630329,11.3103572352,517220,adjusted
2023-05-03,11.2724982988,11.3292867033,11.2535688306,11.2819630329,465775,adjusted
2023-05-04,11.2535688306,11.2819630329,11.1967804261,11.2535688306,755203,adjusted
2023-05-05,11.2062451602,11.3576809056,11.1967804261,11.3576809056,196230,adjusted
2023-05-08,11.395539842,11.4977589701,11.395539842,11.4333987783,230845,adjusted
2023-05-09,11.4333987783,11.4712577147,11.395539842,11.405004576,546815,adjusted
2023-05-10,11.4901871828,11.6226934601,11.4901871828,11.6037639919,810597,adjusted
2023-05-11,11.6226934601,11.726805535,11.6037639919,11.7126084339,1098581,adjusted
2023-05-12,11.7741292055,11.8952778018,11.7362702691,11.8214528759,481075,adjusted
2023-05-15,11.8403823441,11.8403823441,11.7551997373,11.8025234077,370731,adjusted
2023-05-16,11.7741292055,11.8025234077,11.7457350032,11.7693968384,215548,adjusted
2023-05-17,11.6794818646,11.7362702691,11.6558200294,11.6794818646,867054,adjusted
2023-05-18,11.6794818646,11.7551997373,11.6794818646,11.7362702691,264959,adjusted
2023-05-19,11.7362702691,11.7508459596,11.7078760669,11.7078760669,299563,adjusted
2023-05-22,11.7741292055,11.8119881418,11.7395829261,11.7883263066,356954,adjusted
2023-05-23,11.6794818646,11.7173408009,11.6700171305,11.6794818646,268507,adjusted
2023-05-24,11.6321581942,11.7173408009,11.5942992578,11.5942992578,207043,adjusted
2023-05-25,11.613228726,11.6794818646,11.613228726,11.6794818646,308964,adjusted
2023-05-26,11.613228726,11.6652847635,11.6037639919,11.6416229282,719828,adjusted
2023-05-30,11.7362702691,11.8214528759,11.7173408009,11.7741292055,724624,adjusted
2023-05-31,11.7362702691,11.8687765464,11.6227881074,11.7646644714,2147531,adjusted
2023-06-01,11.8687765464,12.1432538349,11.7949516205,12.1243243667,1586541,adjusted
2023-06-02,12.2000422394,12.2284364417,12.1716480372,12.1716480372,545924,adjusted
2023-06-05,12.0864654304,12.1621833031,12.0675359622,12.1432538349,205257,adjusted
