Date,Open,High,Low,Close,Volume,PriceMode
2023-06-30,132.1954117835,132.9048349791,132.0087214689,132.6434685386,1560337,adjusted
2023-07-03,132.4847817712,133.2748551827,132.2017592542,133.1568669038,1359574,adjusted
2023-07-05,132.5501233813,132.979511105,132.2607533937,132.5874614443,1961658,adjusted
2023-07-06,131.4953231037,131.7006824498,130.5945423357,131.2899637576,1562449,adjusted
2023-07-07,130.8419070025,132.2234153307,130.6925547508,131.0846044115,2510216,adjusted
2023-07-10,131.1499460217,132.2234153307,131.0566008644,131.8593692172,1976520,adjusted
2023-07-11,132.2327498465,133.2362102876,132.0273905004,133.1288633567,1700610,adjusted
2023-07-12,133.8942936466,134.052980414,133.2035394825,133.464905923,2065868,adjusted
2023-07-13,133.7169378477,133.9222971938,133.4088988286,133.7542759106,2070623,adjusted
2023-07-14,134.0623149298,134.0623149298,133.0915252937,133.324888187,1917720,adjusted
2023-07-17,132.9888456207,133.7246854958,132.6808066016,133.3715607657,1968884,adjusted
2023-07-18,133.5955891432,134.8837523141,133.3995643129,134.3236813702,2196868,adjusted
2023-07-19,134.6503894208,135.4774275146,134.4543645905,135.0797771445,4047924,adjusted
2023-07-20,135.3504781007,136.4239474097,135.201125849,136.2652606423,2824048,adjusted
2023-07-21,136.5359615985,136.9746838379,136.1485791957,136.6853138502,2191993,adjusted
2023-07-24,136.7879935232,137.6561034862,136.759989976,137.38540253,2269163,adjusted
2023-07-25,136.8720041648,137.5347547817,136.7886469393,137.1987122154,2214795,adjusted
2023-07-26,136.9560148064,137.7867867065,136.8346661019,137.3573989828,1667028,adjusted
2023-07-27,137.7401141278,137.8941336374,136.3166004788,136.4986235356,2051890,adjusted
2023-07-28,137.3387299514,137.3573989828,136.4612854727,136.9466802907,2002546,adjusted
2023-07-31,137.1800431839,137.5160857503,136.7506554603,137.2267157626,1837144,adjusted
2023-08-01,137.0026873851,137.422740593,136.487608807,136.9093422277,1518945,adjusted
2023-08-02,136.2839296738,136.6479757873,135.8965472709,136.0879048434,2678369,adjusted
2023-08-03,135.6958551827,136.1444720087,135.163787786,135.7051896984,2005591,adjusted
2023-08-04,136.0785703277,136.6013032086,134.9117558613,135.0984461759,1781330,adjusted
2023-08-07,135.6678516355,136.6013032086,135.546502931,136.4706199884,1461773,adjusted
2023-08-08,135.4624922894,135.9758906546,134.6130513579,135.8545419501,1483429,adjusted
2023-08-09,135.8732109816,136.3025987052,135.2571329433,135.4344887422,2667795,adjusted
2023-08-10,135.9758906546,136.8253315862,134.9957665029,135.2197948804,2117142,adjusted
2023-08-11,135.0331045658,135.9117625316,134.8650832826,135.78920034,1945969,adjusted
