Date,Open,High,Low,Close,Volume,PriceMode
2023-08-10,235.203248558,238.4582847882,234.6851797286,234.7536039136,4778017,adjusted
2023-08-11,234.5972057764,235.3009973938,233.0478867299,234.6363053107,3607104,adjusted
2023-08-14,235.3009973938,237.8522420066,234.8513527494,237.4319220129,4351136,adjusted
2023-08-15,236.5619573748,237.2070996907,233.9618383441,234.4310327557,3770078,adjusted
2023-08-16,231.2053211762,235.6382308771,230.7030876582,233.9031890427,3218574,adjusted
2023-08-17,234.5972057764,234.9686513522,231.1662216419,232.0264113965,4177578,adjusted
2023-08-18,230.2767072367,233.6685918369,230.0030104966,232.8084020824,4344962,adjusted
2023-08-21,233.9911629948,235.1152746059,232.4027444141,234.0693620634,3573630,adjusted
2023-08-22,234.5972057764,235.9950141275,233.2971462611,235.1543741401,3848688,adjusted
2023-08-23,235.8874904082,237.0800262042,235.3009973938,236.8454289985,4947728,adjusted
2023-08-24,236.7965545806,238.0770643288,233.9716132277,234.079136947,4570869,adjusted
2023-08-25,235.9461397096,237.9304410752,234.8024783315,237.109350855,3541533,adjusted
2023-08-28,237.5394457322,239.7094698856,237.1386755057,238.3409861853,3741458,adjusted
2023-08-29,238.0184150273,240.2959629001,237.9206661916,239.816993605,3975738,adjusted
2023-08-30,240.8726810309,242.6419349578,240.5110103387,240.686958243,4573291,adjusted
2023-08-31,240.0613656943,242.4366624028,239.9245173243,240.1493396465,5532610,adjusted
2023-09-01,241.8990438062,243.2675275066,241.214801956,242.524636355,4112905,adjusted
2023-09-05,242.7592335607,243.0915796023,239.6801452349,239.816993605,4459645,adjusted
2023-09-06,239.8951926735,241.1072782367,238.7124317611,240.618534058,4520355,adjusted
2023-09-07,239.9733917421,241.8306196212,239.5935397665,241.5764726483,4008017,adjusted
2023-09-08,242.2118400806,242.5539610057,240.8922307981,241.7230959019,3309819,adjusted
2023-09-11,241.7621954362,242.7690084443,240.7260577773,241.6546717169,2995835,adjusted
2023-09-12,241.3809749768,242.1825154299,240.4719108044,241.7328707855,3499561,adjusted
2023-09-13,241.5862475319,244.4307386519,241.0584038189,242.2509396149,5657025,adjusted
2023-09-14,239.4846475634,240.0124912764,233.3753453297,236.0634383125,11999981,adjusted
2023-09-15,236.4544336555,238.6049080418,234.6265304272,235.6431183188,13077932,adjusted
2023-09-18,235.5160448324,239.7094698856,235.3498718116,239.1523015219,4771567,adjusted
2023-09-19,239.4846475634,239.6019461663,236.0243387782,238.0770643288,4709207,adjusted
